year,month,rank_ME,rank_EM,nstocks,ret_vw
1969,3,1,5,136,4.2411
1969,3,2,1,62,3.1003
1969,3,2,2,42,3.4793
1969,3,2,3,44,2.6071
1969,3,2,4,47,2.5065
1969,3,2,5,74,5.1133
1969,3,3,1,50,5.0265
1969,3,3,2,86,3.1160
1969,3,3,3,94,2.5652
1969,3,3,4,97,3.6289
1969,3,3,5,107,4.4285
1969,4,1,1,128,-0.0628
1969,4,1,2,88,-1.1086
1969,4,1,3,71,-1.0573
1969,4,1,4,81,-0.0390
1969,4,1,5,136,1.2212
1969,4,2,1,62,-0.1906
1969,4,2,2,42,2.3928
1969,4,2,3,44,1.8432
1969,4,2,4,47,2.5931
1969,4,2,5,73,2.1807
1969,4,3,1,50,-0.3417
1969,4,3,2,86,2.1368
1969,4,3,3,94,1.9618
1969,4,3,4,97,1.6133
1969,4,3,5,107,4.0963
1969,5,1,1,128,0.5387
1969,5,1,2,88,-0.9214
1969,5,1,3,71,-0.6658
1969,5,1,4,80,-0.4128
1969,5,1,5,135,4.5854
1969,5,2,1,62,0.3168
1969,5,2,2,42,1.7529
1969,5,2,3,44,-1.4502
1969,5,2,4,46,-1.6413
1969,5,2,5,74,1.6968
1969,5,3,1,50,1.9338
1969,5,3,2,84,1.8861
1969,5,3,3,94,-0.0780
1969,5,3,4,97,-0.6264
1969,5,3,5,107,-0.5792
1969,6,1,1,128,-10.8508
1969,6,1,2,88,-11.7356
1969,6,1,3,71,-13.9623
1969,6,1,4,80,-13.4096
1969,6,1,5,136,-16.3101
1969,6,2,1,62,-8.5447
1969,6,2,2,42,-11.6733
1969,6,2,3,44,-9.9582
1969,6,2,4,47,-11.7935
1969,6,2,5,74,-12.0692
1969,6,3,1,49,-8.1781
1969,6,3,2,85,-6.2602
1969,6,3,3,94,-7.4326
1969,6,3,4,97,-8.4803
1969,6,3,5,107,-1.4336
1969,7,1,1,128,-8.0902
1969,7,1,2,75,-10.4298
1969,7,1,3,86,-10.3687
1969,7,1,4,94,-12.3721
1969,7,1,5,206,-13.3005
1969,7,2,1,46,-7.0042
1969,7,2,2,56,-8.7011
1969,7,2,3,51,-9.1474
1969,7,2,4,57,-10.6495
1969,7,2,5,86,-10.2886
1969,7,3,1,83,-6.3628
1969,7,3,2,81,-7.9832
1969,7,3,3,99,-7.0106
1969,7,3,4,92,-5.5811
1969,7,3,5,105,-4.6902
1969,8,1,1,128,2.8998
1969,8,1,2,75,4.3736
1969,8,1,3,86,4.5491
1969,8,1,4,94,4.9789
1969,8,1,5,205,4.4563
1969,8,2,1,46,3.0632
1969,8,2,2,56,5.0056
1969,8,2,3,51,6.3057
1969,8,2,4,57,6.8640
1969,8,2,5,86,8.7794
1969,8,3,1,83,2.8713
1969,8,3,2,81,4.7555
1969,8,3,3,99,5.0848
1969,8,3,4,92,6.3928
1969,8,3,5,105,8.1581
1969,9,1,1,128,-3.2552
1969,9,1,2,75,-5.5946
1969,9,1,3,86,-3.4641
1969,9,1,4,94,-2.8857
1969,9,1,5,206,-3.0660
1969,9,2,1,46,0.3084
1969,9,2,2,56,1.1446
1969,9,2,3,51,-2.8602
1969,9,2,4,57,-2.6021
1969,9,2,5,86,1.7842
1969,9,3,1,83,-3.7030
1969,9,3,2,81,-3.7776
1969,9,3,3,99,-2.8195
1969,9,3,4,92,-2.1758
1969,9,3,5,105,0.0511
1969,10,1,1,128,7.0806
1969,10,1,2,75,7.5234
1969,10,1,3,86,9.2624
1969,10,1,4,94,12.6952
1969,10,1,5,206,14.2885
1969,10,2,1,46,8.6919
1969,10,2,2,56,7.3630
1969,10,2,3,51,5.9161
1969,10,2,4,57,6.4562
1969,10,2,5,86,11.3270
1969,10,3,1,83,2.8514
1969,10,3,2,81,3.5946
1969,10,3,3,99,4.9259
1969,10,3,4,92,6.6082
1969,10,3,5,104,5.8619
1969,11,1,1,127,-5.5787
1969,11,1,2,75,-5.2668
1969,11,1,3,86,-7.9350
1969,11,1,4,94,-7.2533
1969,11,1,5,206,-8.8339
1969,11,2,1,46,-3.0305
1969,11,2,2,56,-4.2185
1969,11,2,3,51,-4.5258
1969,11,2,4,57,-5.8883
