year,month,rank_ME,rank_BM,nstocks,ret_vw
1968,8,2,3,44,3.6538
1968,8,2,4,54,1.3355
1968,8,2,5,66,6.1090
1968,8,3,1,143,0.9313
1968,8,3,2,109,1.1189
1968,8,3,3,109,1.3506
1968,8,3,4,104,2.0127
1968,8,3,5,52,2.2714
1968,9,1,1,161,6.5107
1968,9,1,2,117,9.1933
1968,9,1,3,95,6.6614
1968,9,1,4,88,6.2775
1968,9,1,5,152,7.3647
1968,9,2,1,82,8.6410
1968,9,2,2,64,6.2416
1968,9,2,3,44,6.7400
1968,9,2,4,54,4.3103
1968,9,2,5,66,6.7744
1968,9,3,1,143,2.1866
1968,9,3,2,109,5.8660
1968,9,3,3,109,3.7218
1968,9,3,4,104,3.7019
1968,9,3,5,52,7.8966
1968,10,1,1,161,-1.4728
1968,10,1,2,117,0.8019
1968,10,1,3,95,0.8816
1968,10,1,4,88,1.5643
1968,10,1,5,152,2.0661
1968,10,2,1,82,-1.0265
1968,10,2,2,64,1.6604
1968,10,2,3,43,1.2757
1968,10,2,4,54,2.3943
1968,10,2,5,66,1.0364
1968,10,3,1,143,-1.9041
1968,10,3,2,109,2.0108
1968,10,3,3,109,1.4126
1968,10,3,4,104,3.0508
1968,10,3,5,52,1.8120
1968,11,1,1,160,8.2534
1968,11,1,2,117,8.1660
1968,11,1,3,95,6.7157
1968,11,1,4,88,5.8052
1968,11,1,5,152,6.8424
1968,11,2,1,82,9.0239
1968,11,2,2,64,8.1242
1968,11,2,3,44,7.1031
1968,11,2,4,54,9.1770
1968,11,2,5,66,6.6100
1968,11,3,1,143,6.7597
1968,11,3,2,109,3.1000
1968,11,3,3,109,6.4261
1968,11,3,4,104,5.7223
1968,11,3,5,52,4.8940
1968,12,1,1,161,5.3904
1968,12,1,2,117,1.6507
1968,12,1,3,95,0.5892
1968,12,1,4,88,-0.2625
1968,12,1,5,152,1.0338
1968,12,2,1,82,-1.9114
1968,12,2,2,64,-0.3126
1968,12,2,3,44,-0.7485
1968,12,2,4,54,-1.6439
1968,12,2,5,66,-1.2739
1968,12,3,1,143,-5.1100
1968,12,3,2,109,-4.7598
1968,12,3,3,109,-1.8838
1968,12,3,4,104,-3.5152
1968,12,3,5,52,-2.4225
1969,1,1,1,161,-0.3262
1969,1,1,2,117,-2.6052
1969,1,1,3,95,-1.7145
1969,1,1,4,88,-1.1109
1969,1,1,5,152,-1.5550
1969,1,2,1,82,-3.5507
1969,1,2,2,64,-0.3543
1969,1,2,3,44,-2.6813
1969,1,2,4,54,1.7165
1969,1,2,5,66,-1.2490
1969,1,3,1,143,-2.3955
1969,1,3,2,109,-0.5061
1969,1,3,3,109,0.6015
1969,1,3,4,103,-0.1613
1969,1,3,5,52,0.3279
1969,2,1,1,161,-12.3234
1969,2,1,2,117,-11.1175
1969,2,1,3,94,-8.9847
1969,2,1,4,88,-8.0608
1969,2,1,5,152,-8.6310
1969,2,2,1,82,-10.0568
1969,2,2,2,64,-8.1804
1969,2,2,3,44,-7.3398
1969,2,2,4,54,-7.0871
1969,2,2,5,66,-7.1818
1969,2,3,1,143,-4.1816
1969,2,3,2,109,-3.8888
1969,2,3,3,109,-5.6664
1969,2,3,4,103,-4.7434
1969,2,3,5,52,-6.0282
1969,3,1,1,161,2.4197
1969,3,1,2,117,2.6373
1969,3,1,3,94,3.1366
1969,3,1,4,88,2.3354
1969,3,1,5,152,2.2418
1969,3,2,1,82,3.8333
1969,3,2,2,64,1.6194
1969,3,2,3,44,1.4170
1969,3,2,4,54,2.0501
1969,3,2,5,66,4.6080
1969,3,3,1,143,4.4645
1969,3,3,2,109,2.0164
1969,3,3,3,109,3.1386
1969,3,3,4,103,2.3982
1969,3,3,5,52,5.2093
1969,4,1,1,161,1.0527
1969,4,1,2,117,-1.1755
1969,4,1,3,94,0.3853
1969,4,1,4,88,0.3038
1969,4,1,5,152,-0.7913
1969,4,2,1,82,1.1681
1969,4,2,2,63,1.4773
1969,4,2,3,44,2.3939
1969,4,2,4,54,0.3458
1969,4,2,5,66,2.3868
1969,4,3,1,143,3.8247
1969,4,3,2,109,0.7807
1969,4,3,3,109,1.3861
1969,4,3,4,103,1.7582
1969,4,3,5,52,1.5904
1969,5,1,1,161,2.1250
1969,5,1,2,117,0.3640
1969,5,1,3,94,1.3172
1969,5,1,4,88,1.1015
1969,5,1,5,150,0.1498
1969,5,2,1,82,0.0238
1969,5,2,2,64,0.1758
1969,5,2,3,43,0.5749
1969,5,2,4,54,0.7224
1969,5,2,5,66,0.4744
1969,5,3,1,143,-0.4808
1969,5,3,2,107,0.3765
1969,5,3,3,109,-0.1060
1969,5,3,4,103,1.9863
1969,5,3,5,52,-0.0122
1969,6,1,1,161,-15.4441
1969,6,1,2,117,-13.6599
1969,6,1,3,94,-12.9501
1969,6,1,4,88,-12.8156
1969,6,1,5,151,-12.3762
1969,6,2,1,82,-10.8835
1969,6,2,2,64,-11.2095
1969,6,2,3,44,-10.4864
1969,6,2,4,54,-9.3914
1969,6,2,5,66,-9.7344
1969,6,3,1,143,-2.2652
1969,6,3,2,108,-7.0696
1969,6,3,3,109,-7.6614
1969,6,3,4,103,-7.2990
1969,6,3,5,51,-8.4753
1969,7,1,1,211,-13.2878
1969,7,1,2,155,-11.2990
1969,7,1,3,108,-11.2494
1969,7,1,4,94,-10.3559
1969,7,1,5,126,-8.2728
1969,7,2,1,100,-10.4101
1969,7,2,2,73,-9.5841
1969,7,2,3,60,-8.8178
1969,7,2,4,51,-6.0148
1969,7,2,5,56,-7.2002
1969,7,3,1,137,-4.3578
1969,7,3,2,104,-5.8883
1969,7,3,3,112,-6.3509
1969,7,3,4,107,-7.7380
1969,7,3,5,85,-6.1701
1969,8,1,1,211,5.0298
1969,8,1,2,155,4.9696
1969,8,1,3,108,4.6182
1969,8,1,4,94,2.8414
1969,8,1,5,125,2.4083
1969,8,2,1,100,6.9902
1969,8,2,2,73,8.6789
1969,8,2,3,60,5.2381
1969,8,2,4,51,2.4023
1969,8,2,5,56,3.1339
1969,8,3,1,137,7.5670
1969,8,3,2,104,4.6481
1969,8,3,3,112,3.5264
1969,8,3,4,107,3.2665
1969,8,3,5,85,2.7641
1969,9,1,1,211,-2.6177
1969,9,1,2,155,-4.8448
1969,9,1,3,108,-4.0598
1969,9,1,4,94,-3.5150
1969,9,1,5,126,-2.4979
1969,9,2,1,100,1.3173
1969,9,2,2,72,0.3930
1969,9,2,3,60,-2.3785
1969,9,2,4,51,-1.0099
1969,9,2,5,56,-2.3742
1969,9,3,1,137,-0.6328
1969,9,3,2,104,-0.8423
1969,9,3,3,112,-2.8254
1969,9,3,4,107,-4.8810
1969,9,3,5,85,-5.0826
1969,10,1,1,211,13.4514
1969,10,1,2,155,13.1089
1969,10,1,3,108,9.6126
1969,10,1,4,94,8.9025
1969,10,1,5,126,6.1281
1969,10,2,1,100,10.9358
1969,10,2,2,72,5.3371
1969,10,2,3,60,7.5118
1969,10,2,4,51,7.4095
1969,10,2,5,56,7.6540
1969,10,3,1,137,6.4238
1969,10,3,2,104,5.5845
1969,10,3,3,111,5.1136
1969,10,3,4,107,2.8477
1969,10,3,5,85,3.8215
1969,11,1,1,211,-8.5789
1969,11,1,2,154,-7.1741
1969,11,1,3,108,-6.0638
1969,11,1,4,94,-6.2918
1969,11,1,5,126,-6.5366
1969,11,2,1,99,-4.4256
1969,11,2,2,72,-4.7727
1969,11,2,3,60,-3.9658
1969,11,2,4,51,-4.2239
1969,11,2,5,56,-5.7121
1969,11,3,1,137,-1.4120
1969,11,3,2,104,-3.5059
1969,11,3,3,112,-4.1057
1969,11,3,4,107,-3.9067
1969,11,3,5,85,-2.8896
1969,12,1,1,211,-8.6917
1969,12,1,2,155,-7.4524
1969,12,1,3,108,-5.6122
1969,12,1,4,94,-8.9959
1969,12,1,5,126,-7.7323
1969,12,2,1,98,-3.7491
1969,12,2,2,72,-3.5189
1969,12,2,3,60,-6.0982
1969,12,2,4,51,-4.9073
1969,12,2,5,56,-4.2588
1969,12,3,1,137,0.9732
1969,12,3,2,104,-2.3525
1969,12,3,3,112,-1.5724
1969,12,3,4,107,-1.7727
1969,12,3,5,85,-4.7143
1970,1,1,1,211,-5.0010
1970,1,1,2,155,-4.3810
1970,1,1,3,108,-3.8156
1970,1,1,4,94,-2.6882
1970,1,1,5,126,-0.0406
1970,1,2,1,99,-6.8836
1970,1,2,2,72,-7.5830
1970,1,2,3,60,-3.8659
1970,1,2,4,51,-4.1964
1970,1,2,5,56,-2.1736
1970,1,3,1,137,-8.5108
1970,1,3,2,104,-6.9130
1970,1,3,3,112,-8.5758
1970,1,3,4,107,-8.6105
1970,1,3,5,85,-5.6507
1970,2,1,1,211,2.2830
1970,2,1,2,155,3.0387
1970,2,1,3,108,4.1852
1970,2,1,4,94,2.5841
1970,2,1,5,126,3.6560
1970,2,2,1,97,4.0490
1970,2,2,2,72,1.9478
1970,2,2,3,60,3.9408
1970,2,2,4,51,6.1348
1970,2,2,5,56,7.0337
1970,2,3,1,136,3.4428
1970,2,3,2,104,5.2729
1970,2,3,3,112,8.2593
1970,2,3,4,107,6.8393
1970,2,3,5,85,8.0009
1970,3,1,1,211,-6.2715
1970,3,1,2,155,-4.8411
1970,3,1,3,108,-3.5244
1970,3,1,4,94,0.9336
1970,3,1,5,126,-1.3216
1970,3,2,1,99,-6.0652
1970,3,2,2,72,-1.7591
1970,3,2,3,60,-0.0877
1970,3,2,4,51,0.3860
1970,3,2,5,56,1.8697
1970,3,3,1,137,-2.8752
1970,3,3,2,104,0.2814
1970,3,3,3,112,2.6358
1970,3,3,4,107,1.3873
1970,3,3,5,85,1.3433
1970,4,1,1,210,-23.6789
1970,4,1,2,155,-18.9642
1970,4,1,3,108,-14.7915
1970,4,1,4,94,-12.9611
1970,4,1,5,126,-11.7298
1970,4,2,1,100,-22.3571
1970,4,2,2,72,-14.0907
1970,4,2,3,60,-13.2337
1970,4,2,4,51,-9.9528
1970,4,2,5,56,-10.4467
1970,4,3,1,137,-11.2526
1970,4,3,2,104,-9.1290
1970,4,3,3,112,-9.5322
1970,4,3,4,107,-7.7692
1970,4,3,5,85,-7.5624
1970,5,1,1,209,-9.5501
1970,5,1,2,154,-10.3308
1970,5,1,3,107,-9.0972
1970,5,1,4,94,-8.0072
1970,5,1,5,126,-9.7313
1970,5,2,1,100,-12.0881
1970,5,2,2,72,-9.9299
1970,5,2,3,60,-11.5034
1970,5,2,4,51,-7.8974
1970,5,2,5,56,-7.8433
1970,5,3,1,137,-8.5070
1970,5,3,2,104,-6.3809
1970,5,3,3,112,-5.4338
1970,5,3,4,107,-2.2230
1970,5,3,5,85,-3.0645
1970,6,1,1,208,-12.6127
1970,6,1,2,154,-8.2740
1970,6,1,3,107,-6.5541
1970,6,1,4,94,-8.2058
1970,6,1,5,126,-5.9850
1970,6,2,1,99,-9.8745
1970,6,2,2,72,-4.9064
1970,6,2,3,60,-7.3157
1970,6,2,4,51,-5.9899
1970,6,2,5,56,-5.5843
1970,6,3,1,137,-6.0379
1970,6,3,2,104,-4.3377
1970,6,3,3,112,-3.9844
1970,6,3,4,107,-2.3378
1970,6,3,5,85,-7.3570
1970,7,1,1,147,4.3252
1970,7,1,2,150,4.9826
1970,7,1,3,145,5.3353
1970,7,1,4,158,5.6399
1970,7,1,5,200,3.9260
1970,7,2,1,102,8.6348
1970,7,2,2,81,6.9190
1970,7,2,3,65,5.9261
1970,7,2,4,55,7.4116
1970,7,2,5,66,8.3732
1970,7,3,1,158,4.5180
1970,7,3,2,116,8.4731
1970,7,3,3,111,8.6282
1970,7,3,4,111,10.5561
1970,7,3,5,69,7.5119
1970,8,1,1,147,5.5291
1970,8,1,2,148,5.9416
1970,8,1,3,145,6.9252
1970,8,1,4,158,6.8356
1970,8,1,5,200,6.3044
1970,8,2,1,102,6.7278
1970,8,2,2,81,7.5138
1970,8,2,3,65,6.6067
1970,8,2,4,55,7.5043
1970,8,2,5,66,6.9913
1970,8,3,1,158,4.1747
1970,8,3,2,116,6.2930
1970,8,3,3,111,4.4372
1970,8,3,4,111,4.9596
1970,8,3,5,68,6.5721
1970,9,1,1,146,21.6606
1970,9,1,2,147,16.2824
1970,9,1,3,145,15.5596
1970,9,1,4,157,11.8886
1970,9,1,5,200,11.1439
1970,9,2,1,102,15.3746
1970,9,2,2,81,13.9035
1970,9,2,3,65,8.9636
1970,9,2,4,55,5.8877
1970,9,2,5,66,9.2594
1970,9,3,1,158,7.6201
1970,9,3,2,115,1.2857
1970,9,3,3,111,1.6677
1970,9,3,4,111,0.7613
1970,9,3,5,68,3.5749
1970,10,1,1,146,-11.4164
1970,10,1,2,147,-6.3790
1970,10,1,3,145,-11.0670
1970,10,1,4,158,-7.0416
1970,10,1,5,200,-4.4735
1970,10,2,1,102,-4.9489
1970,10,2,2,81,-6.3900
1970,10,2,3,65,-5.6058
1970,10,2,4,55,-4.3176
1970,10,2,5,66,-2.7975
1970,10,3,1,158,-0.4566
1970,10,3,2,115,-1.1377
1970,10,3,3,111,-3.2154
1970,10,3,4,111,-0.1281
1970,10,3,5,68,-3.8740
1970,11,1,1,145,-4.2928
1970,11,1,2,147,-2.6459
1970,11,1,3,145,-1.8602
1970,11,1,4,158,-0.0560
1970,11,1,5,200,-0.0248
1970,11,2,1,102,1.7434
1970,11,2,2,81,1.9508
1970,11,2,3,65,3.4163
1970,11,2,4,55,4.9289
1970,11,2,5,66,3.5006
1970,11,3,1,158,4.8773
1970,11,3,2,115,6.3569
1970,11,3,3,111,5.4703
1970,11,3,4,111,6.0240
1970,11,3,5,68,4.8195
1970,12,1,1,145,7.3533
1970,12,1,2,147,7.3969
1970,12,1,3,145,11.4950
1970,12,1,4,157,12.3140
