year,month,rank_ME,rank_DTV_12,nstocks,ret_vw
1968,5,2,3,254,8.0692
1968,5,2,4,197,8.4429
1968,5,2,5,100,7.2690
1968,5,3,1,54,3.3486
1968,5,3,2,145,3.1811
1968,5,3,3,240,2.1713
1968,5,3,4,298,3.2267
1968,5,3,5,292,1.4134
1968,6,1,1,766,2.2102
1968,6,1,2,446,0.3836
1968,6,1,3,258,-2.4273
1968,6,1,4,96,-3.4896
1968,6,1,5,22,-8.0901
1968,6,2,1,209,2.8538
1968,6,2,2,294,1.4050
1968,6,2,3,261,-1.1029
1968,6,2,4,201,-1.4463
1968,6,2,5,98,-2.5980
1968,6,3,1,55,4.2916
1968,6,3,2,149,5.3476
1968,6,3,3,240,3.1181
1968,6,3,4,295,2.7975
1968,6,3,5,299,-0.0302
1968,7,1,1,741,-1.6951
1968,7,1,2,455,-4.0827
1968,7,1,3,262,-5.8608
1968,7,1,4,99,-7.7492
1968,7,1,5,23,-7.7744
1968,7,2,1,206,-0.4020
1968,7,2,2,286,-2.3536
1968,7,2,3,272,-5.0819
1968,7,2,4,201,-6.3571
1968,7,2,5,95,-7.2138
1968,7,3,1,57,-1.2273
1968,7,3,2,150,-1.9234
1968,7,3,3,237,-1.3768
1968,7,3,4,295,-2.3861
1968,7,3,5,296,-2.0877
1968,8,1,1,732,4.8506
1968,8,1,2,474,4.6155
1968,8,1,3,264,4.2561
1968,8,1,4,105,3.6945
1968,8,1,5,20,3.3783
1968,8,2,1,204,2.5537
1968,8,2,2,280,4.4579
1968,8,2,3,271,3.7078
1968,8,2,4,201,3.9436
1968,8,2,5,96,0.9181
1968,8,3,1,58,2.3082
1968,8,3,2,151,1.3310
1968,8,3,3,233,1.0467
1968,8,3,4,293,1.9360
1968,8,3,5,293,1.3438
1968,9,1,1,732,7.1649
1968,9,1,2,479,6.4451
1968,9,1,3,265,7.4954
1968,9,1,4,105,6.7166
1968,9,1,5,20,2.3799
1968,9,2,1,203,5.4564
1968,9,2,2,283,6.8624
1968,9,2,3,275,7.0463
1968,9,2,4,202,7.7802
1968,9,2,5,96,7.2608
1968,9,3,1,56,4.2975
1968,9,3,2,147,1.8347
1968,9,3,3,229,3.8906
1968,9,3,4,293,4.5242
1968,9,3,5,292,3.8803
1968,10,1,1,730,1.7794
1968,10,1,2,478,-0.7176
1968,10,1,3,274,-1.8852
1968,10,1,4,108,-3.9202
1968,10,1,5,18,-3.9045
1968,10,2,1,199,4.0619
1968,10,2,2,285,1.3013
1968,10,2,3,269,0.5041
1968,10,2,4,201,-1.6747
1968,10,2,5,91,-2.7980
1968,10,3,1,54,1.1700
1968,10,3,2,145,2.9005
1968,10,3,3,236,1.3711
1968,10,3,4,293,1.3953
1968,10,3,5,287,0.5406
1968,11,1,1,734,6.1431
1968,11,1,2,482,7.5598
1968,11,1,3,288,9.9862
1968,11,1,4,108,7.4204
1968,11,1,5,19,7.8193
1968,11,2,1,199,6.7921
1968,11,2,2,283,6.9978
1968,11,2,3,264,7.6481
1968,11,2,4,206,9.6086
1968,11,2,5,89,10.7151
1968,11,3,1,56,5.7826
1968,11,3,2,140,5.3372
1968,11,3,3,236,5.8147
1968,11,3,4,294,6.8982
1968,11,3,5,289,5.3096
1968,12,1,1,740,2.2703
1968,12,1,2,476,1.6608
1968,12,1,3,284,3.8535
1968,12,1,4,107,2.6840
1968,12,1,5,20,0.6162
1968,12,2,1,198,-0.6664
1968,12,2,2,287,-0.1253
1968,12,2,3,267,-1.3154
1968,12,2,4,202,-2.4298
1968,12,2,5,85,-1.8617
1968,12,3,1,57,-1.7638
1968,12,3,2,138,-3.2867
1968,12,3,3,235,-2.4669
1968,12,3,4,302,-2.3250
1968,12,3,5,288,-4.6110
1969,1,1,1,732,-0.2714
1969,1,1,2,479,-0.7861
1969,1,1,3,289,-1.5971
1969,1,1,4,107,-2.8114
1969,1,1,5,19,-0.6086
1969,1,2,1,190,0.0118
1969,1,2,2,276,-1.7768
1969,1,2,3,262,-0.8096
1969,1,2,4,199,-0.7427
1969,1,2,5,84,-2.6673
1969,1,3,1,55,0.0265
1969,1,3,2,143,0.1397
1969,1,3,3,232,0.1774
1969,1,3,4,302,-0.5925
1969,1,3,5,290,-1.0731
1969,2,1,1,735,-8.2399
1969,2,1,2,494,-11.0547
1969,2,1,3,296,-12.8310
1969,2,1,4,111,-13.8484
1969,2,1,5,17,-16.9352
1969,2,2,1,183,-5.3740
1969,2,2,2,274,-6.9903
1969,2,2,3,268,-9.1269
1969,2,2,4,197,-11.0843
1969,2,2,5,78,-13.7835
1969,2,3,1,56,-4.2769
1969,2,3,2,139,-4.2723
1969,2,3,3,235,-5.5979
1969,2,3,4,307,-5.6096
1969,2,3,5,290,-4.3180
1969,3,1,1,732,1.6448
1969,3,1,2,504,2.6172
1969,3,1,3,295,4.0369
1969,3,1,4,113,3.0898
1969,3,1,5,14,2.5950
1969,3,2,1,180,0.3530
1969,3,2,2,269,2.1530
1969,3,2,3,278,4.3331
1969,3,2,4,196,2.5549
1969,3,2,5,76,1.5758
1969,3,3,1,53,0.2036
1969,3,3,2,142,-0.4269
1969,3,3,3,235,0.7115
1969,3,3,4,313,2.6284
1969,3,3,5,288,4.1664
