year,month,rank_ME,rank_ISq_1,nstocks,ret_vw
1969,9,1,3,193,-4.0139
1969,9,1,4,158,-3.2885
1969,9,1,5,254,-3.7114
1969,9,2,1,81,0.6195
1969,9,2,2,84,0.4308
1969,9,2,3,91,-0.6413
1969,9,2,4,87,-1.5658
1969,9,2,5,121,-1.3316
1969,9,3,1,126,-3.5581
1969,9,3,2,128,-2.2793
1969,9,3,3,126,-2.8049
1969,9,3,4,119,-2.9681
1969,9,3,5,108,-1.4816
1969,10,1,1,179,12.7496
1969,10,1,2,172,11.4424
1969,10,1,3,148,10.5757
1969,10,1,4,210,11.8607
1969,10,1,5,247,8.9709
1969,10,2,1,102,7.0271
1969,10,2,2,84,9.7228
1969,10,2,3,94,7.6304
1969,10,2,4,95,8.9075
1969,10,2,5,98,6.7019
1969,10,3,1,120,3.8280
1969,10,3,2,134,5.0780
1969,10,3,3,126,5.1781
1969,10,3,4,128,5.9762
1969,10,3,5,105,6.9908
1969,11,1,1,130,-6.5477
1969,11,1,2,140,-4.3674
1969,11,1,3,177,-8.0629
1969,11,1,4,199,-7.2103
1969,11,1,5,314,-7.4088
1969,11,2,1,84,-4.5376
1969,11,2,2,99,-5.5803
1969,11,2,3,87,-4.5974
1969,11,2,4,101,-5.2672
1969,11,2,5,107,-3.3677
1969,11,3,1,140,-3.1231
1969,11,3,2,134,-2.1915
1969,11,3,3,127,-3.9144
1969,11,3,4,111,-2.8555
1969,11,3,5,106,-1.9677
1969,12,1,1,167,-8.4204
1969,12,1,2,182,-8.1402
1969,12,1,3,166,-8.2159
1969,12,1,4,184,-7.8852
1969,12,1,5,263,-9.2774
1969,12,2,1,89,-6.1804
1969,12,2,2,86,-2.9070
1969,12,2,3,90,-5.4788
1969,12,2,4,91,-5.7746
1969,12,2,5,121,-7.0082
1969,12,3,1,133,-0.7147
1969,12,3,2,124,-0.8545
1969,12,3,3,135,-2.6012
1969,12,3,4,137,-1.7945
1969,12,3,5,92,-2.1130
1970,1,1,1,169,-1.7736
1970,1,1,2,170,-3.6431
1970,1,1,3,182,-2.4841
1970,1,1,4,218,-2.2154
1970,1,1,5,232,-2.5608
1970,1,2,1,85,-8.3317
1970,1,2,2,102,-6.8998
1970,1,2,3,90,-6.2008
1970,1,2,4,94,-5.6374
1970,1,2,5,102,-5.2810
1970,1,3,1,131,-8.1605
1970,1,3,2,124,-8.4440
1970,1,3,3,111,-7.3608
1970,1,3,4,137,-6.9226
1970,1,3,5,114,-7.4862
1970,2,1,1,155,1.1047
1970,2,1,2,159,3.0795
1970,2,1,3,188,2.4581
1970,2,1,4,217,3.9055
1970,2,1,5,262,1.6622
1970,2,2,1,71,2.4045
1970,2,2,2,86,4.5251
1970,2,2,3,101,4.1464
1970,2,2,4,98,4.8414
1970,2,2,5,112,2.5420
1970,2,3,1,146,5.8204
1970,2,3,2,127,5.0196
1970,2,3,3,119,6.1818
1970,2,3,4,114,5.3946
1970,2,3,5,111,5.6445
1970,3,1,1,182,-2.5502
1970,3,1,2,203,-1.8326
1970,3,1,3,172,-2.8251
1970,3,1,4,200,-5.1519
1970,3,1,5,227,-5.6435
1970,3,2,1,102,-2.7377
1970,3,2,2,85,-3.3182
1970,3,2,3,97,-0.2833
1970,3,2,4,96,-1.7745
1970,3,2,5,92,-1.9253
1970,3,3,1,128,0.4920
1970,3,3,2,123,-0.0178
1970,3,3,3,132,-1.1248
1970,3,3,4,118,-1.1241
1970,3,3,5,120,0.5868
1970,4,1,1,208,-16.5390
1970,4,1,2,177,-18.3771
1970,4,1,3,178,-18.2098
1970,4,1,4,187,-19.1597
1970,4,1,5,243,-19.2539
1970,4,2,1,94,-17.3305
1970,4,2,2,83,-15.3940
1970,4,2,3,84,-15.2910
1970,4,2,4,102,-16.2971
1970,4,2,5,109,-15.9863
1970,4,3,1,132,-9.2553
1970,4,3,2,141,-10.4589
1970,4,3,3,117,-10.2219
1970,4,3,4,125,-9.2625
1970,4,3,5,104,-9.0482
1970,5,1,1,207,-9.2383
1970,5,1,2,187,-8.6828
1970,5,1,3,203,-9.1086
1970,5,1,4,198,-10.2263
1970,5,1,5,225,-10.3361
1970,5,2,1,97,-10.4765
1970,5,2,2,95,-10.1736
1970,5,2,3,80,-10.6013
1970,5,2,4,97,-10.0908
1970,5,2,5,93,-10.4752
1970,5,3,1,131,-7.2996
1970,5,3,2,123,-4.5514
1970,5,3,3,133,-5.6335
1970,5,3,4,121,-6.0120
1970,5,3,5,104,-6.3556
1970,6,1,1,218,-7.6916
1970,6,1,2,174,-9.6569
1970,6,1,3,225,-8.6276
1970,6,1,4,198,-9.4766
1970,6,1,5,202,-11.5792
1970,6,2,1,95,-8.5824
1970,6,2,2,95,-6.9701
1970,6,2,3,77,-6.5815
1970,6,2,4,106,-8.8141
1970,6,2,5,94,-6.8326
1970,6,3,1,115,-3.7105
1970,6,3,2,130,-3.5279
1970,6,3,3,128,-4.4565
1970,6,3,4,112,-8.2946
