year,month,rank_ME,rank_ADM,nstocks,ret_vw
1975,7,3,2,85,-7.7907
1975,7,3,3,73,-5.3498
1975,7,3,4,54,-7.8082
1975,7,3,5,25,-3.7052
1975,8,1,1,169,-6.6317
1975,8,1,2,187,-6.9590
1975,8,1,3,208,-7.5353
1975,8,1,4,202,-5.4683
1975,8,1,5,263,-6.1445
1975,8,2,1,78,-5.2448
1975,8,2,2,54,-5.7428
1975,8,2,3,50,-3.5086
1975,8,2,4,53,-5.2377
1975,8,2,5,48,-5.4601
1975,8,3,1,96,-2.2653
1975,8,3,2,85,-1.6241
1975,8,3,3,73,-2.6268
1975,8,3,4,54,-2.4422
1975,8,3,5,24,-1.3321
1975,9,1,1,171,-4.5250
1975,9,1,2,189,-1.9781
1975,9,1,3,209,-2.1500
1975,9,1,4,201,-2.6929
1975,9,1,5,263,-2.4209
1975,9,2,1,77,-3.0456
1975,9,2,2,54,-2.5801
1975,9,2,3,50,-2.9048
1975,9,2,4,53,-3.8910
1975,9,2,5,48,-4.4912
1975,9,3,1,96,-6.1770
1975,9,3,2,85,-3.7852
1975,9,3,3,73,-3.3609
1975,9,3,4,54,-2.0574
1975,9,3,5,24,-1.0151
1975,10,1,1,171,1.3338
1975,10,1,2,188,1.3557
1975,10,1,3,208,2.4237
1975,10,1,4,201,4.8974
1975,10,1,5,262,3.6186
1975,10,2,1,77,0.8322
1975,10,2,2,54,1.4012
1975,10,2,3,50,7.1999
1975,10,2,4,53,8.1482
1975,10,2,5,47,4.9090
1975,10,3,1,96,7.8934
1975,10,3,2,85,10.1117
1975,10,3,3,73,10.0091
1975,10,3,4,54,10.9156
1975,10,3,5,24,9.4434
1975,11,1,1,170,1.0585
1975,11,1,2,189,3.5745
1975,11,1,3,208,2.4112
1975,11,1,4,199,2.7595
1975,11,1,5,262,5.6970
1975,11,2,1,77,1.0727
1975,11,2,2,54,4.6085
1975,11,2,3,50,6.1578
1975,11,2,4,53,6.6139
1975,11,2,5,46,3.9435
1975,11,3,1,96,3.5813
1975,11,3,2,84,4.1913
1975,11,3,3,73,4.8410
1975,11,3,4,54,5.2750
1975,11,3,5,24,5.7347
1975,12,1,1,171,-1.9031
1975,12,1,2,189,-1.1342
1975,12,1,3,206,-0.8268
1975,12,1,4,197,-2.1985
1975,12,1,5,260,-1.3710
1975,12,2,1,76,-3.2880
1975,12,2,2,54,-4.5463
1975,12,2,3,50,-1.3934
1975,12,2,4,53,-0.5452
1975,12,2,5,46,-1.6683
1975,12,3,1,96,-3.1459
1975,12,3,2,85,-3.0532
1975,12,3,3,73,-1.4322
1975,12,3,4,54,-1.0662
1975,12,3,5,24,-1.1467
1976,1,1,1,170,20.2868
1976,1,1,2,188,21.3204
1976,1,1,3,206,22.7358
1976,1,1,4,198,27.1933
1976,1,1,5,258,22.7037
1976,1,2,1,75,16.8057
1976,1,2,2,53,19.5217
