year,month,rank_ME,rank_ETR,nstocks,ret_vw
1968,7,3,4,88,2.2844
1968,7,3,5,79,-3.6530
1968,8,1,1,77,5.2369
1968,8,1,2,32,5.1033
1968,8,1,3,28,5.2765
1968,8,1,4,41,1.7424
1968,8,1,5,80,5.1304
1968,8,2,1,46,5.2440
1968,8,2,2,30,2.4610
1968,8,2,3,41,4.7006
1968,8,2,4,47,2.5431
1968,8,2,5,46,4.8479
1968,8,3,1,82,1.5901
1968,8,3,2,113,0.0469
1968,8,3,3,106,1.9561
1968,8,3,4,87,2.2796
1968,8,3,5,79,1.6728
1968,9,1,1,77,7.3761
1968,9,1,2,32,5.4243
1968,9,1,3,28,4.5776
1968,9,1,4,41,4.9906
1968,9,1,5,80,7.7882
1968,9,2,1,46,5.8095
1968,9,2,2,30,6.1172
1968,9,2,3,41,6.6438
1968,9,2,4,47,5.5893
1968,9,2,5,46,6.5164
1968,9,3,1,82,5.6882
1968,9,3,2,113,2.0277
1968,9,3,3,106,3.3908
1968,9,3,4,87,4.0603
1968,9,3,5,79,7.7445
1968,10,1,1,77,0.0452
1968,10,1,2,32,3.2492
1968,10,1,3,28,2.7307
1968,10,1,4,41,0.7621
1968,10,1,5,80,2.2407
1968,10,2,1,46,2.3644
1968,10,2,2,30,2.8818
1968,10,2,3,40,2.9052
1968,10,2,4,47,2.7673
1968,10,2,5,46,-1.0971
1968,10,3,1,81,0.2939
1968,10,3,2,113,-1.7361
1968,10,3,3,106,0.1971
1968,10,3,4,87,2.9586
1968,10,3,5,79,3.1072
1968,11,1,1,75,5.3268
1968,11,1,2,32,6.5869
1968,11,1,3,28,5.0440
1968,11,1,4,41,5.4575
1968,11,1,5,80,6.2550
1968,11,2,1,46,8.4958
1968,11,2,2,30,6.2180
1968,11,2,3,41,6.7210
1968,11,2,4,47,8.3499
1968,11,2,5,46,7.5271
1968,11,3,1,81,7.7248
1968,11,3,2,113,7.1515
1968,11,3,3,106,5.7891
1968,11,3,4,87,2.8391
1968,11,3,5,79,4.5727
1968,12,1,1,77,-0.6475
1968,12,1,2,32,0.5671
1968,12,1,3,28,2.4300
1968,12,1,4,41,-0.1345
1968,12,1,5,80,0.2770
1968,12,2,1,46,-1.8944
1968,12,2,2,30,-0.8045
1968,12,2,3,41,-0.6289
1968,12,2,4,47,-0.5042
1968,12,2,5,46,-0.4325
1968,12,3,1,81,-2.1920
1968,12,3,2,113,-4.2010
1968,12,3,3,106,-5.3661
1968,12,3,4,87,-3.8163
1968,12,3,5,79,-2.6620
1969,1,1,1,77,-1.8854
1969,1,1,2,32,-0.4836
1969,1,1,3,28,1.2908
1969,1,1,4,41,-2.0292
1969,1,1,5,80,-1.7054
1969,1,2,1,46,-0.2272
1969,1,2,2,30,-0.7638
1969,1,2,3,41,-2.0191
1969,1,2,4,47,-0.1902
1969,1,2,5,46,-2.5745
1969,1,3,1,81,-0.7212
1969,1,3,2,113,-2.4523
1969,1,3,3,105,0.3745
1969,1,3,4,87,-0.5733
1969,1,3,5,79,-0.6066
1969,2,1,1,77,-10.0701
1969,2,1,2,32,-8.2355
1969,2,1,3,28,-6.8961
1969,2,1,4,41,-5.2510
1969,2,1,5,80,-8.3933
1969,2,2,1,46,-6.6279
1969,2,2,2,30,-6.6786
1969,2,2,3,41,-6.0219
1969,2,2,4,47,-8.4294
1969,2,2,5,46,-7.9455
1969,2,3,1,81,-7.3763
1969,2,3,2,113,-3.2095
1969,2,3,3,105,-4.0129
1969,2,3,4,87,-3.7354
1969,2,3,5,79,-6.4695
1969,3,1,1,77,1.8184
1969,3,1,2,32,1.9945
1969,3,1,3,28,1.4694
1969,3,1,4,41,0.5469
1969,3,1,5,79,0.7922
1969,3,2,1,46,2.5891
1969,3,2,2,30,1.7939
1969,3,2,3,41,3.6293
1969,3,2,4,47,2.0531
1969,3,2,5,46,3.4057
1969,3,3,1,81,2.0404
1969,3,3,2,113,3.8985
1969,3,3,3,105,1.5074
1969,3,3,4,87,5.1354
1969,3,3,5,79,3.6886
1969,4,1,1,77,-0.9307
1969,4,1,2,32,0.1822
1969,4,1,3,28,6.1225
1969,4,1,4,41,-1.7253
1969,4,1,5,79,-3.5444
1969,4,2,1,46,2.9002
1969,4,2,2,30,0.3978
1969,4,2,3,41,3.4888
1969,4,2,4,47,1.2057
1969,4,2,5,45,-0.2485
1969,4,3,1,81,1.2483
1969,4,3,2,113,3.0257
1969,4,3,3,105,4.8754
1969,4,3,4,87,-0.3427
1969,4,3,5,79,0.7451
1969,5,1,1,77,-1.1766
1969,5,1,2,32,0.3588
1969,5,1,3,28,0.0075
1969,5,1,4,41,-1.3280
1969,5,1,5,80,2.0466
1969,5,2,1,46,-0.5577
1969,5,2,2,30,0.8653
1969,5,2,3,41,3.8408
1969,5,2,4,47,-0.0383
1969,5,2,5,45,-1.0743
1969,5,3,1,81,0.2958
1969,5,3,2,113,0.1117
1969,5,3,3,105,-0.3344
1969,5,3,4,86,1.4143
1969,5,3,5,79,1.0060
1969,6,1,1,77,-12.8240
1969,6,1,2,32,-10.9993
1969,6,1,3,28,-9.2717
1969,6,1,4,41,-13.4671
1969,6,1,5,80,-12.9572
1969,6,2,1,46,-10.0299
1969,6,2,2,30,-9.0533
1969,6,2,3,41,-6.8596
1969,6,2,4,47,-9.8653
1969,6,2,5,46,-10.6835
1969,6,3,1,80,-8.0698
1969,6,3,2,113,-2.3267
1969,6,3,3,105,-3.9546
1969,6,3,4,87,-7.9707
1969,6,3,5,78,-8.8674
1969,7,1,1,87,-12.3186
1969,7,1,2,43,-10.9468
1969,7,1,3,28,-10.0157
1969,7,1,4,47,-9.3816
1969,7,1,5,109,-10.6944
1969,7,2,1,52,-7.4625
1969,7,2,2,36,-8.4058
1969,7,2,3,39,-7.1170
1969,7,2,4,45,-7.0715
1969,7,2,5,60,-9.4218
1969,7,3,1,80,-6.6151
1969,7,3,2,116,-5.0044
1969,7,3,3,113,-4.2716
1969,7,3,4,105,-6.3138
1969,7,3,5,72,-9.6707
1969,8,1,1,87,2.8547
1969,8,1,2,43,4.1105
1969,8,1,3,28,3.4559
1969,8,1,4,47,4.8434
1969,8,1,5,109,3.9546
1969,8,2,1,52,5.7567
1969,8,2,2,36,3.9462
1969,8,2,3,39,5.5002
1969,8,2,4,45,5.0229
1969,8,2,5,60,7.8981
1969,8,3,1,80,3.3387
1969,8,3,2,116,3.3086
1969,8,3,3,113,5.3337
1969,8,3,4,105,4.7337
1969,8,3,5,72,6.9336
1969,9,1,1,87,-5.1554
