year,month,rank_ME,rank_EPRD,nstocks,ret_vw
1968,7,2,1,10,-4.8910
1968,7,2,2,6,-6.0425
1968,7,2,3,19,-1.2323
1968,7,2,4,20,-0.8280
1968,7,2,5,18,-5.3714
1968,7,3,1,64,-1.2698
1968,7,3,2,62,-1.6593
1968,7,3,3,47,-0.8485
1968,7,3,4,42,-2.0436
1968,7,3,5,39,-2.5331
1968,8,1,1,1,0.8397
1968,8,1,2,8,-2.4291
1968,8,1,3,9,2.2453
1968,8,1,4,13,-0.4590
1968,8,1,5,17,1.8438
1968,8,2,1,10,3.4472
1968,8,2,2,6,2.0205
1968,8,2,3,19,4.1732
1968,8,2,4,20,9.0395
1968,8,2,5,18,3.8575
1968,8,3,1,64,1.2452
1968,8,3,2,62,1.9806
1968,8,3,3,47,2.9399
1968,8,3,4,42,1.7995
1968,8,3,5,39,0.9559
1968,9,1,1,1,2.6820
1968,9,1,2,8,5.4254
1968,9,1,3,9,3.7455
1968,9,1,4,13,13.8067
1968,9,1,5,17,10.9826
1968,9,2,1,10,8.3239
1968,9,2,2,6,4.0997
1968,9,2,3,19,7.9465
1968,9,2,4,20,5.4369
1968,9,2,5,18,6.0060
1968,9,3,1,64,1.3587
1968,9,3,2,62,5.7070
1968,9,3,3,47,3.6966
1968,9,3,4,42,5.3701
1968,9,3,5,39,7.2273
1968,10,1,1,1,11.5672
1968,10,1,2,8,2.8662
1968,10,1,3,9,1.1737
1968,10,1,4,13,2.7377
1968,10,1,5,17,1.7397
1968,10,2,1,10,2.7071
1968,10,2,2,6,3.7231
1968,10,2,3,19,3.8184
1968,10,2,4,20,-0.4127
1968,10,2,5,18,0.5042
1968,10,3,1,64,-1.0155
1968,10,3,2,62,1.0117
1968,10,3,3,47,1.4045
1968,10,3,4,42,1.3547
1968,10,3,5,39,3.5834
1968,11,1,1,1,4.3478
1968,11,1,2,8,12.7710
1968,11,1,3,9,6.8038
1968,11,1,4,12,-0.6588
1968,11,1,5,17,9.1322
1968,11,2,1,10,7.5552
1968,11,2,2,6,5.4095
1968,11,2,3,19,9.2699
1968,11,2,4,20,8.7938
1968,11,2,5,18,7.4292
1968,11,3,1,64,6.6997
1968,11,3,2,62,3.8716
1968,11,3,3,47,4.9715
1968,11,3,4,42,6.4478
1968,11,3,5,39,0.3681
1968,12,1,1,1,-5.7742
1968,12,1,2,8,-6.3758
1968,12,1,3,9,-1.4849
1968,12,1,4,13,-4.7714
1968,12,1,5,16,-0.2796
1968,12,2,1,10,0.6255
1968,12,2,2,6,-1.9608
1968,12,2,3,19,0.8567
1968,12,2,4,20,-0.8498
1968,12,2,5,18,-4.4231
1968,12,3,1,64,-4.4168
1968,12,3,2,62,-5.1933
1968,12,3,3,47,-0.3741
1968,12,3,4,42,-5.6927
1968,12,3,5,39,-2.6264
1969,1,1,1,1,12.0275
1969,1,1,2,8,-1.5814
1969,1,1,3,9,0.8746
1969,1,1,4,13,5.4458
1969,1,1,5,16,-3.8867
1969,1,2,1,10,-0.2154
1969,1,2,2,6,-0.4726
1969,1,2,3,19,-3.3464
1969,1,2,4,20,-2.8607
1969,1,2,5,18,-0.3996
1969,1,3,1,64,-2.5477
1969,1,3,2,62,-1.1544
1969,1,3,3,47,-1.4363
1969,1,3,4,42,1.2887
1969,1,3,5,39,0.3272
1969,2,1,1,1,-2.4540
1969,2,1,2,8,-13.3725
1969,2,1,3,9,-8.0262
1969,2,1,4,13,-10.4841
1969,2,1,5,16,-10.6338
1969,2,2,1,10,-6.2312
1969,2,2,2,6,-2.6353
1969,2,2,3,19,-7.9573
1969,2,2,4,20,-7.0596
1969,2,2,5,18,-10.5637
1969,2,3,1,64,-3.0141
1969,2,3,2,62,-3.8918
1969,2,3,3,47,-4.9874
1969,2,3,4,42,-5.4879
1969,2,3,5,39,-3.7813
1969,3,1,1,1,1.8907
1969,3,1,2,8,-1.3965
1969,3,1,3,9,5.2060
1969,3,1,4,13,1.5910
1969,3,1,5,16,0.9990
1969,3,2,1,10,2.1134
1969,3,2,2,6,0.8437
1969,3,2,3,19,1.8325
1969,3,2,4,20,5.1349
1969,3,2,5,18,2.5691
1969,3,3,1,64,5.3436
1969,3,3,2,62,4.8402
1969,3,3,3,47,1.8035
1969,3,3,4,42,1.1212
1969,3,3,5,39,3.5999
1969,4,1,1,1,-5.0000
1969,4,1,2,8,1.1233
1969,4,1,3,9,-1.2801
1969,4,1,4,13,-6.1363
1969,4,1,5,16,-1.8623
1969,4,2,1,10,0.3370
1969,4,2,2,6,-2.9412
1969,4,2,3,19,2.2121
1969,4,2,4,20,3.3967
1969,4,2,5,18,0.3148
1969,4,3,1,64,2.6875
1969,4,3,2,62,1.7117
1969,4,3,3,47,2.2395
1969,4,3,4,42,5.2300
1969,4,3,5,39,0.2639
1969,5,1,1,1,-5.2632
1969,5,1,2,8,-6.5520
1969,5,1,3,9,0.9080
1969,5,1,4,13,4.0866
1969,5,1,5,15,-2.3376
1969,5,2,1,10,-1.8229
1969,5,2,2,6,6.1445
1969,5,2,3,18,0.9141
1969,5,2,4,20,-0.6340
1969,5,2,5,18,-3.2639
1969,5,3,1,64,1.4493
1969,5,3,2,62,0.5438
1969,5,3,3,47,-1.7415
1969,5,3,4,42,0.1534
1969,5,3,5,39,0.7176
1969,6,1,1,1,1.2721
1969,6,1,2,8,-9.1602
1969,6,1,3,9,-12.8409
1969,6,1,4,13,-10.3123
1969,6,1,5,15,-15.9998
1969,6,2,1,10,-9.9353
1969,6,2,2,6,-7.0688
