year,month,rank_ME,rank_DLS_1,nstocks,ret_vw
1983,6,3,4,148,2.9981
1983,6,3,5,105,5.2787
1983,7,1,1,121,-1.7340
1983,7,1,2,67,-3.1788
1983,7,1,3,39,-1.1221
1983,7,1,4,55,-1.2572
1983,7,1,5,109,-2.2912
1983,7,2,1,104,-4.2214
1983,7,2,2,115,-3.0205
1983,7,2,3,103,-2.5861
1983,7,2,4,96,-1.5190
1983,7,2,5,96,-2.5784
1983,7,3,1,98,-2.5374
1983,7,3,2,135,-3.2158
1983,7,3,3,167,-3.3738
1983,7,3,4,134,-2.7583
1983,7,3,5,107,-5.0641
1983,8,1,1,117,-5.1366
1983,8,1,2,69,-3.0394
1983,8,1,3,38,-3.1997
1983,8,1,4,52,-2.6227
1983,8,1,5,115,-3.7200
1983,8,2,1,112,-4.7626
1983,8,2,2,115,-4.2998
1983,8,2,3,96,-3.0482
1983,8,2,4,106,-1.8805
1983,8,2,5,93,-2.3282
1983,8,3,1,104,-0.8726
1983,8,3,2,139,-0.5972
1983,8,3,3,160,0.1194
1983,8,3,4,138,2.8055
1983,8,3,5,104,3.7708
1983,9,1,1,132,0.9197
1983,9,1,2,77,4.8086
1983,9,1,3,49,2.1209
1983,9,1,4,57,0.8609
1983,9,1,5,114,-0.9222
1983,9,2,1,103,2.7580
1983,9,2,2,120,4.5463
1983,9,2,3,107,3.9925
1983,9,2,4,101,2.1265
1983,9,2,5,96,1.2840
1983,9,3,1,105,2.8294
1983,9,3,2,134,1.1453
1983,9,3,3,156,3.0316
1983,9,3,4,144,1.6525
1983,9,3,5,99,-1.1152
1983,10,1,1,130,-7.3968
1983,10,1,2,74,-6.0240
1983,10,1,3,39,-4.0360
1983,10,1,4,64,-5.9056
1983,10,1,5,113,-7.4908
1983,10,2,1,120,-9.4309
1983,10,2,2,122,-6.3862
1983,10,2,3,109,-6.1716
1983,10,2,4,101,-3.6584
1983,10,2,5,100,-7.9515
1983,10,3,1,99,-0.3411
1983,10,3,2,131,-2.5549
1983,10,3,3,166,-0.4252
1983,10,3,4,140,-1.3291
1983,10,3,5,100,-6.5353
1983,11,1,1,129,4.4000
1983,11,1,2,85,4.8111
1983,11,1,3,43,6.0694
1983,11,1,4,57,6.5982
1983,11,1,5,132,4.4797
1983,11,2,1,116,7.2115
1983,11,2,2,124,6.6424
1983,11,2,3,106,5.2563
1983,11,2,4,104,4.5914
1983,11,2,5,98,5.6838
1983,11,3,1,102,3.8698
1983,11,3,2,130,3.5189
1983,11,3,3,162,0.7972
1983,11,3,4,141,2.2587
1983,11,3,5,99,3.8464
1983,12,1,1,130,-2.2237
1983,12,1,2,92,-1.9894
1983,12,1,3,47,-3.8440
1983,12,1,4,58,-2.9073
1983,12,1,5,131,-2.1181
1983,12,2,1,103,-1.8551
1983,12,2,2,128,-2.7042
1983,12,2,3,102,-2.2985
1983,12,2,4,110,-1.7741
1983,12,2,5,102,-0.0101
1983,12,3,1,113,-1.2215
1983,12,3,2,125,-3.3879
1983,12,3,3,158,-0.2365
1983,12,3,4,144,-1.6595
1983,12,3,5,99,1.3639
1984,1,1,1,131,-3.6050
1984,1,1,2,99,-0.7759
1984,1,1,3,54,-1.0577
1984,1,1,4,68,-1.1610
1984,1,1,5,141,-1.1374
1984,1,2,1,116,-4.9176
1984,1,2,2,117,-3.7942
1984,1,2,3,105,-4.3451
1984,1,2,4,104,-2.6394
1984,1,2,5,100,-0.3219
1984,1,3,1,109,-3.8229
1984,1,3,2,125,-3.6708
1984,1,3,3,153,-1.5564
1984,1,3,4,148,0.1260
1984,1,3,5,107,0.6558
1984,2,1,1,147,-7.5444
1984,2,1,2,89,-8.0505
1984,2,1,3,66,-6.9444
1984,2,1,4,65,-8.0644
1984,2,1,5,135,-6.7401
1984,2,2,1,118,-7.1135
1984,2,2,2,123,-5.2034
1984,2,2,3,107,-3.6784
1984,2,2,4,102,-5.6279
1984,2,2,5,98,-4.4626
1984,2,3,1,106,-6.6981
1984,2,3,2,135,-4.7413
1984,2,3,3,145,-3.0598
1984,2,3,4,148,-2.7256
1984,2,3,5,109,-3.5629
1984,3,1,1,144,0.7202
1984,3,1,2,88,0.1627
1984,3,1,3,74,-0.7698
1984,3,1,4,61,-0.3293
1984,3,1,5,156,0.4526
1984,3,2,1,114,-0.2240
1984,3,2,2,118,0.7336
1984,3,2,3,113,1.1125
1984,3,2,4,100,0.7214
1984,3,2,5,111,-0.5035
1984,3,3,1,104,5.2148
1984,3,3,2,125,1.8092
1984,3,3,3,144,0.6259
1984,3,3,4,157,0.9023
1984,3,3,5,112,1.2062
1984,4,1,1,144,-2.4244
1984,4,1,2,127,0.3065
1984,4,1,3,76,-1.3171
1984,4,1,4,68,-0.2254
1984,4,1,5,141,-0.7918
1984,4,2,1,117,-1.8206
1984,4,2,2,106,0.7469
1984,4,2,3,118,2.1578
1984,4,2,4,95,1.2086
1984,4,2,5,108,-1.6464
1984,4,3,1,97,-1.8755
1984,4,3,2,128,0.2278
1984,4,3,3,141,0.8062
1984,4,3,4,155,2.0303
1984,4,3,5,124,0.3929
1984,5,1,1,157,-7.6762
1984,5,1,2,120,-5.1219
1984,5,1,3,92,-3.7317
1984,5,1,4,60,-2.0663
1984,5,1,5,144,-6.1468
1984,5,2,1,113,-6.0479
1984,5,2,2,107,-5.6202
1984,5,2,3,113,-4.6350
1984,5,2,4,110,-3.5181
1984,5,2,5,102,-3.0694
1984,5,3,1,100,-10.5408
1984,5,3,2,123,-6.1081
1984,5,3,3,140,-6.2271
1984,5,3,4,156,-3.4331
1984,5,3,5,129,-2.5940
1984,6,1,1,154,-0.0871
1984,6,1,2,113,3.5859
1984,6,1,3,111,2.7358
1984,6,1,4,56,3.5862
1984,6,1,5,144,0.2350
1984,6,2,1,114,2.1107
1984,6,2,2,113,2.7250
1984,6,2,3,107,4.4799
1984,6,2,4,102,4.8287
1984,6,2,5,104,2.3222
1984,6,3,1,96,-0.5120
1984,6,3,2,127,2.5593
1984,6,3,3,137,4.2147
1984,6,3,4,161,2.2752
1984,6,3,5,125,3.3425
1984,7,1,1,154,-7.6485
1984,7,1,2,117,-6.6139
1984,7,1,3,108,-3.7806
1984,7,1,4,59,-5.2096
1984,7,1,5,140,-6.5050
1984,7,2,1,116,-7.2531
1984,7,2,2,109,-5.7444
1984,7,2,3,109,-2.9224
1984,7,2,4,101,-2.4663
1984,7,2,5,103,-6.5926
1984,7,3,1,97,-3.4012
1984,7,3,2,123,-1.0911
1984,7,3,3,149,-1.6352
1984,7,3,4,160,-0.8377
1984,7,3,5,119,-0.4498
1984,8,1,1,148,11.8933
1984,8,1,2,118,14.4613
1984,8,1,3,108,13.8857
1984,8,1,4,58,15.9945
1984,8,1,5,147,11.2842
1984,8,2,1,119,16.9131
1984,8,2,2,111,13.4062
1984,8,2,3,117,12.4434
1984,8,2,4,93,10.9039
1984,8,2,5,105,12.1354
1984,8,3,1,91,12.5997
1984,8,3,2,129,12.8603
1984,8,3,3,147,11.2717
1984,8,3,4,161,9.4327
1984,8,3,5,111,10.6204
1984,9,1,1,147,-0.8997
1984,9,1,2,126,-2.7596
1984,9,1,3,90,-0.5878
1984,9,1,4,71,-1.7060
1984,9,1,5,140,-2.9963
