year,month,rank_ME,rank_RER,nstocks,ret_vw
1972,1,1,2,113,14.5037
1972,1,1,3,78,12.0275
1972,1,1,4,104,12.9680
1972,1,1,5,127,12.6460
1972,1,2,1,43,5.4310
1972,1,2,2,43,8.9515
1972,1,2,3,45,8.6104
1972,1,2,4,52,7.1938
1972,1,2,5,35,5.6313
1972,1,3,1,73,4.0030
1972,1,3,2,60,0.6775
1972,1,3,3,58,3.3370
1972,1,3,4,54,3.8293
1972,1,3,5,61,1.6732
1972,2,1,1,122,4.6176
1972,2,1,2,112,3.7597
1972,2,1,3,78,5.1234
1972,2,1,4,104,3.0310
1972,2,1,5,127,3.8972
1972,2,2,1,43,3.8935
1972,2,2,2,43,1.8440
1972,2,2,3,45,3.3399
1972,2,2,4,52,3.2085
1972,2,2,5,35,3.3049
1972,2,3,1,73,2.8377
1972,2,3,2,60,5.6831
1972,2,3,3,58,5.4360
1972,2,3,4,54,4.8554
1972,2,3,5,61,7.3247
1972,3,1,1,122,-0.8998
1972,3,1,2,112,-0.5968
1972,3,1,3,78,-2.2633
1972,3,1,4,104,0.6128
1972,3,1,5,127,0.2363
1972,3,2,1,43,0.2690
1972,3,2,2,43,-0.6928
1972,3,2,3,45,0.9862
1972,3,2,4,52,0.6421
1972,3,2,5,35,2.9092
1972,3,3,1,73,3.2759
1972,3,3,2,60,0.6356
1972,3,3,3,58,0.7165
1972,3,3,4,54,1.8634
1972,3,3,5,61,1.9432
1972,4,1,1,122,-0.6956
1972,4,1,2,112,1.7296
1972,4,1,3,78,1.2562
1972,4,1,4,103,2.0619
1972,4,1,5,127,-2.3350
1972,4,2,1,43,2.0106
1972,4,2,2,43,3.1521
1972,4,2,3,45,-1.0166
1972,4,2,4,52,1.4752
1972,4,2,5,35,0.6925
1972,4,3,1,73,0.4274
1972,4,3,2,60,2.3873
1972,4,3,3,58,1.3954
1972,4,3,4,54,-0.3168
1972,4,3,5,61,-0.1765
1972,5,1,1,122,-2.6286
1972,5,1,2,111,-4.2397
1972,5,1,3,78,-2.2461
1972,5,1,4,103,-2.4073
1972,5,1,5,127,-0.5058
1972,5,2,1,43,-1.5489
1972,5,2,2,43,-3.1623
1972,5,2,3,45,-3.6654
1972,5,2,4,52,-2.1664
1972,5,2,5,35,-0.4396
1972,5,3,1,73,2.0068
1972,5,3,2,60,1.9995
1972,5,3,3,58,3.1376
1972,5,3,4,54,4.9613
1972,5,3,5,61,2.7953
1972,6,1,1,122,-5.1153
1972,6,1,2,111,-4.2235
1972,6,1,3,78,-5.9061
1972,6,1,4,103,-2.0102
1972,6,1,5,127,-3.3280
1972,6,2,1,43,-3.0872
1972,6,2,2,43,-5.2470
1972,6,2,3,45,-2.4747
1972,6,2,4,52,-4.2776
1972,6,2,5,35,-4.2998
1972,6,3,1,73,-0.8881
1972,6,3,2,60,-1.8155
1972,6,3,3,58,-0.7894
1972,6,3,4,53,-0.8403
1972,6,3,5,61,-1.8971
1972,7,1,1,142,-4.5329
1972,7,1,2,105,-3.8406
1972,7,1,3,92,-3.1851
1972,7,1,4,108,-4.8681
1972,7,1,5,138,-4.1818
1972,7,2,1,56,-5.4998
1972,7,2,2,39,-3.9272
1972,7,2,3,45,-2.0868
1972,7,2,4,60,-3.8442
1972,7,2,5,48,-2.3281
1972,7,3,1,65,0.8831
1972,7,3,2,67,0.6353
1972,7,3,3,66,-0.5669
1972,7,3,4,58,2.7078
1972,7,3,5,73,-0.4294
1972,8,1,1,142,-0.5973
1972,8,1,2,105,3.4897
1972,8,1,3,91,-1.0957
1972,8,1,4,107,-0.4189
1972,8,1,5,138,-0.3705
1972,8,2,1,56,-0.0324
1972,8,2,2,39,2.1052
1972,8,2,3,45,5.0421
1972,8,2,4,60,0.6366
1972,8,2,5,48,0.7428
1972,8,3,1,65,3.3849
1972,8,3,2,67,-1.3433
1972,8,3,3,66,1.9079
1972,8,3,4,58,0.4622
1972,8,3,5,73,1.0596
1972,9,1,1,142,-3.7400
1972,9,1,2,105,-4.3778
1972,9,1,3,91,-5.7714
1972,9,1,4,108,-4.9972
1972,9,1,5,138,-5.6799
1972,9,2,1,56,-3.5294
1972,9,2,2,39,-5.2433
1972,9,2,3,45,-2.0464
1972,9,2,4,60,-1.6498
1972,9,2,5,48,-3.2472
1972,9,3,1,65,-1.1063
1972,9,3,2,67,0.5608
1972,9,3,3,66,-0.8585
1972,9,3,4,58,-0.3287
1972,9,3,5,73,-1.3725
1972,10,1,1,140,-3.0046
1972,10,1,2,105,-3.1518
1972,10,1,3,91,-4.0346
1972,10,1,4,108,-2.1622
1972,10,1,5,138,-2.7119
1972,10,2,1,56,-4.8749
1972,10,2,2,39,-0.2166
1972,10,2,3,45,-0.2642
1972,10,2,4,60,-3.0565
1972,10,2,5,48,-0.6708
1972,10,3,1,65,-2.0328
1972,10,3,2,67,1.3077
1972,10,3,3,66,-0.1508
1972,10,3,4,58,1.8800
1972,10,3,5,73,0.2146
1972,11,1,1,141,6.1888
1972,11,1,2,105,4.4364
