year,month,rank_ME,rank_ETL,nstocks,ret_vw
1970,3,1,1,5,2.7695
1970,3,1,2,10,4.2138
1970,3,1,3,14,0.1808
1970,3,1,4,7,-5.1733
1970,3,1,5,12,-0.0105
1970,3,2,1,23,1.9146
1970,3,2,2,18,3.0211
1970,3,2,3,14,4.9411
1970,3,2,4,15,-1.7367
1970,3,2,5,20,-2.3519
1970,3,3,1,63,1.9035
1970,3,3,2,62,-0.7734
1970,3,3,3,62,-0.6301
1970,3,3,4,68,2.4677
1970,3,3,5,58,-0.0934
1970,4,1,1,5,-9.0358
1970,4,1,2,10,-18.5872
1970,4,1,3,14,-8.2475
1970,4,1,4,7,-11.2193
1970,4,1,5,11,-12.0952
1970,4,2,1,23,-7.6740
1970,4,2,2,18,-9.5079
1970,4,2,3,14,-13.7464
1970,4,2,4,15,-11.2764
1970,4,2,5,20,-11.7536
1970,4,3,1,63,-8.2321
1970,4,3,2,62,-10.4626
1970,4,3,3,62,-7.5404
1970,4,3,4,68,-9.2773
1970,4,3,5,58,-8.3872
1970,5,1,1,5,-10.5491
1970,5,1,2,10,-10.5245
1970,5,1,3,14,-10.1011
1970,5,1,4,7,-12.4298
1970,5,1,5,11,-4.9703
1970,5,2,1,23,-6.7075
1970,5,2,2,18,-4.2814
1970,5,2,3,14,-5.1320
1970,5,2,4,15,-11.2330
1970,5,2,5,20,-11.5463
1970,5,3,1,63,-4.2355
1970,5,3,2,62,-6.6201
1970,5,3,3,62,-4.8093
1970,5,3,4,68,-6.0485
1970,5,3,5,58,-3.8322
1970,6,1,1,5,-10.0614
1970,6,1,2,10,-11.5783
1970,6,1,3,14,-3.7268
1970,6,1,4,7,-6.0344
1970,6,1,5,10,-9.0544
1970,6,2,1,23,-5.2686
1970,6,2,2,18,-6.4903
1970,6,2,3,14,-3.3852
1970,6,2,4,14,-5.7568
1970,6,2,5,20,-4.8897
1970,6,3,1,63,-5.1367
1970,6,3,2,62,-7.0863
1970,6,3,3,62,-2.7697
1970,6,3,4,68,-3.4528
1970,6,3,5,58,-3.4294
1970,7,1,1,4,19.4485
1970,7,1,2,9,9.3097
1970,7,1,3,8,5.3164
1970,7,1,4,13,-0.6426
1970,7,1,5,12,5.0869
1970,7,2,1,16,4.0570
1970,7,2,2,16,8.9292
1970,7,2,3,18,5.9767
1970,7,2,4,17,8.1687
1970,7,2,5,15,9.7099
1970,7,3,1,70,9.6019
1970,7,3,2,64,6.6538
1970,7,3,3,64,9.9836
1970,7,3,4,60,8.3670
1970,7,3,5,62,3.9871
1970,8,1,1,4,6.5972
1970,8,1,2,9,8.4820
1970,8,1,3,8,10.1787
1970,8,1,4,13,12.9466
1970,8,1,5,12,9.7577
1970,8,2,1,16,8.3087
1970,8,2,2,16,3.2799
1970,8,2,3,18,7.8629
1970,8,2,4,17,3.3611
1970,8,2,5,15,12.1251
1970,8,3,1,70,3.1523
1970,8,3,2,64,4.7332
1970,8,3,3,64,4.8948
1970,8,3,4,60,6.0593
1970,8,3,5,62,4.5597
1970,9,1,1,4,13.5167
1970,9,1,2,9,11.4598
1970,9,1,3,8,10.2934
1970,9,1,4,13,6.2070
1970,9,1,5,12,11.2583
1970,9,2,1,16,5.2779
1970,9,2,2,16,8.4166
1970,9,2,3,17,7.6337
1970,9,2,4,17,12.3066
1970,9,2,5,15,8.6529
1970,9,3,1,70,0.0545
1970,9,3,2,64,5.2206
1970,9,3,3,64,0.8695
1970,9,3,4,60,2.6531
1970,9,3,5,62,4.5891
1970,10,1,1,4,-0.1424
1970,10,1,2,9,-4.7116
1970,10,1,3,8,-9.2921
1970,10,1,4,13,-6.6740
1970,10,1,5,12,-5.3205
1970,10,2,1,16,-5.0013
1970,10,2,2,16,-5.8041
1970,10,2,3,17,-4.0184
1970,10,2,4,17,-4.4695
1970,10,2,5,15,-4.6201
1970,10,3,1,70,-2.7139
1970,10,3,2,64,-0.0168
1970,10,3,3,64,0.4899
1970,10,3,4,60,-0.3821
1970,10,3,5,62,-0.7914
1970,11,1,1,4,-10.4020
1970,11,1,2,9,5.0256
1970,11,1,3,8,-3.2303
1970,11,1,4,13,-2.5532
1970,11,1,5,12,2.8693
1970,11,2,1,16,5.8366
1970,11,2,2,16,1.2588
1970,11,2,3,17,4.8714
1970,11,2,4,17,1.5300
1970,11,2,5,15,2.6347
1970,11,3,1,70,6.5404
1970,11,3,2,64,4.8766
1970,11,3,3,64,5.8301
1970,11,3,4,60,6.2457
1970,11,3,5,62,5.4736
1970,12,1,1,4,9.5205
1970,12,1,2,9,12.2841
1970,12,1,3,8,15.7409
1970,12,1,4,13,12.6133
1970,12,1,5,12,8.3747
1970,12,2,1,16,4.8229
1970,12,2,2,16,7.2054
1970,12,2,3,17,7.2123
1970,12,2,4,17,12.8483
1970,12,2,5,15,12.6011
1970,12,3,1,70,7.9012
1970,12,3,2,64,5.2607
1970,12,3,3,64,4.5917
1970,12,3,4,59,6.4890
1970,12,3,5,62,5.6759
1971,1,1,1,4,12.8682
1971,1,1,2,9,10.7405
1971,1,1,3,8,17.8692
1971,1,1,4,13,16.8331
1971,1,1,5,12,12.5607
1971,1,2,1,16,10.5328
1971,1,2,2,16,10.6363
1971,1,2,3,17,11.3530
1971,1,2,4,16,13.1442
1971,1,2,5,15,11.9928
1971,1,3,1,70,5.7197
1971,1,3,2,64,4.2510
1971,1,3,3,64,3.2600
1971,1,3,4,59,1.1234
1971,1,3,5,62,5.5655
1971,2,1,1,4,7.6695
1971,2,1,2,9,0.2445
1971,2,1,3,8,7.8726
1971,2,1,4,13,8.4570
1971,2,1,5,12,6.6570
1971,2,2,1,15,-2.7963
1971,2,2,2,16,3.7321
1971,2,2,3,17,0.4492
1971,2,2,4,16,1.0246
1971,2,2,5,15,4.2338
1971,2,3,1,70,-2.7517
1971,2,3,2,64,3.0856
1971,2,3,3,64,2.4679
1971,2,3,4,59,1.7369
1971,2,3,5,61,1.7511
1971,3,1,1,4,4.2275
1971,3,1,2,9,-0.0348
1971,3,1,3,8,0.1301
1971,3,1,4,13,2.7294
1971,3,1,5,12,5.2466
1971,3,2,1,15,1.6937
1971,3,2,2,16,3.4128
1971,3,2,3,17,0.8511
1971,3,2,4,16,7.2539
1971,3,2,5,15,5.2733
1971,3,3,1,70,1.8385
1971,3,3,2,64,4.5297
1971,3,3,3,64,4.5008
1971,3,3,4,59,1.9822
1971,3,3,5,61,4.9812
1971,4,1,1,4,-4.4999
1971,4,1,2,9,1.9401
1971,4,1,3,8,-3.4681
1971,4,1,4,13,3.1803
1971,4,1,5,12,3.4978
1971,4,2,1,15,1.3718
1971,4,2,2,16,0.8629
1971,4,2,3,17,8.9728
1971,4,2,4,16,9.2457
1971,4,2,5,15,6.9595
1971,4,3,1,70,0.1236
1971,4,3,2,64,3.6532
1971,4,3,3,64,2.7455
1971,4,3,4,59,7.0226
1971,4,3,5,61,5.9066
1971,5,1,1,4,-6.4242
1971,5,1,2,9,-8.6858
1971,5,1,3,8,-6.1793
1971,5,1,4,13,-6.3646
1971,5,1,5,12,-6.2008
1971,5,2,1,15,-7.9649
1971,5,2,2,16,-3.9559
1971,5,2,3,17,-1.8940
1971,5,2,4,16,-5.3353
1971,5,2,5,15,-2.7269
1971,5,3,1,70,-4.3533
1971,5,3,2,64,-4.5044
1971,5,3,3,64,-3.7233
1971,5,3,4,59,-4.4119
1971,5,3,5,61,-1.6810
1971,6,1,1,4,5.0375
1971,6,1,2,8,4.7084
1971,6,1,3,8,-0.8194
1971,6,1,4,13,-3.3929
1971,6,1,5,12,-0.3222
1971,6,2,1,15,-0.3924
1971,6,2,2,16,-3.0290
1971,6,2,3,17,-3.5616
1971,6,2,4,16,-2.4369
1971,6,2,5,15,-2.8885
1971,6,3,1,70,2.3196
1971,6,3,2,64,-0.0550
1971,6,3,3,64,0.5329
1971,6,3,4,59,-1.3442
1971,6,3,5,61,-0.7352
1971,7,1,1,9,-6.2983
1971,7,1,2,13,-3.2001
1971,7,1,3,17,-4.3926
1971,7,1,4,19,-3.0859
1971,7,1,5,19,-8.6138
1971,7,2,1,24,-1.1006
1971,7,2,2,17,-4.6609
1971,7,2,3,20,-5.4525
1971,7,2,4,18,-2.6900
1971,7,2,5,21,-0.7097
1971,7,3,1,67,-3.3283
1971,7,3,2,70,-5.3300
1971,7,3,3,62,-3.5745
1971,7,3,4,62,-2.7128
1971,7,3,5,61,-5.3915
1971,8,1,1,9,-1.4085
1971,8,1,2,13,7.4653
1971,8,1,3,17,2.2260
1971,8,1,4,19,6.2925
1971,8,1,5,19,0.8792
1971,8,2,1,24,1.9011
1971,8,2,2,17,3.3893
1971,8,2,3,20,6.6266
1971,8,2,4,18,6.5980
1971,8,2,5,21,6.0545
1971,8,3,1,67,2.4515
1971,8,3,2,70,4.7536
1971,8,3,3,62,5.0847
1971,8,3,4,61,2.7155
1971,8,3,5,61,7.7672
1971,9,1,1,9,-3.0146
1971,9,1,2,13,-6.1966
1971,9,1,3,17,-3.7839
1971,9,1,4,19,-0.7265
1971,9,1,5,19,-3.4705
1971,9,2,1,24,-1.6314
1971,9,2,2,16,-2.5689
