year,month,rank_ME,rank_r10n,nstocks,ret_vw
1969,2,2,5,25,-6.3552
1969,2,3,1,51,-7.5068
1969,2,3,2,78,-5.0860
1969,2,3,3,93,-6.2121
1969,2,3,4,91,-4.0887
1969,2,3,5,94,-2.6986
1969,3,1,1,51,2.9432
1969,3,1,2,20,-0.4928
1969,3,1,3,20,1.1416
1969,3,1,4,17,0.8003
1969,3,1,5,13,-0.5279
1969,3,2,1,35,3.7841
1969,3,2,2,35,3.4968
1969,3,2,3,29,2.4987
1969,3,2,4,32,0.2836
1969,3,2,5,27,0.4400
1969,3,3,1,55,4.4535
1969,3,3,2,83,4.3233
1969,3,3,3,87,3.9659
1969,3,3,4,88,2.4306
1969,3,3,5,96,3.4125
1969,4,1,1,46,-0.6425
1969,4,1,2,21,-3.7575
1969,4,1,3,15,-1.4669
1969,4,1,4,20,-1.1146
1969,4,1,5,20,-2.3719
1969,4,2,1,36,2.1162
1969,4,2,2,32,1.8852
1969,4,2,3,31,0.4661
1969,4,2,4,26,-0.8227
1969,4,2,5,27,-0.6737
1969,4,3,1,58,1.5187
1969,4,3,2,85,1.6584
1969,4,3,3,90,1.1015
1969,4,3,4,91,2.6134
1969,4,3,5,90,2.7701
1969,5,1,1,42,-0.9916
1969,5,1,2,25,4.9354
1969,5,1,3,21,-1.8681
1969,5,1,4,14,-0.1383
1969,5,1,5,19,-1.6357
1969,5,2,1,36,-1.4131
1969,5,2,2,38,-0.2509
1969,5,2,3,27,-1.3900
1969,5,2,4,26,1.8256
1969,5,2,5,26,0.1328
1969,5,3,1,61,-1.8686
1969,5,3,2,75,-0.3131
1969,5,3,3,88,1.6305
1969,5,3,4,97,0.3581
1969,5,3,5,90,1.6825
1969,6,1,1,46,-14.4715
1969,6,1,2,21,-11.8601
1969,6,1,3,22,-9.8535
1969,6,1,4,13,-9.7197
1969,6,1,5,19,-12.0801
1969,6,2,1,31,-11.4214
1969,6,2,2,41,-10.3978
1969,6,2,3,29,-9.5153
1969,6,2,4,23,-7.2116
1969,6,2,5,28,-9.9055
1969,6,3,1,62,-7.4193
1969,6,3,2,76,-7.1282
1969,6,3,3,86,-6.2605
1969,6,3,4,100,-5.8610
1969,6,3,5,88,-2.9654
1969,7,1,1,47,-12.9410
1969,7,1,2,27,-8.2285
1969,7,1,3,14,-5.8831
1969,7,1,4,16,-11.8435
1969,7,1,5,20,-10.0394
1969,7,2,1,37,-8.9793
1969,7,2,2,32,-8.3367
1969,7,2,3,33,-7.7603
1969,7,2,4,26,-6.7001
1969,7,2,5,24,-10.0772
1969,7,3,1,58,-7.1525
1969,7,3,2,78,-5.1076
1969,7,3,3,90,-5.7536
1969,7,3,4,94,-5.8084
1969,7,3,5,91,-7.4081
1969,8,1,1,44,3.0936
1969,8,1,2,22,6.5391
1969,8,1,3,17,0.1483
1969,8,1,4,19,3.1095
1969,8,1,5,21,4.1818
1969,8,2,1,31,5.3303
1969,8,2,2,37,4.6134
1969,8,2,3,34,0.9505
1969,8,2,4,23,4.6817
1969,8,2,5,28,5.7652
1969,8,3,1,63,5.1491
1969,8,3,2,79,2.6332
1969,8,3,3,85,5.2942
1969,8,3,4,95,4.2660
1969,8,3,5,85,5.1638
1969,9,1,1,48,-2.5431
1969,9,1,2,20,-5.8925
1969,9,1,3,21,-3.0637
1969,9,1,4,19,2.2982
1969,9,1,5,15,-3.0727
1969,9,2,1,32,-2.2279
1969,9,2,2,41,-1.7415
1969,9,2,3,32,-0.6082
1969,9,2,4,17,-1.9013
1969,9,2,5,28,-1.1961
1969,9,3,1,60,-1.8811
1969,9,3,2,74,-2.3089
1969,9,3,3,81,-4.0278
1969,9,3,4,101,-2.5061
1969,9,3,5,91,-2.7409
1969,10,1,1,41,10.9704
1969,10,1,2,28,6.6712
1969,10,1,3,15,10.7993
1969,10,1,4,12,11.4387
1969,10,1,5,24,10.6708
1969,10,2,1,33,5.6400
1969,10,2,2,35,6.8117
1969,10,2,3,34,4.9397
1969,10,2,4,26,5.7383
1969,10,2,5,27,6.4678
1969,10,3,1,63,6.5357
1969,10,3,2,74,4.7272
1969,10,3,3,86,4.9503
1969,10,3,4,96,3.9533
1969,10,3,5,84,5.5110
1969,11,1,1,42,-8.4520
1969,11,1,2,32,-5.3619
1969,11,1,3,21,-4.7458
1969,11,1,4,12,-7.0664
1969,11,1,5,17,-5.8743
1969,11,2,1,32,-5.9213
1969,11,2,2,28,-3.5067
1969,11,2,3,33,-4.7726
1969,11,2,4,31,-4.9833
1969,11,2,5,29,-5.8338
1969,11,3,1,64,-4.2901
1969,11,3,2,78,-2.9776
1969,11,3,3,81,-2.9031
1969,11,3,4,95,-2.0371
1969,11,3,5,88,-4.3927
1969,12,1,1,40,-5.6537
1969,12,1,2,27,-5.5832
1969,12,1,3,21,-6.1354
1969,12,1,4,15,-2.7270
1969,12,1,5,20,-11.1959
1969,12,2,1,34,-5.7141
1969,12,2,2,33,-5.2603
1969,12,2,3,36,-6.9318
1969,12,2,4,28,-6.0385
1969,12,2,5,26,-7.4050
1969,12,3,1,65,-3.3833
1969,12,3,2,77,0.1969
1969,12,3,3,80,-2.4352
1969,12,3,4,92,-0.4939
1969,12,3,5,90,-1.6869
1970,1,1,1,50,-0.2297
1970,1,1,2,24,-1.9973
1970,1,1,3,20,1.0000
1970,1,1,4,12,-1.4256
1970,1,1,5,18,0.4934
1970,1,2,1,41,-6.9546
1970,1,2,2,41,-1.7387
1970,1,2,3,26,-2.7840
1970,1,2,4,24,-3.1713
1970,1,2,5,23,-2.2312
1970,1,3,1,48,-7.8206
1970,1,3,2,72,-6.5711
1970,1,3,3,90,-7.5381
1970,1,3,4,99,-6.8569
1970,1,3,5,96,-9.4180
1970,2,1,1,46,3.2627
1970,2,1,2,27,3.8378
1970,2,1,3,16,5.1929
