year,month,rank_ME,rank_RDMq_6,nstocks,ret_vw
1991,6,3,5,44,-5.6329
1991,7,1,1,236,3.4497
1991,7,1,2,224,2.1381
1991,7,1,3,302,4.0577
1991,7,1,4,357,5.5043
1991,7,1,5,413,1.5345
1991,7,2,1,103,9.4136
1991,7,2,2,81,7.5248
1991,7,2,3,84,0.7134
1991,7,2,4,86,1.8554
1991,7,2,5,67,2.4316
1991,7,3,1,87,7.7197
1991,7,3,2,74,4.1126
1991,7,3,3,78,3.6454
1991,7,3,4,58,4.4164
1991,7,3,5,42,3.4002
1991,8,1,1,247,4.4066
1991,8,1,2,232,8.5112
1991,8,1,3,309,7.1364
1991,8,1,4,396,3.2485
1991,8,1,5,428,3.8350
1991,8,2,1,109,4.9595
1991,8,2,2,83,8.5581
1991,8,2,3,89,6.1439
1991,8,2,4,98,2.7110
1991,8,2,5,69,2.0124
1991,8,3,1,87,3.1984
1991,8,3,2,80,2.5137
1991,8,3,3,80,1.1829
1991,8,3,4,60,0.4302
1991,8,3,5,47,-1.6301
1991,9,1,1,242,5.2637
1991,9,1,2,229,4.1517
1991,9,1,3,300,2.8096
1991,9,1,4,385,3.5862
1991,9,1,5,418,0.0284
1991,9,2,1,106,1.4203
1991,9,2,2,84,0.0643
1991,9,2,3,89,0.5219
1991,9,2,4,101,0.2929
1991,9,2,5,74,-1.1322
1991,9,3,1,88,-0.9167
1991,9,3,2,80,-2.1646
1991,9,3,3,81,-2.1531
1991,9,3,4,62,-0.4436
1991,9,3,5,48,-5.0574
1991,10,1,1,231,5.1313
1991,10,1,2,226,6.5449
1991,10,1,3,295,7.4954
1991,10,1,4,373,6.7077
1991,10,1,5,381,6.3680
1991,10,2,1,111,4.5492
1991,10,2,2,87,2.8815
1991,10,2,3,89,5.5938
1991,10,2,4,100,5.0350
1991,10,2,5,73,6.8200
1991,10,3,1,89,4.6417
1991,10,3,2,79,3.6592
1991,10,3,3,78,2.3281
1991,10,3,4,57,0.4087
1991,10,3,5,46,5.0151
1991,11,1,1,247,-3.7140
1991,11,1,2,236,-5.4675
1991,11,1,3,315,-0.3941
1991,11,1,4,373,-3.4132
1991,11,1,5,429,-4.0028
1991,11,2,1,118,-7.4218
1991,11,2,2,96,-8.1681
1991,11,2,3,100,-8.7682
1991,11,2,4,113,-8.2972
1991,11,2,5,81,-7.3275
1991,11,3,1,92,-1.5178
1991,11,3,2,86,-3.9412
1991,11,3,3,76,-6.4064
1991,11,3,4,60,-4.3533
1991,11,3,5,44,-4.8198
1991,12,1,1,245,9.4018
1991,12,1,2,229,8.5888
1991,12,1,3,312,6.0269
1991,12,1,4,370,6.6001
1991,12,1,5,429,3.8563
1991,12,2,1,116,15.6305
1991,12,2,2,94,11.5704
1991,12,2,3,104,10.2817
1991,12,2,4,105,8.5853
1991,12,2,5,75,13.5066
1991,12,3,1,92,15.5391
1991,12,3,2,83,14.6557
1991,12,3,3,70,10.3539
1991,12,3,4,56,5.6163
1991,12,3,5,45,6.5841
1992,1,1,1,214,14.9514
1992,1,1,2,196,12.6485
1992,1,1,3,244,14.6490
1992,1,1,4,308,17.9742
1992,1,1,5,345,22.1597
1992,1,2,1,104,4.8309
1992,1,2,2,85,8.7380
1992,1,2,3,91,9.8538
1992,1,2,4,85,13.6284
1992,1,2,5,48,12.9605
1992,1,3,1,68,-4.7535
1992,1,3,2,57,-5.4627
1992,1,3,3,42,2.5090
1992,1,3,4,37,5.2845
1992,1,3,5,25,2.9899
1992,2,1,1,231,-1.2877
1992,2,1,2,220,-0.1516
1992,2,1,3,257,1.3753
1992,2,1,4,315,4.2381
1992,2,1,5,364,8.5555
1992,2,2,1,119,-1.1421
1992,2,2,2,104,-2.1279
1992,2,2,3,104,0.6784
1992,2,2,4,83,1.3774
1992,2,2,5,55,10.0143
1992,2,3,1,70,0.5965
1992,2,3,2,62,-1.7074
1992,2,3,3,46,1.6688
1992,2,3,4,35,1.3423
1992,2,3,5,27,7.7030
1992,3,1,1,229,-6.5247
1992,3,1,2,231,-7.6574
1992,3,1,3,267,-5.0511
1992,3,1,4,297,-6.0027
1992,3,1,5,370,-1.8829
1992,3,2,1,119,-10.3626
1992,3,2,2,102,-7.6987
1992,3,2,3,106,-8.0604
1992,3,2,4,85,-6.0743
1992,3,2,5,57,-7.2945
1992,3,3,1,71,-4.3407
1992,3,3,2,66,-4.3142
1992,3,3,3,48,0.8833
1992,3,3,4,41,-1.9771
1992,3,3,5,28,-7.3288
1992,4,1,1,228,-13.1626
1992,4,1,2,229,-9.3149
1992,4,1,3,259,-8.8652
1992,4,1,4,260,-7.7638
1992,4,1,5,346,-7.8278
1992,4,2,1,121,-9.6135
1992,4,2,2,101,-10.9292
1992,4,2,3,107,-5.8928
1992,4,2,4,80,-4.7534
1992,4,2,5,53,-7.1166
1992,4,3,1,70,-1.6126
1992,4,3,2,69,1.1425
1992,4,3,3,50,3.0569
1992,4,3,4,41,3.0188
1992,4,3,5,25,0.0830
1992,5,1,1,258,-2.5612
1992,5,1,2,273,-1.0334
1992,5,1,3,312,-1.7850
1992,5,1,4,336,-0.6692
1992,5,1,5,403,-1.5611
1992,5,2,1,138,-1.1176
1992,5,2,2,121,-0.1782
1992,5,2,3,127,1.2580
1992,5,2,4,102,3.0275
1992,5,2,5,73,1.5251
1992,5,3,1,104,1.8614
1992,5,3,2,103,1.2211
1992,5,3,3,72,-0.8205
1992,5,3,4,67,0.0026
1992,5,3,5,44,-2.6594
1992,6,1,1,257,-8.1397
1992,6,1,2,272,-7.7136
1992,6,1,3,318,-6.3799
1992,6,1,4,339,-9.0375
1992,6,1,5,401,-8.7481
1992,6,2,1,135,-5.9856
1992,6,2,2,123,-4.6260
1992,6,2,3,130,-6.3796
1992,6,2,4,102,-1.9334
1992,6,2,5,70,-7.1783
1992,6,3,1,101,-3.7990
1992,6,3,2,102,-3.4236
1992,6,3,3,75,-1.8584
1992,6,3,4,71,-1.2627
1992,6,3,5,46,-4.5235
1992,7,1,1,249,-0.4011
1992,7,1,2,263,0.1699
1992,7,1,3,291,2.2547
1992,7,1,4,318,0.9730
1992,7,1,5,334,2.9465
1992,7,2,1,132,-0.4876
1992,7,2,2,126,2.0696
1992,7,2,3,120,5.5220
1992,7,2,4,94,2.1931
1992,7,2,5,67,2.1106
1992,7,3,1,96,5.0297
1992,7,3,2,100,5.1903
1992,7,3,3,71,2.9864
1992,7,3,4,74,3.1332
1992,7,3,5,47,3.6171
1992,8,1,1,255,-6.0580
1992,8,1,2,295,-4.7682
1992,8,1,3,323,-4.0547
1992,8,1,4,363,-5.5331
1992,8,1,5,375,-4.9116
1992,8,2,1,131,-7.3977
1992,8,2,2,125,-6.2369
1992,8,2,3,137,-3.5074
1992,8,2,4,106,-4.9474
1992,8,2,5,80,-2.5712
1992,8,3,1,96,-1.9924
1992,8,3,2,105,-1.9013
1992,8,3,3,79,-4.2395
1992,8,3,4,77,-4.5744
1992,8,3,5,46,-5.5869
1992,9,1,1,246,0.9443
1992,9,1,2,297,-0.1035
1992,9,1,3,317,1.3317
1992,9,1,4,369,1.1145
1992,9,1,5,387,-0.0938
1992,9,2,1,116,2.0369
1992,9,2,2,123,1.4717
1992,9,2,3,134,3.1167
1992,9,2,4,109,2.1092
1992,9,2,5,82,6.1060
1992,9,3,1,93,-0.0694
1992,9,3,2,94,-2.0731
1992,9,3,3,79,3.1511
1992,9,3,4,73,-1.1276
1992,9,3,5,48,-1.1810
1992,10,1,1,231,1.4239
1992,10,1,2,290,1.9131
1992,10,1,3,315,3.5520
1992,10,1,4,366,3.5205
1992,10,1,5,377,6.0977
1992,10,2,1,104,6.4538
1992,10,2,2,113,4.6740
1992,10,2,3,128,4.3287
1992,10,2,4,112,5.9863
1992,10,2,5,82,7.9032
1992,10,3,1,93,1.7249
1992,10,3,2,95,1.7475
1992,10,3,3,76,0.8420
1992,10,3,4,71,-3.2454
1992,10,3,5,44,-0.3337
1992,11,1,1,242,10.3865
1992,11,1,2,300,9.7246
1992,11,1,3,330,14.2939
1992,11,1,4,381,14.4058
1992,11,1,5,406,13.3195
1992,11,2,1,101,7.0605
1992,11,2,2,120,10.9907
1992,11,2,3,136,12.7519
1992,11,2,4,113,11.5148
1992,11,2,5,86,9.8332
1992,11,3,1,92,4.7168
1992,11,3,2,101,2.3112
1992,11,3,3,80,5.4708
1992,11,3,4,73,3.9208
1992,11,3,5,44,3.3090
1992,12,1,1,229,0.5279
1992,12,1,2,300,1.3121
1992,12,1,3,323,1.2083
1992,12,1,4,372,0.7392
1992,12,1,5,412,3.2199
1992,12,2,1,100,3.0866
1992,12,2,2,113,3.3397
1992,12,2,3,132,1.3270
1992,12,2,4,108,0.2120
1992,12,2,5,82,4.3454
1992,12,3,1,91,-1.9680
1992,12,3,2,94,-0.4827
1992,12,3,3,81,7.0643
1992,12,3,4,70,-2.0670
1992,12,3,5,47,-3.4760
1993,1,1,1,176,5.3842
1993,1,1,2,251,-0.0963
1993,1,1,3,268,1.9819
1993,1,1,4,299,2.9396
1993,1,1,5,358,8.4064
1993,1,2,1,79,-2.3774
1993,1,2,2,95,-0.3160
1993,1,2,3,114,-0.4375
1993,1,2,4,83,-1.3989
1993,1,2,5,66,3.2900
1993,1,3,1,62,-1.6848
1993,1,3,2,58,-5.8021
1993,1,3,3,58,3.2966
1993,1,3,4,46,1.7679
1993,1,3,5,21,8.3704
1993,2,1,1,190,-5.0929
1993,2,1,2,269,-8.6200
1993,2,1,3,281,-9.6186
1993,2,1,4,313,-7.3865
1993,2,1,5,383,-6.6569
1993,2,2,1,82,-9.7227
1993,2,2,2,107,-9.9899
1993,2,2,3,117,-5.4301
1993,2,2,4,88,-6.8798
1993,2,2,5,69,-4.1177
1993,2,3,1,63,-5.2843
1993,2,3,2,67,-3.9668
