year,month,rank_ME,rank_RDSq_6,nstocks,ret_vw
1991,10,2,4,76,3.4007
1991,10,2,5,140,8.5781
1991,10,3,1,54,2.2399
1991,10,3,2,60,2.0083
1991,10,3,3,65,3.1825
1991,10,3,4,56,3.9426
1991,10,3,5,80,4.1362
1991,11,1,1,188,-2.8457
1991,11,1,2,180,-4.3183
1991,11,1,3,240,-1.6579
1991,11,1,4,262,-3.9793
1991,11,1,5,483,-4.6428
1991,11,2,1,59,-8.1164
1991,11,2,2,51,-4.2069
1991,11,2,3,60,-2.8725
1991,11,2,4,89,-7.6510
1991,11,2,5,169,-10.1111
1991,11,3,1,54,-4.9029
1991,11,3,2,68,-4.5236
1991,11,3,3,69,-4.5665
1991,11,3,4,61,-4.0451
1991,11,3,5,88,-2.0232
1991,12,1,1,196,4.8478
1991,12,1,2,171,6.0795
1991,12,1,3,246,6.4270
1991,12,1,4,271,8.7089
1991,12,1,5,495,7.6148
1991,12,2,1,59,9.6097
1991,12,2,2,46,13.1113
1991,12,2,3,61,11.7831
1991,12,2,4,88,12.3023
1991,12,2,5,169,12.3181
1991,12,3,1,52,11.0221
1991,12,3,2,69,11.3039
1991,12,3,3,69,12.2396
1991,12,3,4,61,14.3085
1991,12,3,5,89,11.9854
1992,1,1,1,149,11.4767
1992,1,1,2,114,13.7095
1992,1,1,3,192,12.1997
1992,1,1,4,214,16.8995
1992,1,1,5,405,18.8445
1992,1,2,1,42,4.1924
1992,1,2,2,32,6.5167
1992,1,2,3,40,4.3892
1992,1,2,4,69,6.8083
1992,1,2,5,150,12.9016
1992,1,3,1,23,-1.6742
1992,1,3,2,46,-0.0189
1992,1,3,3,49,-2.4503
1992,1,3,4,38,-2.6576
1992,1,3,5,62,-1.3489
1992,2,1,1,162,5.8835
1992,2,1,2,125,3.3578
1992,2,1,3,221,3.8264
1992,2,1,4,247,6.4846
1992,2,1,5,432,0.1884
1992,2,2,1,43,4.7269
1992,2,2,2,38,1.2104
1992,2,2,3,59,2.0556
1992,2,2,4,76,0.2741
1992,2,2,5,177,0.2641
1992,2,3,1,26,3.7898
1992,2,3,2,48,1.7500
1992,2,3,3,56,1.2692
1992,2,3,4,46,0.0651
1992,2,3,5,64,-0.2034
1992,3,1,1,158,-4.2275
1992,3,1,2,135,-2.7882
1992,3,1,3,225,-4.6599
1992,3,1,4,248,-4.6580
1992,3,1,5,438,-6.9570
1992,3,2,1,43,-5.5001
1992,3,2,2,37,-2.3687
1992,3,2,3,61,-6.0172
1992,3,2,4,73,-7.7781
1992,3,2,5,182,-9.9738
1992,3,3,1,28,-1.5347
1992,3,3,2,48,-1.4623
1992,3,3,3,56,2.1930
1992,3,3,4,46,-4.5230
1992,3,3,5,69,-6.0358
1992,4,1,1,149,-8.5504
1992,4,1,2,119,-8.3890
1992,4,1,3,210,-8.3433
1992,4,1,4,224,-8.3800
1992,4,1,5,405,-11.4960
1992,4,2,1,43,-2.2700
1992,4,2,2,39,-4.6634
1992,4,2,3,60,-3.2055
1992,4,2,4,72,-4.5195
1992,4,2,5,179,-12.1232
1992,4,3,1,26,1.9360
1992,4,3,2,46,3.4016
1992,4,3,3,52,3.1276
1992,4,3,4,48,-0.0069
1992,4,3,5,68,-0.9045
1992,5,1,1,188,-2.5614
1992,5,1,2,165,-1.7439
1992,5,1,3,262,-1.4775
1992,5,1,4,270,0.1040
1992,5,1,5,496,-1.8700
1992,5,2,1,58,1.7446
1992,5,2,2,47,2.6853
1992,5,2,3,80,-0.3553
1992,5,2,4,97,1.6423
1992,5,2,5,210,-0.1334
1992,5,3,1,57,-0.4816
1992,5,3,2,78,1.8511
1992,5,3,3,75,-0.5665
1992,5,3,4,72,0.3352
1992,5,3,5,94,1.3138
1992,6,1,1,191,-7.6844
1992,6,1,2,171,-10.5039
1992,6,1,3,268,-4.8772
1992,6,1,4,271,-7.3666
1992,6,1,5,495,-9.2845
1992,6,2,1,58,-3.8844
1992,6,2,2,47,-9.1307
1992,6,2,3,81,-4.1693
1992,6,2,4,99,-3.2530
