year,month,rank_ME,rank_RDM,nstocks,ret_vw
1979,10,2,2,47,-13.3394
1979,10,2,3,49,-9.0406
1979,10,2,4,52,-8.0829
1979,10,2,5,48,-9.1211
1979,10,3,1,85,-3.9033
1979,10,3,2,69,-5.7147
1979,10,3,3,73,-6.9315
1979,10,3,4,66,-6.8529
1979,10,3,5,50,-10.0432
1979,11,1,1,107,6.4429
1979,11,1,2,129,6.0956
1979,11,1,3,124,8.0942
1979,11,1,4,117,10.6287
1979,11,1,5,216,10.1756
1979,11,2,1,59,6.9114
1979,11,2,2,47,10.1852
1979,11,2,3,48,7.0409
1979,11,2,4,53,10.3698
1979,11,2,5,48,9.8376
1979,11,3,1,85,6.1336
1979,11,3,2,69,5.1166
1979,11,3,3,73,6.1204
1979,11,3,4,66,5.5788
1979,11,3,5,50,1.9109
1979,12,1,1,107,7.2226
1979,12,1,2,129,8.9272
1979,12,1,3,122,7.5645
1979,12,1,4,116,9.6908
1979,12,1,5,215,8.3067
1979,12,2,1,59,3.5486
1979,12,2,2,47,5.9218
1979,12,2,3,48,7.3536
1979,12,2,4,52,5.9331
1979,12,2,5,48,5.7409
1979,12,3,1,85,0.8880
1979,12,3,2,69,1.5196
1979,12,3,3,73,1.4235
1979,12,3,4,66,4.0720
1979,12,3,5,50,3.4168
1980,1,1,1,106,10.4250
1980,1,1,2,129,11.9080
1980,1,1,3,122,12.3323
1980,1,1,4,114,11.7303
1980,1,1,5,214,13.0402
1980,1,2,1,59,3.9904
1980,1,2,2,47,9.4423
1980,1,2,3,46,8.9188
1980,1,2,4,52,8.3080
1980,1,2,5,47,8.0396
1980,1,3,1,84,9.0801
1980,1,3,2,69,7.6407
1980,1,3,3,73,2.8403
1980,1,3,4,66,6.1158
1980,1,3,5,49,11.1823
1980,2,1,1,104,0.3659
1980,2,1,2,127,-3.7528
1980,2,1,3,119,-0.0384
1980,2,1,4,112,-1.5280
1980,2,1,5,212,-0.0084
1980,2,2,1,59,-0.7939
1980,2,2,2,47,-1.6860
1980,2,2,3,46,-3.4967
1980,2,2,4,52,-3.3689
1980,2,2,5,46,-3.2992
1980,2,3,1,83,6.5726
1980,2,3,2,68,2.8215
1980,2,3,3,73,-4.0438
1980,2,3,4,66,-3.7147
1980,2,3,5,49,-5.1205
1980,3,1,1,104,-20.2952
1980,3,1,2,127,-18.7189
1980,3,1,3,118,-18.4090
1980,3,1,4,111,-17.6239
1980,3,1,5,210,-21.0185
1980,3,2,1,59,-15.6763
1980,3,2,2,47,-17.6593
1980,3,2,3,45,-15.2054
1980,3,2,4,52,-17.1158
1980,3,2,5,45,-17.8195
1980,3,3,1,83,-12.8627
1980,3,3,2,68,-12.4498
1980,3,3,3,73,-7.8839
1980,3,3,4,65,-8.4434
1980,3,3,5,49,-11.1652
1980,4,1,1,104,7.0387
1980,4,1,2,127,7.6336
1980,4,1,3,117,8.5033
1980,4,1,4,108,5.8985
1980,4,1,5,209,3.9227
1980,4,2,1,59,5.2947
1980,4,2,2,47,5.8211
1980,4,2,3,45,3.1690
1980,4,2,4,52,5.3961
1980,4,2,5,45,-0.7697
1980,4,3,1,82,5.7473
1980,4,3,2,68,5.4899
1980,4,3,3,73,2.7926
1980,4,3,4,65,0.7527
1980,4,3,5,49,-0.2402
1980,5,1,1,103,5.8905
1980,5,1,2,127,6.2977
1980,5,1,3,118,6.8529
1980,5,1,4,109,6.0896
1980,5,1,5,210,6.4121
1980,5,2,1,59,6.9368
1980,5,2,2,46,8.9095
1980,5,2,3,44,8.7777
1980,5,2,4,51,6.8206
1980,5,2,5,45,9.0019
1980,5,3,1,83,4.7580
1980,5,3,2,68,7.6484
1980,5,3,3,73,4.7025
1980,5,3,4,65,6.5550
1980,5,3,5,49,3.1940
1980,6,1,1,103,2.6608
1980,6,1,2,127,3.9783
1980,6,1,3,117,3.9210
1980,6,1,4,109,3.6357
1980,6,1,5,207,1.9719
1980,6,2,1,58,3.6636
1980,6,2,2,47,2.1861
1980,6,2,3,42,1.3922
