year,month,rank_ME,rank_RCA,nstocks,ret_vw
1983,1,3,2,68,1.6268
1983,1,3,3,54,7.0757
1983,1,3,4,72,5.3745
1983,1,3,5,70,4.7072
1983,2,1,1,132,6.5889
1983,2,1,2,147,6.0100
1983,2,1,3,152,8.0323
1983,2,1,4,170,6.3144
1983,2,1,5,209,6.3692
1983,2,2,1,47,2.4731
1983,2,2,2,44,4.5472
1983,2,2,3,57,7.4234
1983,2,2,4,41,7.2487
1983,2,2,5,65,4.8683
1983,2,3,1,60,-0.4580
1983,2,3,2,68,0.3785
1983,2,3,3,54,4.1072
1983,2,3,4,71,3.6546
1983,2,3,5,70,2.7229
1983,3,1,1,133,6.0916
1983,3,1,2,146,3.8594
1983,3,1,3,150,4.4603
1983,3,1,4,169,4.0527
1983,3,1,5,207,3.7298
1983,3,2,1,47,6.3355
1983,3,2,2,44,2.7276
1983,3,2,3,57,2.2188
1983,3,2,4,41,3.2366
1983,3,2,5,64,-1.0851
1983,3,3,1,60,3.6438
1983,3,3,2,67,3.5808
1983,3,3,3,53,1.4875
1983,3,3,4,72,1.7343
1983,3,3,5,70,0.3916
1983,4,1,1,132,8.3373
1983,4,1,2,145,6.9366
1983,4,1,3,148,8.3966
1983,4,1,4,169,6.8204
1983,4,1,5,204,6.2022
1983,4,2,1,47,4.3273
1983,4,2,2,44,5.3623
1983,4,2,3,57,7.8148
1983,4,2,4,41,10.0813
1983,4,2,5,64,9.9344
1983,4,3,1,60,7.4529
1983,4,3,2,66,8.1557
1983,4,3,3,53,7.2592
1983,4,3,4,72,5.4524
1983,4,3,5,70,8.4174
1983,5,1,1,132,11.6745
1983,5,1,2,144,8.4652
1983,5,1,3,147,11.3798
1983,5,1,4,168,11.3685
1983,5,1,5,202,10.5418
1983,5,2,1,47,3.8695
1983,5,2,2,44,5.1127
1983,5,2,3,57,4.7264
1983,5,2,4,41,7.5987
1983,5,2,5,64,7.2085
1983,5,3,1,60,-0.7198
1983,5,3,2,66,1.5101
1983,5,3,3,53,3.1671
1983,5,3,4,72,-1.8970
1983,5,3,5,70,-1.3513
1983,6,1,1,130,2.9225
1983,6,1,2,144,4.5835
1983,6,1,3,147,5.4602
1983,6,1,4,169,5.4427
1983,6,1,5,199,6.7588
1983,6,2,1,46,2.5163
1983,6,2,2,44,6.8336
1983,6,2,3,57,5.8433
1983,6,2,4,41,7.3077
1983,6,2,5,64,6.6598
1983,6,3,1,60,2.4441
1983,6,3,2,66,2.9873
1983,6,3,3,53,2.8000
1983,6,3,4,72,3.9147
1983,6,3,5,70,7.9244
1983,7,1,1,156,-1.9706
1983,7,1,2,145,-4.2302
1983,7,1,3,163,-4.6081
1983,7,1,4,175,-4.5560
1983,7,1,5,243,-7.4791
1983,7,2,1,59,-0.7954
1983,7,2,2,45,-3.7865
1983,7,2,3,58,-3.1324
1983,7,2,4,56,-6.2415
1983,7,2,5,71,-7.7539
1983,7,3,1,55,-4.5950
1983,7,3,2,68,0.0433
1983,7,3,3,59,-4.0515
1983,7,3,4,65,-4.0535
1983,7,3,5,82,-3.4342
1983,8,1,1,155,-4.8310
1983,8,1,2,145,-5.9080
1983,8,1,3,163,-5.4697
1983,8,1,4,174,-4.7820
1983,8,1,5,242,-5.6907
1983,8,2,1,59,-2.1796
1983,8,2,2,45,-6.1316
1983,8,2,3,58,-5.5822
1983,8,2,4,56,-2.7680
1983,8,2,5,71,-2.4472
1983,8,3,1,55,6.5488
1983,8,3,2,68,4.3147
1983,8,3,3,59,0.1767
1983,8,3,4,65,0.3291
1983,8,3,5,82,-0.2264
1983,9,1,1,154,0.1244
1983,9,1,2,145,0.3584
1983,9,1,3,162,0.1367
1983,9,1,4,172,-1.1360
1983,9,1,5,242,-2.5473
1983,9,2,1,58,4.4254
1983,9,2,2,44,2.1009
1983,9,2,3,58,2.0773
1983,9,2,4,55,2.3957
1983,9,2,5,71,2.7160
1983,9,3,1,55,-1.5877
1983,9,3,2,68,-0.5866
1983,9,3,3,59,1.8096
1983,9,3,4,65,3.6229
1983,9,3,5,82,3.3821
1983,10,1,1,151,-7.7766
1983,10,1,2,144,-7.4149
1983,10,1,3,162,-7.4123
1983,10,1,4,171,-8.6676
1983,10,1,5,240,-10.8656
1983,10,2,1,58,-7.1722
1983,10,2,2,44,-5.4782
1983,10,2,3,58,-6.3182
1983,10,2,4,54,-9.7814
1983,10,2,5,71,-10.1647
1983,10,3,1,54,-2.4465
1983,10,3,2,68,-0.6458
1983,10,3,3,59,-1.5763
1983,10,3,4,65,-1.7379
1983,10,3,5,82,-2.3830
1983,11,1,1,151,3.7373
1983,11,1,2,141,4.1730
1983,11,1,3,162,6.3175
1983,11,1,4,171,4.9994
