year,month,rank_ME,rank_IM_1,nstocks,ret_vw
1968,7,2,2,123,-4.6776
1968,7,2,3,86,-3.6264
1968,7,2,4,97,-2.0887
1968,7,2,5,70,-0.1729
1968,7,3,1,105,-5.2304
1968,7,3,2,146,-5.7778
1968,7,3,3,190,-3.3690
1968,7,3,4,94,-3.8633
1968,7,3,5,64,-5.6200
1968,8,1,1,170,0.2664
1968,8,1,2,210,5.9884
1968,8,1,3,183,2.9797
1968,8,1,4,196,4.7437
1968,8,1,5,154,4.0500
1968,8,2,1,67,2.2473
1968,8,2,2,135,2.7214
1968,8,2,3,91,2.0667
1968,8,2,4,90,3.6510
1968,8,2,5,61,6.1435
1968,8,3,1,76,-2.1811
1968,8,3,2,203,2.0526
1968,8,3,3,135,1.5767
1968,8,3,4,123,2.3657
1968,8,3,5,65,5.0026
1968,9,1,1,43,12.3135
1968,9,1,2,290,4.9278
1968,9,1,3,286,5.9401
1968,9,1,4,129,8.2824
1968,9,1,5,166,8.1632
1968,9,2,1,37,4.1418
1968,9,2,2,159,5.3808
1968,9,2,3,126,7.6163
1968,9,2,4,64,9.0736
1968,9,2,5,63,7.6263
1968,9,3,1,48,2.2327
1968,9,3,2,243,6.6195
1968,9,3,3,155,5.3148
1968,9,3,4,85,6.1908
1968,9,3,5,73,7.5481
1968,10,1,1,82,-5.3373
1968,10,1,2,184,1.5539
1968,10,1,3,309,-1.3360
1968,10,1,4,175,2.7901
1968,10,1,5,160,-0.4710
1968,10,2,1,56,-1.2050
1968,10,2,2,109,1.7165
1968,10,2,3,142,3.0817
1968,10,2,4,82,0.1633
1968,10,2,5,62,-0.5158
1968,10,3,1,74,0.2371
1968,10,3,2,205,0.0483
1968,10,3,3,182,-0.4782
1968,10,3,4,75,0.2017
1968,10,3,5,70,0.9246
1968,11,1,1,138,3.4341
1968,11,1,2,151,6.8376
1968,11,1,3,271,7.2069
1968,11,1,4,239,5.8320
1968,11,1,5,122,7.2961
1968,11,2,1,47,8.7802
1968,11,2,2,75,7.7459
1968,11,2,3,160,8.7471
1968,11,2,4,119,7.2021
1968,11,2,5,45,9.8133
1968,11,3,1,64,7.4387
1968,11,3,2,91,5.6337
1968,11,3,3,222,7.0123
1968,11,3,4,168,4.9821
1968,11,3,5,56,5.3989
1968,12,1,1,70,2.9062
1968,12,1,2,224,4.1151
1968,12,1,3,238,5.5479
1968,12,1,4,285,-0.0939
1968,12,1,5,101,1.3531
1968,12,2,1,36,-1.3293
1968,12,2,2,86,2.0835
1968,12,2,3,117,-0.4139
1968,12,2,4,164,-1.8193
1968,12,2,5,56,0.8964
1968,12,3,1,47,0.1267
1968,12,3,2,119,-3.8120
1968,12,3,3,119,-2.7717
1968,12,3,4,228,-3.7045
1968,12,3,5,84,-2.7647
1969,1,1,1,119,-1.6821
1969,1,1,2,252,-3.6965
1969,1,1,3,202,0.1240
1969,1,1,4,210,-0.9961
1969,1,1,5,135,4.0377
1969,1,2,1,52,0.6348
1969,1,2,2,132,-2.2314
1969,1,2,3,104,-0.2457
1969,1,2,4,98,-2.0292
1969,1,2,5,70,-1.1608
1969,1,3,1,74,-3.4088
1969,1,3,2,207,-0.8331
1969,1,3,3,121,-0.6935
1969,1,3,4,97,-0.6793
1969,1,3,5,101,-1.8711
1969,2,1,1,147,-10.3619
1969,2,1,2,245,-9.9666
1969,2,1,3,131,-9.7559
1969,2,1,4,274,-9.3797
1969,2,1,5,122,-9.9077
1969,2,2,1,68,-8.0388
1969,2,2,2,135,-9.8035
1969,2,2,3,58,-6.8037
1969,2,2,4,137,-9.5508
1969,2,2,5,58,-11.0838
1969,2,3,1,94,-4.0393
1969,2,3,2,227,-4.7002
1969,2,3,3,93,-6.1879
1969,2,3,4,123,-6.4412
1969,2,3,5,66,-8.6515
1969,3,1,1,145,1.4344
1969,3,1,2,213,2.0089
1969,3,1,3,240,2.0736
1969,3,1,4,211,1.4778
1969,3,1,5,127,2.3272
1969,3,2,1,52,-1.0493
1969,3,2,2,90,3.3151
1969,3,2,3,147,2.3008
1969,3,2,4,96,2.5301
1969,3,2,5,69,1.6271
1969,3,3,1,56,0.1348
1969,3,3,2,96,2.7940
1969,3,3,3,267,1.9694
1969,3,3,4,91,2.4929
1969,3,3,5,90,1.3541
1969,4,1,1,170,-2.8676
1969,4,1,2,172,1.4697
1969,4,1,3,264,-0.7944
1969,4,1,4,265,-1.1575
1969,4,1,5,69,-2.1080
1969,4,2,1,63,-4.8524
1969,4,2,2,77,-0.2190
1969,4,2,3,125,0.9785
1969,4,2,4,147,3.5866
1969,4,2,5,41,0.1728
1969,4,3,1,53,-1.2175
1969,4,3,2,112,0.5158
1969,4,3,3,145,3.0115
1969,4,3,4,213,0.8818
1969,4,3,5,82,4.5436
1969,5,1,1,140,0.3328
1969,5,1,2,277,-0.8677
1969,5,1,3,194,0.5160
1969,5,1,4,186,4.6478
1969,5,1,5,139,0.8590
1969,5,2,1,50,-1.7548
1969,5,2,2,121,-3.7770
1969,5,2,3,89,-0.7565
1969,5,2,4,134,0.1458
1969,5,2,5,67,1.7630
1969,5,3,1,44,-2.6178
1969,5,3,2,155,-0.2481
1969,5,3,3,91,-0.5181
1969,5,3,4,214,0.7851
1969,5,3,5,102,2.7042
1969,6,1,1,106,-11.0858
1969,6,1,2,251,-12.8977
1969,6,1,3,252,-12.5580
1969,6,1,4,174,-13.2687
1969,6,1,5,148,-13.4224
1969,6,2,1,57,-12.1301
1969,6,2,2,98,-14.1702
1969,6,2,3,143,-9.6924
1969,6,2,4,92,-9.8879
1969,6,2,5,77,-13.9587
1969,6,3,1,56,-10.9177
1969,6,3,2,89,-9.3833
1969,6,3,3,192,-7.9733
1969,6,3,4,151,-5.3223
1969,6,3,5,123,-8.0738
1969,7,1,1,96,-14.6094
1969,7,1,2,243,-13.1199
1969,7,1,3,242,-10.8716
1969,7,1,4,183,-11.0752
1969,7,1,5,187,-10.9713
1969,7,2,1,42,-8.7156
1969,7,2,2,93,-10.6258
1969,7,2,3,108,-8.7199
1969,7,2,4,127,-6.9521
1969,7,2,5,93,-11.2410
1969,7,3,1,39,-5.6541
1969,7,3,2,88,-7.2370
1969,7,3,3,115,-6.7108
1969,7,3,4,228,-5.6732
1969,7,3,5,139,-6.0826
1969,8,1,1,119,8.8117
1969,8,1,2,128,4.7415
1969,8,1,3,280,4.5145
1969,8,1,4,242,4.2521
1969,8,1,5,190,5.8003
1969,8,2,1,55,4.2200
1969,8,2,2,46,4.3954
1969,8,2,3,122,5.9011
1969,8,2,4,149,6.1789
1969,8,2,5,91,9.4499
1969,8,3,1,51,7.9617
1969,8,3,2,37,4.8113
1969,8,3,3,139,6.1936
1969,8,3,4,238,4.8399
1969,8,3,5,146,6.7376
