year,month,rank_ME,rank_CIM_6,nstocks,ret_vw
1969,11,2,1,278,-5.3279
1969,11,2,2,341,-4.3537
1969,11,2,3,391,-5.0002
1969,11,2,4,389,-4.1951
1969,11,2,5,234,-3.6293
1969,11,3,1,389,-4.0348
1969,11,3,2,394,-3.1263
1969,11,3,3,459,-3.6728
1969,11,3,4,514,-2.2854
1969,11,3,5,366,-1.8064
1969,12,1,1,474,-9.1998
1969,12,1,2,752,-8.8491
1969,12,1,3,707,-7.9376
1969,12,1,4,668,-8.0222
1969,12,1,5,402,-7.0585
1969,12,2,1,270,-6.5868
1969,12,2,2,387,-5.1500
1969,12,2,3,378,-5.3137
1969,12,2,4,349,-4.9108
1969,12,2,5,204,-4.3506
1969,12,3,1,342,-2.7610
1969,12,3,2,482,-2.6954
1969,12,3,3,431,-1.9057
1969,12,3,4,462,-1.5825
1969,12,3,5,339,0.2383
1970,1,1,1,464,-1.7189
1970,1,1,2,712,-2.8389
1970,1,1,3,686,-2.8856
1970,1,1,4,644,-2.7132
1970,1,1,5,378,-4.0702
1970,1,2,1,276,-6.2962
1970,1,2,2,362,-6.2630
1970,1,2,3,359,-6.0337
1970,1,2,4,340,-6.0034
1970,1,2,5,207,-7.1255
1970,1,3,1,338,-10.2437
1970,1,3,2,415,-6.8256
1970,1,3,3,417,-6.3927
1970,1,3,4,452,-7.3715
1970,1,3,5,352,-7.5788
1970,2,1,1,522,2.7577
1970,2,1,2,711,2.0920
1970,2,1,3,693,2.9324
1970,2,1,4,659,2.7346
1970,2,1,5,427,2.9843
1970,2,2,1,292,3.1926
1970,2,2,2,344,3.6791
1970,2,2,3,373,3.9453
1970,2,2,4,343,3.9594
1970,2,2,5,207,3.2848
1970,2,3,1,406,5.8446
1970,2,3,2,417,6.2118
1970,2,3,3,462,6.3473
1970,2,3,4,462,8.2844
1970,2,3,5,302,3.4580
1970,3,1,1,490,-4.3195
1970,3,1,2,728,-3.1175
1970,3,1,3,647,-3.5151
1970,3,1,4,573,-3.1675
1970,3,1,5,426,-4.0236
1970,3,2,1,263,-3.6275
1970,3,2,2,377,-2.2977
1970,3,2,3,349,-1.8528
1970,3,2,4,286,-0.2498
1970,3,2,5,189,-3.2931
1970,3,3,1,348,-0.4724
1970,3,3,2,451,-0.4760
1970,3,3,3,419,0.6884
1970,3,3,4,363,0.7398
1970,3,3,5,275,-0.8018
1970,4,1,1,470,-19.5876
1970,4,1,2,756,-18.0675
1970,4,1,3,719,-17.3458
1970,4,1,4,528,-16.5193
1970,4,1,5,474,-17.9842
1970,4,2,1,253,-18.1459
1970,4,2,2,395,-15.8500
1970,4,2,3,347,-15.8867
1970,4,2,4,261,-13.3038
1970,4,2,5,207,-17.0062
1970,4,3,1,337,-9.6451
1970,4,3,2,462,-9.9386
1970,4,3,3,384,-9.7233
1970,4,3,4,336,-9.2066
1970,4,3,5,299,-9.9116
1970,5,1,1,487,-9.7738
1970,5,1,2,684,-10.3201
1970,5,1,3,702,-9.3629
1970,5,1,4,572,-8.6877
1970,5,1,5,432,-8.1998
1970,5,2,1,251,-11.9872
1970,5,2,2,365,-10.9631
1970,5,2,3,329,-10.0027
1970,5,2,4,292,-8.5971
1970,5,2,5,219,-10.2502
1970,5,3,1,313,-5.4117
1970,5,3,2,440,-5.2894
1970,5,3,3,374,-5.6857
1970,5,3,4,397,-6.3000
1970,5,3,5,311,-6.5722
1970,6,1,1,424,-10.6718
1970,6,1,2,607,-9.5865
1970,6,1,3,655,-8.9770
1970,6,1,4,537,-7.9970
1970,6,1,5,452,-7.7141
1970,6,2,1,219,-8.6108
1970,6,2,2,288,-7.9412
1970,6,2,3,317,-7.6433
1970,6,2,4,265,-6.4474
1970,6,2,5,233,-5.4659
1970,6,3,1,286,-5.2125
1970,6,3,2,312,-5.8590
1970,6,3,3,376,-6.1778
1970,6,3,4,381,-4.5781
1970,6,3,5,342,-3.5073
1970,7,1,1,436,2.0396
1970,7,1,2,577,4.5726
1970,7,1,3,609,5.2179
1970,7,1,4,544,3.6094
1970,7,1,5,376,6.8197
1970,7,2,1,207,7.7005
1970,7,2,2,266,8.7818
1970,7,2,3,307,7.1997
1970,7,2,4,286,6.4484
1970,7,2,5,194,8.1712
1970,7,3,1,256,3.3201
1970,7,3,2,315,9.6895
1970,7,3,3,367,7.9585
1970,7,3,4,387,8.1524
1970,7,3,5,258,7.2228
1970,8,1,1,479,5.5135
1970,8,1,2,646,5.5962
1970,8,1,3,537,5.9899
1970,8,1,4,723,6.1298
1970,8,1,5,410,6.6960
1970,8,2,1,218,7.2633
1970,8,2,2,295,6.6533
1970,8,2,3,259,8.5471
1970,8,2,4,344,5.1734
1970,8,2,5,206,7.9178
1970,8,3,1,262,4.9565
1970,8,3,2,344,4.5703
1970,8,3,3,338,4.4321
1970,8,3,4,450,4.4861
1970,8,3,5,269,6.1387
1970,9,1,1,509,16.7058
1970,9,1,2,771,15.5227
1970,9,1,3,699,15.4508
1970,9,1,4,776,13.4367
1970,9,1,5,475,13.6644
1970,9,2,1,232,13.5293
1970,9,2,2,349,12.1530
1970,9,2,3,323,12.3619
1970,9,2,4,374,7.8172
1970,9,2,5,202,11.0602
1970,9,3,1,277,6.6025
1970,9,3,2,495,3.6659
1970,9,3,3,418,4.1311
1970,9,3,4,477,2.2987
1970,9,3,5,261,2.5685
1970,10,1,1,524,-8.4701
1970,10,1,2,813,-7.7051
1970,10,1,3,620,-7.0226
1970,10,1,4,782,-5.8603
1970,10,1,5,533,-7.4018
1970,10,2,1,265,-6.6080
1970,10,2,2,364,-4.8602
1970,10,2,3,292,-4.7037
1970,10,2,4,370,-3.0090
1970,10,2,5,218,-6.0548
1970,10,3,1,392,-0.9780
1970,10,3,2,504,-2.1491
1970,10,3,3,378,-1.1109
1970,10,3,4,468,-1.1212
1970,10,3,5,304,-1.2928
1970,11,1,1,534,-2.9304
1970,11,1,2,813,-1.6129
1970,11,1,3,617,-2.1709
1970,11,1,4,760,-0.8965
1970,11,1,5,608,-1.6073
1970,11,2,1,270,1.3869
1970,11,2,2,361,2.3782
1970,11,2,3,286,1.3444
1970,11,2,4,360,3.5074
1970,11,2,5,276,2.8353
1970,11,3,1,390,4.8772
1970,11,3,2,503,5.6468
1970,11,3,3,357,4.6963
1970,11,3,4,444,5.5333
1970,11,3,5,440,5.4038
1970,12,1,1,511,7.8282
1970,12,1,2,805,9.7443
1970,12,1,3,557,9.6939
1970,12,1,4,741,9.4602
1970,12,1,5,552,8.4759
1970,12,2,1,267,7.5393
1970,12,2,2,365,9.5792
1970,12,2,3,260,9.6894
1970,12,2,4,367,8.5075
1970,12,2,5,250,7.6952
1970,12,3,1,390,6.4120
1970,12,3,2,506,6.8485
1970,12,3,3,328,5.1334
1970,12,3,4,449,6.8420
1970,12,3,5,406,6.6106
1971,1,1,1,487,14.6254
1971,1,1,2,681,14.9800
1971,1,1,3,506,15.6412
1971,1,1,4,671,16.6881
1971,1,1,5,582,15.9082
1971,1,2,1,243,10.1199
1971,1,2,2,318,10.0294
1971,1,2,3,231,10.3298
1971,1,2,4,328,9.8833
1971,1,2,5,255,10.1503
1971,1,3,1,368,4.6578
1971,1,3,2,455,5.0758
1971,1,3,3,307,4.0047
1971,1,3,4,410,6.2828
1971,1,3,5,402,4.5203
1971,2,1,1,494,6.4467
1971,2,1,2,675,5.6988
1971,2,1,3,514,5.1734
1971,2,1,4,698,6.4665
1971,2,1,5,593,7.5498
1971,2,2,1,253,3.7163
1971,2,2,2,304,2.6762
1971,2,2,3,230,3.7650
1971,2,2,4,304,3.6936
1971,2,2,5,255,3.2578
1971,2,3,1,376,1.4174
1971,2,3,2,445,0.1062
1971,2,3,3,292,3.5661
1971,2,3,4,372,1.0662
1971,2,3,5,383,0.9688
1971,3,1,1,501,4.0544
1971,3,1,2,620,5.5276
1971,3,1,3,572,6.7957
1971,3,1,4,698,5.7384
1971,3,1,5,591,4.4625
1971,3,2,1,257,6.0537
1971,3,2,2,302,4.5507
1971,3,2,3,248,6.7481
1971,3,2,4,306,6.7697
1971,3,2,5,258,6.0561
1971,3,3,1,377,5.0844
1971,3,3,2,437,3.3342
1971,3,3,3,306,3.7402
