year,month,rank_ME,rank_CM_12,nstocks,ret_vw
1980,10,3,4,65,1.8120
1980,10,3,5,59,4.0741
1980,11,1,1,291,7.8123
1980,11,1,2,257,7.9450
1980,11,1,3,273,8.2812
1980,11,1,4,287,12.1235
1980,11,1,5,299,13.0480
1980,11,2,1,91,12.2886
1980,11,2,2,81,12.8289
1980,11,2,3,84,9.2526
1980,11,2,4,94,14.0732
1980,11,2,5,95,17.0485
1980,11,3,1,67,12.3472
1980,11,3,2,63,12.7699
1980,11,3,3,65,11.5702
1980,11,3,4,68,13.6219
1980,11,3,5,62,16.1739
1980,12,1,1,289,-4.3423
1980,12,1,2,255,-4.7745
1980,12,1,3,268,-5.1114
1980,12,1,4,282,-5.9171
1980,12,1,5,294,-6.1413
1980,12,2,1,92,-6.2980
1980,12,2,2,83,-4.0696
1980,12,2,3,86,-4.6711
1980,12,2,4,95,-4.2605
1980,12,2,5,100,-4.0063
1980,12,3,1,66,-4.5266
1980,12,3,2,65,-3.1475
1980,12,3,3,66,-1.9882
1980,12,3,4,68,-4.8608
1980,12,3,5,65,-4.9658
1981,1,1,1,293,-0.7803
1981,1,1,2,260,-1.1182
1981,1,1,3,266,-0.4904
1981,1,1,4,282,-1.9142
1981,1,1,5,296,-4.3512
1981,1,2,1,95,-2.2445
1981,1,2,2,90,-2.6957
1981,1,2,3,86,-2.0210
1981,1,2,4,97,-2.6258
1981,1,2,5,101,-6.5558
1981,1,3,1,72,-5.6969
1981,1,3,2,65,-4.6395
1981,1,3,3,67,-3.8358
1981,1,3,4,67,-2.5791
1981,1,3,5,66,-8.9828
1981,2,1,1,304,-1.2510
1981,2,1,2,250,-0.5624
1981,2,1,3,267,-0.8695
1981,2,1,4,279,-0.5159
1981,2,1,5,292,-1.0957
1981,2,2,1,103,1.0215
1981,2,2,2,94,-1.3352
1981,2,2,3,87,1.1950
1981,2,2,4,96,0.6887
1981,2,2,5,102,0.0191
1981,2,3,1,73,1.8512
1981,2,3,2,65,4.0227
1981,2,3,3,64,4.2157
1981,2,3,4,64,1.6727
1981,2,3,5,66,1.3908
1981,3,1,1,297,7.2553
1981,3,1,2,256,7.1261
1981,3,1,3,269,6.5926
1981,3,1,4,282,7.0799
1981,3,1,5,303,5.5785
1981,3,2,1,101,8.3203
1981,3,2,2,97,9.0208
1981,3,2,3,87,9.7606
1981,3,2,4,94,8.5301
1981,3,2,5,109,8.4333
1981,3,3,1,73,8.4584
1981,3,3,2,65,6.2674
1981,3,3,3,65,6.9774
1981,3,3,4,65,7.6200
1981,3,3,5,72,8.5784
1981,4,1,1,288,4.4594
1981,4,1,2,257,4.0931
1981,4,1,3,269,5.3810
1981,4,1,4,277,3.7553
1981,4,1,5,300,3.1178
1981,4,2,1,97,0.3139
1981,4,2,2,96,3.9318
1981,4,2,3,85,2.8790
1981,4,2,4,93,2.1163
1981,4,2,5,108,1.8834
1981,4,3,1,70,-1.8694
1981,4,3,2,62,-2.0329
1981,4,3,3,64,-2.8383
1981,4,3,4,62,-2.2508
1981,4,3,5,71,-4.5755
1981,5,1,1,284,5.8902
1981,5,1,2,263,4.1447
1981,5,1,3,257,5.1901
1981,5,1,4,272,6.5614
1981,5,1,5,293,5.8692
1981,5,2,1,95,5.2983
1981,5,2,2,95,6.6356
1981,5,2,3,83,6.9983
1981,5,2,4,88,6.2460
1981,5,2,5,104,6.5690
1981,5,3,1,67,0.1999
1981,5,3,2,64,-1.0736
1981,5,3,3,63,0.7693
1981,5,3,4,58,0.0836
1981,5,3,5,71,-0.6450
1981,6,1,1,272,-2.7600
1981,6,1,2,260,-0.6699
1981,6,1,3,252,-0.6877
1981,6,1,4,258,-2.0167
1981,6,1,5,277,-1.7995
1981,6,2,1,93,-4.9620
1981,6,2,2,96,-5.7045
1981,6,2,3,83,-3.4606
1981,6,2,4,88,-4.0203
1981,6,2,5,101,-5.2373
1981,6,3,1,65,-3.3124
1981,6,3,2,64,-1.9995
1981,6,3,3,58,-3.6491
1981,6,3,4,55,-1.4834
1981,6,3,5,66,-3.6911
1981,7,1,1,307,-3.6128
1981,7,1,2,265,-3.8663
1981,7,1,3,258,-3.6889
1981,7,1,4,259,-4.2871
1981,7,1,5,297,-3.9025
1981,7,2,1,104,-0.7431
1981,7,2,2,99,-2.2021
1981,7,2,3,86,-2.2793
1981,7,2,4,90,-3.3214
1981,7,2,5,110,-2.4930
1981,7,3,1,67,1.5824
1981,7,3,2,65,-0.5985
1981,7,3,3,58,-1.4037
1981,7,3,4,56,0.7587
1981,7,3,5,71,1.3987
1981,8,1,1,311,-8.7910
1981,8,1,2,272,-8.4759
1981,8,1,3,255,-7.1212
1981,8,1,4,274,-7.8999
1981,8,1,5,302,-9.0692
1981,8,2,1,106,-7.6000
1981,8,2,2,100,-9.2276
1981,8,2,3,93,-8.6281
1981,8,2,4,93,-8.0601
1981,8,2,5,117,-7.7455
1981,8,3,1,70,-4.0587
1981,8,3,2,66,-4.8519
1981,8,3,3,59,-4.6342
1981,8,3,4,59,-3.8589
1981,8,3,5,69,-4.1997
1981,9,1,1,317,-11.0235
1981,9,1,2,267,-10.3320
1981,9,1,3,251,-9.1005
1981,9,1,4,289,-11.0569
1981,9,1,5,306,-11.2952
1981,9,2,1,107,-9.8124
1981,9,2,2,102,-8.8167
1981,9,2,3,91,-7.2140
1981,9,2,4,108,-9.3775
1981,9,2,5,120,-9.8551
1981,9,3,1,71,-7.7956
1981,9,3,2,63,-7.5810
1981,9,3,3,59,-7.3915
1981,9,3,4,61,-8.3144
1981,9,3,5,69,-9.1691
1981,10,1,1,295,8.4116
1981,10,1,2,271,9.1782
