year,month,rank_ME,rank_Resid6_6,nstocks,ret_vw
1968,12,2,1,170,-0.5069
1968,12,2,2,215,-0.2206
1968,12,2,3,220,-0.9056
1968,12,2,4,215,-1.4393
1968,12,2,5,180,-1.8921
1968,12,3,1,247,-3.3436
1968,12,3,2,347,-3.2977
1968,12,3,3,369,-4.1771
1968,12,3,4,358,-4.3048
1968,12,3,5,258,-4.1427
1969,1,1,1,370,-0.9809
1969,1,1,2,406,-0.1954
1969,1,1,3,383,-0.4273
1969,1,1,4,385,-0.7499
1969,1,1,5,341,-0.2616
1969,1,2,1,179,-1.2296
1969,1,2,2,210,-0.7094
1969,1,2,3,232,-0.7429
1969,1,2,4,217,-1.0737
1969,1,2,5,191,-0.9003
1969,1,3,1,249,-1.4492
1969,1,3,2,353,-0.5468
1969,1,3,3,379,-0.7413
1969,1,3,4,366,-0.2582
1969,1,3,5,274,-0.9727
1969,2,1,1,390,-10.9224
1969,2,1,2,421,-10.2725
1969,2,1,3,388,-9.6054
1969,2,1,4,389,-10.2639
1969,2,1,5,347,-9.7241
1969,2,2,1,181,-9.3486
1969,2,2,2,218,-7.8213
1969,2,2,3,240,-7.7594
1969,2,2,4,226,-7.2636
1969,2,2,5,185,-7.9885
1969,2,3,1,258,-4.6866
1969,2,3,2,358,-4.3534
1969,2,3,3,383,-4.8144
1969,2,3,4,368,-4.9339
1969,2,3,5,285,-4.7376
1969,3,1,1,396,0.5388
1969,3,1,2,436,1.6840
1969,3,1,3,399,1.8210
1969,3,1,4,391,2.8589
1969,3,1,5,337,4.2272
1969,3,2,1,188,0.2834
1969,3,2,2,217,1.6279
1969,3,2,3,242,2.0912
1969,3,2,4,230,3.2382
1969,3,2,5,179,3.6186
1969,3,3,1,257,3.6832
1969,3,3,2,348,3.4343
1969,3,3,3,373,2.6186
1969,3,3,4,367,2.8701
1969,3,3,5,290,3.7240
1969,4,1,1,407,-1.6313
1969,4,1,2,453,-0.3225
1969,4,1,3,417,0.0863
1969,4,1,4,392,-0.3246
1969,4,1,5,329,-1.0375
1969,4,2,1,185,0.4244
1969,4,2,2,214,0.0183
1969,4,2,3,238,1.6037
1969,4,2,4,234,0.3817
1969,4,2,5,188,1.9364
1969,4,3,1,254,2.0906
1969,4,3,2,351,2.4332
1969,4,3,3,376,2.1222
1969,4,3,4,358,1.9611
1969,4,3,5,287,2.3675
1969,5,1,1,412,-0.4540
1969,5,1,2,449,0.8275
1969,5,1,3,432,1.1085
1969,5,1,4,403,1.3717
1969,5,1,5,304,1.9790
1969,5,2,1,182,-0.1341
1969,5,2,2,220,-0.8746
1969,5,2,3,236,0.4171
1969,5,2,4,232,0.6288
1969,5,2,5,184,1.2838
1969,5,3,1,250,-0.4330
1969,5,3,2,345,0.9513
1969,5,3,3,371,0.6585
1969,5,3,4,360,0.5253
1969,5,3,5,275,0.5634
1969,6,1,1,418,-13.3170
1969,6,1,2,449,-13.1960
1969,6,1,3,431,-13.2080
1969,6,1,4,390,-13.1632
1969,6,1,5,309,-14.3926
1969,6,2,1,187,-11.5615
1969,6,2,2,221,-10.6981
1969,6,2,3,231,-10.2853
1969,6,2,4,240,-10.9718
1969,6,2,5,182,-11.3477
1969,6,3,1,246,-3.9322
1969,6,3,2,339,-6.4038
1969,6,3,3,367,-5.4540
1969,6,3,4,355,-6.2890
1969,6,3,5,280,-7.6741
1969,7,1,1,390,-11.6077
1969,7,1,2,446,-11.0481
1969,7,1,3,428,-10.8325
1969,7,1,4,425,-10.4279
1969,7,1,5,344,-11.3050
1969,7,2,1,194,-10.4206
1969,7,2,2,215,-9.6171
1969,7,2,3,233,-9.5922
1969,7,2,4,238,-8.6224
1969,7,2,5,182,-7.7223
1969,7,3,1,260,-6.1426
1969,7,3,2,348,-6.1673
1969,7,3,3,365,-5.5830
1969,7,3,4,362,-5.6718
1969,7,3,5,280,-6.1912
1969,8,1,1,378,3.8282
1969,8,1,2,446,4.4480
1969,8,1,3,453,4.0958
1969,8,1,4,440,4.0548
1969,8,1,5,353,4.4749
1969,8,2,1,187,5.9319
1969,8,2,2,230,6.1740
1969,8,2,3,224,6.0365
1969,8,2,4,240,5.9663
1969,8,2,5,187,6.7472
1969,8,3,1,279,5.1090
1969,8,3,2,353,4.6821
1969,8,3,3,370,4.4631
1969,8,3,4,371,4.4789
1969,8,3,5,286,4.7729
1969,9,1,1,379,-3.0982
1969,9,1,2,451,-3.5456
1969,9,1,3,458,-3.4392
1969,9,1,4,458,-0.9387
1969,9,1,5,358,-3.3672
1969,9,2,1,189,-1.1122
1969,9,2,2,235,-0.0071
1969,9,2,3,234,-0.6544
1969,9,2,4,222,-1.0495
1969,9,2,5,184,-0.1705
1969,9,3,1,287,-2.5619
1969,9,3,2,356,-4.1448
1969,9,3,3,398,-2.5055
1969,9,3,4,372,-3.0181
1969,9,3,5,289,-1.3887
1969,10,1,1,360,10.0708
1969,10,1,2,441,10.1007
1969,10,1,3,469,9.7599
1969,10,1,4,460,9.1740
1969,10,1,5,363,10.8978
1969,10,2,1,187,6.9350
1969,10,2,2,233,7.0573
1969,10,2,3,244,7.5029
1969,10,2,4,219,8.7445
1969,10,2,5,184,6.6500
1969,10,3,1,277,5.7626
1969,10,3,2,349,4.4009
1969,10,3,3,397,5.3589
1969,10,3,4,362,4.4137
1969,10,3,5,285,5.2657
1969,11,1,1,356,-7.2577
1969,11,1,2,443,-7.3911
1969,11,1,3,470,-6.9110
1969,11,1,4,459,-6.3353
1969,11,1,5,350,-6.2976
1969,11,2,1,172,-5.4270
1969,11,2,2,229,-4.9045
1969,11,2,3,244,-5.0092
1969,11,2,4,227,-4.7659
1969,11,2,5,187,-4.0405
1969,11,3,1,268,-4.4343
1969,11,3,2,355,-3.8852
1969,11,3,3,388,-3.1719
1969,11,3,4,362,-1.7440
1969,11,3,5,284,-2.7372
1969,12,1,1,355,-9.5023
1969,12,1,2,452,-8.8526
1969,12,1,3,476,-7.9346
1969,12,1,4,462,-8.1517
1969,12,1,5,350,-6.6370
1969,12,2,1,179,-6.2599
1969,12,2,2,240,-4.7098
1969,12,2,3,238,-6.0123
1969,12,2,4,234,-5.3597
1969,12,2,5,185,-4.7539
1969,12,3,1,273,-1.9649
1969,12,3,2,355,-1.5887
1969,12,3,3,389,-1.9556
1969,12,3,4,360,-1.4108
1969,12,3,5,282,-0.9904
1970,1,1,1,369,-2.0737
1970,1,1,2,466,-2.4187
1970,1,1,3,472,-1.6234
1970,1,1,4,460,-2.2814
1970,1,1,5,343,-3.2435
1970,1,2,1,178,-6.5121
1970,1,2,2,245,-5.3418
1970,1,2,3,245,-5.6297
1970,1,2,4,234,-6.1765
1970,1,2,5,193,-6.5496
1970,1,3,1,277,-8.5115
1970,1,3,2,354,-7.9232
1970,1,3,3,393,-7.5886
1970,1,3,4,357,-7.0920
1970,1,3,5,287,-7.1257
1970,2,1,1,396,2.3167
1970,2,1,2,478,2.5192
1970,2,1,3,473,3.3942
1970,2,1,4,442,3.3615
1970,2,1,5,318,3.2216
1970,2,2,1,179,2.8359
1970,2,2,2,245,3.3951
1970,2,2,3,242,4.0587
1970,2,2,4,231,4.4929
1970,2,2,5,203,4.8843
1970,2,3,1,262,5.7033
1970,2,3,2,354,5.1789
1970,2,3,3,381,6.7457
1970,2,3,4,363,6.6355
1970,2,3,5,300,6.1680
1970,3,1,1,417,-1.7798
1970,3,1,2,484,-1.7491
1970,3,1,3,476,-2.8653
1970,3,1,4,418,-3.5175
1970,3,1,5,318,-3.2819
1970,3,2,1,193,-0.9994
1970,3,2,2,247,-0.3448
1970,3,2,3,241,-1.8569
1970,3,2,4,235,-1.6865
1970,3,2,5,210,-2.2920
1970,3,3,1,266,-0.1047
1970,3,3,2,352,0.4366
1970,3,3,3,387,0.4423
1970,3,3,4,376,0.0431
1970,3,3,5,301,-1.2385
1970,4,1,1,423,-16.9144
1970,4,1,2,495,-17.2463
1970,4,1,3,477,-17.6281
1970,4,1,4,413,-17.2426
1970,4,1,5,290,-18.3996
1970,4,2,1,193,-15.9209
1970,4,2,2,249,-14.0021
1970,4,2,3,230,-14.2032
1970,4,2,4,231,-13.3759
1970,4,2,5,203,-16.4159
1970,4,3,1,258,-9.2832
1970,4,3,2,348,-9.0239
1970,4,3,3,389,-9.4229
1970,4,3,4,357,-9.4962
1970,4,3,5,298,-10.0809
1970,5,1,1,406,-7.6520
1970,5,1,2,485,-9.3359
1970,5,1,3,468,-9.4938
1970,5,1,4,404,-10.1703
1970,5,1,5,282,-9.5471
1970,5,2,1,201,-10.6412
1970,5,2,2,251,-10.0273
1970,5,2,3,229,-9.1480
1970,5,2,4,227,-9.3243
1970,5,2,5,195,-8.6878
1970,5,3,1,242,-3.6080
1970,5,3,2,342,-6.0477
1970,5,3,3,378,-6.7086
1970,5,3,4,361,-6.2110
1970,5,3,5,302,-7.1576
1970,6,1,1,444,-10.4596
1970,6,1,2,490,-8.7842
1970,6,1,3,450,-8.8444
1970,6,1,4,413,-9.0373
1970,6,1,5,274,-8.2385
1970,6,2,1,204,-6.9759
1970,6,2,2,238,-8.0265
1970,6,2,3,236,-7.2708
1970,6,2,4,231,-6.5025
1970,6,2,5,205,-6.7002
1970,6,3,1,252,-6.2496
1970,6,3,2,338,-5.2040
1970,6,3,3,373,-4.2304
1970,6,3,4,364,-4.9250
1970,6,3,5,299,-2.8953
1970,7,1,1,461,3.2416
1970,7,1,2,487,3.8809
1970,7,1,3,457,4.3488
1970,7,1,4,417,4.7993
1970,7,1,5,291,4.9954
1970,7,2,1,202,7.8115
1970,7,2,2,233,8.3307
1970,7,2,3,237,8.7128
1970,7,2,4,230,6.6522
1970,7,2,5,199,6.8415
1970,7,3,1,249,8.8777
1970,7,3,2,334,8.1189
1970,7,3,3,368,7.3152
1970,7,3,4,365,7.0844
1970,7,3,5,295,5.8676
1970,8,1,1,439,5.9673
1970,8,1,2,461,6.1459
1970,8,1,3,467,6.4684
1970,8,1,4,430,6.2067
1970,8,1,5,321,5.7380
1970,8,2,1,196,8.9893
1970,8,2,2,239,7.7642
1970,8,2,3,233,6.9739
1970,8,2,4,242,5.3876
1970,8,2,5,196,5.4502
1970,8,3,1,257,6.0840
1970,8,3,2,324,6.0043
1970,8,3,3,382,4.7126
1970,8,3,4,361,4.5277
1970,8,3,5,293,3.0921
1970,9,1,1,413,15.8242
1970,9,1,2,475,14.5937
1970,9,1,3,485,14.1404
1970,9,1,4,438,12.5960
1970,9,1,5,333,14.2660
1970,9,2,1,197,14.1313
1970,9,2,2,251,11.8222
1970,9,2,3,238,10.3804
1970,9,2,4,245,8.6733
1970,9,2,5,189,9.7624
1970,9,3,1,282,3.9314
1970,9,3,2,328,4.5230
1970,9,3,3,394,3.6583
1970,9,3,4,361,2.5795
1970,9,3,5,307,3.6300
1970,10,1,1,402,-10.1671
1970,10,1,2,483,-8.2365
1970,10,1,3,506,-7.5352
1970,10,1,4,453,-6.9433
1970,10,1,5,359,-4.9820
1970,10,2,1,212,-6.8170
1970,10,2,2,255,-5.8232
1970,10,2,3,243,-4.4629
1970,10,2,4,257,-4.5719
1970,10,2,5,199,-3.2737
1970,10,3,1,305,-1.1794
1970,10,3,2,353,-0.9861
1970,10,3,3,397,-0.4070
1970,10,3,4,362,-1.5547
1970,10,3,5,318,-1.1285
1970,11,1,1,412,-0.3305
1970,11,1,2,468,-1.7608
1970,11,1,3,509,-1.7105
1970,11,1,4,473,-1.0561
1970,11,1,5,372,-1.5117
1970,11,2,1,207,3.5030
1970,11,2,2,265,3.6729
1970,11,2,3,253,3.7421
1970,11,2,4,264,2.7091
1970,11,2,5,207,3.6295
1970,11,3,1,314,5.2198
1970,11,3,2,368,5.3158
1970,11,3,3,412,5.1017
1970,11,3,4,354,6.5037
1970,11,3,5,331,5.2660
1970,12,1,1,372,10.3253
1970,12,1,2,448,9.5406
1970,12,1,3,492,8.7687
1970,12,1,4,493,8.5721
1970,12,1,5,380,9.2869
1970,12,2,1,207,9.9763
1970,12,2,2,263,8.9938
1970,12,2,3,249,7.8965
1970,12,2,4,255,7.9370
1970,12,2,5,211,8.0317
1970,12,3,1,305,7.1838
1970,12,3,2,357,6.2726
1970,12,3,3,403,5.1930
1970,12,3,4,355,5.6007
1970,12,3,5,315,5.2800
1971,1,1,1,394,15.3414
1971,1,1,2,450,16.3636
1971,1,1,3,493,16.9268
1971,1,1,4,484,15.4120
1971,1,1,5,371,14.1167
1971,1,2,1,191,8.9464
1971,1,2,2,256,10.2404
1971,1,2,3,252,10.3552
1971,1,2,4,244,10.8310
1971,1,2,5,198,10.6732
1971,1,3,1,285,5.6016
1971,1,3,2,342,4.1969
1971,1,3,3,387,4.9926
1971,1,3,4,358,4.9559
1971,1,3,5,310,3.3776
1971,2,1,1,408,4.8477
1971,2,1,2,477,4.8401
1971,2,1,3,503,5.5332
1971,2,1,4,469,5.5475
1971,2,1,5,328,4.1064
1971,2,2,1,184,2.5660
1971,2,2,2,245,2.1989
1971,2,2,3,258,2.2304
1971,2,2,4,252,2.9984
1971,2,2,5,196,2.8537
1971,2,3,1,291,-0.7655
1971,2,3,2,346,1.0430
1971,2,3,3,389,1.8174
1971,2,3,4,346,1.4935
1971,2,3,5,315,3.6103
1971,3,1,1,407,4.7224
1971,3,1,2,488,5.3520
1971,3,1,3,489,5.4657
1971,3,1,4,460,6.5056
1971,3,1,5,312,6.5775
1971,3,2,1,193,5.9163
1971,3,2,2,236,5.9201
1971,3,2,3,241,5.4686
1971,3,2,4,256,5.1784
1971,3,2,5,198,5.8515
1971,3,3,1,285,3.2921
1971,3,3,2,353,4.3531
1971,3,3,3,389,4.0956
1971,3,3,4,337,3.6939
1971,3,3,5,287,3.9794
1971,4,1,1,410,0.9827
1971,4,1,2,496,2.3654
1971,4,1,3,503,1.8785
1971,4,1,4,496,1.4837
1971,4,1,5,325,1.8573
1971,4,2,1,200,2.1627
1971,4,2,2,230,4.0941
1971,4,2,3,247,3.7975
1971,4,2,4,248,4.5257
1971,4,2,5,208,3.9803
1971,4,3,1,293,2.8139
1971,4,3,2,370,2.8663
1971,4,3,3,397,4.1263
1971,4,3,4,343,5.0605
1971,4,3,5,291,4.0850
1971,5,1,1,427,-8.5314
1971,5,1,2,504,-7.3489
1971,5,1,3,496,-6.5926
1971,5,1,4,503,-5.9209
1971,5,1,5,345,-5.7140
1971,5,2,1,203,-4.5599
1971,5,2,2,247,-3.7788
1971,5,2,3,251,-4.0228
1971,5,2,4,246,-4.3491
1971,5,2,5,217,-4.3825
1971,5,3,1,289,-3.7093
1971,5,3,2,374,-3.4083
1971,5,3,3,379,-3.0262
1971,5,3,4,355,-3.4101
1971,5,3,5,298,-4.2474
1971,6,1,1,427,-3.5030
1971,6,1,2,488,-3.2838
1971,6,1,3,493,-2.9464
1971,6,1,4,492,-2.5871
1971,6,1,5,349,-2.0416
1971,6,2,1,198,-2.0191
1971,6,2,2,248,-1.6618
1971,6,2,3,246,-0.8612
1971,6,2,4,256,-0.0098
1971,6,2,5,217,0.0628
1971,6,3,1,295,0.0100
1971,6,3,2,378,0.5964
1971,6,3,3,390,0.7910
1971,6,3,4,349,1.3996
1971,6,3,5,306,0.0833
1971,7,1,1,406,-7.5587
1971,7,1,2,459,-5.6809
1971,7,1,3,487,-5.7211
1971,7,1,4,487,-5.6156
1971,7,1,5,345,-6.1769
1971,7,2,1,207,-4.8888
1971,7,2,2,252,-4.3068
1971,7,2,3,254,-4.7900
1971,7,2,4,261,-4.1160
1971,7,2,5,197,-4.6164
1971,7,3,1,296,-3.5948
1971,7,3,2,374,-4.0270
1971,7,3,3,373,-3.4327
1971,7,3,4,333,-4.0101
1971,7,3,5,293,-5.5036
1971,8,1,1,355,3.7165
1971,8,1,2,445,3.5549
1971,8,1,3,482,4.5559
1971,8,1,4,506,4.3713
1971,8,1,5,380,5.8682
1971,8,2,1,213,4.8670
1971,8,2,2,249,4.6190
1971,8,2,3,256,5.2572
1971,8,2,4,249,4.8286
1971,8,2,5,189,5.9817
1971,8,3,1,309,3.5161
1971,8,3,2,362,2.9525
1971,8,3,3,379,3.7903
1971,8,3,4,336,3.3038
1971,8,3,5,269,6.4328
1971,9,1,1,350,-2.0872
1971,9,1,2,431,-0.9328
1971,9,1,3,480,-1.6353
1971,9,1,4,517,-0.2037
1971,9,1,5,377,0.7337
1971,9,2,1,205,-0.7125
