year,month,rank_ME,rank_SUE_6,nstocks,ret_vw
1967,7,3,3,158,3.9370
1967,7,3,4,165,3.6905
1967,7,3,5,153,2.7540
1967,8,1,1,25,3.0929
1967,8,1,2,21,2.7444
1967,8,1,3,20,-0.5162
1967,8,1,4,17,0.9803
1967,8,1,5,5,-1.7038
1967,8,2,1,67,0.9380
1967,8,2,2,51,2.6940
1967,8,2,3,55,0.4573
1967,8,2,4,40,0.2329
1967,8,2,5,23,-1.2495
1967,8,3,1,139,0.2769
1967,8,3,2,187,-0.6535
1967,8,3,3,186,-0.7556
1967,8,3,4,203,-1.2907
1967,8,3,5,179,-1.3193
1967,9,1,1,26,6.2029
1967,9,1,2,20,5.8723
1967,9,1,3,21,2.9044
1967,9,1,4,18,8.0420
1967,9,1,5,4,16.9497
1967,9,2,1,68,3.2476
1967,9,2,2,55,1.9751
1967,9,2,3,51,4.1559
1967,9,2,4,46,4.7108
1967,9,2,5,26,4.2334
1967,9,3,1,140,4.0163
1967,9,3,2,188,3.2820
1967,9,3,3,191,2.9060
1967,9,3,4,205,1.9534
1967,9,3,5,179,4.1343
1967,10,1,1,21,-2.7277
1967,10,1,2,19,-6.3873
1967,10,1,3,16,-3.5876
1967,10,1,4,12,-1.5328
1967,10,1,5,4,1.5790
1967,10,2,1,60,-4.0021
1967,10,2,2,47,-5.4209
1967,10,2,3,41,-1.5603
1967,10,2,4,49,-5.9523
1967,10,2,5,22,-2.6679
1967,10,3,1,114,-5.7389
1967,10,3,2,149,-5.0067
1967,10,3,3,151,-3.5355
1967,10,3,4,159,-2.7435
1967,10,3,5,154,0.8022
1967,11,1,1,23,3.5629
1967,11,1,2,24,5.0568
1967,11,1,3,20,-0.2650
1967,11,1,4,14,9.3290
1967,11,1,5,6,-4.0115
1967,11,2,1,63,-1.6273
1967,11,2,2,63,-0.7499
1967,11,2,3,48,1.7913
1967,11,2,4,55,-1.8319
1967,11,2,5,29,-0.2787
1967,11,3,1,145,-1.4209
1967,11,3,2,182,0.1696
1967,11,3,3,187,0.5514
1967,11,3,4,196,1.1832
1967,11,3,5,182,1.9885
1967,12,1,1,21,6.8835
1967,12,1,2,24,12.3861
1967,12,1,3,20,7.0380
1967,12,1,4,15,5.7638
1967,12,1,5,5,8.0046
1967,12,2,1,59,3.4846
1967,12,2,2,66,5.0174
1967,12,2,3,50,3.7512
1967,12,2,4,56,4.9269
1967,12,2,5,30,5.5679
1967,12,3,1,146,2.7859
1967,12,3,2,185,1.8362
1967,12,3,3,187,2.8855
1967,12,3,4,199,3.3475
1967,12,3,5,180,2.6210
1968,1,1,1,19,1.0808
1968,1,1,2,22,2.0529
1968,1,1,3,17,-0.2215
1968,1,1,4,13,-0.7728
1968,1,1,5,3,1.3236
1968,1,2,1,48,0.2465
1968,1,2,2,59,1.3146
1968,1,2,3,49,1.5279
1968,1,2,4,47,-0.6978
1968,1,2,5,23,1.3733
1968,1,3,1,122,-3.6472
1968,1,3,2,145,-4.7548
1968,1,3,3,143,-4.6642
1968,1,3,4,163,-3.7683
1968,1,3,5,141,-5.3869
1968,2,1,1,19,-2.2324
1968,2,1,2,26,-5.8747
1968,2,1,3,18,-5.6715
1968,2,1,4,17,-5.6312
1968,2,1,5,9,-4.3579
1968,2,2,1,59,-2.7338
1968,2,2,2,72,-3.9048
1968,2,2,3,62,-5.8052
1968,2,2,4,59,-5.5382
1968,2,2,5,26,-0.5375
1968,2,3,1,163,-2.9346
1968,2,3,2,169,-2.4820
1968,2,3,3,181,-2.6187
1968,2,3,4,192,-4.0678
1968,2,3,5,173,-2.7807
1968,3,1,1,21,-4.0201
1968,3,1,2,25,-1.0760
1968,3,1,3,17,2.2898
1968,3,1,4,17,2.5151
1968,3,1,5,9,3.4222
1968,3,2,1,57,1.1299
1968,3,2,2,72,0.2294
1968,3,2,3,63,-0.0901
1968,3,2,4,54,-2.9696
1968,3,2,5,27,1.6422
1968,3,3,1,165,-1.0134
1968,3,3,2,168,-0.2977
1968,3,3,3,184,1.4065
1968,3,3,4,193,0.2882
1968,3,3,5,174,1.5555
1968,4,1,1,17,18.5385
1968,4,1,2,22,15.5584
1968,4,1,3,17,13.4976
1968,4,1,4,15,11.0368
1968,4,1,5,9,13.2268
1968,4,2,1,50,11.7638
1968,4,2,2,66,12.7153
1968,4,2,3,53,15.4937
1968,4,2,4,44,11.6807
1968,4,2,5,25,11.7335
1968,4,3,1,147,9.5849
1968,4,3,2,134,10.4699
1968,4,3,3,156,9.0172
1968,4,3,4,162,7.8070
1968,4,3,5,155,8.1817
1968,5,1,1,20,5.2108
1968,5,1,2,25,5.8525
1968,5,1,3,18,10.2885
1968,5,1,4,15,9.5958
1968,5,1,5,12,7.0753
1968,5,2,1,63,4.0321
1968,5,2,2,77,5.1566
1968,5,2,3,64,7.2773
1968,5,2,4,62,6.5494
1968,5,2,5,31,5.5042
1968,5,3,1,166,1.4317
1968,5,3,2,179,0.0793
1968,5,3,3,189,0.6265
1968,5,3,4,194,1.4648
1968,5,3,5,190,2.2451
1968,6,1,1,22,-1.3109
1968,6,1,2,23,2.9468
1968,6,1,3,18,2.5986
1968,6,1,4,17,1.4197
1968,6,1,5,13,2.4784
1968,6,2,1,62,-1.0933
1968,6,2,2,79,0.9681
1968,6,2,3,63,1.0649
1968,6,2,4,59,2.3066
1968,6,2,5,32,4.2752
1968,6,3,1,166,0.3427
1968,6,3,2,176,0.9854
1968,6,3,3,195,1.1964
1968,6,3,4,195,1.2417
1968,6,3,5,194,0.6205
1968,7,1,1,19,-0.4777
1968,7,1,2,18,-3.1493
1968,7,1,3,13,-1.5606
1968,7,1,4,16,-3.5862
1968,7,1,5,12,0.2100
1968,7,2,1,53,-4.5795
1968,7,2,2,68,-3.1703
1968,7,2,3,56,-2.7825
1968,7,2,4,56,-1.5028
1968,7,2,5,25,-0.6880
1968,7,3,1,129,-3.7689
1968,7,3,2,143,-2.7836
1968,7,3,3,155,-4.1836
1968,7,3,4,152,-2.3613
1968,7,3,5,156,-0.4613
1968,8,1,1,22,2.2531
1968,8,1,2,20,5.0783
1968,8,1,3,16,4.9183
1968,8,1,4,19,3.8738
1968,8,1,5,14,4.1871
1968,8,2,1,58,2.3059
1968,8,2,2,72,4.2386
1968,8,2,3,64,5.5190
1968,8,2,4,61,4.3197
1968,8,2,5,40,3.4096
1968,8,3,1,155,2.4672
1968,8,3,2,186,1.8319
1968,8,3,3,193,1.6336
1968,8,3,4,192,1.4556
1968,8,3,5,173,0.8890
1968,9,1,1,23,4.7409
1968,9,1,2,21,2.4091
1968,9,1,3,17,3.5110
1968,9,1,4,20,5.4689
1968,9,1,5,13,5.5364
1968,9,2,1,56,6.1805
1968,9,2,2,71,6.5495
1968,9,2,3,63,5.7769
1968,9,2,4,63,6.9711
1968,9,2,5,40,6.3900
1968,9,3,1,159,6.6863
1968,9,3,2,185,5.6430
1968,9,3,3,192,4.3716
1968,9,3,4,195,3.9404
1968,9,3,5,176,2.4469
1968,10,1,1,22,2.4521
1968,10,1,2,18,3.9320
1968,10,1,3,14,-1.2990
1968,10,1,4,15,-2.5275
1968,10,1,5,10,3.2492
1968,10,2,1,49,1.8202
1968,10,2,2,53,1.0128
1968,10,2,3,51,0.5144
1968,10,2,4,47,1.2874
1968,10,2,5,39,-0.4585
1968,10,3,1,129,2.1337
1968,10,3,2,153,1.3989
1968,10,3,3,144,1.9547
1968,10,3,4,157,0.6546
1968,10,3,5,150,-0.3925
1968,11,1,1,34,3.2190
1968,11,1,2,25,6.8887
1968,11,1,3,19,4.6396
1968,11,1,4,25,9.3639
1968,11,1,5,27,6.5604
1968,11,2,1,57,8.2516
1968,11,2,2,66,7.5660
1968,11,2,3,64,5.8207
1968,11,2,4,65,6.5977
1968,11,2,5,54,6.4991
1968,11,3,1,163,6.3083
1968,11,3,2,193,6.6403
1968,11,3,3,187,2.7719
1968,11,3,4,190,4.8018
1968,11,3,5,179,6.0121
1968,12,1,1,35,-2.8122
1968,12,1,2,30,-1.8796
1968,12,1,3,21,1.2348
1968,12,1,4,29,-1.7668
1968,12,1,5,29,-0.6438
1968,12,2,1,57,-1.3807
1968,12,2,2,67,-2.4362
1968,12,2,3,61,-2.7044
1968,12,2,4,68,-3.2678
1968,12,2,5,58,-1.9628
1968,12,3,1,165,-2.2365
1968,12,3,2,196,-3.1916
1968,12,3,3,192,-3.9834
1968,12,3,4,189,-4.3708
1968,12,3,5,182,-4.7277
1969,1,1,1,32,-1.6015
1969,1,1,2,28,-3.3302
1969,1,1,3,23,-5.4385
1969,1,1,4,32,-0.8765
1969,1,1,5,29,1.9132
1969,1,2,1,49,0.0023
1969,1,2,2,51,-0.1515
1969,1,2,3,52,-0.0198
1969,1,2,4,56,0.4014
1969,1,2,5,56,-1.0836
1969,1,3,1,136,-1.0820
1969,1,3,2,160,-0.6969
1969,1,3,3,142,-0.3871
1969,1,3,4,150,-0.2710
1969,1,3,5,145,-1.3262
1969,2,1,1,50,-11.1904
1969,2,1,2,51,-8.3210
1969,2,1,3,36,-8.6112
1969,2,1,4,51,-8.3008
1969,2,1,5,41,-8.9659
1969,2,2,1,66,-8.3353
1969,2,2,2,77,-6.7644
1969,2,2,3,69,-7.1069
1969,2,2,4,79,-7.1787
1969,2,2,5,69,-6.6933
1969,2,3,1,169,-6.1456
1969,2,3,2,200,-5.5605
1969,2,3,3,195,-3.7844
1969,2,3,4,184,-4.3885
1969,2,3,5,173,-3.2259
1969,3,1,1,60,0.6796
1969,3,1,2,56,1.4252
1969,3,1,3,40,1.2386
1969,3,1,4,53,2.7861
1969,3,1,5,45,2.4916
1969,3,2,1,70,-0.0021
1969,3,2,2,81,1.4058
1969,3,2,3,73,3.8997
1969,3,2,4,81,2.4583
1969,3,2,5,71,2.6093
1969,3,3,1,168,0.9483
1969,3,3,2,200,2.0481
1969,3,3,3,196,3.5449
1969,3,3,4,185,2.0663
1969,3,3,5,173,6.3994
1969,4,1,1,66,-1.0369
1969,4,1,2,62,2.4639
1969,4,1,3,41,-0.8812
1969,4,1,4,49,-1.0685
1969,4,1,5,46,1.1925
1969,4,2,1,66,-0.8383
1969,4,2,2,74,-0.1549
1969,4,2,3,66,1.9000
1969,4,2,4,77,0.1727
1969,4,2,5,59,0.5704
1969,4,3,1,142,2.7415
1969,4,3,2,158,2.6766
1969,4,3,3,173,2.0233
1969,4,3,4,154,2.1377
1969,4,3,5,148,2.0361
1969,5,1,1,137,-1.6100
1969,5,1,2,122,-0.8552
1969,5,1,3,89,-1.1750
1969,5,1,4,88,-1.1204
1969,5,1,5,94,-1.3883
1969,5,2,1,80,-0.5256
1969,5,2,2,109,-0.7074
1969,5,2,3,92,-0.2747
1969,5,2,4,101,-1.0864
1969,5,2,5,90,0.1121
1969,5,3,1,187,1.8472
1969,5,3,2,188,-0.6114
1969,5,3,3,223,0.7490
1969,5,3,4,202,0.2304
1969,5,3,5,186,0.0017
1969,6,1,1,149,-13.2652
1969,6,1,2,139,-12.2618
1969,6,1,3,102,-12.2173
1969,6,1,4,95,-12.8592
1969,6,1,5,96,-11.3344
1969,6,2,1,82,-9.7691
1969,6,2,2,111,-9.7744
1969,6,2,3,94,-10.4509
1969,6,2,4,103,-11.0548
1969,6,2,5,95,-8.9092
1969,6,3,1,187,-6.1393
1969,6,3,2,190,-6.9766
1969,6,3,3,226,-5.4527
1969,6,3,4,208,-5.7533
1969,6,3,5,185,-4.1747
1969,7,1,1,144,-11.3217
1969,7,1,2,142,-9.6992
1969,7,1,3,102,-11.2458
1969,7,1,4,88,-10.9939
1969,7,1,5,88,-8.1076
1969,7,2,1,73,-10.3961
1969,7,2,2,96,-8.2479
1969,7,2,3,85,-7.9958
1969,7,2,4,92,-7.8096
1969,7,2,5,85,-7.3420
1969,7,3,1,156,-6.6062
1969,7,3,2,152,-7.3228
1969,7,3,3,181,-5.8850
1969,7,3,4,173,-4.8633
1969,7,3,5,156,-5.5853
1969,8,1,1,184,1.6709
1969,8,1,2,205,4.3385
1969,8,1,3,156,4.6677
1969,8,1,4,121,6.1342
1969,8,1,5,109,5.3938
1969,8,2,1,89,5.3997
1969,8,2,2,126,4.7683
1969,8,2,3,108,6.1112
1969,8,2,4,124,6.6282
1969,8,2,5,98,6.4461
1969,8,3,1,182,4.3616
1969,8,3,2,193,3.7617
1969,8,3,3,221,3.3952
1969,8,3,4,212,4.6055
1969,8,3,5,192,6.2158
1969,9,1,1,193,-4.0364
1969,9,1,2,212,-3.6701
1969,9,1,3,164,-4.6833
1969,9,1,4,128,-4.7681
1969,9,1,5,113,-4.1018
1969,9,2,1,91,-0.9645
1969,9,2,2,125,-1.1323
1969,9,2,3,111,0.0552
1969,9,2,4,127,-1.2977
1969,9,2,5,102,0.3435
1969,9,3,1,182,-4.8978
1969,9,3,2,196,-2.1068
1969,9,3,3,223,-1.6930
1969,9,3,4,217,-2.1401
1969,9,3,5,195,-2.4226
1969,10,1,1,191,9.5945
1969,10,1,2,207,9.8528
1969,10,1,3,168,10.6869
1969,10,1,4,113,10.3036
1969,10,1,5,102,11.9300
1969,10,2,1,77,8.1181
1969,10,2,2,115,7.8213
1969,10,2,3,103,8.2716
1969,10,2,4,112,6.6446
1969,10,2,5,92,5.9305
1969,10,3,1,159,4.1247
1969,10,3,2,156,6.3559
1969,10,3,3,185,4.3217
1969,10,3,4,183,4.8575
1969,10,3,5,177,5.2469
1969,11,1,1,233,-7.5110
1969,11,1,2,256,-7.1426
1969,11,1,3,206,-6.8626
1969,11,1,4,143,-6.1099
1969,11,1,5,122,-6.1420
1969,11,2,1,110,-7.2577
1969,11,2,2,138,-5.9634
1969,11,2,3,129,-4.2393
1969,11,2,4,131,-4.7625
1969,11,2,5,105,-3.6193
1969,11,3,1,182,-4.0611
1969,11,3,2,194,-4.0560
1969,11,3,3,220,-3.2894
1969,11,3,4,229,-2.9439
1969,11,3,5,218,-2.0492
1969,12,1,1,234,-10.4292
1969,12,1,2,263,-8.6559
1969,12,1,3,217,-7.5802
1969,12,1,4,150,-6.7658
1969,12,1,5,125,-4.7796
1969,12,2,1,115,-6.6691
1969,12,2,2,135,-6.9019
1969,12,2,3,129,-3.7350
1969,12,2,4,137,-4.8112
1969,12,2,5,108,-2.6487
1969,12,3,1,180,-3.6130
1969,12,3,2,201,-3.1962
1969,12,3,3,220,-2.3533
1969,12,3,4,231,-2.1331
1969,12,3,5,220,0.8225
1970,1,1,1,209,-1.9213
1970,1,1,2,230,-0.4124
1970,1,1,3,195,-2.1856
1970,1,1,4,133,-2.5140
1970,1,1,5,96,-5.0334
1970,1,2,1,115,-5.7153
1970,1,2,2,110,-5.4896
1970,1,2,3,114,-4.6853
1970,1,2,4,117,-5.0251
1970,1,2,5,86,-8.3812
1970,1,3,1,137,-9.0052
1970,1,3,2,159,-8.2668
1970,1,3,3,183,-7.0557
1970,1,3,4,184,-8.0940
1970,1,3,5,193,-7.3495
1970,2,1,1,243,1.6197
1970,2,1,2,262,3.2511
1970,2,1,3,221,2.6094
1970,2,1,4,167,4.5616
1970,2,1,5,133,3.6833
1970,2,2,1,136,3.0751
1970,2,2,2,134,5.0466
1970,2,2,3,128,3.8990
1970,2,2,4,141,3.6274
1970,2,2,5,110,6.1567
1970,2,3,1,168,7.9299
1970,2,3,2,196,6.8162
1970,2,3,3,227,4.7981
1970,2,3,4,228,6.0723
1970,2,3,5,219,5.2546
1970,3,1,1,243,-1.5195
1970,3,1,2,269,-0.9020
1970,3,1,3,216,-2.9124
1970,3,1,4,164,-3.0251
1970,3,1,5,132,-3.0532
1970,3,2,1,134,0.4342
1970,3,2,2,138,0.5279
1970,3,2,3,128,-0.3363
1970,3,2,4,141,-2.1483
1970,3,2,5,108,-3.5156
1970,3,3,1,170,1.2802
1970,3,3,2,193,0.7517
1970,3,3,3,223,-0.4822
1970,3,3,4,232,1.0459
1970,3,3,5,222,-1.2088
1970,4,1,1,217,-16.8220
1970,4,1,2,234,-15.9229
1970,4,1,3,189,-17.6935
1970,4,1,4,144,-17.7066
1970,4,1,5,124,-18.1146
1970,4,2,1,121,-14.9016
1970,4,2,2,114,-14.2478
1970,4,2,3,104,-13.4897
1970,4,2,4,121,-13.3814
1970,4,2,5,96,-15.4821
1970,4,3,1,139,-7.8442
1970,4,3,2,165,-9.3154
1970,4,3,3,195,-10.0593
1970,4,3,4,195,-8.8993
1970,4,3,5,195,-9.7741
1970,5,1,1,250,-8.6092
1970,5,1,2,283,-7.4077
1970,5,1,3,221,-9.2128
1970,5,1,4,176,-9.8841
1970,5,1,5,149,-9.9449
1970,5,2,1,147,-10.0435
1970,5,2,2,144,-9.6481
1970,5,2,3,123,-9.1099
1970,5,2,4,142,-9.1697
1970,5,2,5,119,-10.0125
1970,5,3,1,165,-2.8161
1970,5,3,2,207,-4.1465
1970,5,3,3,238,-7.4961
1970,5,3,4,236,-5.6246
1970,5,3,5,235,-6.4670
1970,6,1,1,251,-10.6691
1970,6,1,2,286,-8.6538
1970,6,1,3,220,-9.5595
1970,6,1,4,175,-7.3250
1970,6,1,5,153,-8.1103
1970,6,2,1,145,-8.9066
1970,6,2,2,141,-7.0042
1970,6,2,3,126,-7.1647
1970,6,2,4,142,-4.6967
1970,6,2,5,126,-7.1838
1970,6,3,1,165,-4.1857
1970,6,3,2,209,-5.3446
1970,6,3,3,236,-6.1625
1970,6,3,4,231,-5.3491
1970,6,3,5,238,-3.3473
1970,7,1,1,217,3.5937
1970,7,1,2,249,3.1657
1970,7,1,3,167,4.3728
1970,7,1,4,145,5.2444
1970,7,1,5,134,5.0487
1970,7,2,1,124,8.2025
1970,7,2,2,128,8.1903
1970,7,2,3,107,7.3052
1970,7,2,4,112,7.3982
1970,7,2,5,109,7.8902
1970,7,3,1,135,10.8948
1970,7,3,2,169,8.3524
1970,7,3,3,193,6.0297
1970,7,3,4,200,8.7775
1970,7,3,5,185,4.5745
1970,8,1,1,247,7.6663
1970,8,1,2,275,4.9414
1970,8,1,3,237,6.8338
1970,8,1,4,190,4.7326
1970,8,1,5,143,7.2215
1970,8,2,1,139,9.2563
1970,8,2,2,144,8.7096
1970,8,2,3,149,6.5414
1970,8,2,4,136,5.8956
1970,8,2,5,123,5.2480
1970,8,3,1,167,6.8147
1970,8,3,2,210,6.2106
1970,8,3,3,232,4.8235
1970,8,3,4,251,4.2452
1970,8,3,5,219,3.2666
1970,9,1,1,254,15.7611
1970,9,1,2,276,14.8021
1970,9,1,3,237,14.9228
1970,9,1,4,195,12.2021
1970,9,1,5,145,11.0215
1970,9,2,1,134,12.3667
1970,9,2,2,145,11.2189
1970,9,2,3,154,10.3160
1970,9,2,4,142,8.4063
1970,9,2,5,122,9.2425
1970,9,3,1,169,2.1930
1970,9,3,2,215,3.7923
1970,9,3,3,237,3.5499
1970,9,3,4,254,3.1774
1970,9,3,5,224,4.7420
1970,10,1,1,228,-10.0482
1970,10,1,2,227,-9.5536
1970,10,1,3,215,-8.0870
1970,10,1,4,170,-3.7863
1970,10,1,5,122,-3.6580
1970,10,2,1,115,-6.0343
1970,10,2,2,121,-7.0734
1970,10,2,3,132,-6.3809
1970,10,2,4,122,-3.5103
1970,10,2,5,105,-2.8868
1970,10,3,1,144,-1.3412
1970,10,3,2,175,-0.5677
1970,10,3,3,190,-1.8210
1970,10,3,4,205,-1.1598
1970,10,3,5,195,-0.2111
1970,11,1,1,260,-1.1348
1970,11,1,2,263,-0.1376
1970,11,1,3,258,0.1341
1970,11,1,4,209,-0.8026
1970,11,1,5,146,-1.6085
1970,11,2,1,131,2.9054
1970,11,2,2,137,4.1565
1970,11,2,3,153,3.9724
1970,11,2,4,143,3.1953
1970,11,2,5,115,3.0262
1970,11,3,1,176,6.5498
1970,11,3,2,225,4.9853
1970,11,3,3,226,5.1026
1970,11,3,4,244,5.2374
1970,11,3,5,237,5.5763
1970,12,1,1,266,11.5187
1970,12,1,2,270,10.1931
1970,12,1,3,260,8.7916
1970,12,1,4,208,8.8779
1970,12,1,5,146,9.1978
1970,12,2,1,127,10.8121
1970,12,2,2,137,10.2232
1970,12,2,3,155,8.5927
1970,12,2,4,144,9.3074
1970,12,2,5,117,5.7913
1970,12,3,1,179,5.8686
1970,12,3,2,227,6.8383
1970,12,3,3,223,7.0775
1970,12,3,4,245,5.4787
1970,12,3,5,238,4.9302
1971,1,1,1,225,17.1523
1971,1,1,2,224,15.0161
1971,1,1,3,232,15.1063
1971,1,1,4,179,14.4890
1971,1,1,5,109,12.6596
1971,1,2,1,103,9.7608
1971,1,2,2,110,11.0858
1971,1,2,3,136,11.8893
1971,1,2,4,117,9.9593
1971,1,2,5,99,7.2208
1971,1,3,1,155,3.3708
1971,1,3,2,180,4.1915
1971,1,3,3,161,6.1603
1971,1,3,4,192,4.2950
1971,1,3,5,200,3.8033
1971,2,1,1,261,3.7990
1971,2,1,2,263,5.3640
1971,2,1,3,280,5.4655
1971,2,1,4,213,4.0322
1971,2,1,5,132,5.1320
1971,2,2,1,131,2.3587
1971,2,2,2,133,1.7610
1971,2,2,3,161,2.9125
1971,2,2,4,152,3.1880
1971,2,2,5,111,3.4806
1971,2,3,1,188,2.2235
1971,2,3,2,222,2.3888
1971,2,3,3,201,0.5988
1971,2,3,4,235,1.8409
1971,2,3,5,235,0.9285
1971,3,1,1,262,5.8812
1971,3,1,2,265,4.8578
1971,3,1,3,286,6.4002
1971,3,1,4,222,7.5395
1971,3,1,5,137,6.1779
1971,3,2,1,130,5.3108
1971,3,2,2,133,5.5455
1971,3,2,3,158,5.3944
1971,3,2,4,156,5.4473
1971,3,2,5,110,7.1111
1971,3,3,1,188,3.4965
1971,3,3,2,221,3.1265
1971,3,3,3,199,2.4513
1971,3,3,4,240,4.2102
1971,3,3,5,236,5.7145
1971,4,1,1,232,2.4130
1971,4,1,2,238,2.7759
1971,4,1,3,242,1.6048
1971,4,1,4,188,1.7881
1971,4,1,5,126,2.7133
1971,4,2,1,115,4.2682
1971,4,2,2,112,4.8046
1971,4,2,3,140,3.4266
1971,4,2,4,136,4.0775
1971,4,2,5,98,3.3387
1971,4,3,1,157,4.7326
1971,4,3,2,190,5.4809
1971,4,3,3,168,2.9966
1971,4,3,4,203,3.3869
1971,4,3,5,207,2.7811
1971,5,1,1,260,-7.8007
1971,5,1,2,275,-6.8395
1971,5,1,3,286,-6.8048
1971,5,1,4,232,-5.6131
1971,5,1,5,161,-5.4173
1971,5,2,1,134,-5.1629
1971,5,2,2,144,-3.1839
1971,5,2,3,155,-5.4848
1971,5,2,4,159,-4.2296
1971,5,2,5,124,-3.8528
1971,5,3,1,189,-3.7768
1971,5,3,2,229,-2.7459
1971,5,3,3,228,-3.2958
1971,5,3,4,241,-4.4339
1971,5,3,5,241,-2.6841
1971,6,1,1,261,-3.6866
1971,6,1,2,268,-2.9448
1971,6,1,3,289,-3.6075
1971,6,1,4,239,-1.6925
1971,6,1,5,158,-2.2280
1971,6,2,1,134,-2.3529
1971,6,2,2,147,-3.4245
1971,6,2,3,156,-1.6929
1971,6,2,4,157,0.6482
1971,6,2,5,123,2.0399
1971,6,3,1,189,-2.2907
1971,6,3,2,227,-0.7390
1971,6,3,3,233,0.7990
1971,6,3,4,242,0.3405
1971,6,3,5,249,2.8317
1971,7,1,1,217,-6.6320
1971,7,1,2,224,-4.9769
1971,7,1,3,251,-6.0869
1971,7,1,4,206,-6.0208
1971,7,1,5,145,-5.6432
1971,7,2,1,113,-4.9115
1971,7,2,2,123,-2.3936
1971,7,2,3,127,-5.6012
1971,7,2,4,145,-4.5005
1971,7,2,5,103,-4.4519
1971,7,3,1,152,-4.9651
1971,7,3,2,188,-5.0259
1971,7,3,3,193,-4.4749
1971,7,3,4,194,-3.4919
1971,7,3,5,204,-3.6813
1971,8,1,1,248,4.9329
1971,8,1,2,292,4.0380
1971,8,1,3,316,5.3456
1971,8,1,4,255,5.8433
1971,8,1,5,155,4.9210
1971,8,2,1,139,5.3738
1971,8,2,2,146,6.0159
1971,8,2,3,157,4.5188
1971,8,2,4,163,5.5250
1971,8,2,5,126,3.4115
1971,8,3,1,194,7.6025
1971,8,3,2,229,6.1914
1971,8,3,3,244,3.0944
1971,8,3,4,247,2.5594
1971,8,3,5,237,3.1825
1971,9,1,1,252,-2.1257
1971,9,1,2,294,-2.1027
1971,9,1,3,313,-0.2174
1971,9,1,4,262,1.9385
1971,9,1,5,162,0.6925
1971,9,2,1,143,-1.6549
1971,9,2,2,147,-1.4233
1971,9,2,3,155,-1.1360
1971,9,2,4,158,-0.6598
