year,month,rank_ME,rank_SIM_1,nstocks,ret_vw
1968,7,3,1,100,-4.0258
1968,7,3,2,78,-3.8891
1968,7,3,3,64,-4.7364
1968,7,3,4,96,-3.6675
1968,7,3,5,233,0.6171
1968,8,1,1,230,2.6297
1968,8,1,2,112,2.7429
1968,8,1,3,200,4.7720
1968,8,1,4,201,7.2061
1968,8,1,5,143,4.1962
1968,8,2,1,109,1.7767
1968,8,2,2,54,3.9652
1968,8,2,3,85,4.7871
1968,8,2,4,85,5.8982
1968,8,2,5,98,0.9954
1968,8,3,1,135,0.8099
1968,8,3,2,37,4.1725
1968,8,3,3,128,1.1959
1968,8,3,4,110,1.6642
1968,8,3,5,182,1.2879
1968,9,1,1,153,5.1168
1968,9,1,2,174,5.7207
1968,9,1,3,191,6.9165
1968,9,1,4,207,7.1770
1968,9,1,5,157,9.4933
1968,9,2,1,114,5.4595
1968,9,2,2,85,5.7950
1968,9,2,3,94,6.3822
1968,9,2,4,80,7.5920
1968,9,2,5,61,9.3606
1968,9,3,1,249,2.4843
1968,9,3,2,91,5.0163
1968,9,3,3,91,7.5074
1968,9,3,4,84,4.8415
1968,9,3,5,74,5.2094
1968,10,1,1,141,-2.6191
1968,10,1,2,168,-0.3525
1968,10,1,3,136,-0.4921
1968,10,1,4,134,0.8226
1968,10,1,5,293,1.3177
1968,10,2,1,92,1.4288
1968,10,2,2,83,0.3791
1968,10,2,3,73,0.8382
1968,10,2,4,59,-0.7464
1968,10,2,5,125,1.8215
1968,10,3,1,173,-0.9530
1968,10,3,2,129,1.4441
1968,10,3,3,72,3.0291
1968,10,3,4,85,0.5608
1968,10,3,5,132,1.0309
1968,11,1,1,178,6.5861
1968,11,1,2,229,8.9552
1968,11,1,3,201,6.3675
1968,11,1,4,136,6.8127
1968,11,1,5,130,6.3460
1968,11,2,1,93,7.8735
1968,11,2,2,107,8.3080
1968,11,2,3,82,8.3606
1968,11,2,4,83,9.0122
1968,11,2,5,58,6.5705
1968,11,3,1,222,7.3339
1968,11,3,2,114,5.9114
1968,11,3,3,102,6.4521
1968,11,3,4,73,3.0147
1968,11,3,5,74,-0.0532
1968,12,1,1,126,4.1249
1968,12,1,2,128,0.1700
1968,12,1,3,146,2.3848
1968,12,1,4,227,2.0779
1968,12,1,5,235,1.7608
1968,12,2,1,75,-2.1397
1968,12,2,2,54,-2.3477
1968,12,2,3,67,0.4618
1968,12,2,4,99,-0.9347
1968,12,2,5,137,-0.6326
1968,12,3,1,63,-2.9665
1968,12,3,2,78,-2.8143
1968,12,3,3,78,-3.9590
1968,12,3,4,155,-4.7985
1968,12,3,5,206,-4.0229
1969,1,1,1,128,-0.0092
1969,1,1,2,255,-1.0696
1969,1,1,3,184,-0.5459
1969,1,1,4,136,-2.0104
1969,1,1,5,151,0.2968
1969,1,2,1,81,-1.4029
1969,1,2,2,108,-1.7994
1969,1,2,3,74,-1.5239
1969,1,2,4,80,0.0419
1969,1,2,5,82,1.1698
1969,1,3,1,127,-1.1978
1969,1,3,2,130,-0.8793
1969,1,3,3,90,-2.6994
1969,1,3,4,131,0.9910
1969,1,3,5,104,-0.5741
1969,2,1,1,218,-11.6047
1969,2,1,2,147,-9.1314
1969,2,1,3,118,-8.7202
1969,2,1,4,209,-9.8975
1969,2,1,5,150,-8.9102
1969,2,2,1,84,-9.4242
1969,2,2,2,88,-9.1125
1969,2,2,3,51,-8.9878
1969,2,2,4,96,-9.3509
1969,2,2,5,106,-6.7842
1969,2,3,1,88,-4.1747
1969,2,3,2,125,-5.0953
1969,2,3,3,65,-3.3540
1969,2,3,4,151,-4.6568
1969,2,3,5,152,-5.4628
1969,3,1,1,250,1.4513
1969,3,1,2,179,1.6500
1969,3,1,3,186,1.3258
1969,3,1,4,134,3.1619
1969,3,1,5,94,2.3105
1969,3,2,1,118,2.8990
1969,3,2,2,95,1.8785
1969,3,2,3,64,1.6261
1969,3,2,4,87,1.3701
1969,3,2,5,57,4.7016
1969,3,3,1,143,2.0777
1969,3,3,2,112,4.8552
1969,3,3,3,91,1.9073
1969,3,3,4,141,1.1025
1969,3,3,5,88,5.4455
1969,4,1,1,159,-2.2607
1969,4,1,2,170,-2.3519
1969,4,1,3,124,0.4911
1969,4,1,4,126,-2.6834
1969,4,1,5,256,1.2517
1969,4,2,1,72,-1.0141
1969,4,2,2,123,-0.8884
1969,4,2,3,50,1.5428
1969,4,2,4,67,0.5656
1969,4,2,5,102,2.2069
1969,4,3,1,74,1.7640
1969,4,3,2,225,1.3834
1969,4,3,3,46,2.9884
1969,4,3,4,84,3.3666
1969,4,3,5,152,2.2547
1969,5,1,1,148,-1.2561
1969,5,1,2,123,-0.3867
1969,5,1,3,190,1.9143
1969,5,1,4,168,-0.5654
1969,5,1,5,195,5.1348
1969,5,2,1,72,-1.3126
1969,5,2,2,64,-2.2984
1969,5,2,3,124,-0.3279
1969,5,2,4,59,-1.5487
1969,5,2,5,101,1.8975
1969,5,3,1,106,0.6646
1969,5,3,2,53,-0.5868
1969,5,3,3,195,1.6977
1969,5,3,4,105,-0.7149
1969,5,3,5,121,0.2761
1969,6,1,1,135,-12.2723
1969,6,1,2,192,-13.8145
1969,6,1,3,151,-12.1874
1969,6,1,4,229,-14.1176
1969,6,1,5,105,-13.5386
1969,6,2,1,60,-10.8592
1969,6,2,2,78,-13.0791
1969,6,2,3,76,-11.5333
1969,6,2,4,108,-12.4520
1969,6,2,5,100,-8.6684
1969,6,3,1,111,-2.4367
1969,6,3,2,72,-4.7580
1969,6,3,3,105,-6.5635
1969,6,3,4,132,-6.2596
1969,6,3,5,163,-7.4921
1969,7,1,1,134,-11.0130
1969,7,1,2,235,-11.9780
1969,7,1,3,146,-12.1960
1969,7,1,4,192,-13.8385
1969,7,1,5,119,-8.8114
1969,7,2,1,75,-9.3102
1969,7,2,2,110,-10.7672
1969,7,2,3,63,-10.7501
1969,7,2,4,88,-9.2169
1969,7,2,5,76,-5.8178
1969,7,3,1,134,-7.4741
1969,7,3,2,120,-6.7566
1969,7,3,3,65,-8.7381
1969,7,3,4,82,-5.9026
1969,7,3,5,179,-4.0266
1969,8,1,1,292,6.2391
1969,8,1,2,148,3.2347
1969,8,1,3,156,5.7004
1969,8,1,4,235,4.9902
1969,8,1,5,93,2.4945
1969,8,2,1,157,7.4419
1969,8,2,2,64,3.9164
1969,8,2,3,74,6.3103
1969,8,2,4,89,7.6251
1969,8,2,5,66,3.7697
1969,8,3,1,206,5.5700
1969,8,3,2,75,4.0793
1969,8,3,3,62,1.5861
1969,8,3,4,133,6.6695
1969,8,3,5,127,2.2696
1969,9,1,1,148,-3.7373
1969,9,1,2,158,-5.0213
1969,9,1,3,153,-5.3161
1969,9,1,4,187,-1.6157
1969,9,1,5,273,-1.6377
1969,9,2,1,105,-2.0596
1969,9,2,2,47,-3.1493
1969,9,2,3,79,0.4476
1969,9,2,4,75,1.3954
1969,9,2,5,147,-0.6373
1969,9,3,1,150,-2.2937
1969,9,3,2,56,-3.6843
1969,9,3,3,78,-0.2658
1969,9,3,4,146,-3.0538
1969,9,3,5,170,-2.3648
1969,10,1,1,153,9.2714
1969,10,1,2,151,7.4576
1969,10,1,3,140,7.5047
1969,10,1,4,243,12.9519
1969,10,1,5,222,14.4441
1969,10,2,1,115,4.8716
1969,10,2,2,68,5.7785
1969,10,2,3,72,7.9382
1969,10,2,4,96,8.3377
1969,10,2,5,103,12.0129
1969,10,3,1,197,3.6993
1969,10,3,2,86,4.4433
1969,10,3,3,77,4.8827
1969,10,3,4,106,5.8693
1969,10,3,5,135,6.3572
1969,11,1,1,164,-8.5631
1969,11,1,2,148,-6.8736
1969,11,1,3,130,-5.2754
1969,11,1,4,249,-5.9674
1969,11,1,5,212,-7.4742
1969,11,2,1,113,-5.8740
1969,11,2,2,64,-4.5468
1969,11,2,3,86,-4.5868
1969,11,2,4,116,-3.1488
1969,11,2,5,75,-5.3389
1969,11,3,1,157,-4.3821
1969,11,3,2,75,-4.6210
1969,11,3,3,121,-3.8052
1969,11,3,4,158,-1.4020
1969,11,3,5,94,-1.6379
1969,12,1,1,188,-9.6450
1969,12,1,2,136,-9.0753
1969,12,1,3,238,-7.6582
1969,12,1,4,157,-9.4488
1969,12,1,5,183,-9.0500
1969,12,2,1,105,-8.7557
1969,12,2,2,74,-5.4562
1969,12,2,3,127,-3.5485
1969,12,2,4,73,-6.1856
1969,12,2,5,71,-4.0239
1969,12,3,1,128,-2.6006
1969,12,3,2,65,-2.1841
1969,12,3,3,182,-2.9524
1969,12,3,4,69,0.3486
1969,12,3,5,160,-0.3676
1970,1,1,1,217,-1.2760
1970,1,1,2,86,-2.8794
1970,1,1,3,196,-1.7170
1970,1,1,4,257,-2.8994
1970,1,1,5,146,-3.3526
1970,1,2,1,92,-6.4768
1970,1,2,2,74,-4.5621
1970,1,2,3,64,-7.8323
1970,1,2,4,116,-8.4593
1970,1,2,5,99,-4.3863
1970,1,3,1,129,-9.4130
1970,1,3,2,98,-5.4599
1970,1,3,3,72,-9.0017
1970,1,3,4,104,-8.0757
1970,1,3,5,198,-6.9588
1970,2,1,1,204,1.6098
1970,2,1,2,239,2.6333
1970,2,1,3,165,2.6413
1970,2,1,4,158,2.3837
1970,2,1,5,142,3.1353
1970,2,2,1,93,3.5958
1970,2,2,2,88,5.5987
1970,2,2,3,90,1.9907
1970,2,2,4,74,3.9781
1970,2,2,5,89,4.4627
1970,2,3,1,118,8.2059
1970,2,3,2,111,4.1031
1970,2,3,3,162,4.0118
1970,2,3,4,67,10.3317
1970,2,3,5,141,7.4809
1970,3,1,1,159,-3.4325
1970,3,1,2,303,-4.8103
1970,3,1,3,129,-3.8735
1970,3,1,4,160,-3.2781
1970,3,1,5,152,-1.9843
1970,3,2,1,88,-3.0059
1970,3,2,2,122,-2.8416
1970,3,2,3,59,-4.0008
1970,3,2,4,69,-1.0266
1970,3,2,5,98,0.7554
1970,3,3,1,131,-0.8562
1970,3,3,2,153,-1.3292
1970,3,3,3,87,-0.3184
1970,3,3,4,64,3.2704
1970,3,3,5,167,1.1954
1970,4,1,1,321,-18.0828
1970,4,1,2,184,-22.1634
1970,4,1,3,133,-17.4755
1970,4,1,4,180,-14.8312
1970,4,1,5,91,-17.4388
1970,4,2,1,139,-18.1161
1970,4,2,2,81,-18.5684
1970,4,2,3,72,-15.1946
1970,4,2,4,94,-11.3859
1970,4,2,5,44,-13.9361
1970,4,3,1,187,-10.3375
1970,4,3,2,126,-10.3657
1970,4,3,3,86,-7.6759
1970,4,3,4,145,-8.5219
1970,4,3,5,55,-8.7287
1970,5,1,1,309,-10.2149
1970,5,1,2,219,-10.3862
1970,5,1,3,114,-8.1183
1970,5,1,4,166,-8.3637
1970,5,1,5,103,-7.7149
1970,5,2,1,141,-10.3019
1970,5,2,2,92,-12.7496
1970,5,2,3,73,-8.5992
1970,5,2,4,70,-9.7214
1970,5,2,5,50,-10.0448
1970,5,3,1,168,-3.2555
1970,5,3,2,148,-7.8910
1970,5,3,3,127,-7.4723
1970,5,3,4,87,-6.7109
1970,5,3,5,63,-4.8352
1970,6,1,1,244,-11.5445
1970,6,1,2,277,-8.1137
1970,6,1,3,128,-10.8478
1970,6,1,4,134,-8.8974
1970,6,1,5,124,-7.7984
1970,6,2,1,105,-10.0289
1970,6,2,2,114,-6.9875
1970,6,2,3,34,-6.1412
1970,6,2,4,69,-10.3849
1970,6,2,5,105,-5.0768
1970,6,3,1,100,-9.0817
1970,6,3,2,138,-2.6829
1970,6,3,3,50,-4.4151
1970,6,3,4,66,-7.8179
1970,6,3,5,236,-3.0800
1970,7,1,1,215,3.4862
1970,7,1,2,135,3.2422
1970,7,1,3,260,6.2101
1970,7,1,4,163,5.7428
1970,7,1,5,125,4.2481
1970,7,2,1,106,4.7415
1970,7,2,2,68,7.2039
1970,7,2,3,121,9.0914
1970,7,2,4,71,9.8249
1970,7,2,5,57,8.1915
1970,7,3,1,138,6.4687
1970,7,3,2,59,4.5636
1970,7,3,3,119,7.3825
1970,7,3,4,150,8.9532
1970,7,3,5,125,7.9177
1970,8,1,1,139,5.3283
1970,8,1,2,162,6.4874
1970,8,1,3,124,5.7985
1970,8,1,4,119,7.2168
1970,8,1,5,349,6.2100
1970,8,2,1,58,3.3964
1970,8,2,2,76,7.9990
1970,8,2,3,55,5.7237
1970,8,2,4,39,12.4855
1970,8,2,5,170,6.7304
1970,8,3,1,71,3.4859
1970,8,3,2,62,3.8307
1970,8,3,3,89,2.1942
1970,8,3,4,72,6.6189
1970,8,3,5,259,5.1495
1970,9,1,1,127,13.7898
1970,9,1,2,125,14.9798
1970,9,1,3,133,15.4429
1970,9,1,4,321,15.5122
1970,9,1,5,181,17.8650
1970,9,2,1,64,8.6042
1970,9,2,2,59,9.7178
1970,9,2,3,80,9.8242
1970,9,2,4,148,12.9726
1970,9,2,5,50,14.2450
1970,9,3,1,70,4.9112
1970,9,3,2,81,5.8052
1970,9,3,3,154,2.5670
1970,9,3,4,169,3.2740
1970,9,3,5,80,1.8511
1970,10,1,1,131,-7.0805
1970,10,1,2,114,-6.1647
1970,10,1,3,188,-9.2569
1970,10,1,4,159,-5.8821
1970,10,1,5,288,-6.6470
1970,10,2,1,73,-4.5054
1970,10,2,2,54,-3.5814
1970,10,2,3,62,-4.4237
1970,10,2,4,86,-3.9378
1970,10,2,5,122,-4.8144
1970,10,3,1,167,-2.2586
1970,10,3,2,88,0.2826
1970,10,3,3,72,2.2718
1970,10,3,4,107,-4.4929
1970,10,3,5,128,-0.5242
1970,11,1,1,316,-1.5318
1970,11,1,2,148,-3.0401
1970,11,1,3,123,-3.1576
1970,11,1,4,152,-0.4020
1970,11,1,5,136,-2.3970
1970,11,2,1,126,3.9544
1970,11,2,2,68,-1.0388
1970,11,2,3,66,0.9356
1970,11,2,4,68,1.6140
1970,11,2,5,70,6.2440
1970,11,3,1,144,6.7059
1970,11,3,2,65,5.3350
1970,11,3,3,66,4.2175
1970,11,3,4,110,3.8957
