year,month,rank_ME,rank_COP,nstocks,ret_vw
1968,9,1,4,83,6.8468
1968,9,1,5,116,6.8222
1968,9,2,1,70,6.3982
1968,9,2,2,50,7.7053
1968,9,2,3,52,6.0140
1968,9,2,4,48,7.0972
1968,9,2,5,43,8.7790
1968,9,3,1,68,4.6162
1968,9,3,2,82,6.2301
1968,9,3,3,77,5.9324
1968,9,3,4,88,4.2775
1968,9,3,5,94,2.1727
1968,10,1,1,182,-1.7969
1968,10,1,2,95,1.4990
1968,10,1,3,96,1.5876
1968,10,1,4,82,1.2934
1968,10,1,5,116,0.7702
1968,10,2,1,70,-1.1927
1968,10,2,2,50,0.3317
1968,10,2,3,52,1.9526
1968,10,2,4,48,0.5319
1968,10,2,5,43,3.7038
1968,10,3,1,68,0.2982
1968,10,3,2,82,0.4502
1968,10,3,3,77,3.1632
1968,10,3,4,88,1.3660
1968,10,3,5,93,-0.7124
1968,11,1,1,182,6.6346
1968,11,1,2,94,6.2417
1968,11,1,3,96,5.3508
1968,11,1,4,82,5.6999
1968,11,1,5,116,10.5324
1968,11,2,1,70,9.0991
1968,11,2,2,50,8.4474
1968,11,2,3,52,7.2095
1968,11,2,4,48,8.7975
1968,11,2,5,44,6.8016
1968,11,3,1,68,8.2377
1968,11,3,2,82,3.2664
1968,11,3,3,77,6.0307
1968,11,3,4,88,5.6453
1968,11,3,5,93,4.8225
1968,12,1,1,182,2.3933
1968,12,1,2,94,0.8940
1968,12,1,3,97,1.4926
1968,12,1,4,83,2.3765
1968,12,1,5,116,2.4903
1968,12,2,1,70,-1.7572
1968,12,2,2,50,-2.5285
1968,12,2,3,52,-0.3104
1968,12,2,4,48,0.6848
1968,12,2,5,44,-2.4879
1968,12,3,1,68,-4.8974
1968,12,3,2,82,-3.4716
1968,12,3,3,77,-3.2110
1968,12,3,4,88,-4.4594
1968,12,3,5,93,-4.4493
1969,1,1,1,182,-0.3842
1969,1,1,2,94,-1.3418
1969,1,1,3,97,-0.8836
1969,1,1,4,83,-2.8754
1969,1,1,5,116,-1.2086
1969,1,2,1,70,-1.5522
1969,1,2,2,50,-2.3268
1969,1,2,3,52,-1.1236
1969,1,2,4,48,-2.7133
1969,1,2,5,44,-1.8279
1969,1,3,1,68,-2.1226
1969,1,3,2,82,-1.7320
1969,1,3,3,76,-0.6797
1969,1,3,4,88,-0.3095
1969,1,3,5,93,-1.7153
1969,2,1,1,181,-11.4357
1969,2,1,2,94,-10.4361
1969,2,1,3,95,-10.0064
1969,2,1,4,83,-9.5229
1969,2,1,5,116,-8.3042
1969,2,2,1,70,-10.5592
1969,2,2,2,50,-8.0221
1969,2,2,3,52,-8.0532
1969,2,2,4,48,-6.5473
1969,2,2,5,44,-8.1666
1969,2,3,1,68,-9.3185
1969,2,3,2,82,-4.1672
1969,2,3,3,76,-5.7513
1969,2,3,4,88,-4.0255
1969,2,3,5,93,-2.8997
1969,3,1,1,181,2.1994
1969,3,1,2,94,3.7879
1969,3,1,3,95,3.7810
1969,3,1,4,83,1.3206
1969,3,1,5,116,3.0086
1969,3,2,1,69,0.6577
1969,3,2,2,50,5.0903
1969,3,2,3,52,3.0185
1969,3,2,4,48,3.2074
1969,3,2,5,44,3.9316
1969,3,3,1,68,2.6989
1969,3,3,2,82,3.9741
1969,3,3,3,76,6.5552
