year,month,rank_ME,rank_CLA,nstocks,ret_vw
1968,8,3,2,75,1.6787
1968,8,3,3,85,1.9373
1968,8,3,4,88,1.8130
1968,8,3,5,98,1.3281
1968,9,1,1,193,7.4563
1968,9,1,2,102,9.1521
1968,9,1,3,87,7.0725
1968,9,1,4,90,6.1077
1968,9,1,5,100,7.3122
1968,9,2,1,73,6.5697
1968,9,2,2,50,6.7025
1968,9,2,3,49,7.2764
1968,9,2,4,43,6.9286
1968,9,2,5,48,8.1306
1968,9,3,1,63,4.9914
1968,9,3,2,75,6.6389
1968,9,3,3,85,6.0968
1968,9,3,4,88,3.9553
1968,9,3,5,98,2.2960
1968,10,1,1,193,-1.1446
1968,10,1,2,101,1.2478
1968,10,1,3,87,0.0174
1968,10,1,4,89,1.7563
1968,10,1,5,100,0.8696
1968,10,2,1,73,-1.2120
1968,10,2,2,50,1.0456
1968,10,2,3,49,0.9792
1968,10,2,4,43,1.6759
1968,10,2,5,48,2.9093
1968,10,3,1,63,0.0721
1968,10,3,2,75,1.0571
1968,10,3,3,85,1.8340
1968,10,3,4,88,2.2140
1968,10,3,5,97,-0.8429
1968,11,1,1,192,6.4953
1968,11,1,2,101,5.6534
1968,11,1,3,87,7.0760
1968,11,1,4,89,6.2435
1968,11,1,5,100,10.1586
1968,11,2,1,73,9.0828
1968,11,2,2,50,7.6814
1968,11,2,3,49,7.2919
1968,11,2,4,43,8.1209
1968,11,2,5,49,8.1016
1968,11,3,1,63,9.0560
1968,11,3,2,75,3.3422
1968,11,3,3,85,5.8118
1968,11,3,4,88,5.6062
1968,11,3,5,97,4.8966
1968,12,1,1,192,2.5378
1968,12,1,2,102,1.5448
1968,12,1,3,87,-1.4845
1968,12,1,4,90,3.8845
1968,12,1,5,100,2.6350
1968,12,2,1,73,-1.5971
1968,12,2,2,50,-2.1393
1968,12,2,3,49,-0.1291
1968,12,2,4,43,-1.5730
1968,12,2,5,49,-0.9658
1968,12,3,1,63,-4.5515
1968,12,3,2,75,-3.0304
1968,12,3,3,85,-3.4460
1968,12,3,4,88,-4.6484
1968,12,3,5,97,-4.3405
1969,1,1,1,192,-0.4111
1969,1,1,2,102,-1.1162
1969,1,1,3,87,-0.3017
1969,1,1,4,90,-2.9896
1969,1,1,5,100,-1.4291
1969,1,2,1,73,-1.7309
1969,1,2,2,50,-2.1156
1969,1,2,3,49,-1.0001
1969,1,2,4,43,-1.9622
1969,1,2,5,49,-2.6364
1969,1,3,1,63,-1.7195
1969,1,3,2,75,-1.0799
1969,1,3,3,84,-1.4138
1969,1,3,4,88,-0.1999
1969,1,3,5,97,-1.8364
1969,2,1,1,191,-11.4378
1969,2,1,2,101,-10.5530
1969,2,1,3,86,-9.3308
1969,2,1,4,90,-10.1434
1969,2,1,5,100,-7.7031
1969,2,2,1,73,-10.4120
1969,2,2,2,50,-7.3673
1969,2,2,3,49,-8.0801
1969,2,2,4,43,-7.9741
1969,2,2,5,49,-7.4432
1969,2,3,1,63,-9.1255
1969,2,3,2,75,-5.2461
1969,2,3,3,84,-5.0021
1969,2,3,4,88,-4.3709
1969,2,3,5,97,-2.8527
1969,3,1,1,191,2.6409
1969,3,1,2,101,3.4177
1969,3,1,3,86,3.0843
1969,3,1,4,90,3.1913
1969,3,1,5,100,1.5181
1969,3,2,1,72,0.5187
1969,3,2,2,50,3.8232
1969,3,2,3,49,4.7555
1969,3,2,4,43,3.3633
1969,3,2,5,49,3.4532
1969,3,3,1,63,2.7040
1969,3,3,2,75,4.1997
1969,3,3,3,84,6.3832
1969,3,3,4,88,3.4633
1969,3,3,5,97,3.0675
1969,4,1,1,190,-0.7614
1969,4,1,2,100,-1.5703
1969,4,1,3,86,0.4218
1969,4,1,4,90,0.1768
1969,4,1,5,100,-0.9683
1969,4,2,1,72,0.1158
1969,4,2,2,50,0.4853
1969,4,2,3,48,1.3080
1969,4,2,4,43,3.0824
1969,4,2,5,49,1.7410
1969,4,3,1,62,3.0023
1969,4,3,2,75,1.6908
1969,4,3,3,84,1.1479
1969,4,3,4,87,3.0217
1969,4,3,5,97,2.7715
1969,5,1,1,190,1.4333
1969,5,1,2,100,1.5758
1969,5,1,3,87,2.1701
1969,5,1,4,90,0.3057
1969,5,1,5,100,0.0479
1969,5,2,1,73,-2.0863
1969,5,2,2,50,0.5498
1969,5,2,3,48,-0.4998
1969,5,2,4,43,0.5382
1969,5,2,5,49,2.3141
1969,5,3,1,62,-3.7862
1969,5,3,2,74,0.2973
1969,5,3,3,84,2.0558
1969,5,3,4,87,0.9053
1969,5,3,5,97,0.0046
1969,6,1,1,190,-14.8312
1969,6,1,2,101,-13.9934
1969,6,1,3,87,-14.2469
1969,6,1,4,90,-13.5598
1969,6,1,5,100,-11.6751
1969,6,2,1,73,-12.3295
1969,6,2,2,50,-10.9697
1969,6,2,3,49,-11.7526
1969,6,2,4,43,-11.8772
1969,6,2,5,49,-7.9686
1969,6,3,1,63,-9.0891
1969,6,3,2,74,-7.6391
1969,6,3,3,84,-9.2407
1969,6,3,4,87,-6.3164
1969,6,3,5,97,-1.8636
1969,7,1,1,207,-13.4303
1969,7,1,2,149,-12.3333
1969,7,1,3,98,-10.6446
1969,7,1,4,89,-8.8073
1969,7,1,5,80,-9.7546
1969,7,2,1,82,-11.9106
1969,7,2,2,48,-8.7836
1969,7,2,3,56,-9.3023
1969,7,2,4,53,-9.0138
1969,7,2,5,51,-8.0839
1969,7,3,1,56,-8.4877
1969,7,3,2,70,-7.6625
1969,7,3,3,100,-8.2218
1969,7,3,4,90,-5.9061
1969,7,3,5,110,-4.4400
1969,8,1,1,206,3.8991
1969,8,1,2,149,3.7710
1969,8,1,3,98,2.2665
1969,8,1,4,89,4.6953
1969,8,1,5,80,4.9577
1969,8,2,1,82,8.3201
1969,8,2,2,48,6.8017
