year,month,rank_ME,rank_SGq_1,nstocks,ret_vw
1968,4,2,1,53,12.5464
1968,4,2,2,52,13.7907
1968,4,2,3,38,8.9778
1968,4,2,4,59,14.7054
1968,4,2,5,67,16.7301
1968,4,3,1,72,9.8657
1968,4,3,2,88,7.9519
1968,4,3,3,109,5.0709
1968,4,3,4,91,10.3644
1968,4,3,5,107,10.6242
1968,5,1,1,167,9.2212
1968,5,1,2,80,10.5803
1968,5,1,3,48,9.8797
1968,5,1,4,91,12.7661
1968,5,1,5,142,13.8430
1968,5,2,1,53,9.0310
1968,5,2,2,49,6.0682
1968,5,2,3,56,5.7141
1968,5,2,4,54,4.5397
1968,5,2,5,75,9.9835
1968,5,3,1,83,0.6917
1968,5,3,2,99,2.1580
1968,5,3,3,109,-0.6626
1968,5,3,4,102,1.5100
1968,5,3,5,108,4.4384
1968,6,1,1,155,1.0407
1968,6,1,2,79,1.7111
1968,6,1,3,52,1.2063
1968,6,1,4,90,2.7014
1968,6,1,5,150,-0.1504
1968,6,2,1,55,-0.2543
1968,6,2,2,49,1.3765
1968,6,2,3,55,2.0803
1968,6,2,4,57,0.8680
1968,6,2,5,70,-0.8812
1968,6,3,1,83,0.8039
1968,6,3,2,97,0.6986
1968,6,3,3,107,3.0167
1968,6,3,4,101,0.2809
1968,6,3,5,110,-0.7915
1968,7,1,1,155,-3.3640
1968,7,1,2,79,-3.2023
1968,7,1,3,53,-4.5841
1968,7,1,4,84,-3.3233
1968,7,1,5,149,-2.3349
1968,7,2,1,51,-3.2282
1968,7,2,2,48,-3.5448
1968,7,2,3,52,-1.1168
1968,7,2,4,62,-4.1302
1968,7,2,5,75,-5.0076
1968,7,3,1,81,-5.5313
1968,7,3,2,100,-1.5700
1968,7,3,3,111,0.5118
1968,7,3,4,99,-1.5919
1968,7,3,5,105,-3.8483
1968,8,1,1,143,3.1931
1968,8,1,2,67,5.6686
1968,8,1,3,49,2.9096
1968,8,1,4,66,3.9304
1968,8,1,5,146,5.4923
1968,8,2,1,49,3.9952
1968,8,2,2,42,2.6077
1968,8,2,3,42,1.6381
1968,8,2,4,43,2.7946
1968,8,2,5,72,4.0703
1968,8,3,1,68,1.8961
1968,8,3,2,95,1.2624
1968,8,3,3,103,1.5071
1968,8,3,4,97,-0.1460
1968,8,3,5,90,0.7121
1968,9,1,1,148,6.7489
1968,9,1,2,60,6.2080
1968,9,1,3,49,6.0311
1968,9,1,4,70,6.7034
1968,9,1,5,152,8.0619
1968,9,2,1,48,5.6547
1968,9,2,2,40,5.2563
1968,9,2,3,43,7.1132
1968,9,2,4,48,9.1472
1968,9,2,5,73,6.9788
1968,9,3,1,65,5.6170
1968,9,3,2,98,4.6870
1968,9,3,3,104,3.1719
1968,9,3,4,96,6.3686
1968,9,3,5,89,3.6766
1968,10,1,1,149,0.0139
1968,10,1,2,58,2.4731
1968,10,1,3,52,-0.2478
1968,10,1,4,66,2.6390
1968,10,1,5,150,-1.5840
1968,10,2,1,50,-1.4565
1968,10,2,2,40,0.0733
1968,10,2,3,40,4.0807
1968,10,2,4,48,2.4363
1968,10,2,5,75,1.0694
1968,10,3,1,66,1.1228
1968,10,3,2,97,1.1528
1968,10,3,3,107,2.3834
1968,10,3,4,97,1.1160
1968,10,3,5,88,-3.7808
1968,11,1,1,155,5.4224
1968,11,1,2,59,6.4951
1968,11,1,3,82,5.3241
1968,11,1,4,80,8.3013
1968,11,1,5,161,8.2992
1968,11,2,1,56,8.9740
1968,11,2,2,50,6.5375
1968,11,2,3,46,8.3327
1968,11,2,4,52,6.5847
1968,11,2,5,87,9.8589
1968,11,3,1,84,6.8840
1968,11,3,2,107,5.8029
1968,11,3,3,111,5.5957
1968,11,3,4,105,3.5769
1968,11,3,5,91,7.4922
1968,12,1,1,160,1.6498
1968,12,1,2,63,0.8600
1968,12,1,3,74,3.2921
1968,12,1,4,83,-0.5766
1968,12,1,5,153,1.6419
1968,12,2,1,55,-1.9119
1968,12,2,2,48,-1.8583
1968,12,2,3,46,-1.6626
1968,12,2,4,53,-0.4077
1968,12,2,5,92,-1.3320
1968,12,3,1,85,-3.1257
1968,12,3,2,109,-4.2474
1968,12,3,3,112,-4.0173
1968,12,3,4,101,-4.1572
1968,12,3,5,92,-4.1591
1969,1,1,1,157,-2.3180
1969,1,1,2,73,-0.5929
1969,1,1,3,77,0.0887
1969,1,1,4,83,-2.1957
1969,1,1,5,144,-0.8032
1969,1,2,1,57,-0.0941
1969,1,2,2,44,-0.7369
1969,1,2,3,48,-0.6412
1969,1,2,4,50,-0.9491
1969,1,2,5,93,-1.9153
1969,1,3,1,85,-2.1673
1969,1,3,2,111,-0.6817
1969,1,3,3,105,0.2596
1969,1,3,4,106,-0.4027
1969,1,3,5,96,-2.7427
1969,2,1,1,162,-10.4551
1969,2,1,2,68,-8.4343
1969,2,1,3,59,-7.1341
1969,2,1,4,84,-7.7914
1969,2,1,5,147,-9.1901
1969,2,2,1,58,-7.8595
1969,2,2,2,41,-7.6513
1969,2,2,3,48,-7.8416
1969,2,2,4,54,-7.4483
1969,2,2,5,94,-9.6277
1969,2,3,1,77,-6.0733
1969,2,3,2,107,-4.2994
1969,2,3,3,109,-4.9622
1969,2,3,4,112,-3.8745
1969,2,3,5,88,-4.5091
1969,3,1,1,173,1.5376
1969,3,1,2,63,0.3847
1969,3,1,3,55,0.4783
1969,3,1,4,85,1.1470
1969,3,1,5,159,4.2898
1969,3,2,1,63,3.1513
1969,3,2,2,42,1.4534
1969,3,2,3,48,3.4679
1969,3,2,4,57,2.6359
1969,3,2,5,86,3.5546
1969,3,3,1,73,3.5394
1969,3,3,2,106,3.0035
1969,3,3,3,109,2.1652
1969,3,3,4,111,3.4786
1969,3,3,5,91,4.8249
1969,4,1,1,163,-0.8792
1969,4,1,2,70,-3.5636
1969,4,1,3,53,-0.3516
1969,4,1,4,91,0.2259
1969,4,1,5,162,-0.7445
1969,4,2,1,59,0.7597
1969,4,2,2,44,-0.0146
1969,4,2,3,47,1.6028
1969,4,2,4,56,1.0046
1969,4,2,5,92,0.5998
1969,4,3,1,73,2.4882
1969,4,3,2,104,0.8065
1969,4,3,3,113,4.6142
1969,4,3,4,109,0.2688
1969,4,3,5,92,3.0605
1969,5,1,1,174,0.5723
1969,5,1,2,86,-0.6407
1969,5,1,3,56,-1.4495
1969,5,1,4,89,2.5195
1969,5,1,5,167,0.6319
1969,5,2,1,59,-0.6406
1969,5,2,2,52,-0.6763
1969,5,2,3,42,1.6935
1969,5,2,4,63,-0.3950
1969,5,2,5,108,-1.8077
1969,5,3,1,73,1.4446
1969,5,3,2,118,0.6924
1969,5,3,3,124,-0.0340
1969,5,3,4,106,0.9352
1969,5,3,5,91,0.2850
1969,6,1,1,175,-13.4019
1969,6,1,2,87,-13.5816
1969,6,1,3,55,-11.0724
1969,6,1,4,88,-12.6748
1969,6,1,5,163,-14.1146
1969,6,2,1,57,-10.9881
1969,6,2,2,47,-7.4188
1969,6,2,3,49,-9.8759
1969,6,2,4,61,-10.4616
1969,6,2,5,105,-12.6206
1969,6,3,1,76,-8.2126
1969,6,3,2,120,-6.0686
1969,6,3,3,120,-6.7011
1969,6,3,4,110,-2.7148
1969,6,3,5,93,-6.8179
1969,7,1,1,176,-11.7621
1969,7,1,2,86,-11.7497
1969,7,1,3,56,-8.9132
1969,7,1,4,89,-10.0866
1969,7,1,5,167,-11.9915
1969,7,2,1,63,-9.5536
1969,7,2,2,42,-7.6585
1969,7,2,3,51,-7.1446
1969,7,2,4,63,-7.9035
1969,7,2,5,96,-10.8026
1969,7,3,1,77,-7.1632
1969,7,3,2,124,-7.0535
1969,7,3,3,118,-5.6684
1969,7,3,4,108,-5.7708
1969,7,3,5,93,-4.8084
1969,8,1,1,167,2.5099
1969,8,1,2,75,3.1256
1969,8,1,3,57,4.4596
1969,8,1,4,87,5.9496
1969,8,1,5,159,6.1660
1969,8,2,1,66,6.4505
1969,8,2,2,46,4.0134
1969,8,2,3,32,4.7188
1969,8,2,4,64,5.1376
1969,8,2,5,93,9.4294
1969,8,3,1,73,4.4295
1969,8,3,2,106,4.5343
1969,8,3,3,121,3.1702
1969,8,3,4,92,6.4285
1969,8,3,5,93,5.5173
1969,9,1,1,174,-5.1750
1969,9,1,2,70,-3.5643
1969,9,1,3,65,-3.0317
1969,9,1,4,85,-3.4741
1969,9,1,5,158,-3.5474
1969,9,2,1,65,-0.4913
1969,9,2,2,48,-1.8557
1969,9,2,3,37,-0.7367
1969,9,2,4,63,-2.0799
1969,9,2,5,94,0.6648
1969,9,3,1,74,-3.1347
1969,9,3,2,109,-5.5540
1969,9,3,3,119,-2.7203
1969,9,3,4,90,-0.3860
1969,9,3,5,95,-0.4755
1969,10,1,1,175,8.3961
1969,10,1,2,71,12.9324
1969,10,1,3,68,9.1293
1969,10,1,4,82,10.4165
1969,10,1,5,160,13.4820
1969,10,2,1,64,8.3266
1969,10,2,2,46,5.1849
1969,10,2,3,42,7.0979
1969,10,2,4,70,6.4802
1969,10,2,5,88,8.5048
1969,10,3,1,75,6.7763
1969,10,3,2,107,2.2563
1969,10,3,3,117,5.5243
1969,10,3,4,92,5.6363
1969,10,3,5,96,6.8107
1969,11,1,1,185,-7.7927
1969,11,1,2,89,-5.7858
1969,11,1,3,70,-5.6461
1969,11,1,4,88,-6.7502
1969,11,1,5,183,-7.3668
1969,11,2,1,82,-4.6098
1969,11,2,2,51,-4.6152
1969,11,2,3,39,-4.3830
1969,11,2,4,62,-5.1336
1969,11,2,5,97,-4.8827
1969,11,3,1,76,-4.4295
1969,11,3,2,107,-4.2437
1969,11,3,3,125,-2.5348
1969,11,3,4,114,-1.8783
1969,11,3,5,109,-0.8717
1969,12,1,1,183,-11.0085
1969,12,1,2,91,-7.4680
1969,12,1,3,64,-7.0317
1969,12,1,4,90,-8.7510
1969,12,1,5,187,-7.4967
1969,12,2,1,82,-7.6476
1969,12,2,2,53,-4.6612
1969,12,2,3,40,-1.6613
1969,12,2,4,66,-6.2740
1969,12,2,5,93,-5.6921
1969,12,3,1,76,-3.2253
1969,12,3,2,100,-0.3765
1969,12,3,3,131,-0.9044
1969,12,3,4,115,-2.0626
1969,12,3,5,108,-1.4581
1970,1,1,1,188,1.1805
1970,1,1,2,86,-3.3825
1970,1,1,3,67,-1.5845
1970,1,1,4,86,-2.4073
1970,1,1,5,185,-4.2603
1970,1,2,1,74,-5.3405
1970,1,2,2,57,-4.3715
1970,1,2,3,40,-5.1526
1970,1,2,4,65,-5.2642
1970,1,2,5,96,-8.1442
1970,1,3,1,76,-8.9296
1970,1,3,2,99,-6.2546
1970,1,3,3,131,-7.7043
1970,1,3,4,114,-8.1617
1970,1,3,5,108,-9.0573
1970,2,1,1,198,1.3298
1970,2,1,2,71,3.1147
1970,2,1,3,64,4.2697
1970,2,1,4,90,3.3743
1970,2,1,5,175,4.3543
1970,2,2,1,67,1.3843
1970,2,2,2,58,4.5230
1970,2,2,3,48,3.9633
1970,2,2,4,69,5.6237
1970,2,2,5,91,5.0170
1970,2,3,1,70,3.2366
1970,2,3,2,106,5.5872
1970,2,3,3,132,7.5955
1970,2,3,4,112,6.4258
1970,2,3,5,105,4.8357
1970,3,1,1,203,-1.4892
1970,3,1,2,65,-0.7272
1970,3,1,3,66,-3.1744
1970,3,1,4,100,-3.7034
1970,3,1,5,169,-5.9319
1970,3,2,1,67,-0.2472
1970,3,2,2,58,0.5162
1970,3,2,3,54,1.1670
1970,3,2,4,64,-3.7250
1970,3,2,5,92,-3.2154
1970,3,3,1,69,0.7466
1970,3,3,2,110,0.1747
1970,3,3,3,130,0.1983
1970,3,3,4,109,0.9525
1970,3,3,5,108,-3.3153
1970,4,1,1,214,-18.0746
1970,4,1,2,66,-14.6978
1970,4,1,3,64,-16.2793
1970,4,1,4,105,-16.8224
1970,4,1,5,166,-20.0021
1970,4,2,1,67,-16.0015
1970,4,2,2,56,-11.1575
1970,4,2,3,53,-13.6933
1970,4,2,4,69,-14.5125
1970,4,2,5,88,-16.8889
1970,4,3,1,72,-11.1691
1970,4,3,2,113,-7.3354
1970,4,3,3,129,-8.8721
1970,4,3,4,105,-9.2736
1970,4,3,5,108,-11.6416
1970,5,1,1,235,-9.2956
1970,5,1,2,102,-9.0679
1970,5,1,3,63,-8.5801
1970,5,1,4,97,-9.0980
1970,5,1,5,173,-10.1005
1970,5,2,1,72,-10.2799
1970,5,2,2,51,-9.7225
1970,5,2,3,59,-8.3171
1970,5,2,4,72,-9.3951
1970,5,2,5,97,-11.5801
1970,5,3,1,72,-7.0217
1970,5,3,2,128,-3.9179
1970,5,3,3,134,-3.7850
1970,5,3,4,118,-7.4626
1970,5,3,5,97,-8.8315
1970,6,1,1,235,-9.8381
1970,6,1,2,114,-9.7263
1970,6,1,3,57,-8.8078
1970,6,1,4,89,-10.1936
1970,6,1,5,168,-9.2780
1970,6,2,1,78,-9.2057
1970,6,2,2,46,-8.1293
1970,6,2,3,51,-6.6230
1970,6,2,4,77,-7.6282
1970,6,2,5,98,-7.4690
1970,6,3,1,67,-6.4173
1970,6,3,2,125,-3.0838
1970,6,3,3,139,-4.8731
1970,6,3,4,118,-5.6986
1970,6,3,5,96,-3.5765
1970,7,1,1,234,5.1857
1970,7,1,2,118,5.9195
1970,7,1,3,58,5.2881
1970,7,1,4,88,4.1824
1970,7,1,5,167,3.8835
1970,7,2,1,78,7.4322
1970,7,2,2,49,7.7851
1970,7,2,3,49,7.7565
1970,7,2,4,70,9.0740
1970,7,2,5,98,7.2632
1970,7,3,1,68,6.1921
1970,7,3,2,121,8.7542
1970,7,3,3,142,9.6104
1970,7,3,4,121,5.8309
