year,month,rank_ME,rank_Oq_1,nstocks,ret_vw
1977,4,3,3,73,-0.4663
1977,4,3,4,45,2.4096
1977,4,3,5,27,3.6609
1977,5,1,1,51,-1.7127
1977,5,1,2,41,-1.9591
1977,5,1,3,69,-1.1848
1977,5,1,4,138,1.1911
1977,5,1,5,278,0.4960
1977,5,2,1,40,0.3348
1977,5,2,2,50,0.2967
1977,5,2,3,49,-1.1739
1977,5,2,4,47,1.3773
1977,5,2,5,62,1.2301
1977,5,3,1,115,-1.6582
1977,5,3,2,99,-2.9889
1977,5,3,3,75,-2.5045
1977,5,3,4,62,0.6270
1977,5,3,5,25,1.1316
1977,6,1,1,54,6.9994
1977,6,1,2,38,8.7452
1977,6,1,3,75,6.9343
1977,6,1,4,134,8.1009
1977,6,1,5,279,7.7316
1977,6,2,1,42,5.9911
1977,6,2,2,47,5.0552
1977,6,2,3,51,5.5835
1977,6,2,4,50,8.9121
1977,6,2,5,61,11.1076
1977,6,3,1,116,5.1105
1977,6,3,2,100,3.1476
1977,6,3,3,75,3.1693
1977,6,3,4,60,2.7977
1977,6,3,5,28,5.8038
1977,7,1,1,57,-3.0225
1977,7,1,2,37,1.5390
1977,7,1,3,73,-0.8510
1977,7,1,4,137,0.7450
1977,7,1,5,279,-0.2494
1977,7,2,1,41,-0.1102
1977,7,2,2,51,-1.2622
1977,7,2,3,50,-2.0214
1977,7,2,4,50,-0.6579
1977,7,2,5,65,-1.7044
1977,7,3,1,115,-1.2291
1977,7,3,2,98,-4.5779
1977,7,3,3,77,-3.5508
1977,7,3,4,61,-1.5211
1977,7,3,5,27,-3.7242
1977,8,1,1,55,0.2545
1977,8,1,2,37,1.0446
1977,8,1,3,79,-0.8570
1977,8,1,4,125,-3.3570
1977,8,1,5,255,-3.1459
1977,8,2,1,36,-0.4957
1977,8,2,2,42,-1.1448
1977,8,2,3,40,-1.9086
1977,8,2,4,55,-2.1801
1977,8,2,5,59,-2.6449
1977,8,3,1,108,-3.5598
1977,8,3,2,86,-1.3526
1977,8,3,3,74,-2.4209
1977,8,3,4,42,-3.8783
1977,8,3,5,24,-2.8789
1977,9,1,1,51,1.4563
1977,9,1,2,44,7.0493
1977,9,1,3,71,0.8627
1977,9,1,4,122,-1.4426
1977,9,1,5,261,1.4364
1977,9,2,1,39,-1.1649
1977,9,2,2,45,2.3632
1977,9,2,3,41,2.3056
1977,9,2,4,53,1.8250
1977,9,2,5,58,0.7429
1977,9,3,1,106,0.7291
1977,9,3,2,82,-1.6625
1977,9,3,3,73,2.0987
1977,9,3,4,45,-0.5674
1977,9,3,5,24,0.7432
1977,10,1,1,47,-0.6636
1977,10,1,2,41,-0.9017
1977,10,1,3,75,-0.2412
1977,10,1,4,118,-3.6008
1977,10,1,5,264,-3.7012
1977,10,2,1,40,-3.4562
1977,10,2,2,50,-5.0050
1977,10,2,3,38,-2.6877
1977,10,2,4,55,-4.0728
1977,10,2,5,56,-5.4901
1977,10,3,1,105,-3.3193
1977,10,3,2,82,-5.1577
1977,10,3,3,71,-4.9164
1977,10,3,4,44,-4.0071
1977,10,3,5,23,-7.2909
1977,11,1,1,45,10.1264
1977,11,1,2,33,8.9376
1977,11,1,3,71,10.2601
1977,11,1,4,125,11.3658
1977,11,1,5,287,9.1124
1977,11,2,1,40,10.4134
1977,11,2,2,45,11.9882
1977,11,2,3,45,6.6130
1977,11,2,4,53,10.1510
1977,11,2,5,59,11.3554
1977,11,3,1,106,3.2708
1977,11,3,2,92,5.5860
1977,11,3,3,66,2.2207
1977,11,3,4,45,6.7289
1977,11,3,5,24,8.6247
1977,12,1,1,46,3.4102
1977,12,1,2,34,0.0607
1977,12,1,3,67,1.4701
1977,12,1,4,142,0.0599
1977,12,1,5,275,2.4841
1977,12,2,1,44,1.7191
1977,12,2,2,45,-0.5143
1977,12,2,3,48,1.5812
1977,12,2,4,56,-0.3269
1977,12,2,5,51,2.9882
1977,12,3,1,107,0.9275
1977,12,3,2,90,0.5979
1977,12,3,3,67,0.6227
1977,12,3,4,44,2.1903
1977,12,3,5,24,0.7823
1978,1,1,1,46,-0.0543
1978,1,1,2,34,-0.8374
1978,1,1,3,70,-1.0897
1978,1,1,4,140,-1.1804
1978,1,1,5,272,0.5918
1978,1,2,1,46,-4.7597
1978,1,2,2,46,-5.5019
1978,1,2,3,46,-5.8408
1978,1,2,4,60,-2.4104
1978,1,2,5,46,-2.3819
1978,1,3,1,108,-7.0734
1978,1,3,2,91,-7.1056
1978,1,3,3,69,-5.6434
1978,1,3,4,42,-6.3378
1978,1,3,5,30,-5.9166
1978,2,1,1,49,4.6601
1978,2,1,2,39,2.5822
1978,2,1,3,71,2.1971
1978,2,1,4,141,3.0411
1978,2,1,5,262,3.6142
1978,2,2,1,50,1.3568
1978,2,2,2,48,1.7371
1978,2,2,3,43,0.9884
1978,2,2,4,61,4.2064
1978,2,2,5,51,1.7308
1978,2,3,1,106,-1.0061
1978,2,3,2,88,-2.2684
1978,2,3,3,69,0.5970
1978,2,3,4,43,-2.0565
1978,2,3,5,27,-0.8139
1978,3,1,1,50,8.5770
1978,3,1,2,43,7.0453
1978,3,1,3,69,7.7100
1978,3,1,4,136,8.4930
1978,3,1,5,264,9.8249
1978,3,2,1,47,6.6740
1978,3,2,2,45,5.3889
1978,3,2,3,44,8.5985
1978,3,2,4,57,6.2896
1978,3,2,5,51,6.8883
1978,3,3,1,111,2.7445
1978,3,3,2,85,3.8623
1978,3,3,3,68,2.3468
1978,3,3,4,43,6.5756
1978,3,3,5,30,1.1401
1978,4,1,1,51,7.7198
1978,4,1,2,41,9.7715
1978,4,1,3,68,6.5595
1978,4,1,4,136,9.2697
1978,4,1,5,263,8.6826
1978,4,2,1,47,7.9486
1978,4,2,2,46,8.6342
1978,4,2,3,46,7.9796
1978,4,2,4,53,8.1874
1978,4,2,5,56,6.3930
1978,4,3,1,109,9.5727
1978,4,3,2,83,9.7154
1978,4,3,3,73,6.5609
1978,4,3,4,44,5.8152
1978,4,3,5,25,8.1684
1978,5,1,1,59,7.5505
1978,5,1,2,59,5.6801
1978,5,1,3,98,8.3581
1978,5,1,4,132,8.5629
1978,5,1,5,237,6.3901
1978,5,2,1,60,5.2318
1978,5,2,2,55,5.4177
1978,5,2,3,62,6.4287
1978,5,2,4,46,6.5632
1978,5,2,5,75,3.2908
1978,5,3,1,144,1.6625
1978,5,3,2,104,2.1732
1978,5,3,3,81,-0.1292
1978,5,3,4,86,1.5495
1978,5,3,5,52,-0.2718
1978,6,1,1,61,-0.5724
1978,6,1,2,57,-2.0932
1978,6,1,3,103,0.4174
1978,6,1,4,132,-0.7629
1978,6,1,5,234,1.0692
1978,6,2,1,60,-1.3981
1978,6,2,2,54,-0.9389
1978,6,2,3,56,0.3140
1978,6,2,4,47,-0.9300
1978,6,2,5,72,3.6947
1978,6,3,1,141,-2.1522
1978,6,3,2,105,-2.2846
1978,6,3,3,85,-2.2649
1978,6,3,4,87,0.3913
1978,6,3,5,50,1.3463
1978,7,1,1,57,5.5526
1978,7,1,2,60,5.7114
1978,7,1,3,100,4.2120
1978,7,1,4,130,5.1462
1978,7,1,5,231,6.9920
1978,7,2,1,62,4.3482
1978,7,2,2,57,5.8882
1978,7,2,3,52,6.8586
1978,7,2,4,47,7.8114
1978,7,2,5,77,6.6233
1978,7,3,1,138,6.1073
1978,7,3,2,102,6.1853
1978,7,3,3,85,3.0573
1978,7,3,4,91,4.2492
1978,7,3,5,50,4.9430
1978,8,1,1,60,11.5124
1978,8,1,2,62,7.4916
1978,8,1,3,88,9.9144
1978,8,1,4,113,6.3500
1978,8,1,5,239,10.3774
1978,8,2,1,52,11.0925
1978,8,2,2,50,9.3152
1978,8,2,3,53,7.6732
1978,8,2,4,41,6.1043
1978,8,2,5,73,5.3451
1978,8,3,1,126,3.2695
1978,8,3,2,91,3.2100
1978,8,3,3,69,3.9692
1978,8,3,4,80,1.8790
1978,8,3,5,50,3.4169
1978,9,1,1,56,-0.1866
1978,9,1,2,64,-0.8525
1978,9,1,3,85,-0.8500
1978,9,1,4,106,0.0019
1978,9,1,5,241,0.1979
1978,9,2,1,53,-3.5388
1978,9,2,2,52,-1.8155
1978,9,2,3,49,-0.7396
1978,9,2,4,47,-0.3199
1978,9,2,5,78,-1.1246
1978,9,3,1,123,0.8492
1978,9,3,2,92,0.2306
1978,9,3,3,69,1.4964
1978,9,3,4,75,-0.8018
1978,9,3,5,49,-0.6120
1978,10,1,1,57,-20.0683
1978,10,1,2,64,-20.9476
1978,10,1,3,87,-24.7717
1978,10,1,4,105,-21.9366
1978,10,1,5,243,-23.4890
1978,10,2,1,54,-19.2991
1978,10,2,2,48,-18.5382
1978,10,2,3,55,-22.3315
1978,10,2,4,47,-16.9783
1978,10,2,5,72,-19.9751
1978,10,3,1,123,-9.6367
1978,10,3,2,96,-10.3847
1978,10,3,3,65,-7.4148
