year,month,rank_ME,rank_OPA,nstocks,ret_vw
1969,8,3,4,112,6.4489
1969,8,3,5,105,5.8231
1969,9,1,1,287,-2.8619
1969,9,1,2,128,-3.3178
1969,9,1,3,104,-5.4148
1969,9,1,4,101,-2.8205
1969,9,1,5,102,-4.0777
1969,9,2,1,61,-2.5678
1969,9,2,2,62,-1.0230
1969,9,2,3,69,-0.1251
1969,9,2,4,63,0.2305
1969,9,2,5,64,1.8776
1969,9,3,1,54,-2.7863
1969,9,3,2,86,-5.0942
1969,9,3,3,87,-2.8280
1969,9,3,4,112,-3.4166
1969,9,3,5,105,-0.1742
1969,10,1,1,287,11.6159
1969,10,1,2,128,9.2723
1969,10,1,3,104,11.6504
1969,10,1,4,101,9.7897
1969,10,1,5,101,9.2423
1969,10,2,1,60,7.7427
1969,10,2,2,62,9.6373
1969,10,2,3,69,8.7811
1969,10,2,4,63,9.0379
1969,10,2,5,64,7.8992
1969,10,3,1,54,9.0634
1969,10,3,2,86,3.4308
1969,10,3,3,87,4.0011
1969,10,3,4,112,3.1201
1969,10,3,5,105,6.2049
1969,11,1,1,287,-7.5123
1969,11,1,2,128,-8.3688
1969,11,1,3,104,-6.1353
1969,11,1,4,101,-6.9887
1969,11,1,5,101,-5.2609
1969,11,2,1,59,-7.6855
1969,11,2,2,62,-6.0318
1969,11,2,3,70,-5.6024
1969,11,2,4,63,-3.4913
1969,11,2,5,64,-1.8006
1969,11,3,1,55,-4.7980
1969,11,3,2,86,-4.2725
1969,11,3,3,87,-1.9896
1969,11,3,4,112,-2.9475
1969,11,3,5,105,-1.8188
1969,12,1,1,287,-9.4139
1969,12,1,2,128,-7.8188
1969,12,1,3,104,-6.4201
1969,12,1,4,101,-7.3389
1969,12,1,5,102,-6.5324
1969,12,2,1,59,-10.9722
1969,12,2,2,62,-6.3084
1969,12,2,3,70,-2.1463
1969,12,2,4,63,-4.6769
1969,12,2,5,64,-1.3632
1969,12,3,1,55,-3.1195
1969,12,3,2,86,-2.6163
1969,12,3,3,87,-4.3115
1969,12,3,4,112,-2.0361
1969,12,3,5,105,1.0334
1970,1,1,1,287,-1.7561
1970,1,1,2,128,-2.5532
1970,1,1,3,104,-3.8943
1970,1,1,4,101,-4.9967
1970,1,1,5,102,-5.3972
1970,1,2,1,60,-5.7041
1970,1,2,2,62,-6.4718
1970,1,2,3,69,-5.2236
1970,1,2,4,63,-6.1851
1970,1,2,5,63,-6.8399
1970,1,3,1,55,-8.3450
1970,1,3,2,86,-10.2779
1970,1,3,3,87,-6.8917
1970,1,3,4,111,-9.8223
1970,1,3,5,105,-6.8411
1970,2,1,1,287,3.2764
1970,2,1,2,127,3.4716
1970,2,1,3,104,4.8329
1970,2,1,4,101,2.2037
1970,2,1,5,102,0.8085
1970,2,2,1,59,6.0775
1970,2,2,2,62,4.4081
1970,2,2,3,69,3.8999
1970,2,2,4,63,3.0224
1970,2,2,5,63,3.7421
1970,2,3,1,55,10.7177
1970,2,3,2,86,7.4138
1970,2,3,3,87,6.1288
1970,2,3,4,111,5.4729
1970,2,3,5,105,3.7112
1970,3,1,1,286,-3.8787
1970,3,1,2,127,-3.0584
1970,3,1,3,104,-3.8681
1970,3,1,4,101,-4.9317
1970,3,1,5,102,-2.8736
1970,3,2,1,60,-0.8859
1970,3,2,2,62,-3.2478
1970,3,2,3,70,-3.1768
1970,3,2,4,63,-2.9368
1970,3,2,5,64,-2.0154
1970,3,3,1,55,-0.4517
1970,3,3,2,86,-0.5276
1970,3,3,3,87,0.7036
1970,3,3,4,112,0.6239
1970,3,3,5,105,-1.0940
1970,4,1,1,285,-20.9972
1970,4,1,2,127,-17.1507
1970,4,1,3,104,-15.4255
1970,4,1,4,101,-15.0350
1970,4,1,5,101,-17.9699
1970,4,2,1,60,-18.2714
1970,4,2,2,62,-17.9633
1970,4,2,3,70,-14.0619
1970,4,2,4,63,-16.2119
1970,4,2,5,64,-14.9550
1970,4,3,1,55,-12.6330
1970,4,3,2,86,-9.2803
1970,4,3,3,87,-9.5183
1970,4,3,4,112,-10.3877
1970,4,3,5,105,-8.6026
1970,5,1,1,285,-10.3504
1970,5,1,2,127,-8.6223
1970,5,1,3,102,-7.6128
1970,5,1,4,101,-9.9402
1970,5,1,5,101,-8.7463
1970,5,2,1,60,-9.4420
1970,5,2,2,62,-13.4141
1970,5,2,3,70,-10.1720
1970,5,2,4,63,-12.2357
1970,5,2,5,64,-8.7981
1970,5,3,1,55,-6.5457
1970,5,3,2,86,-4.4002
1970,5,3,3,87,-4.7603
1970,5,3,4,112,-5.7128
1970,5,3,5,105,-6.6240
1970,6,1,1,282,-8.5868
1970,6,1,2,127,-9.6157
1970,6,1,3,102,-9.9190
1970,6,1,4,101,-7.7075
1970,6,1,5,100,-8.2205
1970,6,2,1,60,-8.6094
1970,6,2,2,61,-9.3211
1970,6,2,3,69,-6.4399
1970,6,2,4,63,-7.2667
1970,6,2,5,64,-6.3645
1970,6,3,1,55,-7.8331
1970,6,3,2,86,-3.2829
1970,6,3,3,87,-5.1796
1970,6,3,4,112,-5.3712
1970,6,3,5,105,-4.6170
1970,7,1,1,291,3.0325
1970,7,1,2,165,2.7797
1970,7,1,3,136,7.9788
1970,7,1,4,107,5.7649
1970,7,1,5,113,6.2846
1970,7,2,1,75,3.5816
1970,7,2,2,57,9.9879
1970,7,2,3,66,6.9759
1970,7,2,4,76,7.3181
1970,7,2,5,74,10.2247
1970,7,3,1,48,5.1152
1970,7,3,2,86,11.0411
1970,7,3,3,92,10.3498
1970,7,3,4,110,7.9736
1970,7,3,5,116,3.7822
1970,8,1,1,289,5.4625
1970,8,1,2,165,7.7701
1970,8,1,3,135,7.4801
1970,8,1,4,107,5.8546
1970,8,1,5,113,4.9045
1970,8,2,1,75,7.5366
1970,8,2,2,57,7.3939
1970,8,2,3,66,5.1395
1970,8,2,4,75,6.1820
1970,8,2,5,74,7.7202
1970,8,3,1,47,3.1189
1970,8,3,2,86,5.3845
1970,8,3,3,92,4.4388
1970,8,3,4,110,5.4360
1970,8,3,5,116,4.8836
1970,9,1,1,288,16.4013
1970,9,1,2,165,16.5473
1970,9,1,3,134,13.4657
1970,9,1,4,107,13.3819
1970,9,1,5,113,15.5617
1970,9,2,1,74,16.4017
1970,9,2,2,57,9.8457
1970,9,2,3,66,13.8047
1970,9,2,4,75,10.8548
1970,9,2,5,74,10.8689
1970,9,3,1,47,5.7382
1970,9,3,2,86,4.3923
1970,9,3,3,91,2.1769
1970,9,3,4,110,4.2754
1970,9,3,5,116,5.0529
1970,10,1,1,287,-9.3978
1970,10,1,2,164,-8.3977
1970,10,1,3,135,-7.5107
1970,10,1,4,107,-6.7710
1970,10,1,5,113,-6.0119
1970,10,2,1,74,-7.4515
1970,10,2,2,57,-5.8142
1970,10,2,3,66,-5.9792
1970,10,2,4,74,-4.6412
1970,10,2,5,74,-3.9344
1970,10,3,1,47,-3.8984
1970,10,3,2,86,-0.0752
1970,10,3,3,91,-1.8434
1970,10,3,4,110,-2.1002
1970,10,3,5,116,-0.1573
1970,11,1,1,285,-4.1122
1970,11,1,2,163,-1.6209
1970,11,1,3,135,-0.8020
1970,11,1,4,107,0.4600
1970,11,1,5,113,-0.2726
1970,11,2,1,74,0.4398
1970,11,2,2,57,2.3037
1970,11,2,3,66,1.6636
1970,11,2,4,73,1.4178
1970,11,2,5,74,4.9655
1970,11,3,1,47,2.4621
1970,11,3,2,86,5.9395
1970,11,3,3,91,4.5690
1970,11,3,4,110,3.6423
1970,11,3,5,116,5.6227
1970,12,1,1,285,5.7988
1970,12,1,2,161,9.7922
1970,12,1,3,135,12.3874
1970,12,1,4,107,10.3924
1970,12,1,5,113,12.5426
1970,12,2,1,74,6.6979
1970,12,2,2,57,9.5539
1970,12,2,3,66,8.2213
1970,12,2,4,73,9.1021
1970,12,2,5,74,9.3060
1970,12,3,1,47,8.9843
1970,12,3,2,86,4.0961
1970,12,3,3,90,6.3407
1970,12,3,4,110,7.7708
1970,12,3,5,116,5.0464
1971,1,1,1,282,18.7395
1971,1,1,2,162,14.0182
1971,1,1,3,135,15.0152
1971,1,1,4,107,13.3358
1971,1,1,5,113,12.6939
1971,1,2,1,72,15.4623
1971,1,2,2,57,10.0484
1971,1,2,3,66,10.8289
1971,1,2,4,73,11.2453
1971,1,2,5,74,6.9807
1971,1,3,1,47,8.5682
1971,1,3,2,86,4.2533
1971,1,3,3,90,4.7054
1971,1,3,4,110,4.4261
1971,1,3,5,116,3.8405
1971,2,1,1,281,5.8398
1971,2,1,2,161,5.5700
1971,2,1,3,135,6.1748
1971,2,1,4,105,4.3309
1971,2,1,5,113,7.1443
1971,2,2,1,72,2.3330
1971,2,2,2,56,3.2015
1971,2,2,3,66,2.0897
1971,2,2,4,73,4.3632
1971,2,2,5,74,3.4968
1971,2,3,1,47,-0.2566
1971,2,3,2,86,3.2775
1971,2,3,3,90,0.3048
1971,2,3,4,110,2.6897
1971,2,3,5,115,1.9711
1971,3,1,1,280,5.0423
1971,3,1,2,161,6.4793
1971,3,1,3,135,7.3325
1971,3,1,4,105,6.6701
1971,3,1,5,113,6.9552
1971,3,2,1,72,6.1894
1971,3,2,2,56,6.0318
1971,3,2,3,65,6.7812
1971,3,2,4,73,6.7715
1971,3,2,5,74,10.0119
1971,3,3,1,47,4.5856
1971,3,3,2,86,3.3620
1971,3,3,3,90,2.6380
1971,3,3,4,110,4.6397
1971,3,3,5,114,4.9888
1971,4,1,1,279,3.3482
1971,4,1,2,161,2.5637
1971,4,1,3,135,1.9477
1971,4,1,4,105,2.6828
1971,4,1,5,112,1.9075
1971,4,2,1,71,5.6518
1971,4,2,2,56,1.8767
1971,4,2,3,65,2.5922
1971,4,2,4,73,4.7005
1971,4,2,5,74,5.0690
1971,4,3,1,47,4.9388
1971,4,3,2,86,7.1977
1971,4,3,3,90,1.9575
1971,4,3,4,110,6.4256
1971,4,3,5,114,3.5109
1971,5,1,1,274,-7.5408
1971,5,1,2,161,-6.3962
1971,5,1,3,133,-6.0078
1971,5,1,4,105,-6.2279
1971,5,1,5,112,-4.0077
1971,5,2,1,71,-5.1454
1971,5,2,2,56,-4.3739
1971,5,2,3,66,-6.6548
1971,5,2,4,72,-4.1774
1971,5,2,5,74,-1.0020
1971,5,3,1,47,-2.5503
1971,5,3,2,86,-4.0640
1971,5,3,3,90,-4.8010
1971,5,3,4,110,-2.6942
1971,5,3,5,114,-3.0652
1971,6,1,1,269,-3.8184
1971,6,1,2,160,-2.4298
1971,6,1,3,133,-0.6841
1971,6,1,4,105,-0.8555
1971,6,1,5,112,-2.9547
1971,6,2,1,71,-2.3239
1971,6,2,2,56,0.0312
1971,6,2,3,66,-2.0282
1971,6,2,4,71,-0.3308
1971,6,2,5,74,1.8794
1971,6,3,1,47,-3.0653
1971,6,3,2,86,-0.2348
1971,6,3,3,90,0.2405
1971,6,3,4,110,0.2309
1971,6,3,5,113,0.3859
1971,7,1,1,332,-7.9642
1971,7,1,2,136,-5.8505
1971,7,1,3,121,-5.5455
1971,7,1,4,144,-5.7683
1971,7,1,5,96,-9.3855
1971,7,2,1,63,-6.1093
1971,7,2,2,56,-6.3111
1971,7,2,3,81,-5.4344
1971,7,2,4,81,-5.5350
1971,7,2,5,67,-5.1381
1971,7,3,1,51,-6.9823
1971,7,3,2,89,-5.2496
1971,7,3,3,85,-4.0344
1971,7,3,4,110,-3.4442
1971,7,3,5,138,-4.1563
1971,8,1,1,331,4.2789
1971,8,1,2,136,2.7596
1971,8,1,3,121,4.3566
1971,8,1,4,144,4.5711
1971,8,1,5,96,6.1141
1971,8,2,1,63,5.9478
1971,8,2,2,56,4.2041
1971,8,2,3,81,6.5516
1971,8,2,4,81,4.3542
1971,8,2,5,67,5.1410
1971,8,3,1,51,7.3641
1971,8,3,2,89,5.3537
1971,8,3,3,85,3.6446
1971,8,3,4,109,3.6930
1971,8,3,5,137,5.2714
1971,9,1,1,331,-1.7325
1971,9,1,2,136,-1.8767
1971,9,1,3,121,0.9523
1971,9,1,4,144,-0.5653
1971,9,1,5,96,3.3163
1971,9,2,1,62,-1.2512
1971,9,2,2,56,-1.6759
