year,month,rank_ME,rank_CLAq_12,nstocks,ret_vw
1977,11,1,5,525,9.6255
1977,11,2,1,303,8.5152
1977,11,2,2,278,8.7885
1977,11,2,3,281,9.4454
1977,11,2,4,284,10.3871
1977,11,2,5,284,9.3421
1977,11,3,1,279,3.9871
1977,11,3,2,300,3.8725
1977,11,3,3,347,4.1891
1977,11,3,4,362,4.6369
1977,11,3,5,337,3.2517
1977,12,1,1,734,1.5319
1977,12,1,2,568,1.2174
1977,12,1,3,529,1.7791
1977,12,1,4,499,2.6263
1977,12,1,5,534,3.0796
1977,12,2,1,308,0.0353
1977,12,2,2,280,1.2322
1977,12,2,3,276,1.1025
1977,12,2,4,289,2.4770
1977,12,2,5,282,1.5293
1977,12,3,1,283,-0.6821
1977,12,3,2,303,0.0837
1977,12,3,3,347,0.3059
1977,12,3,4,360,0.3036
1977,12,3,5,338,1.3691
1978,1,1,1,700,-1.2605
1978,1,1,2,548,-1.2921
1978,1,1,3,493,-1.6177
1978,1,1,4,457,-1.5693
1978,1,1,5,501,-1.9227
1978,1,2,1,295,-3.7876
1978,1,2,2,267,-4.0678
1978,1,2,3,276,-3.7976
1978,1,2,4,269,-4.5462
1978,1,2,5,280,-4.7981
1978,1,3,1,259,-6.3176
1978,1,3,2,284,-6.1697
1978,1,3,3,325,-5.6963
1978,1,3,4,340,-6.6919
1978,1,3,5,327,-5.8877
1978,2,1,1,717,2.9457
1978,2,1,2,568,3.1931
1978,2,1,3,519,2.3443
1978,2,1,4,478,3.0176
1978,2,1,5,517,3.3793
1978,2,2,1,298,1.1743
1978,2,2,2,283,2.3506
1978,2,2,3,292,1.6431
1978,2,2,4,285,1.8960
1978,2,2,5,298,1.2178
1978,2,3,1,269,-2.5872
1978,2,3,2,306,-2.5603
1978,2,3,3,340,-1.8617
1978,2,3,4,359,-2.4053
1978,2,3,5,333,-1.9297
1978,3,1,1,718,8.8740
1978,3,1,2,568,8.1896
1978,3,1,3,527,7.5777
1978,3,1,4,478,8.0113
1978,3,1,5,521,8.1960
1978,3,2,1,302,6.7612
1978,3,2,2,283,6.6430
1978,3,2,3,293,6.6912
1978,3,2,4,283,7.6813
1978,3,2,5,299,6.0888
1978,3,3,1,270,1.7897
1978,3,3,2,306,3.5416
1978,3,3,3,339,4.4639
1978,3,3,4,361,2.8676
1978,3,3,5,330,1.6666
1978,4,1,1,687,9.0088
1978,4,1,2,522,9.4777
1978,4,1,3,505,8.5879
1978,4,1,4,436,7.8695
1978,4,1,5,495,8.3409
1978,4,2,1,292,7.2709
1978,4,2,2,264,8.1181
1978,4,2,3,273,8.1760
1978,4,2,4,267,9.3156
1978,4,2,5,283,8.8722
1978,4,3,1,254,10.7671
1978,4,3,2,276,10.3478
1978,4,3,3,313,10.1058
1978,4,3,4,338,10.0616
1978,4,3,5,308,10.0534
1978,5,1,1,698,8.9952
1978,5,1,2,551,7.8735
1978,5,1,3,507,8.5889
1978,5,1,4,468,8.3939
1978,5,1,5,530,7.2344
1978,5,2,1,309,6.5153
1978,5,2,2,280,7.6922
1978,5,2,3,280,6.2239
1978,5,2,4,282,6.2734
1978,5,2,5,289,6.5290
1978,5,3,1,272,1.4260
1978,5,3,2,294,2.0074
1978,5,3,3,327,2.6328
1978,5,3,4,349,2.4235
1978,5,3,5,318,1.4989
1978,6,1,1,705,0.7826
1978,6,1,2,551,-0.2212
1978,6,1,3,513,-0.0538
1978,6,1,4,468,-0.4427
1978,6,1,5,527,0.2856
1978,6,2,1,308,-0.4518
1978,6,2,2,295,0.7450
1978,6,2,3,281,0.0729
1978,6,2,4,284,0.3849
1978,6,2,5,290,-1.0911
1978,6,3,1,267,-2.0074
1978,6,3,2,300,-1.7528
1978,6,3,3,328,-1.4250
1978,6,3,4,350,-1.5522
1978,6,3,5,320,-2.1653
1978,7,1,1,675,5.4345
1978,7,1,2,512,6.5656
1978,7,1,3,467,6.3590
1978,7,1,4,431,6.6442
1978,7,1,5,491,4.6211
1978,7,2,1,290,5.3783
1978,7,2,2,282,6.9306
1978,7,2,3,261,6.8364
1978,7,2,4,269,6.3201
1978,7,2,5,269,6.8710
1978,7,3,1,239,5.9406
1978,7,3,2,277,7.1763
1978,7,3,3,308,6.6748
1978,7,3,4,330,6.1311
1978,7,3,5,305,6.1594
1978,8,1,1,691,10.0977
1978,8,1,2,549,8.5282
1978,8,1,3,495,9.8365
1978,8,1,4,444,9.0862
1978,8,1,5,504,9.2177
1978,8,2,1,308,9.4711
1978,8,2,2,304,9.4191
1978,8,2,3,281,8.1176
1978,8,2,4,285,9.2685
1978,8,2,5,281,6.8357
1978,8,3,1,247,3.1140
1978,8,3,2,301,2.9106
1978,8,3,3,326,3.3748
1978,8,3,4,354,4.2290
1978,8,3,5,313,3.7614
1978,9,1,1,695,-0.4057
1978,9,1,2,552,-0.7648
1978,9,1,3,505,-0.9717
1978,9,1,4,443,0.1768
1978,9,1,5,509,-1.0097
1978,9,2,1,314,-2.3185
1978,9,2,2,307,-1.4250
1978,9,2,3,292,-1.0829
1978,9,2,4,294,-2.4587
1978,9,2,5,288,-1.4873
1978,9,3,1,243,-1.1902
1978,9,3,2,302,-1.1043
1978,9,3,3,339,-0.9824
1978,9,3,4,356,-1.2498
1978,9,3,5,310,-0.7637
1978,10,1,1,676,-25.7584
1978,10,1,2,519,-23.6547
1978,10,1,3,474,-24.3365
1978,10,1,4,425,-25.7904
1978,10,1,5,494,-23.5779
1978,10,2,1,289,-21.7740
1978,10,2,2,284,-22.6934
1978,10,2,3,272,-22.2393
1978,10,2,4,271,-20.3453
1978,10,2,5,283,-21.3037
1978,10,3,1,228,-10.7556
1978,10,3,2,290,-10.9653
1978,10,3,3,325,-10.3558
1978,10,3,4,332,-10.3861
1978,10,3,5,304,-9.1146
1978,11,1,1,699,8.4783
1978,11,1,2,559,7.6119
1978,11,1,3,492,9.1806
1978,11,1,4,460,9.5694
1978,11,1,5,526,8.4034
1978,11,2,1,297,7.8158
1978,11,2,2,304,8.0416
1978,11,2,3,291,6.9871
1978,11,2,4,292,6.9607
1978,11,2,5,294,8.0013
1978,11,3,1,238,2.8972
1978,11,3,2,310,2.6364
1978,11,3,3,361,3.2863
1978,11,3,4,361,2.7779
1978,11,3,5,312,3.0876
1978,12,1,1,702,0.0705
1978,12,1,2,563,0.4635
1978,12,1,3,497,1.0737
1978,12,1,4,467,1.4690
1978,12,1,5,526,1.1579
1978,12,2,1,302,1.6837
1978,12,2,2,310,2.9234
1978,12,2,3,292,2.0477
1978,12,2,4,293,3.3125
1978,12,2,5,301,2.4395
1978,12,3,1,241,1.2338
1978,12,3,2,313,0.8573
1978,12,3,3,367,1.9607
1978,12,3,4,362,2.0602
1978,12,3,5,314,2.6342
1979,1,1,1,666,12.0646
1979,1,1,2,532,11.6405
