year,month,rank_ME,rank_dROA_6,nstocks,ret_vw
1975,5,3,2,157,4.6632
1975,5,3,3,190,6.3759
1975,5,3,4,170,6.4229
1975,5,3,5,139,5.4534
1975,6,1,1,308,10.6576
1975,6,1,2,185,8.5948
1975,6,1,3,106,9.0383
1975,6,1,4,142,9.4901
1975,6,1,5,217,10.1369
1975,6,2,1,122,7.2100
1975,6,2,2,114,7.8840
1975,6,2,3,115,7.5170
1975,6,2,4,104,6.8999
1975,6,2,5,125,5.1690
1975,6,3,1,154,5.8058
1975,6,3,2,172,5.2513
1975,6,3,3,206,6.8447
1975,6,3,4,187,6.5728
1975,6,3,5,159,7.4119
1975,7,1,1,310,-1.6734
1975,7,1,2,188,-0.9266
1975,7,1,3,119,-0.5900
1975,7,1,4,149,-2.4769
1975,7,1,5,213,-1.8006
1975,7,2,1,113,-4.2283
1975,7,2,2,123,-3.4596
1975,7,2,3,119,-3.6046
1975,7,2,4,103,-2.9885
1975,7,2,5,126,-2.9085
1975,7,3,1,147,-7.4963
1975,7,3,2,163,-6.6376
1975,7,3,3,204,-5.6278
1975,7,3,4,187,-6.3594
1975,7,3,5,157,-3.7154
1975,8,1,1,307,-7.6594
1975,8,1,2,188,-4.8737
1975,8,1,3,127,-6.4308
1975,8,1,4,144,-5.5317
1975,8,1,5,222,-6.2098
1975,8,2,1,111,-7.2059
1975,8,2,2,122,-4.4309
1975,8,2,3,123,-4.2439
1975,8,2,4,113,-3.1938
1975,8,2,5,128,-3.7414
1975,8,3,1,145,-1.9350
1975,8,3,2,162,-1.5623
1975,8,3,3,202,-2.9982
1975,8,3,4,196,-2.0150
1975,8,3,5,166,-0.7770
1975,9,1,1,297,-4.5642
1975,9,1,2,197,-4.4514
1975,9,1,3,129,-3.5678
1975,9,1,4,149,-2.1012
1975,9,1,5,234,-3.0324
1975,9,2,1,114,-4.5185
1975,9,2,2,120,-3.7010
1975,9,2,3,131,-4.0666
1975,9,2,4,119,-3.3152
1975,9,2,5,129,-2.2178
1975,9,3,1,138,-5.0131
1975,9,3,2,164,-2.7656
1975,9,3,3,208,-3.1038
1975,9,3,4,199,-3.1856
1975,9,3,5,170,-2.8130
1975,10,1,1,254,0.8259
1975,10,1,2,171,2.8734
1975,10,1,3,121,2.4506
1975,10,1,4,128,3.0700
1975,10,1,5,221,0.9060
1975,10,2,1,93,1.9013
1975,10,2,2,103,2.9482
1975,10,2,3,117,2.1542
1975,10,2,4,120,4.4143
1975,10,2,5,120,2.3727
1975,10,3,1,114,3.8981
1975,10,3,2,137,7.5032
1975,10,3,3,177,7.6755
1975,10,3,4,186,8.2319
1975,10,3,5,164,1.9482
1975,11,1,1,290,2.8834
1975,11,1,2,192,1.7373
1975,11,1,3,131,4.2480
1975,11,1,4,133,2.6393
1975,11,1,5,232,2.5757
1975,11,2,1,108,4.3277
1975,11,2,2,111,4.0854
1975,11,2,3,138,3.6813
1975,11,2,4,125,1.7333
1975,11,2,5,120,2.4295
1975,11,3,1,129,2.5229
1975,11,3,2,157,3.2619
1975,11,3,3,206,3.7126
1975,11,3,4,199,3.1335
1975,11,3,5,181,1.5238
1975,12,1,1,303,-2.8630
1975,12,1,2,201,-0.8063
1975,12,1,3,143,-1.4190
1975,12,1,4,146,-1.5523
1975,12,1,5,233,-2.6865
1975,12,2,1,115,-0.6104
1975,12,2,2,119,-0.0599
1975,12,2,3,137,-0.6988
1975,12,2,4,133,0.4246
1975,12,2,5,126,-2.3797
1975,12,3,1,132,-2.3471
1975,12,3,2,156,-1.2006
1975,12,3,3,218,-1.1894
1975,12,3,4,205,-0.9250
1975,12,3,5,182,0.2097
1976,1,1,1,264,26.5149
1976,1,1,2,184,26.5502
1976,1,1,3,133,24.3761
1976,1,1,4,136,20.9596
1976,1,1,5,210,27.2694
1976,1,2,1,116,20.5304
1976,1,2,2,115,17.6872
1976,1,2,3,134,17.5491
1976,1,2,4,123,19.5511
1976,1,2,5,114,20.4111
1976,1,3,1,125,12.4710
1976,1,3,2,154,9.6771
1976,1,3,3,203,10.1762
1976,1,3,4,190,9.6659
1976,1,3,5,168,11.4359
1976,2,1,1,267,13.1344
1976,2,1,2,186,10.4065
1976,2,1,3,137,10.0932
1976,2,1,4,128,11.9372
1976,2,1,5,220,17.0289
1976,2,2,1,123,7.3396
1976,2,2,2,111,8.0547
1976,2,2,3,131,3.7171
1976,2,2,4,123,7.8878
1976,2,2,5,110,6.5389
1976,2,3,1,132,0.3756
1976,2,3,2,162,-2.9318
1976,2,3,3,210,0.0751
1976,2,3,4,186,-2.0660
1976,2,3,5,170,0.5368
1976,3,1,1,282,0.6577
1976,3,1,2,193,1.9477
1976,3,1,3,142,2.0726
1976,3,1,4,133,-2.3047
1976,3,1,5,239,-0.4375
1976,3,2,1,129,1.5132
1976,3,2,2,118,0.5401
1976,3,2,3,124,1.5239
1976,3,2,4,119,-0.2280
1976,3,2,5,110,4.5758
1976,3,3,1,137,2.8627
1976,3,3,2,169,2.6655
1976,3,3,3,209,2.0654
1976,3,3,4,184,2.0815
1976,3,3,5,168,0.1279
1976,4,1,1,145,-2.9667
1976,4,1,2,96,-5.0020
1976,4,1,3,74,-1.1019
1976,4,1,4,89,-1.9303
1976,4,1,5,156,-3.3189
1976,4,2,1,69,-0.2081
1976,4,2,2,62,-1.8857
1976,4,2,3,83,-0.6154
1976,4,2,4,50,-1.7555
1976,4,2,5,55,-2.7027
1976,4,3,1,51,-4.4888
1976,4,3,2,77,-0.8708
1976,4,3,3,105,0.0453
1976,4,3,4,82,0.2906
1976,4,3,5,76,-2.7137
1976,5,1,1,210,-3.0836
1976,5,1,2,133,-2.6008
1976,5,1,3,129,-2.7671
1976,5,1,4,131,-3.0342
1976,5,1,5,253,-3.7903
1976,5,2,1,105,-1.3718
1976,5,2,2,120,0.1751
1976,5,2,3,114,-1.3655
1976,5,2,4,97,-2.5117
1976,5,2,5,101,-3.5833
1976,5,3,1,130,-0.7585
1976,5,3,2,172,-1.2106
1976,5,3,3,186,-1.5467
1976,5,3,4,163,-1.6093
1976,5,3,5,147,-2.6112
1976,6,1,1,251,2.9903
1976,6,1,2,165,3.1048
1976,6,1,3,154,4.6272
1976,6,1,4,156,2.2048
1976,6,1,5,309,4.5649
1976,6,2,1,119,3.4479
1976,6,2,2,138,4.3727
1976,6,2,3,129,4.4010
1976,6,2,4,110,4.8638
1976,6,2,5,115,7.0627
1976,6,3,1,151,6.2323
1976,6,3,2,192,4.8212
1976,6,3,3,204,4.3440
1976,6,3,4,180,4.4872
1976,6,3,5,161,3.8905
1976,7,1,1,244,-0.1495
1976,7,1,2,166,-0.1044
1976,7,1,3,162,0.4210
1976,7,1,4,171,-0.0956
1976,7,1,5,314,-0.4891
1976,7,2,1,123,-0.3560
1976,7,2,2,140,0.7693
1976,7,2,3,132,1.0929
1976,7,2,4,114,-0.0580
1976,7,2,5,116,-0.3006
1976,7,3,1,147,-3.6752
1976,7,3,2,193,-0.3602
1976,7,3,3,194,-0.5898
1976,7,3,4,178,0.6801
1976,7,3,5,160,-1.5522
1976,8,1,1,209,-2.6339
1976,8,1,2,140,-2.8248
1976,8,1,3,145,-0.1859
1976,8,1,4,157,-1.7848
1976,8,1,5,269,-4.6234
1976,8,2,1,129,-2.7516
1976,8,2,2,144,-0.9233
1976,8,2,3,148,-0.3300
1976,8,2,4,134,-0.4936
1976,8,2,5,140,-2.7223
1976,8,3,1,168,-3.1544
1976,8,3,2,227,1.0831
1976,8,3,3,222,0.6693
1976,8,3,4,210,0.2214
1976,8,3,5,170,-1.5565
1976,9,1,1,234,1.1730
1976,9,1,2,149,3.3302
1976,9,1,3,165,1.9601
1976,9,1,4,166,2.0458
1976,9,1,5,281,1.4441
1976,9,2,1,136,4.6048
1976,9,2,2,145,2.7188
1976,9,2,3,160,3.6085
1976,9,2,4,138,2.3409
1976,9,2,5,147,2.0519
1976,9,3,1,187,2.8049
1976,9,3,2,250,2.3600
1976,9,3,3,236,2.4110
1976,9,3,4,221,3.3337
1976,9,3,5,175,3.0654
1976,10,1,1,282,-2.5111
1976,10,1,2,166,-3.8900
1976,10,1,3,182,-2.5910
1976,10,1,4,183,-1.9846
1976,10,1,5,317,-1.4973
1976,10,2,1,145,-2.1843
1976,10,2,2,139,-1.4678
1976,10,2,3,134,-3.0373
1976,10,2,4,127,-2.1670
1976,10,2,5,144,-2.2519
1976,10,3,1,189,-3.7038
1976,10,3,2,247,-2.2273
1976,10,3,3,218,-2.0170
1976,10,3,4,206,-2.5558
1976,10,3,5,161,-1.7220
1976,11,1,1,296,0.9239
1976,11,1,2,193,3.6588
1976,11,1,3,210,1.8434
1976,11,1,4,238,3.4692
1976,11,1,5,352,3.5346
1976,11,2,1,160,3.0826
1976,11,2,2,153,3.6429
1976,11,2,3,159,5.0938
1976,11,2,4,157,4.9758
1976,11,2,5,164,5.7872
1976,11,3,1,211,-0.9046
1976,11,3,2,285,-0.4115
1976,11,3,3,260,0.8579
1976,11,3,4,244,1.1133
1976,11,3,5,183,0.4291
1976,12,1,1,331,9.8727
1976,12,1,2,217,9.9406
1976,12,1,3,222,10.3990
1976,12,1,4,259,10.3715
1976,12,1,5,378,10.2087
1976,12,2,1,166,8.9395
1976,12,2,2,162,9.3447
1976,12,2,3,166,9.6213
1976,12,2,4,171,9.7811
1976,12,2,5,179,8.8391
1976,12,3,1,215,5.6963
1976,12,3,2,297,5.7143
1976,12,3,3,276,4.5184
1976,12,3,4,259,4.6140
1976,12,3,5,188,7.1547
1977,1,1,1,314,3.4509
1977,1,1,2,209,5.3759
1977,1,1,3,213,5.2303
1977,1,1,4,250,3.4538
1977,1,1,5,336,3.6400
1977,1,2,1,153,1.7424
1977,1,2,2,156,0.2454
1977,1,2,3,157,2.4980
1977,1,2,4,155,0.5268
1977,1,2,5,165,1.2529
1977,1,3,1,198,-5.1796
1977,1,3,2,281,-3.6405
1977,1,3,3,254,-3.4180
1977,1,3,4,240,-4.5688
1977,1,3,5,171,-4.7138
1977,2,1,1,328,-2.4405
1977,2,1,2,208,-2.7021
1977,2,1,3,213,-2.5447
1977,2,1,4,246,-0.5661
1977,2,1,5,328,1.1294
1977,2,2,1,150,-1.3339
1977,2,2,2,160,-0.2709
1977,2,2,3,167,-1.5530
1977,2,2,4,160,-0.3950
1977,2,2,5,167,-0.6657
1977,2,3,1,198,-1.6193
1977,2,3,2,293,-2.4568
1977,2,3,3,269,-0.6394
1977,2,3,4,260,-1.8785
1977,2,3,5,183,-2.9230
1977,3,1,1,359,0.7470
1977,3,1,2,234,1.7508
1977,3,1,3,222,0.4707
1977,3,1,4,263,1.2246
1977,3,1,5,353,1.5414
1977,3,2,1,169,1.4009
1977,3,2,2,166,-0.1654
1977,3,2,3,182,-0.8781
1977,3,2,4,171,0.6263
1977,3,2,5,183,-1.6519
1977,3,3,1,210,-1.0317
1977,3,3,2,313,-1.6188
1977,3,3,3,280,-1.1898
1977,3,3,4,266,-1.9236
1977,3,3,5,198,-0.4934
1977,4,1,1,314,-0.2791
1977,4,1,2,197,1.0349
1977,4,1,3,168,0.5698
1977,4,1,4,219,1.4614
1977,4,1,5,286,2.4927
1977,4,2,1,133,1.7672
1977,4,2,2,131,0.4640
1977,4,2,3,146,2.1547
1977,4,2,4,135,1.7863
1977,4,2,5,155,2.7746
1977,4,3,1,170,-0.5595
1977,4,3,2,244,1.2931
1977,4,3,3,222,-1.1054
1977,4,3,4,209,1.3876
1977,4,3,5,145,1.3713
1977,5,1,1,355,-0.7759
1977,5,1,2,226,0.3674
1977,5,1,3,197,0.0208
1977,5,1,4,247,-0.4640
1977,5,1,5,323,-0.3324
1977,5,2,1,162,-1.2215
1977,5,2,2,157,0.3811
1977,5,2,3,184,0.9740
1977,5,2,4,166,-0.9187
1977,5,2,5,172,0.9818
1977,5,3,1,212,-3.0054
1977,5,3,2,293,-1.0844
1977,5,3,3,285,-1.1767
1977,5,3,4,266,-0.5377
1977,5,3,5,191,-1.3855
1977,6,1,1,410,5.5889
1977,6,1,2,267,6.1458
1977,6,1,3,223,9.4741
1977,6,1,4,278,7.5211
1977,6,1,5,375,8.1175
1977,6,2,1,185,6.7193
1977,6,2,2,167,5.2248
1977,6,2,3,198,6.2374
1977,6,2,4,187,8.6053
1977,6,2,5,193,8.2526
1977,6,3,1,222,2.5120
1977,6,3,2,315,5.4256
1977,6,3,3,307,4.5560
1977,6,3,4,285,5.1002
1977,6,3,5,200,4.9211
1977,7,1,1,425,-0.8648
1977,7,1,2,270,0.4955
1977,7,1,3,226,0.1098
1977,7,1,4,273,-0.4187
1977,7,1,5,371,-0.7342
1977,7,2,1,184,-2.8098
1977,7,2,2,158,-1.0213
1977,7,2,3,184,-0.1546
1977,7,2,4,190,-0.3102
1977,7,2,5,190,-0.8761
1977,7,3,1,205,-3.9818
1977,7,3,2,287,-1.8941
1977,7,3,3,291,-0.6449
1977,7,3,4,259,-0.9265
1977,7,3,5,196,-1.6726
1977,8,1,1,446,-1.7075
1977,8,1,2,287,-1.6432
1977,8,1,3,239,-1.5365
1977,8,1,4,290,-2.2362
1977,8,1,5,379,-0.9608
1977,8,2,1,198,-1.0758
1977,8,2,2,172,-1.6937
1977,8,2,3,189,-1.3128
1977,8,2,4,203,-1.3778
1977,8,2,5,214,-0.5891
1977,8,3,1,214,-2.0077
1977,8,3,2,317,-1.7212
1977,8,3,3,324,-1.6201
1977,8,3,4,295,-0.7824
