year,month,rank_ME,rank_Fq_12,nstocks,ret_vw
1986,7,1,3,1263,-8.9756
1986,7,1,4,1067,-7.7122
1986,7,1,5,836,-8.2467
1986,7,2,1,293,-12.2570
1986,7,2,2,357,-10.0772
1986,7,2,3,385,-9.9443
1986,7,2,4,340,-9.1462
1986,7,2,5,241,-8.8065
1986,7,3,1,219,-8.6887
1986,7,3,2,296,-7.2812
1986,7,3,3,336,-6.8540
1986,7,3,4,276,-6.1145
1986,7,3,5,222,-6.0401
1986,8,1,1,1211,0.9224
1986,8,1,2,1338,0.7581
1986,8,1,3,1358,1.4518
1986,8,1,4,1154,1.0983
1986,8,1,5,892,1.3556
1986,8,2,1,316,4.0543
1986,8,2,2,386,3.9494
1986,8,2,3,417,4.5175
1986,8,2,4,372,3.8858
1986,8,2,5,264,3.7895
1986,8,3,1,240,6.7113
1986,8,3,2,323,6.1816
1986,8,3,3,367,6.4500
1986,8,3,4,298,6.8581
1986,8,3,5,242,6.8548
1986,9,1,1,1209,-6.5257
1986,9,1,2,1337,-6.1223
1986,9,1,3,1363,-6.4975
1986,9,1,4,1160,-5.7438
1986,9,1,5,900,-5.5887
1986,9,2,1,317,-6.5599
1986,9,2,2,387,-6.1300
1986,9,2,3,420,-5.7308
1986,9,2,4,369,-5.3724
1986,9,2,5,262,-6.1747
1986,9,3,1,244,-7.2519
1986,9,3,2,324,-7.1307
1986,9,3,3,367,-7.2934
1986,9,3,4,306,-8.3262
1986,9,3,5,242,-7.7108
1986,10,1,1,1114,2.1050
1986,10,1,2,1222,2.7815
1986,10,1,3,1260,3.4696
1986,10,1,4,1067,3.1581
1986,10,1,5,841,3.6703
1986,10,2,1,295,4.3803
1986,10,2,2,359,4.4385
1986,10,2,3,392,4.1694
1986,10,2,4,342,3.9290
1986,10,2,5,241,4.6557
1986,10,3,1,228,5.5963
1986,10,3,2,302,6.9956
1986,10,3,3,336,5.1909
1986,10,3,4,277,7.2873
1986,10,3,5,221,5.8771
1986,11,1,1,1199,-1.3487
1986,11,1,2,1275,-0.6984
1986,11,1,3,1338,-0.1431
1986,11,1,4,1137,-0.4546
1986,11,1,5,919,0.2622
1986,11,2,1,315,-0.8160
1986,11,2,2,385,0.4065
1986,11,2,3,424,0.4873
1986,11,2,4,364,1.6551
1986,11,2,5,250,1.5286
1986,11,3,1,243,2.5038
1986,11,3,2,326,3.1632
1986,11,3,3,355,2.7425
1986,11,3,4,304,2.5035
1986,11,3,5,245,2.0232
1986,12,1,1,1198,-3.6993
1986,12,1,2,1276,-4.0940
1986,12,1,3,1329,-2.7738
1986,12,1,4,1129,-2.2469
1986,12,1,5,914,-2.1263
1986,12,2,1,314,-3.1113
1986,12,2,2,395,-3.1232
1986,12,2,3,426,-1.8478
1986,12,2,4,363,-1.5503
1986,12,2,5,242,-1.4027
1986,12,3,1,242,-3.6052
1986,12,3,2,323,-2.2529
1986,12,3,3,355,-2.6748
1986,12,3,4,304,-2.2455
1986,12,3,5,245,-3.1972
1987,1,1,1,1099,10.8741
1987,1,1,2,1162,11.5237
1987,1,1,3,1218,9.8037
1987,1,1,4,1052,10.4603
1987,1,1,5,832,11.9782
1987,1,2,1,291,14.8254
1987,1,2,2,366,13.1362
1987,1,2,3,381,12.9959
1987,1,2,4,339,11.9242
1987,1,2,5,221,12.0636
1987,1,3,1,220,13.6735
1987,1,3,2,294,13.9303
1987,1,3,3,325,14.2250
1987,1,3,4,281,13.9042
1987,1,3,5,218,13.2505
1987,2,1,1,1200,7.9699
1987,2,1,2,1268,8.5027
1987,2,1,3,1303,8.9643
1987,2,1,4,1138,8.9006
1987,2,1,5,897,8.5685
1987,2,2,1,307,8.7052
1987,2,2,2,387,7.6183
1987,2,2,3,400,8.5412
1987,2,2,4,365,9.3268
1987,2,2,5,236,8.6545
1987,2,3,1,232,7.2920
1987,2,3,2,317,5.7765
1987,2,3,3,345,5.7620
1987,2,3,4,306,4.1363
1987,2,3,5,255,4.4911
1987,3,1,1,1202,3.2420
1987,3,1,2,1269,2.3919
1987,3,1,3,1315,2.7230
1987,3,1,4,1148,2.8977
1987,3,1,5,903,2.8704
1987,3,2,1,300,1.8875
1987,3,2,2,387,2.1342
1987,3,2,3,389,0.7536
1987,3,2,4,365,1.8028
1987,3,2,5,241,2.7677
1987,3,3,1,230,2.4017
1987,3,3,2,315,3.1741
1987,3,3,3,351,2.6991
1987,3,3,4,305,3.9154
1987,3,3,5,257,4.0352
1987,4,1,1,1123,-2.7300
1987,4,1,2,1177,-2.1697
1987,4,1,3,1240,-3.1935
