year,month,rank_ME,rank_GLAq_12,nstocks,ret_vw
1977,4,2,2,224,2.0508
1977,4,2,3,206,2.5592
1977,4,2,4,195,2.0579
1977,4,2,5,186,1.0581
1977,4,3,1,231,2.0057
1977,4,3,2,271,0.9172
1977,4,3,3,272,1.9276
1977,4,3,4,257,-0.2136
1977,4,3,5,192,-3.9982
1977,5,1,1,466,-0.1390
1977,5,1,2,438,0.4856
1977,5,1,3,409,-0.2177
1977,5,1,4,422,0.1427
1977,5,1,5,442,-0.1240
1977,5,2,1,228,0.3703
1977,5,2,2,241,0.3281
1977,5,2,3,218,-0.2554
1977,5,2,4,206,-0.9448
1977,5,2,5,196,-0.7645
1977,5,3,1,239,-0.5946
1977,5,3,2,283,-1.9523
1977,5,3,3,289,-1.4552
1977,5,3,4,274,-2.1301
1977,5,3,5,195,-2.3337
1977,6,1,1,465,8.5969
1977,6,1,2,436,8.8295
1977,6,1,3,412,6.7612
1977,6,1,4,439,7.2859
1977,6,1,5,439,6.7836
1977,6,2,1,232,8.0343
1977,6,2,2,241,8.6077
1977,6,2,3,219,7.5802
1977,6,2,4,207,6.4091
1977,6,2,5,200,6.8454
1977,6,3,1,233,2.8709
1977,6,3,2,282,3.8816
1977,6,3,3,287,4.2140
1977,6,3,4,274,5.6449
1977,6,3,5,191,7.2674
1977,7,1,1,408,-1.4878
1977,7,1,2,386,-0.5853
1977,7,1,3,387,-0.5309
1977,7,1,4,416,-0.4744
1977,7,1,5,425,0.5817
1977,7,2,1,192,-1.5551
1977,7,2,2,215,-1.3092
1977,7,2,3,202,-1.9764
1977,7,2,4,204,-1.4742
1977,7,2,5,190,-0.6196
1977,7,3,1,193,-2.1958
1977,7,3,2,231,-3.4803
1977,7,3,3,254,-2.6415
1977,7,3,4,235,-1.5203
1977,7,3,5,180,0.0542
1977,8,1,1,418,-1.8518
1977,8,1,2,409,-2.6204
1977,8,1,3,412,-2.1663
1977,8,1,4,441,-1.9897
1977,8,1,5,431,-0.3935
1977,8,2,1,200,-3.3004
1977,8,2,2,231,-1.8336
1977,8,2,3,222,-1.2540
1977,8,2,4,216,-1.3146
1977,8,2,5,191,2.5926
1977,8,3,1,266,-3.1268
1977,8,3,2,257,-3.3815
1977,8,3,3,263,-3.0417
1977,8,3,4,238,1.0292
1977,8,3,5,181,1.9358
1977,9,1,1,416,1.1995
1977,9,1,2,402,1.7166
1977,9,1,3,406,1.0180
1977,9,1,4,443,1.2609
1977,9,1,5,435,1.4362
1977,9,2,1,201,0.4928
1977,9,2,2,238,1.4279
1977,9,2,3,223,2.7462
1977,9,2,4,216,1.2156
1977,9,2,5,194,0.1369
1977,9,3,1,266,1.0317
1977,9,3,2,258,0.2532
1977,9,3,3,264,0.0976
1977,9,3,4,235,-0.6405
1977,9,3,5,186,-1.2487
1977,10,1,1,394,-3.2692
1977,10,1,2,383,-2.8419
1977,10,1,3,385,-2.2500
1977,10,1,4,431,-3.4036
1977,10,1,5,427,-1.9204
1977,10,2,1,194,-3.9955
1977,10,2,2,233,-3.3918
1977,10,2,3,220,-3.0001
1977,10,2,4,209,-2.3856
1977,10,2,5,193,-2.5931
1977,10,3,1,258,-4.2953
1977,10,3,2,251,-4.4954
1977,10,3,3,254,-3.8083
1977,10,3,4,227,-4.5146
1977,10,3,5,185,-3.3929
1977,11,1,1,403,8.4440
1977,11,1,2,407,9.1046
1977,11,1,3,412,11.2710
1977,11,1,4,448,9.7508
1977,11,1,5,446,9.9076
1977,11,2,1,205,8.6660
1977,11,2,2,250,9.2826
1977,11,2,3,237,8.6067
1977,11,2,4,217,9.6895
1977,11,2,5,194,9.2119
1977,11,3,1,272,3.2917
1977,11,3,2,270,4.2931
1977,11,3,3,262,3.4022
1977,11,3,4,238,4.3071
1977,11,3,5,185,4.1859
1977,12,1,1,405,1.9576
1977,12,1,2,410,3.2566
1977,12,1,3,409,0.6459
1977,12,1,4,456,1.4004
1977,12,1,5,445,2.7412
1977,12,2,1,203,1.3764
1977,12,2,2,250,2.2333
1977,12,2,3,240,1.1212
1977,12,2,4,217,1.1758
1977,12,2,5,199,1.4499
1977,12,3,1,269,1.0483
1977,12,3,2,268,0.2296
1977,12,3,3,261,1.3736
1977,12,3,4,236,-0.1330
1977,12,3,5,184,0.8632
1978,1,1,1,380,0.6889
1978,1,1,2,402,-0.9993
1978,1,1,3,387,-1.7152
1978,1,1,4,443,-2.0656
1978,1,1,5,429,-2.3369
1978,1,2,1,197,-2.0708
1978,1,2,2,245,-3.7485
1978,1,2,3,233,-4.3450
1978,1,2,4,213,-5.4477
1978,1,2,5,201,-5.0248
1978,1,3,1,260,-4.7271
1978,1,3,2,266,-7.2910
1978,1,3,3,250,-6.7532
1978,1,3,4,227,-6.0061
1978,1,3,5,180,-4.8534
1978,2,1,1,386,2.5995
