year,month,rank_ME,rank_GPA,nstocks,ret_vw
1968,9,3,1,118,3.0847
1968,9,3,2,106,4.5952
1968,9,3,3,98,5.3602
1968,9,3,4,97,5.2692
1968,9,3,5,108,1.4487
1968,10,1,1,74,-1.1908
1968,10,1,2,119,-0.9726
1968,10,1,3,146,-0.4309
1968,10,1,4,147,1.9494
1968,10,1,5,174,1.4474
1968,10,2,1,63,1.3480
1968,10,2,2,64,-1.2344
1968,10,2,3,70,1.2519
1968,10,2,4,74,1.3361
1968,10,2,5,65,1.6477
1968,10,3,1,118,0.9197
1968,10,3,2,106,2.0669
1968,10,3,3,98,3.4960
1968,10,3,4,97,-0.2894
1968,10,3,5,107,-2.1586
1968,11,1,1,73,6.1764
1968,11,1,2,119,6.7813
1968,11,1,3,146,7.3184
1968,11,1,4,147,6.9663
1968,11,1,5,174,7.6747
1968,11,2,1,63,7.1051
1968,11,2,2,64,9.0567
1968,11,2,3,70,9.0023
1968,11,2,4,75,6.9889
1968,11,2,5,65,7.8947
1968,11,3,1,118,7.3139
1968,11,3,2,106,5.6988
1968,11,3,3,98,3.1125
1968,11,3,4,97,4.5700
1968,11,3,5,107,7.1704
1968,12,1,1,73,5.4143
1968,12,1,2,121,4.0142
1968,12,1,3,146,0.6413
1968,12,1,4,147,1.8934
1968,12,1,5,174,0.4636
1968,12,2,1,63,-2.2353
1968,12,2,2,64,-1.0918
1968,12,2,3,70,-0.4373
1968,12,2,4,75,-2.7025
1968,12,2,5,65,-0.3668
1968,12,3,1,118,-3.4093
1968,12,3,2,106,-4.2031
1968,12,3,3,98,-2.9698
1968,12,3,4,97,-4.6849
1968,12,3,5,107,-4.5434
1969,1,1,1,73,1.3201
1969,1,1,2,121,-2.9197
1969,1,1,3,146,-0.6677
1969,1,1,4,147,-1.9749
1969,1,1,5,174,-1.5467
1969,1,2,1,63,2.0552
1969,1,2,2,64,-0.8398
1969,1,2,3,70,-2.7061
1969,1,2,4,75,-1.3149
1969,1,2,5,65,-3.1812
1969,1,3,1,118,1.6785
1969,1,3,2,106,-0.6424
1969,1,3,3,98,-0.7421
1969,1,3,4,96,-1.2564
1969,1,3,5,107,-2.5113
1969,2,1,1,73,-10.7870
1969,2,1,2,121,-11.2112
1969,2,1,3,145,-9.5899
1969,2,1,4,146,-10.6943
1969,2,1,5,173,-8.8336
1969,2,2,1,63,-7.1420
1969,2,2,2,64,-10.4525
1969,2,2,3,70,-8.1721
1969,2,2,4,75,-8.1725
1969,2,2,5,65,-6.5312
1969,2,3,1,118,-6.2068
1969,2,3,2,106,-4.8327
1969,2,3,3,98,-5.1589
1969,2,3,4,96,-4.2261
1969,2,3,5,107,-3.0966
1969,3,1,1,73,2.8400
1969,3,1,2,121,1.1366
1969,3,1,3,145,3.1301
1969,3,1,4,146,2.6315
1969,3,1,5,173,2.8553
1969,3,2,1,63,2.3151
1969,3,2,2,63,1.6895
1969,3,2,3,70,3.7631
1969,3,2,4,75,1.6527
1969,3,2,5,65,4.6516
