year,month,rank_ME,rank_CTOq_12,nstocks,ret_vw
1974,7,2,5,178,-5.0063
1974,7,3,1,266,-4.1958
1974,7,3,2,240,-8.5288
1974,7,3,3,228,-9.2613
1974,7,3,4,197,-8.1146
1974,7,3,5,155,-11.3531
1974,8,1,1,188,-7.2541
1974,8,1,2,277,-6.2291
1974,8,1,3,273,-6.3943
1974,8,1,4,375,-6.9150
1974,8,1,5,367,-7.2401
1974,8,2,1,151,-6.7761
1974,8,2,2,154,-7.4238
1974,8,2,3,163,-7.8039
1974,8,2,4,172,-7.6083
1974,8,2,5,179,-8.4688
1974,8,3,1,266,-8.5763
1974,8,3,2,237,-9.8394
1974,8,3,3,226,-10.2082
1974,8,3,4,197,-12.7423
1974,8,3,5,158,-9.8125
1974,9,1,1,184,-6.8227
1974,9,1,2,274,-9.2475
1974,9,1,3,273,-8.4673
1974,9,1,4,378,-7.1857
1974,9,1,5,373,-7.3010
1974,9,2,1,147,-6.5311
1974,9,2,2,152,-11.0925
1974,9,2,3,162,-10.6763
1974,9,2,4,169,-9.2249
1974,9,2,5,185,-8.2945
1974,9,3,1,267,-6.5955
1974,9,3,2,239,-12.9302
1974,9,3,3,227,-13.0383
1974,9,3,4,199,-11.7972
1974,9,3,5,158,-11.6021
1974,10,1,1,151,10.4861
1974,10,1,2,237,8.6113
1974,10,1,3,234,8.3367
1974,10,1,4,324,5.5432
1974,10,1,5,346,8.5227
1974,10,2,1,128,7.9123
1974,10,2,2,135,11.6489
1974,10,2,3,144,7.0746
1974,10,2,4,148,6.8765
1974,10,2,5,175,12.4919
1974,10,3,1,207,16.8135
1974,10,3,2,195,16.0252
1974,10,3,3,195,18.5599
1974,10,3,4,175,16.6735
1974,10,3,5,152,19.0303
1974,11,1,1,142,-5.6779
1974,11,1,2,235,-6.7467
1974,11,1,3,238,-5.9531
1974,11,1,4,321,-6.0554
1974,11,1,5,344,-5.1854
1974,11,2,1,129,-2.9503
1974,11,2,2,139,-5.1620
1974,11,2,3,145,-6.2270
1974,11,2,4,143,-5.8025
1974,11,2,5,177,-4.4814
1974,11,3,1,203,-0.6955
1974,11,3,2,205,-2.7165
1974,11,3,3,193,-4.6012
1974,11,3,4,169,-4.7737
1974,11,3,5,152,-2.5940
1974,12,1,1,135,-7.0218
1974,12,1,2,235,-7.7730
1974,12,1,3,248,-9.3127
1974,12,1,4,314,-10.6390
1974,12,1,5,348,-6.8011
1974,12,2,1,126,-4.3795
1974,12,2,2,135,-5.8849
1974,12,2,3,146,-6.9002
1974,12,2,4,145,-6.2880
1974,12,2,5,178,-5.4289
1974,12,3,1,205,-2.8802
1974,12,3,2,210,-2.9832
1974,12,3,3,199,-4.1242
1974,12,3,4,166,-1.3520
1974,12,3,5,152,-3.0615
1975,1,1,1,96,32.5440
1975,1,1,2,212,34.4043
1975,1,1,3,246,32.0313
1975,1,1,4,305,36.1378
1975,1,1,5,352,28.4508
1975,1,2,1,114,26.5023
1975,1,2,2,123,27.0284
1975,1,2,3,142,27.5440
1975,1,2,4,140,28.3509
1975,1,2,5,178,26.6462
1975,1,3,1,189,20.6304
1975,1,3,2,199,12.7013
1975,1,3,3,195,13.8731
1975,1,3,4,167,16.3939
1975,1,3,5,152,16.2228
1975,2,1,1,95,6.0054
1975,2,1,2,211,3.6938
1975,2,1,3,242,5.1732
1975,2,1,4,302,1.1372
1975,2,1,5,356,4.4044
1975,2,2,1,113,1.6227
1975,2,2,2,121,6.2061
1975,2,2,3,136,5.0102
1975,2,2,4,142,4.8054
1975,2,2,5,182,4.7378
1975,2,3,1,189,0.5702
1975,2,3,2,197,7.4025
1975,2,3,3,193,9.0870
1975,2,3,4,168,6.8415
1975,2,3,5,154,5.4444
1975,3,1,1,97,7.9887
1975,3,1,2,218,9.8967
1975,3,1,3,250,9.9579
1975,3,1,4,301,12.1816
1975,3,1,5,356,11.1817
1975,3,2,1,112,1.4631
1975,3,2,2,122,4.4716
1975,3,2,3,138,7.9837
1975,3,2,4,148,8.1890
1975,3,2,5,182,8.9836
1975,3,3,1,188,-1.1794
1975,3,3,2,200,2.3149
1975,3,3,3,195,5.3718
1975,3,3,4,170,2.9393
1975,3,3,5,153,5.4983
1975,4,1,1,96,1.4552
1975,4,1,2,213,6.5512
1975,4,1,3,253,5.0373
1975,4,1,4,297,4.4935
