year,month,rank_ME,rank_RNAq_6,nstocks,ret_vw
1977,12,3,4,257,-0.2119
1977,12,3,5,253,1.5324
1978,1,1,1,483,0.8024
1978,1,1,2,344,-0.5715
1978,1,1,3,319,-0.7410
1978,1,1,4,281,-2.8681
1978,1,1,5,260,-3.0993
1978,1,2,1,165,-0.9084
1978,1,2,2,176,-3.5466
1978,1,2,3,166,-4.2356
1978,1,2,4,187,-4.7460
1978,1,2,5,190,-6.1356
1978,1,3,1,142,-4.1891
1978,1,3,2,178,-5.9518
1978,1,3,3,234,-7.2182
1978,1,3,4,230,-6.7589
1978,1,3,5,228,-5.6029
1978,2,1,1,509,2.6740
1978,2,1,2,384,2.7822
1978,2,1,3,359,2.4751
1978,2,1,4,311,2.8197
1978,2,1,5,256,4.7731
1978,2,2,1,177,0.8108
1978,2,2,2,195,2.9765
1978,2,2,3,187,1.6433
1978,2,2,4,214,1.6507
1978,2,2,5,203,1.8495
1978,2,3,1,157,-3.0293
1978,2,3,2,222,-2.1798
1978,2,3,3,270,-1.8125
1978,2,3,4,250,-1.4263
1978,2,3,5,244,-1.9889
1978,3,1,1,499,7.3024
1978,3,1,2,386,7.9112
1978,3,1,3,353,8.7421
1978,3,1,4,328,8.1735
1978,3,1,5,264,7.5433
1978,3,2,1,170,5.6296
1978,3,2,2,195,5.6674
1978,3,2,3,187,6.5068
1978,3,2,4,213,6.3943
1978,3,2,5,209,6.7545
1978,3,3,1,155,2.7119
1978,3,3,2,222,2.6556
1978,3,3,3,271,4.3095
1978,3,3,4,252,3.5291
1978,3,3,5,241,1.6399
1978,4,1,1,416,7.5987
1978,4,1,2,342,7.5067
1978,4,1,3,304,8.1727
1978,4,1,4,299,8.4616
1978,4,1,5,242,8.6039
1978,4,2,1,135,4.3550
1978,4,2,2,169,6.4270
1978,4,2,3,159,7.4766
1978,4,2,4,186,9.4888
1978,4,2,5,190,9.7086
1978,4,3,1,136,2.4138
1978,4,3,2,187,6.3878
1978,4,3,3,237,9.2277
1978,4,3,4,218,10.2233
1978,4,3,5,217,10.4830
1978,5,1,1,449,6.0735
1978,5,1,2,397,8.4970
1978,5,1,3,366,8.5561
1978,5,1,4,342,8.5285
1978,5,1,5,288,7.7204
1978,5,2,1,153,4.7161
1978,5,2,2,193,5.0827
1978,5,2,3,197,6.1790
1978,5,2,4,204,6.2870
1978,5,2,5,215,6.1824
1978,5,3,1,148,1.0014
1978,5,3,2,219,0.5972
1978,5,3,3,265,1.6419
1978,5,3,4,245,2.5817
1978,5,3,5,240,2.2219
1978,6,1,1,439,-0.8532
1978,6,1,2,402,0.6186
1978,6,1,3,385,0.6727
1978,6,1,4,347,0.2742
1978,6,1,5,295,0.4754
1978,6,2,1,154,2.8761
1978,6,2,2,196,-0.2110
1978,6,2,3,198,-0.1325
1978,6,2,4,211,-0.7863
1978,6,2,5,219,-0.1854
1978,6,3,1,150,-1.0747
1978,6,3,2,224,-1.5937
1978,6,3,3,259,-1.5355
1978,6,3,4,248,-0.7548
1978,6,3,5,246,-1.3320
1978,7,1,1,414,4.5671
1978,7,1,2,355,5.8954
1978,7,1,3,339,5.6836
1978,7,1,4,301,6.4958
1978,7,1,5,262,6.7564
1978,7,2,1,148,4.9984
1978,7,2,2,178,6.9833
1978,7,2,3,172,5.5498
1978,7,2,4,186,7.9445
1978,7,2,5,199,6.2086
1978,7,3,1,140,4.6852
1978,7,3,2,200,5.4709
1978,7,3,3,227,6.0242
1978,7,3,4,214,5.6804
1978,7,3,5,228,7.0721
1978,8,1,1,455,9.0244
1978,8,1,2,395,8.3052
1978,8,1,3,389,9.7471
1978,8,1,4,337,8.6732
1978,8,1,5,287,10.5577
1978,8,2,1,182,7.8818
1978,8,2,2,199,6.5227
1978,8,2,3,197,7.7172
1978,8,2,4,206,8.1305
1978,8,2,5,235,9.3126
1978,8,3,1,161,1.6227
1978,8,3,2,236,2.6437
1978,8,3,3,268,4.0335
1978,8,3,4,271,2.5243
1978,8,3,5,250,4.3783
