year,month,rank_ME,rank_CTO,nstocks,ret_vw
1968,5,3,5,86,3.1741
1968,6,1,1,39,1.0726
1968,6,1,2,58,1.5931
1968,6,1,3,75,1.8495
1968,6,1,4,89,-1.2698
1968,6,1,5,152,0.3011
1968,6,2,1,47,3.2015
1968,6,2,2,41,0.7215
1968,6,2,3,47,-0.2957
1968,6,2,4,61,0.1930
1968,6,2,5,65,-0.7642
1968,6,3,1,121,5.4776
1968,6,3,2,115,0.4726
1968,6,3,3,103,-0.3404
1968,6,3,4,91,-0.4807
1968,6,3,5,86,0.2708
1968,7,1,1,59,-0.1198
1968,7,1,2,84,-2.2588
1968,7,1,3,110,-4.1495
1968,7,1,4,148,-4.7784
1968,7,1,5,199,-3.2431
1968,7,2,1,61,-1.5549
1968,7,2,2,40,-2.2826
1968,7,2,3,53,-3.8391
1968,7,2,4,71,-4.5602
1968,7,2,5,80,-5.3915
1968,7,3,1,119,-0.3319
1968,7,3,2,126,0.4504
1968,7,3,3,96,-4.2795
1968,7,3,4,86,-5.1467
1968,7,3,5,89,-5.1264
1968,8,1,1,59,5.9966
1968,8,1,2,84,3.6208
1968,8,1,3,109,3.9401
1968,8,1,4,148,3.9368
1968,8,1,5,199,5.1486
1968,8,2,1,61,0.9940
1968,8,2,2,40,4.3514
1968,8,2,3,53,5.6067
1968,8,2,4,70,3.5667
1968,8,2,5,80,4.7289
1968,8,3,1,119,0.8711
1968,8,3,2,125,1.0955
1968,8,3,3,96,3.0455
1968,8,3,4,86,1.2983
1968,8,3,5,89,0.8904
1968,9,1,1,59,10.6168
1968,9,1,2,84,8.8947
1968,9,1,3,109,5.6241
1968,9,1,4,148,7.1838
1968,9,1,5,199,6.7641
1968,9,2,1,61,3.7344
1968,9,2,2,40,7.2775
1968,9,2,3,52,6.9129
1968,9,2,4,70,7.0531
1968,9,2,5,80,7.8441
1968,9,3,1,119,2.4459
1968,9,3,2,125,3.9269
1968,9,3,3,96,4.6826
1968,9,3,4,86,3.5261
1968,9,3,5,89,5.5266
1968,10,1,1,59,-1.3912
1968,10,1,2,83,-0.9125
1968,10,1,3,109,0.2486
1968,10,1,4,147,1.7155
1968,10,1,5,199,0.7194
1968,10,2,1,61,1.2538
1968,10,2,2,40,-0.5033
1968,10,2,3,52,1.2363
1968,10,2,4,70,1.0212
1968,10,2,5,80,1.4794
1968,10,3,1,119,1.3907
1968,10,3,2,125,0.0879
1968,10,3,3,96,0.8377
1968,10,3,4,86,2.4903
1968,10,3,5,88,-0.8285
1968,11,1,1,58,5.0306
1968,11,1,2,83,7.2609
1968,11,1,3,109,5.8858
1968,11,1,4,147,7.2583
1968,11,1,5,199,8.0364
1968,11,2,1,61,7.8967
1968,11,2,2,40,6.8977
1968,11,2,3,53,8.4753
1968,11,2,4,70,7.9601
1968,11,2,5,80,8.9344
1968,11,3,1,119,7.0788
1968,11,3,2,125,6.5561
1968,11,3,3,96,3.1371
1968,11,3,4,86,3.9640
1968,11,3,5,88,5.7139
1968,12,1,1,58,2.9730
1968,12,1,2,84,2.0506
1968,12,1,3,109,2.1168
1968,12,1,4,148,0.8119
1968,12,1,5,199,2.3304
1968,12,2,1,61,-2.2805
1968,12,2,2,40,0.6200
1968,12,2,3,53,-1.6347
1968,12,2,4,70,-1.4622
1968,12,2,5,80,-1.6108
1968,12,3,1,119,-4.5860
1968,12,3,2,125,-3.3415
1968,12,3,3,96,-4.5965
1968,12,3,4,86,-4.4370
1968,12,3,5,88,-3.8984
1969,1,1,1,58,-1.1129
1969,1,1,2,84,-0.9615
1969,1,1,3,109,-0.3438
1969,1,1,4,148,-0.4294
1969,1,1,5,199,-2.2546
1969,1,2,1,61,2.0848
1969,1,2,2,40,-0.8765
1969,1,2,3,53,-1.6118
1969,1,2,4,70,-2.3960
1969,1,2,5,80,-2.4300
1969,1,3,1,119,1.7442
1969,1,3,2,124,-1.5682
1969,1,3,3,96,-0.5069
1969,1,3,4,86,-0.8191
1969,1,3,5,88,-3.5055
1969,2,1,1,58,-11.8712
1969,2,1,2,82,-10.3643
1969,2,1,3,109,-9.7437
1969,2,1,4,148,-9.2946
1969,2,1,5,198,-10.1018
1969,2,2,1,61,-7.5334
1969,2,2,2,40,-8.6955
1969,2,2,3,53,-8.0575
1969,2,2,4,70,-8.4226
1969,2,2,5,80,-7.6670
1969,2,3,1,119,-4.8234
1969,2,3,2,124,-4.6286
1969,2,3,3,96,-4.1255
1969,2,3,4,86,-3.5587
1969,2,3,5,88,-6.2023
1969,3,1,1,58,2.7797
1969,3,1,2,82,1.5073
1969,3,1,3,109,3.2992
1969,3,1,4,148,1.8944
1969,3,1,5,198,3.1073
1969,3,2,1,60,1.3640
1969,3,2,2,40,3.0109
1969,3,2,3,53,4.6754
1969,3,2,4,70,0.4055
1969,3,2,5,80,3.8272
1969,3,3,1,119,-0.3535
1969,3,3,2,124,4.9293
1969,3,3,3,96,4.0661
1969,3,3,4,86,4.2194
1969,3,3,5,88,1.2915
1969,4,1,1,58,-0.9273
1969,4,1,2,80,-2.1204
1969,4,1,3,109,-1.2015
1969,4,1,4,148,-0.2056
1969,4,1,5,198,-0.1151
1969,4,2,1,60,2.4045
1969,4,2,2,40,3.7463
1969,4,2,3,53,0.0068
1969,4,2,4,69,1.2963
1969,4,2,5,80,1.4442
1969,4,3,1,119,3.4733
1969,4,3,2,124,1.1817
1969,4,3,3,96,3.2627
1969,4,3,4,85,2.1183
1969,4,3,5,87,2.5083
1969,5,1,1,58,4.1817
1969,5,1,2,81,3.1552
1969,5,1,3,109,-0.1543
1969,5,1,4,148,1.4066
1969,5,1,5,198,-0.4538
1969,5,2,1,61,1.3202
1969,5,2,2,40,1.3195
1969,5,2,3,53,-1.0745
1969,5,2,4,69,0.3111
1969,5,2,5,80,-0.0342
1969,5,3,1,119,0.3763
1969,5,3,2,123,0.7110
1969,5,3,3,96,-0.0763
1969,5,3,4,85,1.3143
1969,5,3,5,87,-2.3214
1969,6,1,1,58,-14.9898
1969,6,1,2,82,-14.2058
1969,6,1,3,109,-12.1178
1969,6,1,4,148,-14.8275
1969,6,1,5,198,-12.7240
1969,6,2,1,61,-9.1112
1969,6,2,2,40,-11.3090
1969,6,2,3,53,-11.2859
1969,6,2,4,70,-10.5558
1969,6,2,5,80,-10.6664
1969,6,3,1,118,-6.1311
1969,6,3,2,123,-5.6622
1969,6,3,3,96,-5.5677
1969,6,3,4,86,-4.7107
1969,6,3,5,87,-6.2330
1969,7,1,1,57,-11.3936
1969,7,1,2,99,-10.7748
1969,7,1,3,112,-11.4164
1969,7,1,4,160,-11.0238
1969,7,1,5,222,-12.1264
1969,7,2,1,54,-6.9154
1969,7,2,2,56,-9.6964
1969,7,2,3,55,-9.4975
1969,7,2,4,73,-9.0303
1969,7,2,5,90,-9.4963
1969,7,3,1,132,-5.7039
1969,7,3,2,121,-5.9199
1969,7,3,3,109,-5.1405
1969,7,3,4,80,-6.1319
1969,7,3,5,92,-7.8123
1969,8,1,1,57,3.5436
1969,8,1,2,98,3.1610
1969,8,1,3,112,3.6903
1969,8,1,4,160,3.0325
1969,8,1,5,222,5.1238
1969,8,2,1,54,3.1123
