year,month,rank_ME,rank_ROE_6,nstocks,ret_vw
1968,6,2,5,133,0.6758
1968,6,3,1,118,-0.1412
1968,6,3,2,197,2.2528
1968,6,3,3,217,2.4889
1968,6,3,4,216,-0.1540
1968,6,3,5,193,-0.0132
1968,7,1,1,266,-2.8774
1968,7,1,2,139,-3.3832
1968,7,1,3,131,-4.2578
1968,7,1,4,170,-3.2305
1968,7,1,5,208,-3.8907
1968,7,2,1,108,-3.2124
1968,7,2,2,85,-1.6674
1968,7,2,3,92,-2.6423
1968,7,2,4,112,-3.5243
1968,7,2,5,123,-6.2294
1968,7,3,1,101,-2.5729
1968,7,3,2,176,0.0996
1968,7,3,3,187,1.3102
1968,7,3,4,183,-3.2985
1968,7,3,5,175,-4.5452
1968,8,1,1,299,4.5197
1968,8,1,2,169,4.7348
1968,8,1,3,165,3.6969
1968,8,1,4,186,4.7508
1968,8,1,5,226,6.5124
1968,8,2,1,123,3.2380
1968,8,2,2,104,2.3395
1968,8,2,3,108,3.8064
1968,8,2,4,132,2.5010
1968,8,2,5,134,6.0906
1968,8,3,1,119,1.8924
1968,8,3,2,204,1.8981
1968,8,3,3,226,1.3970
1968,8,3,4,225,0.5608
1968,8,3,5,201,1.3990
1968,9,1,1,308,7.9257
1968,9,1,2,183,6.6306
1968,9,1,3,167,6.0166
1968,9,1,4,196,5.4528
1968,9,1,5,231,7.8225
1968,9,2,1,129,7.0167
1968,9,2,2,110,6.2348
1968,9,2,3,114,5.5221
1968,9,2,4,130,6.7249
1968,9,2,5,134,6.5783
1968,9,3,1,122,8.5309
1968,9,3,2,211,5.6919
1968,9,3,3,232,2.7747
1968,9,3,4,231,3.2112
1968,9,3,5,203,3.6665
1968,10,1,1,283,-0.3014
1968,10,1,2,161,2.0379
1968,10,1,3,141,0.0305
1968,10,1,4,159,0.1605
1968,10,1,5,214,-0.5801
1968,10,2,1,111,-1.3273
1968,10,2,2,101,1.8597
1968,10,2,3,103,2.1635
1968,10,2,4,116,1.2372
1968,10,2,5,124,1.3530
1968,10,3,1,100,2.6152
1968,10,3,2,179,1.1255
1968,10,3,3,200,2.1880
1968,10,3,4,201,-0.8322
1968,10,3,5,180,-0.0866
1968,11,1,1,316,6.0486
1968,11,1,2,182,7.2856
1968,11,1,3,163,7.7185
1968,11,1,4,177,9.3179
1968,11,1,5,238,7.9342
1968,11,2,1,126,7.1600
1968,11,2,2,119,7.7857
1968,11,2,3,117,8.9650
1968,11,2,4,135,7.2833
1968,11,2,5,137,8.3889
1968,11,3,1,108,6.2750
1968,11,3,2,204,6.1944
1968,11,3,3,230,5.6858
1968,11,3,4,241,4.7333
1968,11,3,5,190,5.8731
1968,12,1,1,324,2.3384
1968,12,1,2,189,1.3504
1968,12,1,3,161,1.0941
1968,12,1,4,182,0.7971
1968,12,1,5,238,1.2601
1968,12,2,1,123,-1.8163
1968,12,2,2,120,-0.9741
1968,12,2,3,117,-2.2954
1968,12,2,4,140,0.3869
1968,12,2,5,140,-2.1968
1968,12,3,1,111,-2.3682
1968,12,3,2,208,-3.2242
1968,12,3,3,235,-3.6471
1968,12,3,4,241,-4.3052
1968,12,3,5,193,-4.0377
1969,1,1,1,285,-0.9119
1969,1,1,2,160,-1.8757
1969,1,1,3,136,-1.8627
1969,1,1,4,138,-1.6941
1969,1,1,5,206,-2.1529
1969,1,2,1,101,-0.3841
1969,1,2,2,101,-0.4402
1969,1,2,3,95,-1.8216
1969,1,2,4,115,-1.6095
1969,1,2,5,119,-1.2538
1969,1,3,1,93,-1.9018
1969,1,3,2,175,0.3965
1969,1,3,3,202,0.1672
1969,1,3,4,201,-1.6611
1969,1,3,5,167,-2.2563
1969,2,1,1,314,-10.4724
1969,2,1,2,188,-9.3135
1969,2,1,3,164,-8.7070
1969,2,1,4,177,-8.5251
1969,2,1,5,208,-9.2963
1969,2,2,1,110,-9.1721
1969,2,2,2,117,-8.7013
1969,2,2,3,112,-7.0165
1969,2,2,4,130,-8.2498
1969,2,2,5,127,-8.0503
1969,2,3,1,109,-6.7796
1969,2,3,2,199,-5.3449
1969,2,3,3,223,-4.3245
1969,2,3,4,225,-4.1638
1969,2,3,5,182,-4.5877
1969,3,1,1,319,1.3988
1969,3,1,2,199,1.1889
1969,3,1,3,168,1.1832
1969,3,1,4,189,3.0644
1969,3,1,5,210,2.7995
1969,3,2,1,107,1.9123
1969,3,2,2,117,3.3702
1969,3,2,3,112,2.1200
