year,month,rank_ME,nstocks,ret_vw
1969,3,5,142,2.0229
1969,3,6,120,1.3052
1969,3,7,118,1.7191
1969,3,8,118,2.2543
1969,3,9,114,1.2459
1969,3,10,115,4.2121
1969,4,1,638,-1.0159
1969,4,2,217,0.4653
1969,4,3,150,1.2065
1969,4,4,135,0.8963
1969,4,5,142,0.8450
1969,4,6,118,0.4515
1969,4,7,118,1.9780
1969,4,8,118,0.9684
1969,4,9,114,1.8668
1969,4,10,114,2.5555
1969,5,1,637,1.3958
1969,5,2,216,1.3036
1969,5,3,150,0.7400
1969,5,4,135,-0.4217
1969,5,5,142,0.6733
1969,5,6,117,0.0462
1969,5,7,116,-0.1123
1969,5,8,118,0.1092
1969,5,9,114,-0.6897
1969,5,10,114,0.7487
1969,6,1,634,-13.6983
1969,6,2,216,-13.2613
1969,6,3,150,-11.6033
1969,6,4,136,-11.6628
1969,6,5,142,-10.7193
1969,6,6,118,-10.2957
1969,6,7,115,-9.0040
1969,6,8,114,-7.4984
1969,6,9,113,-6.4864
1969,6,10,114,-4.7749
1969,7,1,742,-12.0245
1969,7,2,208,-11.4258
1969,7,3,173,-9.8697
1969,7,4,149,-8.8787
1969,7,5,141,-8.2850
1969,7,6,130,-8.0963
1969,7,7,126,-7.4161
1969,7,8,120,-6.9299
1969,7,9,117,-6.2987
1969,7,10,115,-5.4684
1969,8,1,739,3.9834
1969,8,2,208,5.3442
1969,8,3,171,5.6937
1969,8,4,149,5.0832
1969,8,5,141,6.7003
1969,8,6,129,7.0655
1969,8,7,126,4.8505
1969,8,8,120,6.0618
1969,8,9,117,3.3797
1969,8,10,115,4.8857
1969,9,1,739,-3.0752
1969,9,2,208,-2.9253
1969,9,3,168,-1.0157
1969,9,4,147,0.2220
1969,9,5,138,-0.9433
1969,9,6,128,-2.0095
1969,9,7,126,-2.1560
1969,9,8,120,-1.6830
1969,9,9,117,-1.1375
1969,9,10,115,-3.0632
1969,10,1,735,11.2158
1969,10,2,207,9.8470
1969,10,3,168,9.1190
1969,10,4,146,9.0760
1969,10,5,137,7.5644
1969,10,6,127,7.7522
1969,10,7,126,7.3011
1969,10,8,119,7.0975
1969,10,9,117,6.8433
1969,10,10,115,3.9869
1969,11,1,733,-7.0684
1969,11,2,207,-6.7316
1969,11,3,168,-4.6676
1969,11,4,146,-3.6975
1969,11,5,137,-4.7375
1969,11,6,128,-4.2572
1969,11,7,126,-3.7353
1969,11,8,119,-3.1278
1969,11,9,117,-3.0649
1969,11,10,115,-2.5824
1969,12,1,731,-8.4728
1969,12,2,205,-6.0629
1969,12,3,166,-7.2885
1969,12,4,146,-4.4811
1969,12,5,137,-3.5100
1969,12,6,128,-3.9416
1969,12,7,126,-1.9222
1969,12,8,119,-1.8868
1969,12,9,117,-2.6062
1969,12,10,115,-1.0319
1970,1,1,729,-2.1123
1970,1,2,204,-5.9317
1970,1,3,163,-5.1688
1970,1,4,145,-5.1325
1970,1,5,135,-6.4636
1970,1,6,128,-6.6732
1970,1,7,126,-7.1868
1970,1,8,119,-7.7228
1970,1,9,116,-5.9136
1970,1,10,115,-8.1038
1970,2,1,726,2.6165
1970,2,2,204,3.2362
1970,2,3,163,3.3162
1970,2,4,144,4.0246
1970,2,5,134,4.1964
1970,2,6,128,5.0348
1970,2,7,126,4.0300
1970,2,8,119,5.7576
1970,2,9,116,7.2322
1970,2,10,115,5.4634
1970,3,1,724,-4.2954
1970,3,2,203,-3.8092
1970,3,3,165,-1.6296
1970,3,4,145,-2.7467
1970,3,5,134,-2.0052
1970,3,6,128,-1.0724
1970,3,7,126,-0.1297
1970,3,8,118,-0.7056
1970,3,9,117,-0.4431
1970,3,10,115,0.1417
1970,4,1,722,-19.0455
1970,4,2,201,-17.2273
1970,4,3,164,-17.2831
1970,4,4,147,-16.9286
1970,4,5,134,-14.7160
1970,4,6,127,-14.7875
1970,4,7,124,-13.1755
1970,4,8,118,-11.6494
1970,4,9,117,-10.7834
1970,4,10,115,-8.3557
1970,5,1,719,-9.8065
1970,5,2,201,-9.0066
1970,5,3,164,-9.3715
1970,5,4,147,-10.9760
1970,5,5,133,-9.8376
1970,5,6,127,-9.5916
1970,5,7,123,-8.8761
1970,5,8,118,-8.4634
1970,5,9,117,-6.9565
1970,5,10,115,-4.7136
1970,6,1,716,-8.1842
1970,6,2,199,-9.1582
1970,6,3,162,-7.9011
1970,6,4,146,-7.9771
1970,6,5,133,-4.9527
1970,6,6,128,-6.4521
1970,6,7,123,-5.2774
1970,6,8,118,-3.7416
1970,6,9,117,-4.9809
1970,6,10,115,-5.0739
1970,7,1,803,3.7569
1970,7,2,222,5.9190
1970,7,3,175,7.0263
1970,7,4,144,7.4124
1970,7,5,140,8.1957
1970,7,6,130,6.8784
1970,7,7,125,8.8568
1970,7,8,122,8.4850
1970,7,9,119,6.9448
1970,7,10,119,7.3141
1970,8,1,799,6.0403
1970,8,2,221,5.9817
1970,8,3,175,7.9608
1970,8,4,144,7.0507
1970,8,5,139,5.6467
1970,8,6,129,7.3085
1970,8,7,125,5.0070
1970,8,8,122,5.9533
1970,8,9,119,5.9129
1970,8,10,119,4.4803
1970,9,1,797,16.8619
1970,9,2,220,13.9645
1970,9,3,174,14.9096
1970,9,4,145,12.2003
1970,9,5,138,9.2212
1970,9,6,129,9.4579
1970,9,7,124,6.8733
1970,9,8,122,6.7572
1970,9,9,119,4.0931
1970,9,10,119,2.9140
1970,10,1,795,-8.7547
1970,10,2,220,-6.3914
1970,10,3,174,-6.4389
1970,10,4,145,-3.7767
1970,10,5,137,-4.3967
1970,10,6,129,-4.3848
1970,10,7,124,-4.2432
1970,10,8,122,-3.2157
1970,10,9,119,-1.8792
1970,10,10,119,-0.2565
1970,11,1,791,-2.8070
1970,11,2,220,-0.8048
1970,11,3,174,1.4889
1970,11,4,145,3.0509
1970,11,5,136,3.4693
1970,11,6,129,3.2144
1970,11,7,124,4.7537
1970,11,8,122,5.4462
1970,11,9,119,6.1767
1970,11,10,119,5.4210
1970,12,1,788,9.1722
1970,12,2,220,9.4123
1970,12,3,173,7.8462
1970,12,4,145,8.9558
1970,12,5,136,7.6011
1970,12,6,129,8.4125
1970,12,7,123,8.6226
1970,12,8,122,7.8270
1970,12,9,119,6.2156
1970,12,10,119,5.0938
1971,1,1,783,17.4111
1971,1,2,220,12.0245
1971,1,3,172,12.5984
1971,1,4,144,10.0539
1971,1,5,134,9.8424
1971,1,6,129,8.0805
1971,1,7,123,6.4762
1971,1,8,121,7.9722
1971,1,9,119,5.1033
1971,1,10,119,3.5214
1971,2,1,779,7.0533
1971,2,2,220,5.2424
1971,2,3,171,2.2906
1971,2,4,143,3.6514
1971,2,5,134,2.1102
1971,2,6,129,2.3643
1971,2,7,123,2.1223
1971,2,8,121,2.6016
1971,2,9,118,1.2536
1971,2,10,119,1.2463
1971,3,1,775,5.8850
1971,3,2,220,5.8711
1971,3,3,168,5.2457
1971,3,4,143,5.7125
1971,3,5,134,7.5883
1971,3,6,127,6.1589
1971,3,7,123,4.3846
1971,3,8,121,5.1153
1971,3,9,118,3.2539
1971,3,10,119,3.8241
1971,4,1,772,1.4301
1971,4,2,220,3.0306
1971,4,3,164,3.1820
1971,4,4,143,3.3936
1971,4,5,134,4.5110
1971,4,6,127,4.8968
1971,4,7,122,3.7210
1971,4,8,121,3.7914
1971,4,9,118,3.3165
1971,4,10,119,3.5647
1971,5,1,765,-6.7414
1971,5,2,220,-5.2272
1971,5,3,166,-4.8264
1971,5,4,143,-3.5152
1971,5,5,133,-4.0583
1971,5,6,127,-3.6910
1971,5,7,122,-1.9795
1971,5,8,121,-3.9715
1971,5,9,118,-2.4863
1971,5,10,119,-3.7489
1971,6,1,760,-2.9338
1971,6,2,218,-1.2597
1971,6,3,164,-1.8682
1971,6,4,143,1.1064
1971,6,5,132,-1.0901
1971,6,6,126,-0.8651
1971,6,7,123,0.3504
1971,6,8,121,0.2306
1971,6,9,118,0.9152
1971,6,10,119,0.4781
1971,7,1,800,-7.0494
1971,7,2,232,-6.4282
1971,7,3,185,-5.7623
1971,7,4,157,-5.3210
1971,7,5,132,-3.5513
1971,7,6,132,-5.5997
1971,7,7,131,-4.5608
1971,7,8,123,-4.6609
1971,7,9,121,-4.0132
1971,7,10,120,-3.9138
1971,8,1,799,3.0314
1971,8,2,232,5.3507
1971,8,3,185,4.4946
1971,8,4,157,5.3112
1971,8,5,132,3.7401
1971,8,6,131,6.0090
1971,8,7,130,5.8958
1971,8,8,123,4.3448
1971,8,9,121,3.9943
1971,8,10,120,3.8273
1971,9,1,799,-0.3476
1971,9,2,231,-0.1808
1971,9,3,183,-1.0541
1971,9,4,157,-0.7277
1971,9,5,132,-0.3837
1971,9,6,131,0.1625
1971,9,7,130,-0.9208
1971,9,8,123,-0.4221
1971,9,9,121,-0.8717
1971,9,10,120,-0.4136
1971,10,1,798,-7.2425
1971,10,2,231,-6.5716
1971,10,3,182,-5.9616
1971,10,4,157,-4.4276
1971,10,5,132,-5.5535
1971,10,6,131,-6.2088
1971,10,7,130,-4.3192
1971,10,8,123,-3.7854
1971,10,9,121,-5.9517
1971,10,10,120,-3.3698
1971,11,1,798,-5.3790
1971,11,2,231,-3.3177
1971,11,3,182,-3.8603
1971,11,4,157,-1.2217
1971,11,5,132,-1.7587
1971,11,6,131,-1.7960
1971,11,7,130,-1.5601
1971,11,8,123,-1.6364
1971,11,9,121,-1.2976
1971,11,10,120,0.9027
1971,12,1,796,13.1361
1971,12,2,230,12.8305
1971,12,3,181,14.6725
1971,12,4,157,12.5087
1971,12,5,132,10.3953
1971,12,6,131,11.6148
1971,12,7,130,11.8132
1971,12,8,123,10.2393
1971,12,9,121,9.8339
1971,12,10,120,8.2311
1972,1,1,794,15.0202
1972,1,2,230,11.4600
1972,1,3,179,7.6557
1972,1,4,155,8.0704
1972,1,5,132,5.7208
1972,1,6,131,4.7800
1972,1,7,130,4.6049
1972,1,8,123,2.4302
1972,1,9,121,2.7439
1972,1,10,120,1.7251
1972,2,1,790,4.8832
1972,2,2,230,3.6683
1972,2,3,179,4.0447
1972,2,4,154,4.2964
1972,2,5,132,2.3679
1972,2,6,131,4.6714
1972,2,7,130,3.5642
1972,2,8,123,1.9477
1972,2,9,121,3.7482
1972,2,10,120,3.1928
1972,3,1,784,-0.8587
1972,3,2,229,-0.7521
1972,3,3,179,0.4583
1972,3,4,154,0.2516
1972,3,5,132,0.2985
1972,3,6,131,1.3353
1972,3,7,130,0.6204
1972,3,8,123,0.8652
1972,3,9,121,-0.8941
1972,3,10,120,0.9217
1972,4,1,781,0.1455
1972,4,2,228,-0.1020
1972,4,3,178,1.3390
1972,4,4,154,0.6333
1972,4,5,132,0.5029
1972,4,6,131,0.2055
1972,4,7,130,0.3635
1972,4,8,123,-0.2117
1972,4,9,121,1.1685
1972,4,10,120,0.4130
1972,5,1,779,-2.6180
1972,5,2,228,-1.8778
1972,5,3,178,-2.9224
1972,5,4,154,-0.0600
1972,5,5,132,-0.9200
1972,5,6,131,-0.5552
1972,5,7,128,2.4640
1972,5,8,123,0.0234
1972,5,9,121,1.0654
1972,5,10,120,2.7526
1972,6,1,773,-4.4423
1972,6,2,227,-2.8818
1972,6,3,177,-1.6992
1972,6,4,154,-2.4798
1972,6,5,132,-3.7014
1972,6,6,131,-2.4207
1972,6,7,128,-2.6363
1972,6,8,123,-3.7490
1972,6,9,121,-3.1913
1972,6,10,120,-1.3399
1972,7,1,822,-3.6949
1972,7,2,245,-4.8372
1972,7,3,189,-4.1440
1972,7,4,151,-4.2009
1972,7,5,150,-2.1642
1972,7,6,139,-2.4142
1972,7,7,136,-2.2016
1972,7,8,132,-3.4100
1972,7,9,126,-1.6880
1972,7,10,124,0.8942
1972,8,1,816,0.0514
1972,8,2,245,-0.2430
1972,8,3,188,0.6831
1972,8,4,150,1.4570
1972,8,5,150,2.5093
1972,8,6,139,2.1075
1972,8,7,136,1.7851
1972,8,8,132,3.6263
1972,8,9,126,4.4529
1972,8,10,124,3.6139
1972,9,1,810,-4.6528
1972,9,2,244,-3.9920
1972,9,3,186,-3.6154
1972,9,4,149,-3.5253
1972,9,5,150,-1.7688
1972,9,6,139,-2.3103
1972,9,7,136,-3.0925
1972,9,8,131,-1.8359
1972,9,9,126,-2.1347
1972,9,10,124,0.1620
1972,10,1,808,-3.4331
1972,10,2,243,-1.9579
1972,10,3,186,-1.2807
1972,10,4,149,-0.5475
1972,10,5,150,-0.6329
1972,10,6,138,-0.5462
1972,10,7,136,-0.5725
1972,10,8,131,0.2851
1972,10,9,126,1.2870
1972,10,10,124,1.3374
1972,11,1,806,4.3124
1972,11,2,242,4.6731
1972,11,3,186,6.3619
1972,11,4,149,5.8320
1972,11,5,149,5.9969
1972,11,6,138,5.6690
1972,11,7,136,7.1872
1972,11,8,131,7.7817
1972,11,9,126,6.8867
1972,11,10,124,3.9781
1972,12,1,803,-2.7788
1972,12,2,242,-1.2400
1972,12,3,186,-2.1960
1972,12,4,149,-1.1983
1972,12,5,148,0.3590
1972,12,6,138,-0.6417
1972,12,7,136,-0.8259
1972,12,8,131,-1.2587
1972,12,9,126,-0.9416
1972,12,10,124,2.3856
1973,1,1,800,-3.1432
1973,1,2,241,-5.0153
1973,1,3,186,-4.6173
1973,1,4,149,-6.7187
1973,1,5,147,-6.3475
1973,1,6,138,-6.3134
1973,1,7,136,-5.8790
1973,1,8,131,-5.3050
1973,1,9,126,-6.1846
1973,1,10,124,-0.3568
1973,2,1,796,-8.3768
1973,2,2,240,-8.8306
1973,2,3,185,-8.5290
1973,2,4,149,-7.9415
1973,2,5,146,-8.3908
1973,2,6,138,-7.1869
1973,2,7,136,-6.5695
1973,2,8,131,-5.5051
1973,2,9,126,-3.8456
1973,2,10,124,-3.1481
1973,3,1,791,-2.2861
1973,3,2,240,-3.2249
1973,3,3,185,-2.2583
1973,3,4,148,-2.3601
1973,3,5,146,-3.1195
1973,3,6,138,-2.8663
1973,3,7,135,-2.7184
1973,3,8,129,-2.6510
1973,3,9,126,-1.4869
1973,3,10,124,0.2209
1973,4,1,786,-7.3480
1973,4,2,239,-7.2657
1973,4,3,185,-7.1876
1973,4,4,148,-6.9595
1973,4,5,147,-6.1029
1973,4,6,138,-5.7281
1973,4,7,135,-7.3444
1973,4,8,129,-6.0238
1973,4,9,126,-4.9219
1973,4,10,124,-3.7175
1973,5,1,784,-9.3002
1973,5,2,238,-8.6889
1973,5,3,185,-9.4156
1973,5,4,148,-8.3196
1973,5,5,147,-6.7839
1973,5,6,138,-5.8508
1973,5,7,135,-5.6508
1973,5,8,129,-4.9472
1973,5,9,126,-2.3836
1973,5,10,124,-0.6533
1973,6,1,773,-3.6305
1973,6,2,237,-3.6365
1973,6,3,183,-2.1027
1973,6,4,148,-3.6648
1973,6,5,147,-3.4231
1973,6,6,137,-2.4735
1973,6,7,135,-3.4219
1973,6,8,129,-3.5888
1973,6,9,125,-4.0612
1973,6,10,124,-0.0407
1973,7,1,2560,12.7052
1973,7,2,392,14.1503
1973,7,3,287,13.7293
1973,7,4,214,12.8359
1973,7,5,209,11.5562
1973,7,6,188,10.7254
1973,7,7,168,10.0723
1973,7,8,162,9.7927
1973,7,9,145,6.7477
1973,7,10,133,3.0452
1973,8,1,2515,-5.9465
1973,8,2,392,-5.1856
1973,8,3,285,-4.4229
1973,8,4,214,-4.6678
1973,8,5,207,-2.2286
1973,8,6,188,-3.1030
1973,8,7,168,-1.2674
1973,8,8,162,-2.6586
1973,8,9,145,-1.1708
1973,8,10,133,-3.6009
1973,9,1,2460,7.8832
1973,9,2,388,10.3551
1973,9,3,284,10.2294
1973,9,4,213,10.3096
1973,9,5,205,10.4660
1973,9,6,188,10.7846
1973,9,7,168,10.5471
1973,9,8,160,9.7485
1973,9,9,145,8.1491
1973,9,10,133,2.7532
1973,10,1,2432,0.3644
1973,10,2,386,-0.8097
1973,10,3,282,-0.5473
1973,10,4,213,-0.4532
1973,10,5,206,-0.8472
1973,10,6,187,0.4289
1973,10,7,167,0.0462
1973,10,8,160,0.1743
1973,10,9,145,-1.0216
1973,10,10,133,0.2540
1973,11,1,2392,-19.9969
1973,11,2,384,-19.3972
1973,11,3,280,-18.4563
1973,11,4,213,-18.4053
1973,11,5,205,-17.8585
1973,11,6,187,-18.0011
1973,11,7,167,-17.5253
1973,11,8,160,-15.6648
1973,11,9,145,-12.4715
1973,11,10,133,-9.9028
1973,12,1,2306,-5.0299
1973,12,2,383,-1.8323
1973,12,3,279,-1.5223
1973,12,4,212,-1.2776
1973,12,5,203,0.2544
1973,12,6,187,1.1308
1973,12,7,166,1.0381
1973,12,8,161,3.5272
1973,12,9,145,1.7777
1973,12,10,133,1.3770
1974,1,1,2262,14.6026
1974,1,2,380,10.9350
1974,1,3,278,9.2345
1974,1,4,212,8.3202
1974,1,5,201,5.7219
1974,1,6,187,6.7430
1974,1,7,165,3.6776
1974,1,8,161,2.3563
1974,1,9,145,1.6430
1974,1,10,132,-1.7848
1974,2,1,2235,0.0811
1974,2,2,380,-0.9579
1974,2,3,278,1.7350
1974,2,4,212,0.6137
1974,2,5,198,1.1910
1974,2,6,186,-0.3244
1974,2,7,165,-0.1588
1974,2,8,161,1.0157
1974,2,9,145,0.3561
1974,2,10,132,-0.1743
1974,3,1,2221,1.8191
1974,3,2,378,-0.1887
1974,3,3,277,-0.7243
1974,3,4,212,-0.3487
1974,3,5,197,-1.6426
1974,3,6,186,-1.6035
1974,3,7,164,-2.6539
1974,3,8,160,-2.8423
1974,3,9,145,-2.8561
1974,3,10,132,-2.0166
1974,4,1,2210,-5.1725
1974,4,2,378,-5.4853
1974,4,3,277,-6.6033
1974,4,4,212,-4.8726
1974,4,5,197,-5.9897
1974,4,6,185,-5.7988
1974,4,7,164,-6.2026
1974,4,8,160,-5.7654
1974,4,9,145,-5.4193
1974,4,10,132,-3.4272
1974,5,1,2188,-7.2371
1974,5,2,378,-7.1535
1974,5,3,276,-7.9346
1974,5,4,210,-7.2515
1974,5,5,197,-6.6313
1974,5,6,185,-7.9183
1974,5,7,164,-7.8385
1974,5,8,160,-5.9659
1974,5,9,145,-5.7519
1974,5,10,132,-1.3306
1974,6,1,2168,-2.9504
1974,6,2,374,-2.5791
1974,6,3,276,-2.8428
1974,6,4,209,-2.4805
1974,6,5,197,-1.8734
1974,6,6,185,-3.8840
1974,6,7,164,-3.1044
1974,6,8,159,-2.6689
1974,6,9,145,-2.2559
1974,6,10,132,-1.2460
1974,7,1,2200,-5.5096
1974,7,2,403,-5.0741
1974,7,3,299,-4.4394
1974,7,4,207,-4.8512
1974,7,5,213,-4.8949
1974,7,6,177,-2.5426
1974,7,7,162,-5.0409
1974,7,8,161,-4.3872
1974,7,9,140,-5.5343
1974,7,10,133,-8.7186
1974,8,1,2168,-7.7346
1974,8,2,402,-7.9940
1974,8,3,298,-7.9216
1974,8,4,205,-7.7104
1974,8,5,210,-8.5689
1974,8,6,177,-7.9667
1974,8,7,161,-8.9234
1974,8,8,161,-9.8730
1974,8,9,140,-10.5927
1974,8,10,133,-7.9878
1974,9,1,2120,-8.1466
1974,9,2,399,-9.3242
1974,9,3,297,-9.0077
1974,9,4,203,-8.3103
1974,9,5,208,-9.3681
1974,9,6,176,-8.2184
1974,9,7,161,-9.2180
1974,9,8,161,-8.4511
1974,9,9,140,-8.8858
1974,9,10,133,-12.7081
1974,10,1,2090,7.3723
1974,10,2,395,10.3601
1974,10,3,297,10.3523
1974,10,4,202,10.2330
1974,10,5,209,9.9668
1974,10,6,175,11.8974
1974,10,7,161,15.1055
