year,month,rank_ME,rank_ROE_6,nstocks,ret_vw
1968,7,3,5,175,-4.5469
1968,8,1,1,299,4.5237
1968,8,1,2,169,4.7428
1968,8,1,3,165,3.7035
1968,8,1,4,186,4.7524
1968,8,1,5,226,6.5142
1968,8,2,1,123,3.2382
1968,8,2,2,104,2.3430
1968,8,2,3,108,3.8130
1968,8,2,4,132,2.5048
1968,8,2,5,134,6.0931
1968,8,3,1,119,1.9013
1968,8,3,2,204,1.9039
1968,8,3,3,226,1.4072
1968,8,3,4,225,0.5640
1968,8,3,5,201,1.4003
1968,9,1,1,308,7.9285
1968,9,1,2,183,6.6346
1968,9,1,3,167,6.0203
1968,9,1,4,196,5.4557
1968,9,1,5,231,7.8240
1968,9,2,1,129,7.0216
1968,9,2,2,110,6.2405
1968,9,2,3,115,5.5225
1968,9,2,4,131,6.6919
1968,9,2,5,134,6.5789
1968,9,3,1,122,8.5351
1968,9,3,2,211,5.6957
1968,9,3,3,232,2.7757
1968,9,3,4,231,3.2120
1968,9,3,5,203,3.6673
1968,10,1,1,284,0.0817
1968,10,1,2,161,2.0378
1968,10,1,3,141,0.0305
1968,10,1,4,159,0.1621
1968,10,1,5,214,-0.5801
1968,10,2,1,111,-1.3268
1968,10,2,2,101,1.8588
1968,10,2,3,103,2.1620
1968,10,2,4,116,1.2377
1968,10,2,5,124,1.3523
1968,10,3,1,100,2.6161
1968,10,3,2,179,1.1239
1968,10,3,3,200,2.1874
1968,10,3,4,201,-0.8332
1968,10,3,5,180,-0.0862
1968,11,1,1,316,6.0543
1968,11,1,2,182,7.2968
1968,11,1,3,163,7.7280
1968,11,1,4,177,9.3233
1968,11,1,5,238,7.9384
1968,11,2,1,126,7.1696
1968,11,2,2,119,7.7975
1968,11,2,3,117,8.9822
1968,11,2,4,135,7.2940
1968,11,2,5,137,8.3951
1968,11,3,1,108,6.2922
1968,11,3,2,204,6.2053
1968,11,3,3,230,5.7036
1968,11,3,4,241,4.7310
1968,11,3,5,190,5.8705
1968,12,1,1,324,2.3381
1968,12,1,2,189,1.3529
1968,12,1,3,161,1.0924
1968,12,1,4,182,0.7923
1968,12,1,5,238,1.2583
1968,12,2,1,123,-1.8204
1968,12,2,2,120,-0.9793
1968,12,2,3,117,-2.3032
1968,12,2,4,140,0.3873
1968,12,2,5,140,-2.1981
1968,12,3,1,111,-2.3657
1968,12,3,2,208,-3.2271
1968,12,3,3,235,-3.6512
1968,12,3,4,241,-4.3086
1968,12,3,5,193,-4.0412
1969,1,1,1,285,-0.9116
1969,1,1,2,160,-1.8748
1969,1,1,3,136,-1.8616
1969,1,1,4,138,-1.6939
1969,1,1,5,206,-2.1519
1969,1,2,1,101,-0.3822
1969,1,2,2,101,-0.4350
1969,1,2,3,95,-1.8212
1969,1,2,4,115,-1.6074
1969,1,2,5,119,-1.2499
1969,1,3,1,93,-1.9013
1969,1,3,2,175,0.3987
1969,1,3,3,202,0.1678
1969,1,3,4,201,-1.6607
1969,1,3,5,167,-2.2569
1969,2,1,1,314,-10.4791
1969,2,1,2,188,-9.3235
1969,2,1,3,164,-8.7185
1969,2,1,4,177,-8.5347
1969,2,1,5,208,-9.3025
1969,2,2,1,110,-9.1832
1969,2,2,2,117,-8.7133
1969,2,2,3,112,-7.0262
1969,2,2,4,130,-8.2594
1969,2,2,5,127,-8.0562
1969,2,3,1,109,-6.8022
1969,2,3,2,199,-5.3641
1969,2,3,3,223,-4.3511
1969,2,3,4,225,-4.1737
1969,2,3,5,182,-4.6005
1969,3,1,1,319,1.3998
1969,3,1,2,199,1.1945
1969,3,1,3,168,1.1853
1969,3,1,4,189,3.0673
1969,3,1,5,210,2.7997
1969,3,2,1,107,1.9147
1969,3,2,2,117,3.3719
1969,3,2,3,112,2.1229
1969,3,2,4,127,1.8772
1969,3,2,5,125,2.8707
1969,3,3,1,115,1.0770
1969,3,3,2,202,5.2953
1969,3,3,3,227,3.5932
1969,3,3,4,226,3.3403
1969,3,3,5,181,3.3400
1969,4,1,1,287,-0.3325
1969,4,1,2,166,-0.9282
1969,4,1,3,143,0.1692
1969,4,1,4,177,0.4915
1969,4,1,5,190,-1.0521
1969,4,2,1,94,2.1893
1969,4,2,2,106,0.3271
1969,4,2,3,91,-0.9515
1969,4,2,4,115,0.9547
1969,4,2,5,112,0.7964
1969,4,3,1,98,1.4968
1969,4,3,2,174,1.0211
1969,4,3,3,187,1.8969
1969,4,3,4,190,1.7780
1969,4,3,5,153,2.4729
1969,5,1,1,354,0.6873
1969,5,1,2,192,-0.0644
1969,5,1,3,175,0.7259
1969,5,1,4,212,0.6125
1969,5,1,5,236,-0.8186
1969,5,2,1,115,1.0685
1969,5,2,2,136,0.6198
1969,5,2,3,114,-1.0387
1969,5,2,4,145,0.8405
1969,5,2,5,136,-1.8197
1969,5,3,1,125,0.0315
1969,5,3,2,200,1.5296
1969,5,3,3,226,-0.0285
1969,5,3,4,219,-0.5656
1969,5,3,5,191,0.5374
1969,6,1,1,367,-14.2342
1969,6,1,2,200,-12.8156
1969,6,1,3,178,-12.4435
1969,6,1,4,218,-12.3835
1969,6,1,5,234,-12.8622
1969,6,2,1,117,-10.7798
1969,6,2,2,140,-10.0502
1969,6,2,3,119,-10.3821
1969,6,2,4,147,-11.0637
1969,6,2,5,143,-11.0921
1969,6,3,1,130,-8.9491
1969,6,3,2,200,-7.7340
1969,6,3,3,229,-5.9984
1969,6,3,4,227,-6.9410
1969,6,3,5,196,-2.7902
1969,7,1,1,348,-11.2824
1969,7,1,2,179,-11.7675
1969,7,1,3,158,-10.8748
1969,7,1,4,199,-9.3946
1969,7,1,5,209,-11.2309
1969,7,2,1,112,-9.6351
1969,7,2,2,122,-8.6287
1969,7,2,3,102,-7.1148
1969,7,2,4,137,-9.3568
1969,7,2,5,131,-8.8621
1969,7,3,1,120,-8.2731
1969,7,3,2,168,-6.6338
1969,7,3,3,196,-6.7587
1969,7,3,4,190,-5.6639
1969,7,3,5,183,-4.8488
1969,8,1,1,381,3.2612
1969,8,1,2,239,4.5997
1969,8,1,3,189,3.1177
1969,8,1,4,225,5.1870
1969,8,1,5,238,6.8014
1969,8,2,1,124,5.6467
1969,8,2,2,133,2.9312
1969,8,2,3,137,6.6658
1969,8,2,4,163,6.9306
1969,8,2,5,146,7.8564
1969,8,3,1,132,4.0494
1969,8,3,2,204,4.0505
1969,8,3,3,226,4.1553
1969,8,3,4,223,4.9368
1969,8,3,5,212,6.2356
1969,9,1,1,392,-3.1996
1969,9,1,2,238,-3.2632
1969,9,1,3,210,-4.1289
1969,9,1,4,228,-3.6094
1969,9,1,5,242,-3.8945
1969,9,2,1,129,-1.1510
1969,9,2,2,137,-1.6054
1969,9,2,3,140,-1.3045
1969,9,2,4,165,0.5746
1969,9,2,5,156,1.0656
1969,9,3,1,134,-3.6290
1969,9,3,2,208,-4.0124
1969,9,3,3,234,-4.1236
1969,9,3,4,226,-0.9168
1969,9,3,5,220,-1.0696
1969,10,1,1,362,11.6908
1969,10,1,2,208,8.9671
1969,10,1,3,185,9.3999
1969,10,1,4,191,10.4893
1969,10,1,5,219,12.4728
1969,10,2,1,116,8.3832
1969,10,2,2,122,6.8061
1969,10,2,3,107,7.2383
1969,10,2,4,149,7.0191
1969,10,2,5,145,8.4288
1969,10,3,1,119,5.5730
1969,10,3,2,178,4.8369
1969,10,3,3,201,3.5516
1969,10,3,4,189,6.1076
1969,10,3,5,205,5.5803
1969,11,1,1,393,-7.6939
1969,11,1,2,242,-7.0309
1969,11,1,3,206,-6.8387
1969,11,1,4,218,-7.3128
1969,11,1,5,229,-6.2773
1969,11,2,1,132,-6.9569
1969,11,2,2,129,-4.8386
1969,11,2,3,132,-3.8101
1969,11,2,4,167,-4.5754
1969,11,2,5,157,-3.7268
1969,11,3,1,127,-4.8891
1969,11,3,2,213,-4.2296
1969,11,3,3,229,-4.0013
1969,11,3,4,223,-2.4485
1969,11,3,5,223,-2.3148
1969,12,1,1,397,-10.3628
1969,12,1,2,248,-7.5732
1969,12,1,3,206,-8.8355
1969,12,1,4,225,-5.3172
1969,12,1,5,232,-5.8929
1969,12,2,1,128,-8.1993
1969,12,2,2,128,-4.1816
1969,12,2,3,134,-3.2740
1969,12,2,4,164,-3.9813
1969,12,2,5,161,-3.7162
1969,12,3,1,124,-3.4825
1969,12,3,2,215,-2.7059
1969,12,3,3,230,-1.7470
1969,12,3,4,227,0.6461
1969,12,3,5,227,-0.6451
1970,1,1,1,337,-0.8932
1970,1,1,2,212,-1.7687
1970,1,1,3,180,-2.8908
1970,1,1,4,187,-5.2631
1970,1,1,5,188,-6.0944
1970,1,2,1,115,-5.4796
1970,1,2,2,110,-4.1285
1970,1,2,3,113,-6.7650
1970,1,2,4,141,-6.6101
1970,1,2,5,148,-7.5417
1970,1,3,1,101,-8.6470
1970,1,3,2,189,-8.6397
1970,1,3,3,191,-8.4727
1970,1,3,4,197,-6.9618
1970,1,3,5,196,-8.9122
1970,2,1,1,387,2.1011
1970,2,1,2,248,4.6113
1970,2,1,3,202,3.7258
1970,2,1,4,207,3.6163
1970,2,1,5,193,1.8812
1970,2,2,1,129,4.6068
1970,2,2,2,133,5.0529
1970,2,2,3,134,3.9432
1970,2,2,4,153,3.8572
1970,2,2,5,158,2.9300
1970,2,3,1,111,8.4428
1970,2,3,2,204,7.7969
1970,2,3,3,219,5.7755
1970,2,3,4,235,5.6163
1970,2,3,5,207,4.0096
1970,3,1,1,387,-2.3092
1970,3,1,2,255,-2.4974
1970,3,1,3,206,-2.5650
1970,3,1,4,211,-4.3881
1970,3,1,5,200,-5.5239
1970,3,2,1,127,1.2885
1970,3,2,2,136,-0.8015
1970,3,2,3,142,-1.8969
1970,3,2,4,151,-1.1916
1970,3,2,5,154,-3.7896
1970,3,3,1,111,0.1437
1970,3,3,2,209,0.0385
1970,3,3,3,224,0.9979
