year,month,rank_ME,rank_FP_6,nstocks,ret_vw
1977,6,2,3,167,7.4073
1977,6,2,4,195,7.2722
1977,6,2,5,158,9.2499
1977,6,3,1,221,5.3134
1977,6,3,2,290,4.8526
1977,6,3,3,281,4.8120
1977,6,3,4,207,4.6859
1977,6,3,5,60,5.8222
1977,7,1,1,136,-0.8420
1977,7,1,2,151,-1.2843
1977,7,1,3,201,-1.1904
1977,7,1,4,294,-0.3296
1977,7,1,5,477,-1.5735
1977,7,2,1,169,-1.3552
1977,7,2,2,173,-1.4943
1977,7,2,3,178,-2.2214
1977,7,2,4,204,-0.9241
1977,7,2,5,157,-1.2208
1977,7,3,1,223,-1.2582
1977,7,3,2,294,-2.0652
1977,7,3,3,287,-2.2553
1977,7,3,4,211,-2.8601
1977,7,3,5,66,-3.4170
1977,8,1,1,144,1.1751
1977,8,1,2,157,-0.6126
1977,8,1,3,215,-0.5313
1977,8,1,4,309,-1.2919
1977,8,1,5,494,-3.4159
1977,8,2,1,172,1.2661
1977,8,2,2,179,-1.6481
1977,8,2,3,199,-1.4699
1977,8,2,4,212,-0.2417
1977,8,2,5,151,-1.4882
1977,8,3,1,242,-1.5994
1977,8,3,2,311,-1.7573
1977,8,3,3,297,-0.4300
1977,8,3,4,217,-1.0585
1977,8,3,5,66,-2.1200
1977,9,1,1,141,3.2095
1977,9,1,2,163,1.1974
1977,9,1,3,215,1.7305
1977,9,1,4,319,1.2888
1977,9,1,5,487,0.6308
1977,9,2,1,171,1.0113
1977,9,2,2,181,1.8584
1977,9,2,3,208,1.9413
1977,9,2,4,220,1.4785
1977,9,2,5,153,-0.7966
1977,9,3,1,248,-0.3959
1977,9,3,2,323,-0.1726
1977,9,3,3,301,-0.6827
1977,9,3,4,210,-1.5779
1977,9,3,5,68,-2.8182
1977,10,1,1,151,-3.0601
1977,10,1,2,176,-2.3684
1977,10,1,3,228,-2.3226
1977,10,1,4,355,-1.9373
1977,10,1,5,549,-3.4173
1977,10,2,1,169,-2.8113
1977,10,2,2,197,-2.1705
1977,10,2,3,216,-1.9941
1977,10,2,4,217,-3.1916
1977,10,2,5,154,-3.2820
1977,10,3,1,247,-3.1203
1977,10,3,2,309,-3.8414
1977,10,3,3,298,-4.9306
1977,10,3,4,204,-4.2818
1977,10,3,5,73,-4.6458
1977,11,1,1,155,9.1427
1977,11,1,2,192,9.7839
1977,11,1,3,253,9.0401
1977,11,1,4,365,9.6767
1977,11,1,5,560,10.3306
1977,11,2,1,162,9.4568
1977,11,2,2,201,9.6725
1977,11,2,3,223,9.6478
1977,11,2,4,224,8.6612
1977,11,2,5,156,9.0976
1977,11,3,1,240,3.4829
1977,11,3,2,309,4.0446
1977,11,3,3,291,4.6316
1977,11,3,4,200,4.5895
1977,11,3,5,72,6.5666
1977,12,1,1,154,4.4333
1977,12,1,2,191,2.3303
1977,12,1,3,263,2.7399
1977,12,1,4,364,1.8507
1977,12,1,5,567,0.6532
1977,12,2,1,162,2.0830
1977,12,2,2,199,1.8068
1977,12,2,3,226,1.2115
1977,12,2,4,219,1.0475
1977,12,2,5,155,1.2282
1977,12,3,1,232,1.3902
1977,12,3,2,297,0.7430
1977,12,3,3,274,-0.6328
1977,12,3,4,182,0.2759
1977,12,3,5,73,0.8796
1978,1,1,1,158,-2.4397
1978,1,1,2,188,-3.6930
1978,1,1,3,263,-2.9037
1978,1,1,4,355,-1.0540
1978,1,1,5,564,0.5621
1978,1,2,1,153,-5.3541
1978,1,2,2,193,-4.7771
1978,1,2,3,219,-4.9556
1978,1,2,4,216,-4.0592
1978,1,2,5,147,-1.1838
1978,1,3,1,225,-5.5849
1978,1,3,2,272,-6.8092
1978,1,3,3,252,-6.7945
1978,1,3,4,176,-5.7964
1978,1,3,5,68,-2.4985
1978,2,1,1,159,4.3733
1978,2,1,2,192,3.3158
1978,2,1,3,276,3.5662
1978,2,1,4,368,2.3190
1978,2,1,5,571,3.3879
