year,month,rank_ME,rank_TBIq_6,nstocks,ret_vw
1968,7,3,3,163,-2.1749
1968,7,3,4,158,-4.3800
1968,7,3,5,131,-2.9543
1968,8,1,1,187,4.3359
1968,8,1,2,149,5.7677
1968,8,1,3,151,5.4017
1968,8,1,4,155,6.0334
1968,8,1,5,216,4.8716
1968,8,2,1,109,3.8420
1968,8,2,2,109,5.4036
1968,8,2,3,114,4.0057
1968,8,2,4,130,3.9731
1968,8,2,5,126,4.4499
1968,8,3,1,146,1.3238
1968,8,3,2,188,2.2446
1968,8,3,3,201,1.9938
1968,8,3,4,187,1.8657
1968,8,3,5,160,1.2250
1968,9,1,1,190,8.7747
1968,9,1,2,156,7.7737
1968,9,1,3,169,5.8967
1968,9,1,4,164,6.6872
1968,9,1,5,222,6.9179
1968,9,2,1,112,7.0678
1968,9,2,2,114,6.8183
1968,9,2,3,126,6.6488
1968,9,2,4,131,8.6792
1968,9,2,5,125,6.6838
1968,9,3,1,146,5.8156
1968,9,3,2,191,4.2942
1968,9,3,3,203,3.6559
1968,9,3,4,194,4.0825
1968,9,3,5,163,3.4406
1968,10,1,1,165,-1.2489
1968,10,1,2,138,0.4151
1968,10,1,3,153,1.5149
1968,10,1,4,146,0.4782
1968,10,1,5,198,-0.5282
1968,10,2,1,100,0.7185
1968,10,2,2,107,1.0706
1968,10,2,3,116,1.3550
1968,10,2,4,119,2.8968
1968,10,2,5,110,0.5092
1968,10,3,1,129,2.5411
1968,10,3,2,162,1.3815
1968,10,3,3,179,1.3446
1968,10,3,4,173,0.9079
1968,10,3,5,150,-1.6382
1968,11,1,1,191,8.9904
1968,11,1,2,168,5.4210
1968,11,1,3,187,7.3582
1968,11,1,4,171,7.5211
1968,11,1,5,256,7.4926
1968,11,2,1,110,8.0139
1968,11,2,2,129,7.3819
1968,11,2,3,139,7.0149
1968,11,2,4,134,7.4657
1968,11,2,5,138,8.9705
1968,11,3,1,150,5.4712
1968,11,3,2,189,5.8777
1968,11,3,3,205,5.6003
1968,11,3,4,200,3.1567
1968,11,3,5,168,6.4365
1968,12,1,1,192,6.1593
1968,12,1,2,170,-0.0719
1968,12,1,3,190,-0.2338
1968,12,1,4,173,0.9400
1968,12,1,5,267,0.9410
1968,12,2,1,114,-1.1684
1968,12,2,2,130,-1.3679
1968,12,2,3,143,-1.1344
1968,12,2,4,134,-0.5307
1968,12,2,5,142,-2.0014
1968,12,3,1,151,-2.2300
1968,12,3,2,191,-3.9981
1968,12,3,3,207,-5.0025
1968,12,3,4,202,-4.5872
1968,12,3,5,168,-4.1071
1969,1,1,1,158,-2.2171
1969,1,1,2,139,-1.2624
1969,1,1,3,161,-1.5806
1969,1,1,4,141,-2.1590
1969,1,1,5,222,-1.5914
1969,1,2,1,95,-0.0843
1969,1,2,2,103,-2.1296
1969,1,2,3,119,-1.5470
1969,1,2,4,104,-1.4805
1969,1,2,5,102,-2.5282
1969,1,3,1,128,-1.2339
1969,1,3,2,151,0.5762
1969,1,3,3,164,-0.3453
1969,1,3,4,160,-2.7373
1969,1,3,5,131,-1.9003
1969,2,1,1,169,-11.0502
1969,2,1,2,171,-9.1070
1969,2,1,3,179,-8.3584
1969,2,1,4,159,-8.2269
1969,2,1,5,263,-8.5088
1969,2,2,1,99,-10.2199
1969,2,2,2,128,-7.6822
1969,2,2,3,125,-7.7107
1969,2,2,4,115,-7.8140
1969,2,2,5,114,-8.7004
1969,2,3,1,150,-5.8958
1969,2,3,2,166,-5.1582
1969,2,3,3,186,-3.9218
1969,2,3,4,181,-2.9186
1969,2,3,5,146,-4.2453
1969,3,1,1,176,2.9400
1969,3,1,2,182,1.9866
1969,3,1,3,180,1.1829
1969,3,1,4,157,3.2080
1969,3,1,5,274,3.0455
1969,3,2,1,101,1.8456
1969,3,2,2,127,2.6875
1969,3,2,3,127,3.5712
1969,3,2,4,115,2.8589
1969,3,2,5,123,3.4489
1969,3,3,1,151,3.8365
1969,3,3,2,169,4.2210
1969,3,3,3,183,2.5323
1969,3,3,4,181,3.8041
1969,3,3,5,146,2.3744
1969,4,1,1,154,-0.1858
1969,4,1,2,155,-1.9585
1969,4,1,3,159,-0.1541
1969,4,1,4,136,-0.2462
1969,4,1,5,260,0.3635
1969,4,2,1,93,-0.5572
1969,4,2,2,119,0.5720
1969,4,2,3,104,2.0722
1969,4,2,4,105,2.4367
1969,4,2,5,110,0.9750
1969,4,3,1,136,0.2818
1969,4,3,2,151,1.7247
1969,4,3,3,166,4.2497
1969,4,3,4,159,2.3736
1969,4,3,5,124,3.3313
1969,5,1,1,184,0.8036
1969,5,1,2,174,0.3338
1969,5,1,3,191,1.5408
1969,5,1,4,185,0.7382
1969,5,1,5,336,-0.4437
1969,5,2,1,114,-1.0885
1969,5,2,2,142,-1.5518
1969,5,2,3,133,0.2724
1969,5,2,4,125,1.1355
1969,5,2,5,147,-0.4480
1969,5,3,1,159,1.4562
1969,5,3,2,187,-0.0169
1969,5,3,3,205,0.5236
1969,5,3,4,190,0.1206
1969,5,3,5,161,-0.1816
1969,6,1,1,180,-14.0191
1969,6,1,2,175,-11.7639
1969,6,1,3,181,-12.1571
1969,6,1,4,191,-12.4120
1969,6,1,5,340,-12.3759
1969,6,2,1,115,-13.5922
1969,6,2,2,141,-11.0038
1969,6,2,3,132,-11.9420
1969,6,2,4,131,-10.6493
1969,6,2,5,144,-10.1517
1969,6,3,1,157,-10.0750
1969,6,3,2,190,-7.2462
1969,6,3,3,208,-4.6731
1969,6,3,4,183,-4.1132
1969,6,3,5,162,-1.4412
