year,month,rank_ME,rank_EG_1,nstocks,ret_vw
1968,10,1,2,96,-0.2590
1968,10,1,3,58,3.2042
1968,10,1,4,65,-1.2520
1968,10,1,5,128,0.0730
1968,10,2,1,58,-2.2536
1968,10,2,2,51,1.1660
1968,10,2,3,39,0.9053
1968,10,2,4,37,1.4102
1968,10,2,5,44,3.7245
1968,10,3,1,72,-0.1710
1968,10,3,2,75,0.7558
1968,10,3,3,86,1.0838
1968,10,3,4,94,-0.3160
1968,10,3,5,72,2.8609
1968,11,1,1,138,8.0491
1968,11,1,2,78,4.8403
1968,11,1,3,67,6.8682
1968,11,1,4,66,7.2070
1968,11,1,5,132,8.2777
1968,11,2,1,60,9.8548
1968,11,2,2,44,6.6201
1968,11,2,3,39,9.2451
1968,11,2,4,44,6.5918
1968,11,2,5,43,8.4186
1968,11,3,1,67,8.1490
1968,11,3,2,80,4.0619
1968,11,3,3,87,6.2484
1968,11,3,4,88,4.1929
1968,11,3,5,73,6.4576
1968,12,1,1,140,2.4045
1968,12,1,2,86,1.9929
1968,12,1,3,67,0.9446
1968,12,1,4,61,-0.3232
1968,12,1,5,125,3.2973
1968,12,2,1,62,-0.6441
1968,12,2,2,43,-0.3105
1968,12,2,3,40,-0.1813
1968,12,2,4,42,-1.0153
1968,12,2,5,48,-1.3634
1968,12,3,1,68,-2.8184
1968,12,3,2,81,-4.0754
1968,12,3,3,87,-3.3391
1968,12,3,4,90,-4.3346
1968,12,3,5,69,-4.6243
1969,1,1,1,145,-1.8645
1969,1,1,2,84,-1.4198
1969,1,1,3,67,-1.8754
1969,1,1,4,63,-1.6551
1969,1,1,5,121,-0.4619
1969,1,2,1,58,-1.6948
1969,1,2,2,41,-1.7825
1969,1,2,3,44,-1.9686
1969,1,2,4,42,-0.7917
1969,1,2,5,46,-0.5931
1969,1,3,1,70,-2.8250
1969,1,3,2,85,-1.6063
1969,1,3,3,86,-1.9324
1969,1,3,4,89,0.4909
1969,1,3,5,70,-2.5352
1969,2,1,1,138,-12.0686
1969,2,1,2,94,-8.1101
1969,2,1,3,68,-8.5666
1969,2,1,4,66,-8.0650
1969,2,1,5,112,-8.2945
1969,2,2,1,64,-11.1142
1969,2,2,2,43,-8.6698
1969,2,2,3,43,-8.0479
1969,2,2,4,35,-7.4466
1969,2,2,5,49,-8.6078
1969,2,3,1,73,-6.3218
1969,2,3,2,83,-4.2481
1969,2,3,3,89,-5.2520
1969,2,3,4,87,-3.3056
1969,2,3,5,68,-4.5433
1969,3,1,1,151,2.3140
1969,3,1,2,84,1.1833
1969,3,1,3,66,2.3813
1969,3,1,4,69,1.3526
1969,3,1,5,116,4.1045
1969,3,2,1,60,-1.7299
1969,3,2,2,44,3.3782
1969,3,2,3,50,6.1339
1969,3,2,4,37,3.0028
1969,3,2,5,42,4.5763
1969,3,3,1,73,0.4584
1969,3,3,2,82,4.5469
1969,3,3,3,87,4.8048
1969,3,3,4,86,3.9837
1969,3,3,5,69,4.3226
1969,4,1,1,149,-1.6028
1969,4,1,2,81,-0.6696
1969,4,1,3,75,-0.8200
1969,4,1,4,70,-2.1912
1969,4,1,5,104,0.2158
1969,4,2,1,62,0.3700
1969,4,2,2,44,1.9624
1969,4,2,3,46,-0.7827
1969,4,2,4,37,3.2640
1969,4,2,5,45,1.9628
1969,4,3,1,68,3.1503
1969,4,3,2,86,2.9662
1969,4,3,3,86,1.8947
1969,4,3,4,89,2.7358
1969,4,3,5,74,1.9208
1969,5,1,1,189,0.0608
1969,5,1,2,68,0.7278
1969,5,1,3,72,-0.4678
1969,5,1,4,72,1.2596
1969,5,1,5,89,1.4425
1969,5,2,1,62,-1.2286
1969,5,2,2,54,-0.0372
1969,5,2,3,53,-0.2112
1969,5,2,4,41,-0.2257
1969,5,2,5,51,-1.5166
1969,5,3,1,68,0.4930
1969,5,3,2,82,0.1476
1969,5,3,3,83,1.3965
1969,5,3,4,94,0.6031
1969,5,3,5,80,0.1694
1969,6,1,1,190,-14.0923
1969,6,1,2,84,-12.8782
1969,6,1,3,70,-11.3104
1969,6,1,4,67,-11.2184
1969,6,1,5,89,-13.1599
1969,6,2,1,63,-13.0729
1969,6,2,2,49,-8.7528
1969,6,2,3,48,-11.4500
1969,6,2,4,44,-9.8276
1969,6,2,5,52,-12.5051
1969,6,3,1,68,-10.2915
1969,6,3,2,81,-7.1931
1969,6,3,3,87,-6.8130
