year,month,rank_ME,rank_COP,nstocks,ret_vw
1968,4,2,5,41,12.2893
1968,4,3,1,61,14.3242
1968,4,3,2,76,9.4211
1968,4,3,3,79,8.9979
1968,4,3,4,95,6.3579
1968,4,3,5,98,10.2319
1968,5,1,1,123,10.6212
1968,5,1,2,97,9.6269
1968,5,1,3,57,8.8265
1968,5,1,4,58,14.1713
1968,5,1,5,57,15.6177
1968,5,2,1,56,8.9515
1968,5,2,2,43,9.0489
1968,5,2,3,53,7.3307
1968,5,2,4,38,7.3029
1968,5,2,5,41,5.9820
1968,5,3,1,61,2.9841
1968,5,3,2,76,2.0735
1968,5,3,3,79,1.6900
1968,5,3,4,95,0.3169
1968,5,3,5,98,2.5209
1968,6,1,1,123,-0.2004
1968,6,1,2,97,1.1054
1968,6,1,3,57,-0.8493
1968,6,1,4,58,0.2499
1968,6,1,5,57,-0.5772
1968,6,2,1,56,-2.4258
1968,6,2,2,43,-0.7603
1968,6,2,3,53,0.7962
1968,6,2,4,37,1.4775
1968,6,2,5,41,0.7678
1968,6,3,1,61,-0.1276
1968,6,3,2,76,0.2494
1968,6,3,3,79,0.0291
1968,6,3,4,95,1.6119
1968,6,3,5,98,-0.2463
1968,7,1,1,183,-4.3823
1968,7,1,2,95,-1.8065
1968,7,1,3,97,-2.1046
1968,7,1,4,83,-3.4094
1968,7,1,5,116,-3.6793
1968,7,2,1,70,-8.6695
1968,7,2,2,50,-2.4654
1968,7,2,3,52,-1.4621
1968,7,2,4,48,-3.3454
1968,7,2,5,45,-4.9165
1968,7,3,1,68,-6.6055
1968,7,3,2,82,-4.0900
1968,7,3,3,78,1.0651
1968,7,3,4,88,0.7654
1968,7,3,5,94,-3.9182
1968,8,1,1,183,3.2348
1968,8,1,2,95,4.5615
1968,8,1,3,97,5.2554
1968,8,1,4,83,4.4788
1968,8,1,5,116,6.5920
1968,8,2,1,70,3.7899
1968,8,2,2,50,3.8540
1968,8,2,3,52,4.1716
1968,8,2,4,48,5.4115
1968,8,2,5,44,5.9099
1968,8,3,1,68,0.3934
1968,8,3,2,82,1.8923
1968,8,3,3,77,2.0737
1968,8,3,4,88,1.5632
1968,8,3,5,94,1.4004
1968,9,1,1,182,7.4702
1968,9,1,2,95,8.8018
1968,9,1,3,97,7.4988
1968,9,1,4,83,6.8554
