year,month,rank_ME,rank_OPE,nstocks,ret_vw
1968,7,2,4,61,-2.7472
1968,7,2,5,69,-5.8147
1968,7,3,1,66,-3.2563
1968,7,3,2,97,1.0163
1968,7,3,3,115,0.4986
1968,7,3,4,117,-2.6046
1968,7,3,5,123,-4.8188
1968,8,1,1,233,4.9892
1968,8,1,2,96,4.7483
1968,8,1,3,77,4.4673
1968,8,1,4,94,3.7467
1968,8,1,5,114,5.0250
1968,8,2,1,68,3.5379
1968,8,2,2,63,3.3150
1968,8,2,3,49,2.3531
1968,8,2,4,61,3.6168
1968,8,2,5,69,4.7526
1968,8,3,1,65,2.3474
1968,8,3,2,97,2.1384
1968,8,3,3,115,1.0909
1968,8,3,4,117,0.2617
1968,8,3,5,123,1.3809
1968,9,1,1,232,7.8935
1968,9,1,2,96,7.2320
1968,9,1,3,77,3.7948
1968,9,1,4,94,6.7338
1968,9,1,5,114,8.8586
1968,9,2,1,68,7.3830
1968,9,2,2,63,5.3278
1968,9,2,3,49,5.9441
1968,9,2,4,61,7.0119
1968,9,2,5,69,7.5498
1968,9,3,1,65,7.3960
1968,9,3,2,97,4.4479
1968,9,3,3,115,3.4867
1968,9,3,4,117,4.7757
1968,9,3,5,123,2.5743
1968,10,1,1,232,1.0713
1968,10,1,2,96,0.8417
1968,10,1,3,77,1.5950
1968,10,1,4,94,-0.6503
1968,10,1,5,114,-0.1197
1968,10,2,1,68,-0.0583
1968,10,2,2,63,0.9749
1968,10,2,3,49,0.7600
1968,10,2,4,60,1.9856
1968,10,2,5,69,0.8874
1968,10,3,1,65,2.6549
1968,10,3,2,97,2.3666
1968,10,3,3,115,1.4770
1968,10,3,4,117,0.6849
1968,10,3,5,123,-1.0951
1968,11,1,1,231,6.8662
1968,11,1,2,96,7.9919
1968,11,1,3,77,6.7659
1968,11,1,4,94,7.5765
1968,11,1,5,114,7.8067
1968,11,2,1,68,8.1594
1968,11,2,2,63,7.2673
1968,11,2,3,49,8.0211
1968,11,2,4,61,8.5289
1968,11,2,5,69,8.2987
1968,11,3,1,65,5.8605
1968,11,3,2,97,5.3766
1968,11,3,3,115,4.9861
1968,11,3,4,117,6.6479
1968,11,3,5,123,5.4254
1968,12,1,1,232,4.4383
1968,12,1,2,96,1.6272
1968,12,1,3,77,-1.1234
1968,12,1,4,94,-0.0222
1968,12,1,5,114,2.5034
1968,12,2,1,68,-0.3040
1968,12,2,2,63,-1.4448
1968,12,2,3,49,-2.0823
1968,12,2,4,61,-0.3469
1968,12,2,5,69,-2.1539
1968,12,3,1,65,-2.4363
1968,12,3,2,97,-3.7274
1968,12,3,3,115,-3.6648
1968,12,3,4,117,-4.1372
1968,12,3,5,123,-4.7582
1969,1,1,1,232,-0.1835
1969,1,1,2,96,-2.3173
1969,1,1,3,77,-1.1589
1969,1,1,4,94,-1.2775
1969,1,1,5,114,-2.8948
1969,1,2,1,68,-0.4798
1969,1,2,2,63,-0.6453
1969,1,2,3,49,0.6487
