year,month,rank_ME,rank_Oq_1,nstocks,ret_vw
1979,3,1,5,244,9.3512
1979,3,2,1,52,11.0007
1979,3,2,2,48,9.9718
1979,3,2,3,59,9.0259
1979,3,2,4,48,10.7910
1979,3,2,5,73,8.4224
1979,3,3,1,124,7.0109
1979,3,3,2,103,7.9608
1979,3,3,3,69,3.5674
1979,3,3,4,79,3.1113
1979,3,3,5,42,4.8353
1979,4,1,1,57,0.5403
1979,4,1,2,46,0.7535
1979,4,1,3,85,1.7518
1979,4,1,4,109,2.5629
1979,4,1,5,243,1.4436
1979,4,2,1,54,1.8842
1979,4,2,2,49,4.7688
1979,4,2,3,60,4.3055
1979,4,2,4,50,1.3363
1979,4,2,5,74,2.2607
1979,4,3,1,124,1.9852
1979,4,3,2,101,0.4617
1979,4,3,3,68,-2.1308
1979,4,3,4,76,-2.6811
1979,4,3,5,42,-0.6866
1979,5,1,1,61,-1.1475
1979,5,1,2,53,0.4982
1979,5,1,3,78,-1.1943
1979,5,1,4,109,-1.0089
1979,5,1,5,252,-0.9205
1979,5,2,1,50,-0.6456
1979,5,2,2,53,-3.5084
1979,5,2,3,63,-2.3393
1979,5,2,4,60,-0.6485
1979,5,2,5,85,0.2894
1979,5,3,1,134,-2.7846
1979,5,3,2,114,-2.0049
1979,5,3,3,84,-0.7487
1979,5,3,4,77,1.7647
1979,5,3,5,44,0.2198
1979,6,1,1,65,4.2087
1979,6,1,2,47,5.7539
1979,6,1,3,80,6.0433
1979,6,1,4,114,2.7469
1979,6,1,5,254,6.3123
1979,6,2,1,49,4.3504
1979,6,2,2,51,6.2367
1979,6,2,3,65,2.7622
1979,6,2,4,59,4.9838
1979,6,2,5,84,6.8177
1979,6,3,1,134,4.3756
1979,6,3,2,117,4.2109
1979,6,3,3,78,3.8139
1979,6,3,4,82,6.0300
1979,6,3,5,45,6.1043
1979,7,1,1,67,1.5188
1979,7,1,2,45,1.7449
1979,7,1,3,79,2.9435
1979,7,1,4,120,3.5150
1979,7,1,5,244,2.3416
1979,7,2,1,52,1.9285
1979,7,2,2,51,3.5471
1979,7,2,3,64,4.3833
1979,7,2,4,54,4.6209
1979,7,2,5,85,3.2708
1979,7,3,1,130,2.3999
1979,7,3,2,120,0.6904
1979,7,3,3,78,1.3272
1979,7,3,4,84,1.0422
1979,7,3,5,46,2.4035
1979,8,1,1,59,6.8244
1979,8,1,2,51,10.4944
1979,8,1,3,84,8.6654
1979,8,1,4,102,10.0769
1979,8,1,5,252,6.8090
1979,8,2,1,47,7.2391
1979,8,2,2,54,9.9306
1979,8,2,3,54,8.8669
1979,8,2,4,59,9.2543
1979,8,2,5,73,5.5935
1979,8,3,1,129,7.1279
1979,8,3,2,105,8.0290
1979,8,3,3,75,3.4316
1979,8,3,4,75,2.1401
1979,8,3,5,40,2.6700
1979,9,1,1,59,-0.3122
1979,9,1,2,54,-0.7031
1979,9,1,3,81,0.6456
1979,9,1,4,101,-1.2694
1979,9,1,5,254,-0.2208
1979,9,2,1,47,-0.2766
1979,9,2,2,54,0.4258
1979,9,2,3,52,1.0956
1979,9,2,4,58,-1.0740
1979,9,2,5,71,1.0400
1979,9,3,1,126,3.3940
1979,9,3,2,103,1.3474
1979,9,3,3,82,-1.3490
1979,9,3,4,70,-1.9420
1979,9,3,5,40,-3.2783
1979,10,1,1,57,-11.1591
1979,10,1,2,51,-11.2340
1979,10,1,3,81,-10.1123
1979,10,1,4,106,-11.1514
1979,10,1,5,254,-11.2815
1979,10,2,1,48,-9.9843
1979,10,2,2,50,-8.9942
1979,10,2,3,56,-10.9741
1979,10,2,4,56,-8.9040
1979,10,2,5,72,-11.0690
1979,10,3,1,127,-4.7539
1979,10,3,2,105,-7.9325
