year,month,rank_ME,rank_OPA,nstocks,ret_vw
1968,7,3,2,80,-0.8351
1968,7,3,3,84,-1.0865
1968,7,3,4,102,0.3783
1968,7,3,5,104,-4.4618
1968,8,1,1,250,4.6468
1968,8,1,2,110,3.8074
1968,8,1,3,90,5.5457
1968,8,1,4,85,4.6125
1968,8,1,5,101,4.5164
1968,8,2,1,59,4.4960
1968,8,2,2,62,5.4362
1968,8,2,3,54,2.0999
1968,8,2,4,61,4.9338
1968,8,2,5,58,4.7133
1968,8,3,1,51,1.9305
1968,8,3,2,80,1.8930
1968,8,3,3,84,1.5673
1968,8,3,4,102,1.5487
1968,8,3,5,104,1.3612
1968,9,1,1,249,8.4520
1968,9,1,2,110,8.3471
1968,9,1,3,90,6.6849
1968,9,1,4,85,7.0681
1968,9,1,5,101,6.0162
1968,9,2,1,59,7.5519
1968,9,2,2,62,6.4369
1968,9,2,3,54,7.1829
1968,9,2,4,61,7.3250
1968,9,2,5,58,6.9666
1968,9,3,1,51,7.7267
1968,9,3,2,80,6.6471
1968,9,3,3,84,4.9019
1968,9,3,4,102,4.0937
1968,9,3,5,104,2.0327
1968,10,1,1,249,0.0838
1968,10,1,2,110,0.1998
1968,10,1,3,90,0.1177
1968,10,1,4,85,1.9051
1968,10,1,5,101,0.4688
1968,10,2,1,59,-0.6635
1968,10,2,2,62,-0.6529
1968,10,2,3,54,1.6207
1968,10,2,4,60,1.3971
1968,10,2,5,58,2.4102
1968,10,3,1,51,1.1653
1968,10,3,2,80,1.5353
1968,10,3,3,84,2.8988
1968,10,3,4,101,0.8974
1968,10,3,5,104,-0.9960
1968,11,1,1,248,7.2199
1968,11,1,2,109,6.4095
1968,11,1,3,90,6.7326
1968,11,1,4,85,6.9158
1968,11,1,5,101,8.1221
1968,11,2,1,59,8.5983
1968,11,2,2,62,8.3633
1968,11,2,3,54,7.2595
1968,11,2,4,61,6.7982
1968,11,2,5,58,8.2449
1968,11,3,1,51,6.1074
1968,11,3,2,80,4.1775
1968,11,3,3,84,5.8765
1968,11,3,4,101,5.2340
1968,11,3,5,104,5.3262
1968,12,1,1,248,4.5582
1968,12,1,2,110,0.0544
1968,12,1,3,90,0.1990
1968,12,1,4,85,1.9470
1968,12,1,5,101,1.2369
1968,12,2,1,59,-1.6365
1968,12,2,2,62,-1.4236
1968,12,2,3,54,-0.1472
1968,12,2,4,61,-1.8159
1968,12,2,5,58,-1.1692
1968,12,3,1,51,-3.3328
1968,12,3,2,80,-4.2483
1968,12,3,3,84,-4.2397
1968,12,3,4,101,-3.3711
1968,12,3,5,104,-4.4658
1969,1,1,1,248,-0.6015
1969,1,1,2,110,-0.6780
1969,1,1,3,90,-3.5058
1969,1,1,4,85,-0.7725
1969,1,1,5,101,-1.9858
1969,1,2,1,59,-1.4117
1969,1,2,2,62,-2.3652
1969,1,2,3,54,-1.3275
1969,1,2,4,61,-2.5454
1969,1,2,5,58,-1.9244
1969,1,3,1,51,1.0430
1969,1,3,2,80,-0.6997
1969,1,3,3,84,-0.5690
1969,1,3,4,100,-1.7173
1969,1,3,5,104,-1.9281
1969,2,1,1,246,-11.8140
1969,2,1,2,110,-10.1199
1969,2,1,3,90,-8.3459
1969,2,1,4,85,-9.2955
1969,2,1,5,101,-8.4523
1969,2,2,1,59,-10.9085
1969,2,2,2,62,-8.1872
1969,2,2,3,54,-7.7359
1969,2,2,4,61,-6.9985
1969,2,2,5,58,-8.8320
1969,2,3,1,51,-7.8129
1969,2,3,2,80,-4.8431
1969,2,3,3,84,-5.8068
1969,2,3,4,100,-4.1754
1969,2,3,5,104,-2.9192
1969,3,1,1,245,4.3854
1969,3,1,2,110,0.8333
1969,3,1,3,90,2.3974
1969,3,1,4,85,2.5599
1969,3,1,5,101,1.5767
1969,3,2,1,59,2.6000
1969,3,2,2,62,2.4459
1969,3,2,3,54,4.6958
1969,3,2,4,61,3.1966
1969,3,2,5,58,1.9728
1969,3,3,1,51,1.0675
1969,3,3,2,80,6.3258
1969,3,3,3,84,2.9356
1969,3,3,4,100,4.4189
1969,3,3,5,104,3.3772
1969,4,1,1,245,0.1976
1969,4,1,2,110,-2.0456
1969,4,1,3,90,0.9496
1969,4,1,4,85,-0.7192
1969,4,1,5,101,0.0597
1969,4,2,1,58,-0.9769
1969,4,2,2,62,1.6917
1969,4,2,3,54,1.1321
1969,4,2,4,61,0.5213
1969,4,2,5,58,3.3199
1969,4,3,1,51,4.0159
1969,4,3,2,80,0.4211
1969,4,3,3,84,4.5256
1969,4,3,4,100,0.9786
1969,4,3,5,104,2.7359
1969,5,1,1,244,2.8648
1969,5,1,2,110,1.7105
1969,5,1,3,90,0.5550
1969,5,1,4,85,-0.6482
1969,5,1,5,101,-1.4540
1969,5,2,1,59,-2.5049
1969,5,2,2,62,-0.1168
1969,5,2,3,53,3.3204
1969,5,2,4,61,-0.9580
1969,5,2,5,58,0.6358
1969,5,3,1,51,-1.9823
1969,5,3,2,80,0.6325
1969,5,3,3,84,0.9515
1969,5,3,4,98,0.5297
1969,5,3,5,104,0.3531
1969,6,1,1,245,-15.5767
1969,6,1,2,110,-13.8663
1969,6,1,3,90,-11.9006
1969,6,1,4,85,-15.1974
1969,6,1,5,101,-10.2567
1969,6,2,1,59,-12.1923
1969,6,2,2,62,-12.2956
1969,6,2,3,54,-11.8952
1969,6,2,4,61,-9.7666
1969,6,2,5,58,-9.2013
1969,6,3,1,50,-10.1396
1969,6,3,2,80,-9.0788
1969,6,3,3,84,-6.9506
1969,6,3,4,99,-6.6185
1969,6,3,5,104,-1.7643
1969,7,1,1,288,-13.3465
1969,7,1,2,128,-11.2767
1969,7,1,3,104,-9.6628
1969,7,1,4,101,-11.0727
1969,7,1,5,102,-10.3392
1969,7,2,1,62,-11.6399
1969,7,2,2,62,-10.9161
1969,7,2,3,70,-7.4809
1969,7,2,4,64,-8.8469
1969,7,2,5,64,-8.7474
1969,7,3,1,55,-10.1515
1969,7,3,2,86,-8.6431
1969,7,3,3,87,-5.4897
1969,7,3,4,112,-7.0838
1969,7,3,5,105,-4.1043
1969,8,1,1,286,3.7270
1969,8,1,2,128,3.1875
1969,8,1,3,104,4.7392
1969,8,1,4,101,3.2620
1969,8,1,5,102,7.0730
1969,8,2,1,62,7.3874
1969,8,2,2,62,6.0437
1969,8,2,3,70,6.3399
1969,8,2,4,64,6.1649
1969,8,2,5,64,6.3744
1969,8,3,1,55,4.6357
1969,8,3,2,86,6.5084
1969,8,3,3,87,2.9876
1969,8,3,4,112,6.4618
1969,8,3,5,105,5.8273
1969,9,1,1,287,-2.8621
1969,9,1,2,128,-3.3154
1969,9,1,3,104,-5.4198
1969,9,1,4,101,-2.8181
1969,9,1,5,102,-4.0865
1969,9,2,1,61,-2.5729
1969,9,2,2,62,-1.0243
1969,9,2,3,70,-0.0806
1969,9,2,4,63,0.2329
1969,9,2,5,64,1.8729
1969,9,3,1,55,-2.6929
1969,9,3,2,86,-5.0939
1969,9,3,3,87,-2.8306
1969,9,3,4,112,-3.4164
1969,9,3,5,105,-0.1726
1969,10,1,1,287,11.6151
1969,10,1,2,128,9.2789
1969,10,1,3,104,11.6517
1969,10,1,4,101,9.7918
1969,10,1,5,102,9.1378
1969,10,2,1,61,7.4499
1969,10,2,2,62,9.6417
1969,10,2,3,69,8.7891
1969,10,2,4,63,9.0420
1969,10,2,5,64,7.9078
1969,10,3,1,54,9.0655
1969,10,3,2,86,3.4320
1969,10,3,3,87,4.0010
1969,10,3,4,112,3.1228
1969,10,3,5,105,6.2081
1969,11,1,1,287,-7.5164
1969,11,1,2,128,-8.3803
1969,11,1,3,104,-6.1419
1969,11,1,4,101,-6.9959
1969,11,1,5,101,-5.2712
1969,11,2,1,60,-7.1920
1969,11,2,2,62,-6.0404
1969,11,2,3,70,-5.6135
1969,11,2,4,63,-3.5011
1969,11,2,5,64,-1.8073
1969,11,3,1,55,-4.8092
1969,11,3,2,86,-4.2907
1969,11,3,3,87,-1.9995
1969,11,3,4,112,-2.9675
1969,11,3,5,105,-1.8362
1969,12,1,1,287,-9.4151
1969,12,1,2,128,-7.8192
1969,12,1,3,104,-6.4218
1969,12,1,4,101,-7.3393
1969,12,1,5,102,-6.5407
1969,12,2,1,59,-10.9751
1969,12,2,2,62,-6.3179
1969,12,2,3,70,-2.1419
1969,12,2,4,63,-4.6811
1969,12,2,5,64,-1.3594
1969,12,3,1,55,-3.1196
1969,12,3,2,86,-2.6144
1969,12,3,3,87,-4.3169
1969,12,3,4,112,-2.0358
1969,12,3,5,105,1.0329
1970,1,1,1,287,-1.7572
1970,1,1,2,128,-2.5609
1970,1,1,3,104,-3.8971
1970,1,1,4,101,-5.0034
1970,1,1,5,102,-5.4008
1970,1,2,1,60,-5.7109
1970,1,2,2,62,-6.4786
1970,1,2,3,70,-5.1423
1970,1,2,4,63,-6.1874
1970,1,2,5,64,-6.8933
1970,1,3,1,55,-8.3489
1970,1,3,2,86,-10.2892
1970,1,3,3,87,-6.8963
1970,1,3,4,112,-9.8487
1970,1,3,5,105,-6.8424
1970,2,1,1,287,3.2803
1970,2,1,2,127,3.4791
1970,2,1,3,104,4.8402
1970,2,1,4,101,2.2073
1970,2,1,5,102,0.8064
1970,2,2,1,60,6.0905
1970,2,2,2,62,4.4157
1970,2,2,3,69,3.9127
1970,2,2,4,63,3.0333
1970,2,2,5,63,3.7496
1970,2,3,1,55,10.7839
1970,2,3,2,86,7.4337
1970,2,3,3,87,6.1449
1970,2,3,4,111,5.4819
1970,2,3,5,105,3.7230
1970,3,1,1,287,-3.8784
1970,3,1,2,127,-3.0643
1970,3,1,3,104,-3.8723
1970,3,1,4,101,-4.9311
1970,3,1,5,102,-2.8752
1970,3,2,1,60,-0.8833
1970,3,2,2,62,-3.2493
1970,3,2,3,70,-3.1827
1970,3,2,4,63,-2.9406
1970,3,2,5,64,-2.0146
1970,3,3,1,55,-0.4490
1970,3,3,2,86,-0.5286
1970,3,3,3,87,0.7012
1970,3,3,4,112,0.6222
1970,3,3,5,105,-1.0955
1970,4,1,1,286,-20.8258
1970,4,1,2,127,-17.1652
1970,4,1,3,104,-15.4293
1970,4,1,4,101,-15.0412
1970,4,1,5,101,-17.9766
1970,4,2,1,60,-18.2766
1970,4,2,2,62,-17.9691
1970,4,2,3,70,-14.0717
1970,4,2,4,63,-16.2156
1970,4,2,5,64,-14.9660
1970,4,3,1,55,-12.6389
1970,4,3,2,86,-9.2794
1970,4,3,3,87,-9.5220
1970,4,3,4,112,-10.3926
1970,4,3,5,105,-8.6054
1970,5,1,1,285,-10.3496
1970,5,1,2,127,-8.6178
1970,5,1,3,102,-7.6098
1970,5,1,4,101,-9.9474
1970,5,1,5,101,-8.7400
1970,5,2,1,60,-9.4500
1970,5,2,2,62,-13.4298
1970,5,2,3,70,-10.1708
1970,5,2,4,63,-12.2337
1970,5,2,5,64,-8.7969
1970,5,3,1,55,-6.5413
1970,5,3,2,86,-4.3800
1970,5,3,3,87,-4.7423
1970,5,3,4,112,-5.6961
1970,5,3,5,105,-6.6295
1970,6,1,1,283,-8.6047
1970,6,1,2,127,-9.6283
1970,6,1,3,102,-9.9406
1970,6,1,4,101,-7.7274
1970,6,1,5,100,-8.2422
1970,6,2,1,60,-8.6265
1970,6,2,2,61,-9.3477
1970,6,2,3,69,-6.4552
1970,6,2,4,63,-7.2880
1970,6,2,5,64,-6.3836
1970,6,3,1,55,-7.8458
1970,6,3,2,86,-3.2917
1970,6,3,3,87,-5.1855
1970,6,3,4,112,-5.3841
1970,6,3,5,105,-4.6204
1970,7,1,1,291,3.0325
1970,7,1,2,165,2.7825
1970,7,1,3,136,7.9814
1970,7,1,4,107,5.7674
1970,7,1,5,113,6.2965
1970,7,2,1,75,3.5944
1970,7,2,2,57,9.9938
1970,7,2,3,66,6.9895
1970,7,2,4,76,7.3273
1970,7,2,5,74,10.2278
1970,7,3,1,48,5.1164
1970,7,3,2,86,11.0439
1970,7,3,3,92,10.3554
1970,7,3,4,110,7.9800
1970,7,3,5,116,3.7833
1970,8,1,1,289,5.4656
1970,8,1,2,165,7.7883
1970,8,1,3,136,7.4897
1970,8,1,4,107,5.8713
1970,8,1,5,113,4.9222
1970,8,2,1,75,7.5570
1970,8,2,2,57,7.4157
1970,8,2,3,66,5.1565
1970,8,2,4,75,6.2027
1970,8,2,5,74,7.7336
1970,8,3,1,47,3.1394
1970,8,3,2,86,5.4187
1970,8,3,3,92,4.4669
1970,8,3,4,110,5.4702
1970,8,3,5,116,4.9072
1970,9,1,1,288,16.4035
1970,9,1,2,165,16.5598
1970,9,1,3,134,13.4874
1970,9,1,4,107,13.3885
1970,9,1,5,113,15.5789
1970,9,2,1,74,16.4097
1970,9,2,2,57,9.8500
1970,9,2,3,66,13.8112
1970,9,2,4,75,10.8649
1970,9,2,5,74,10.8851
1970,9,3,1,47,5.7332
1970,9,3,2,86,4.4005
1970,9,3,3,91,2.1821
1970,9,3,4,110,4.2809
1970,9,3,5,116,5.0556
1970,10,1,1,287,-9.3984
1970,10,1,2,165,-8.4883
1970,10,1,3,135,-7.5162
1970,10,1,4,107,-6.7812
1970,10,1,5,113,-6.0155
1970,10,2,1,74,-7.4553
1970,10,2,2,57,-5.8215
1970,10,2,3,66,-5.9812
1970,10,2,4,74,-4.6447
1970,10,2,5,74,-3.9400
1970,10,3,1,47,-3.9001
1970,10,3,2,86,-0.0782
1970,10,3,3,91,-1.8457
1970,10,3,4,110,-2.1019
1970,10,3,5,116,-0.1578
1970,11,1,1,286,-4.0998
1970,11,1,2,163,-1.6174
1970,11,1,3,135,-0.7956
1970,11,1,4,107,0.4621
1970,11,1,5,113,-0.2601
1970,11,2,1,74,0.4431
1970,11,2,2,57,2.3086
1970,11,2,3,66,1.6727
1970,11,2,4,73,1.4256
1970,11,2,5,74,4.9745
1970,11,3,1,47,2.4670
1970,11,3,2,86,5.9574
1970,11,3,3,91,4.5949
1970,11,3,4,110,3.6542
1970,11,3,5,116,5.6376
1970,12,1,1,285,5.8001
1970,12,1,2,161,9.8056
1970,12,1,3,135,12.4050
1970,12,1,4,107,10.4050
1970,12,1,5,113,12.5592
1970,12,2,1,74,6.7049
1970,12,2,2,57,9.5663
1970,12,2,3,66,8.2314
1970,12,2,4,73,9.1202
1970,12,2,5,74,9.3101
1970,12,3,1,47,8.9937
1970,12,3,2,86,4.1029
