year,month,rank_ME,rank_CTO,nstocks,ret_vw
1970,10,1,3,142,-6.8736
1970,10,1,4,171,-8.5528
1970,10,1,5,252,-8.0527
1970,10,2,1,62,-3.4893
1970,10,2,2,52,-6.0620
1970,10,2,3,64,-7.4974
1970,10,2,4,70,-5.0183
1970,10,2,5,100,-4.7961
1970,10,3,1,139,-0.5857
1970,10,3,2,125,-0.7354
1970,10,3,3,108,-2.2092
1970,10,3,4,88,-0.7313
1970,10,3,5,85,-1.4204
1970,11,1,1,60,-0.4672
1970,11,1,2,108,-2.4939
1970,11,1,3,139,-1.2069
1970,11,1,4,171,-1.4512
1970,11,1,5,252,-1.1392
1970,11,2,1,62,5.4873
1970,11,2,2,51,1.1244
1970,11,2,3,64,1.9996
1970,11,2,4,70,2.7917
1970,11,2,5,100,2.8996
1970,11,3,1,139,6.9127
1970,11,3,2,125,4.3716
1970,11,3,3,108,5.1981
1970,11,3,4,88,5.6994
1970,11,3,5,85,5.9537
1970,12,1,1,58,4.1304
1970,12,1,2,108,8.6651
1970,12,1,3,138,10.6417
1970,12,1,4,171,10.4647
1970,12,1,5,252,10.8866
1970,12,2,1,62,5.9491
1970,12,2,2,51,6.0049
1970,12,2,3,64,10.9705
1970,12,2,4,70,10.3018
1970,12,2,5,100,9.1134
1970,12,3,1,139,6.9454
1970,12,3,2,124,4.9130
1970,12,3,3,108,7.5462
1970,12,3,4,88,4.2815
1970,12,3,5,85,7.1413
1971,1,1,1,57,10.9680
1971,1,1,2,107,14.9098
1971,1,1,3,138,16.0806
1971,1,1,4,171,13.9386
1971,1,1,5,251,15.6853
1971,1,2,1,62,11.4062
1971,1,2,2,50,14.1326
1971,1,2,3,64,10.5029
1971,1,2,4,69,10.8482
1971,1,2,5,100,8.8413
1971,1,3,1,139,3.9353
1971,1,3,2,124,3.1482
1971,1,3,3,108,5.5235
1971,1,3,4,88,4.8505
1971,1,3,5,85,6.6031
1971,2,1,1,57,3.6430
1971,2,1,2,107,5.1900
1971,2,1,3,138,5.1865
1971,2,1,4,170,4.6953
1971,2,1,5,248,4.8772
1971,2,2,1,61,0.4029
1971,2,2,2,50,2.6578
1971,2,2,3,64,2.7505
1971,2,2,4,69,2.9095
1971,2,2,5,100,3.0579
1971,2,3,1,139,-1.6921
1971,2,3,2,124,2.7196
1971,2,3,3,108,2.7117
1971,2,3,4,87,0.8098
1971,2,3,5,85,4.4166
1971,3,1,1,57,3.7074
