year,month,rank_ME,rank_Fq_6,nstocks,ret_vw
1987,3,1,4,816,3.0167
1987,3,1,5,648,2.6654
1987,3,2,1,200,1.9955
1987,3,2,2,270,2.1258
1987,3,2,3,269,1.0481
1987,3,2,4,247,1.6308
1987,3,2,5,173,2.9774
1987,3,3,1,155,2.5068
1987,3,3,2,216,4.1188
1987,3,3,3,243,2.0811
1987,3,3,4,230,4.3827
1987,3,3,5,195,3.3130
1987,4,1,1,781,-3.2460
1987,4,1,2,766,-2.3967
1987,4,1,3,809,-3.5181
1987,4,1,4,713,-2.0266
1987,4,1,5,576,-2.3118
1987,4,2,1,165,-3.1561
1987,4,2,2,240,-3.0457
1987,4,2,3,246,-2.9900
1987,4,2,4,206,-1.6469
1987,4,2,5,154,-2.0105
1987,4,3,1,123,0.9311
1987,4,3,2,173,1.5511
1987,4,3,3,196,-1.2172
1987,4,3,4,195,-1.0499
1987,4,3,5,170,-1.1933
1987,5,1,1,917,1.3352
1987,5,1,2,949,0.2314
1987,5,1,3,934,0.4321
1987,5,1,4,811,0.0875
1987,5,1,5,656,0.7147
1987,5,2,1,208,1.6968
1987,5,2,2,262,1.0615
1987,5,2,3,276,1.1225
1987,5,2,4,246,-0.0055
1987,5,2,5,175,-0.2160
1987,5,3,1,158,1.1868
1987,5,3,2,201,1.2935
1987,5,3,3,242,0.9812
1987,5,3,4,232,1.4832
1987,5,3,5,198,1.1887
1987,6,1,1,919,2.2560
1987,6,1,2,952,1.5086
1987,6,1,3,948,2.4286
1987,6,1,4,825,2.6881
1987,6,1,5,672,2.9743
1987,6,2,1,207,2.9450
1987,6,2,2,255,3.3193
1987,6,2,3,279,2.9031
1987,6,2,4,241,3.3190
1987,6,2,5,176,3.1275
1987,6,3,1,159,4.2108
1987,6,3,2,202,3.6386
1987,6,3,3,245,6.2344
1987,6,3,4,242,5.4556
1987,6,3,5,196,4.4413
1987,7,1,1,778,3.5485
1987,7,1,2,812,4.1589
1987,7,1,3,793,3.4364
1987,7,1,4,695,3.1620
1987,7,1,5,560,2.8878
1987,7,2,1,176,5.5361
1987,7,2,2,208,4.4347
1987,7,2,3,240,4.2853
1987,7,2,4,204,5.0757
1987,7,2,5,157,4.5754
1987,7,3,1,137,8.0101
1987,7,3,2,157,3.7947
1987,7,3,3,201,5.2161
1987,7,3,4,200,5.5055
1987,7,3,5,169,5.9944
1987,8,1,1,879,0.4870
1987,8,1,2,926,0.3792
1987,8,1,3,937,3.0114
1987,8,1,4,801,1.7782
1987,8,1,5,649,3.4309
1987,8,2,1,197,2.4464
1987,8,2,2,242,2.6766
1987,8,2,3,266,3.9644
1987,8,2,4,240,4.7771
1987,8,2,5,188,5.1492
1987,8,3,1,164,4.1957
1987,8,3,2,191,3.8091
1987,8,3,3,247,2.7609
1987,8,3,4,242,2.8098
1987,8,3,5,205,4.7726
1987,9,1,1,886,-1.1208
1987,9,1,2,938,-1.6298
1987,9,1,3,932,-1.0845
1987,9,1,4,811,-0.7727
1987,9,1,5,665,0.4511
1987,9,2,1,193,-2.4592
1987,9,2,2,234,-1.4136
1987,9,2,3,266,-0.8950
1987,9,2,4,242,-1.0996
1987,9,2,5,191,-1.9757
1987,9,3,1,160,-1.4756
1987,9,3,2,184,-4.5581
