year,month,rank_ME,rank_RNAq_12,nstocks,ret_vw
1977,10,2,4,244,-1.6868
1977,10,2,5,246,-3.8417
1977,10,3,1,132,-3.5495
1977,10,3,2,231,-4.3460
1977,10,3,3,289,-4.6741
1977,10,3,4,294,-4.1309
1977,10,3,5,280,-3.3259
1977,11,1,1,613,8.9082
1977,11,1,2,532,10.1137
1977,11,1,3,491,10.3469
1977,11,1,4,424,9.8157
1977,11,1,5,390,10.5488
1977,11,2,1,233,8.5187
1977,11,2,2,253,9.0238
1977,11,2,3,252,10.1447
1977,11,2,4,264,9.6465
1977,11,2,5,259,8.9999
1977,11,3,1,194,4.1341
1977,11,3,2,258,5.2193
1977,11,3,3,317,5.1818
1977,11,3,4,319,3.4244
1977,11,3,5,293,3.4975
1977,12,1,1,619,0.6928
1977,12,1,2,536,2.3333
1977,12,1,3,495,2.1852
1977,12,1,4,430,1.8852
1977,12,1,5,388,3.4891
1977,12,2,1,235,0.7480
1977,12,2,2,250,1.5601
1977,12,2,3,254,2.3903
1977,12,2,4,271,1.1551
1977,12,2,5,261,1.5362
1977,12,3,1,193,0.4677
1977,12,3,2,256,-0.3758
1977,12,3,3,319,0.2416
1977,12,3,4,316,-0.0975
1977,12,3,5,292,1.5301
1978,1,1,1,597,0.6371
1978,1,1,2,504,-0.8646
1978,1,1,3,472,-1.4918
1978,1,1,4,411,-3.1856
1978,1,1,5,365,-3.2320
1978,1,2,1,225,-1.4084
1978,1,2,2,240,-3.7252
1978,1,2,3,240,-4.3323
1978,1,2,4,271,-4.6382
1978,1,2,5,250,-5.9308
1978,1,3,1,187,-4.5570
1978,1,3,2,246,-6.3695
1978,1,3,3,312,-7.1146
1978,1,3,4,295,-6.6552
1978,1,3,5,281,-5.6560
1978,2,1,1,609,2.9454
1978,2,1,2,519,2.9646
1978,2,1,3,492,2.8007
1978,2,1,4,432,3.3899
1978,2,1,5,373,3.5750
1978,2,2,1,236,1.0676
1978,2,2,2,254,3.1166
1978,2,2,3,254,1.8892
1978,2,2,4,281,1.4587
1978,2,2,5,258,1.6424
1978,2,3,1,202,-3.2349
1978,2,3,2,282,-2.3282
1978,2,3,3,338,-1.6544
1978,2,3,4,307,-1.6422
1978,2,3,5,299,-2.1616
1978,3,1,1,604,8.3152
1978,3,1,2,519,8.1962
1978,3,1,3,496,8.4869
1978,3,1,4,441,8.2476
1978,3,1,5,373,7.3277
1978,3,2,1,234,7.0617
1978,3,2,2,256,6.1048
1978,3,2,3,256,6.4398
1978,3,2,4,281,6.4370
1978,3,2,5,258,6.4424
1978,3,3,1,202,3.9313
1978,3,3,2,282,3.3356
1978,3,3,3,340,3.9724
1978,3,3,4,316,3.3965
1978,3,3,5,296,1.6041
1978,4,1,1,580,7.6668
1978,4,1,2,501,7.7993
1978,4,1,3,479,8.1448
1978,4,1,4,421,9.1276
1978,4,1,5,350,8.5684
1978,4,2,1,221,5.1953
1978,4,2,2,248,7.6796
1978,4,2,3,244,8.1543
1978,4,2,4,267,9.2697
1978,4,2,5,257,9.3138
1978,4,3,1,186,5.6955
1978,4,3,2,269,7.8933
1978,4,3,3,326,9.3634
1978,4,3,4,308,10.2184
1978,4,3,5,288,10.2599
1978,5,1,1,592,6.7531
1978,5,1,2,540,8.5460
1978,5,1,3,507,8.6375
1978,5,1,4,448,8.3428
1978,5,1,5,373,7.5186
1978,5,2,1,226,5.4027
1978,5,2,2,264,5.2517
1978,5,2,3,266,6.6087
1978,5,2,4,276,6.0422
1978,5,2,5,270,6.3548
1978,5,3,1,192,1.5635
1978,5,3,2,296,1.1436
1978,5,3,3,347,1.9531
1978,5,3,4,322,2.7405
1978,5,3,5,293,1.7881
1978,6,1,1,588,-0.3920
1978,6,1,2,545,0.3564
1978,6,1,3,511,0.1196
1978,6,1,4,441,0.1625
1978,6,1,5,373,0.6652
1978,6,2,1,225,2.6232
1978,6,2,2,261,-0.4101
1978,6,2,3,266,-0.4234
1978,6,2,4,280,-0.5862
1978,6,2,5,271,-0.3579
1978,6,3,1,189,-2.1750
1978,6,3,2,297,-1.6481
1978,6,3,3,342,-1.6063
1978,6,3,4,322,-0.7330
1978,6,3,5,293,-1.6186
1978,7,1,1,558,5.4550
1978,7,1,2,496,5.8656
1978,7,1,3,479,5.9996
1978,7,1,4,422,6.3712
1978,7,1,5,363,6.6398
1978,7,2,1,216,6.2747
1978,7,2,2,253,7.3514
1978,7,2,3,250,6.7118
1978,7,2,4,265,7.2517
1978,7,2,5,258,6.1404
1978,7,3,1,188,5.5567
1978,7,3,2,275,5.5525
1978,7,3,3,323,6.5923
1978,7,3,4,312,5.9717
1978,7,3,5,283,6.5694
1978,8,1,1,573,9.7689
1978,8,1,2,519,8.4551
1978,8,1,3,509,11.1821
1978,8,1,4,449,8.8070
1978,8,1,5,366,10.4419
1978,8,2,1,229,8.3206
1978,8,2,2,267,7.3610
1978,8,2,3,270,8.7892
1978,8,2,4,277,8.6340
1978,8,2,5,284,9.3971
1978,8,3,1,197,1.4200
1978,8,3,2,303,2.8316
1978,8,3,3,349,4.1517
1978,8,3,4,342,2.7427
1978,8,3,5,292,4.2570
1978,9,1,1,564,0.6828
1978,9,1,2,521,-0.9111
1978,9,1,3,512,-1.0606
1978,9,1,4,462,-0.9983
1978,9,1,5,370,-2.5332
1978,9,2,1,225,-0.5587
1978,9,2,2,268,-1.3317
1978,9,2,3,272,-1.5554
1978,9,2,4,279,-2.3316
1978,9,2,5,296,-2.7848
1978,9,3,1,193,0.2913
1978,9,3,2,298,-0.9261
1978,9,3,3,353,-0.2769
1978,9,3,4,339,-0.9673
1978,9,3,5,293,-1.5460
1978,10,1,1,535,-24.2127
1978,10,1,2,498,-23.0403
1978,10,1,3,495,-24.2537
1978,10,1,4,445,-24.3652
1978,10,1,5,360,-23.6080
1978,10,2,1,214,-21.4744
1978,10,2,2,258,-21.1039
1978,10,2,3,266,-20.6249
1978,10,2,4,273,-20.1953
1978,10,2,5,292,-19.8737
1978,10,3,1,185,-9.5530
1978,10,3,2,281,-10.8642
1978,10,3,3,333,-10.6819
1978,10,3,4,326,-11.1321
1978,10,3,5,288,-8.8319
1978,11,1,1,540,5.9378
1978,11,1,2,524,7.0679
1978,11,1,3,530,8.3476
1978,11,1,4,467,8.7302
1978,11,1,5,381,9.3534
1978,11,2,1,225,5.5463
1978,11,2,2,272,7.3596
1978,11,2,3,288,7.1822
1978,11,2,4,287,7.1674
1978,11,2,5,299,7.2930
1978,11,3,1,198,2.5052
1978,11,3,2,301,3.3226
1978,11,3,3,355,3.3136
1978,11,3,4,341,3.2676
1978,11,3,5,304,3.2100
1978,12,1,1,540,-2.5598
1978,12,1,2,523,0.9885
1978,12,1,3,529,2.4874
1978,12,1,4,465,2.2837
1978,12,1,5,379,1.7156
1978,12,2,1,234,0.4184
1978,12,2,2,275,2.0833
1978,12,2,3,287,1.9907
1978,12,2,4,293,3.4750
1978,12,2,5,299,2.6336
1978,12,3,1,197,-1.5216
1978,12,3,2,301,-0.6168
1978,12,3,3,352,1.1823
1978,12,3,4,339,1.4279
1978,12,3,5,302,3.6419
1979,1,1,1,522,12.7904
1979,1,1,2,505,10.5474
1979,1,1,3,496,9.6106
1979,1,1,4,442,9.5675
1979,1,1,5,366,9.9384
1979,1,2,1,232,10.6640
1979,1,2,2,263,8.8505
1979,1,2,3,275,8.1448
1979,1,2,4,281,7.0005
1979,1,2,5,292,7.0812
1979,1,3,1,190,8.4711
1979,1,3,2,293,6.2036
1979,1,3,3,336,4.4997
1979,1,3,4,323,3.9021
1979,1,3,5,298,3.1843
1979,2,1,1,532,-2.6145
1979,2,1,2,522,-1.9692
1979,2,1,3,522,-1.3493
1979,2,1,4,445,-2.6271
1979,2,1,5,376,-2.8072
1979,2,2,1,238,-0.4598
1979,2,2,2,272,-2.1448
1979,2,2,3,294,-3.4539
1979,2,2,4,288,-3.8224
1979,2,2,5,294,-3.7396
1979,2,3,1,202,-2.8354
1979,2,3,2,297,-2.3725
1979,2,3,3,341,-2.4804
1979,2,3,4,342,-3.6771
1979,2,3,5,305,-3.1225
1979,3,1,1,538,9.0712
1979,3,1,2,526,8.4241
1979,3,1,3,524,9.7685
1979,3,1,4,450,9.2464
1979,3,1,5,380,9.9436
1979,3,2,1,239,10.1547
1979,3,2,2,273,10.2910
1979,3,2,3,294,9.1926
1979,3,2,4,289,10.1728
1979,3,2,5,291,11.3341
1979,3,3,1,200,4.7149
1979,3,3,2,294,6.8297
1979,3,3,3,339,8.1100
1979,3,3,4,339,6.5523
1979,3,3,5,307,5.7054
1979,4,1,1,521,2.8200
1979,4,1,2,499,2.1283
1979,4,1,3,485,2.5037
1979,4,1,4,425,2.3959
1979,4,1,5,363,1.6776
1979,4,2,1,219,2.6897
1979,4,2,2,268,2.1778
1979,4,2,3,274,3.0863
1979,4,2,4,279,2.4891
1979,4,2,5,279,1.8702
1979,4,3,1,190,-2.4934
1979,4,3,2,281,-0.6254
