year,month,rank_ME,rank_SGq_1,nstocks,ret_vw
1968,6,3,3,107,3.0186
1968,6,3,4,101,0.2790
1968,6,3,5,110,-0.7951
1968,7,1,1,155,-3.3657
1968,7,1,2,79,-3.2086
1968,7,1,3,53,-4.5884
1968,7,1,4,84,-3.3281
1968,7,1,5,149,-2.3368
1968,7,2,1,51,-3.2307
1968,7,2,2,48,-3.5454
1968,7,2,3,52,-1.1213
1968,7,2,4,62,-4.0731
1968,7,2,5,76,-5.1097
1968,7,3,1,81,-5.5322
1968,7,3,2,100,-1.5729
1968,7,3,3,111,0.5107
1968,7,3,4,99,-1.5939
1968,7,3,5,105,-3.8494
1968,8,1,1,143,3.1853
1968,8,1,2,67,5.6772
1968,8,1,3,49,2.9113
1968,8,1,4,66,3.9377
1968,8,1,5,146,5.4944
1968,8,2,1,49,4.0062
1968,8,2,2,42,2.6062
1968,8,2,3,42,1.6363
1968,8,2,4,43,2.8007
1968,8,2,5,72,4.0696
1968,8,3,1,68,1.8940
1968,8,3,2,95,1.2635
1968,8,3,3,103,1.5192
1968,8,3,4,97,-0.1437
1968,8,3,5,90,0.7126
1968,9,1,1,148,6.7502
1968,9,1,2,60,6.2176
1968,9,1,3,49,6.0275
1968,9,1,4,70,6.7073
1968,9,1,5,152,8.0673
1968,9,2,1,48,5.6570
1968,9,2,2,40,5.2604
1968,9,2,3,43,7.1190
1968,9,2,4,49,9.0306
1968,9,2,5,73,6.9814
1968,9,3,1,65,5.6236
1968,9,3,2,98,4.6886
1968,9,3,3,104,3.1717
1968,9,3,4,96,6.3712
1968,9,3,5,89,3.6799
1968,10,1,1,150,0.5065
1968,10,1,2,58,2.4737
1968,10,1,3,52,-0.2470
1968,10,1,4,67,2.5551
1968,10,1,5,150,-1.5839
1968,10,2,1,50,-1.4565
1968,10,2,2,40,0.0726
1968,10,2,3,40,4.0777
1968,10,2,4,48,2.4368
1968,10,2,5,75,1.0707
1968,10,3,1,66,1.1254
1968,10,3,2,97,1.1498
1968,10,3,3,107,2.3831
1968,10,3,4,97,1.1145
1968,10,3,5,88,-3.7800
1968,11,1,1,156,5.3742
1968,11,1,2,59,6.5003
1968,11,1,3,82,5.3349
1968,11,1,4,80,8.3068
1968,11,1,5,161,8.3057
1968,11,2,1,57,8.8830
1968,11,2,2,50,6.5465
1968,11,2,3,46,8.3438
1968,11,2,4,52,6.5989
1968,11,2,5,87,9.8655
1968,11,3,1,84,6.9016
1968,11,3,2,107,5.8240
1968,11,3,3,111,5.5986
1968,11,3,4,105,3.5595
1968,11,3,5,91,7.4992
1968,12,1,1,160,1.6479
1968,12,1,2,63,0.8500
1968,12,1,3,74,3.2954
1968,12,1,4,83,-0.5732
1968,12,1,5,153,1.6406
1968,12,2,1,56,-1.2008
1968,12,2,2,48,-1.8653
1968,12,2,3,46,-1.6667
1968,12,2,4,53,-0.4108
1968,12,2,5,92,-1.3336
1968,12,3,1,85,-3.1285
1968,12,3,2,109,-4.2517
1968,12,3,3,112,-4.0206
1968,12,3,4,101,-4.1591
1968,12,3,5,92,-4.1612
1969,1,1,1,157,-2.3180
1969,1,1,2,73,-0.5919
1969,1,1,3,77,0.0904
1969,1,1,4,83,-2.1949
1969,1,1,5,144,-0.8028
1969,1,2,1,57,-0.0902
1969,1,2,2,44,-0.7335
1969,1,2,3,48,-0.6380
1969,1,2,4,50,-0.9469
1969,1,2,5,93,-1.9143
1969,1,3,1,86,-2.1753
