year,month,rank_ME,rank_RDM,nstocks,ret_vw
1978,10,3,5,49,-11.5997
1978,11,1,1,112,6.1182
1978,11,1,2,104,4.6280
1978,11,1,3,144,7.9282
1978,11,1,4,129,7.8810
1978,11,1,5,237,9.4344
1978,11,2,1,53,5.2434
1978,11,2,2,48,7.1097
1978,11,2,3,49,12.0111
1978,11,2,4,59,8.6588
1978,11,2,5,45,10.6245
1978,11,3,1,89,3.2409
1978,11,3,2,74,3.2004
1978,11,3,3,74,3.1396
1978,11,3,4,63,3.8137
1978,11,3,5,49,3.3447
1978,12,1,1,111,2.1658
1978,12,1,2,103,2.1748
1978,12,1,3,144,2.6733
1978,12,1,4,129,3.4958
1978,12,1,5,235,3.5718
1978,12,2,1,53,1.2715
1978,12,2,2,48,5.7501
1978,12,2,3,50,1.4447
1978,12,2,4,59,3.8512
1978,12,2,5,44,2.6765
1978,12,3,1,89,1.9285
1978,12,3,2,74,0.1967
1978,12,3,3,74,4.6346
1978,12,3,4,63,1.3739
1978,12,3,5,49,0.6681
1979,1,1,1,111,8.7283
1979,1,1,2,103,9.9873
1979,1,1,3,145,10.0665
1979,1,1,4,129,12.2137
1979,1,1,5,230,14.2173
1979,1,2,1,52,7.5374
1979,1,2,2,48,6.6861
1979,1,2,3,50,7.6722
1979,1,2,4,57,8.5007
1979,1,2,5,44,11.2710
1979,1,3,1,89,3.5832
1979,1,3,2,74,4.0217
1979,1,3,3,74,3.5356
1979,1,3,4,63,5.4312
1979,1,3,5,49,4.6058
1979,2,1,1,111,-2.6114
1979,2,1,2,103,-4.3239
1979,2,1,3,143,-2.5326
1979,2,1,4,129,-3.8115
1979,2,1,5,230,-3.4378
1979,2,2,1,50,-4.1106
1979,2,2,2,47,-1.9203
1979,2,2,3,48,-5.3799
1979,2,2,4,57,-2.9553
1979,2,2,5,44,-5.4000
1979,2,3,1,88,-0.9780
1979,2,3,2,74,-2.3701
1979,2,3,3,74,-3.8271
1979,2,3,4,63,-4.0238
1979,2,3,5,48,-5.8833
1979,3,1,1,111,8.3239
1979,3,1,2,103,8.4690
1979,3,1,3,142,11.2715
1979,3,1,4,127,10.3237
1979,3,1,5,230,13.6193
1979,3,2,1,50,7.6522
1979,3,2,2,46,13.6654
1979,3,2,3,47,11.0135
1979,3,2,4,57,10.1641
1979,3,2,5,43,13.5413
1979,3,3,1,88,4.8919
1979,3,3,2,74,6.1427
1979,3,3,3,73,5.8835
1979,3,3,4,63,8.7679
1979,3,3,5,48,6.9197
1979,4,1,1,111,2.0645
1979,4,1,2,102,0.2417
1979,4,1,3,142,1.1837
1979,4,1,4,127,1.8784
1979,4,1,5,227,2.7001
1979,4,2,1,50,-0.0080
1979,4,2,2,46,1.6783
1979,4,2,3,46,2.5360
1979,4,2,4,57,1.7287
1979,4,2,5,43,2.5330
1979,4,3,1,88,0.7578
1979,4,3,2,74,2.1388
1979,4,3,3,73,-0.3091
1979,4,3,4,63,-0.7159
1979,4,3,5,48,1.3732
1979,5,1,1,111,-0.9908
1979,5,1,2,102,-2.4991
1979,5,1,3,141,1.2314
1979,5,1,4,124,-1.2357
1979,5,1,5,227,-1.8355
1979,5,2,1,50,-1.7651
1979,5,2,2,45,-3.7498
1979,5,2,3,46,-1.5034
1979,5,2,4,57,-2.5075
1979,5,2,5,42,-2.1470
1979,5,3,1,88,-1.3792
1979,5,3,2,74,-2.5352
1979,5,3,3,73,-2.6179
1979,5,3,4,63,-1.4260
1979,5,3,5,48,-1.9896
1979,6,1,1,109,4.7794
1979,6,1,2,101,2.8533
1979,6,1,3,141,3.1132
1979,6,1,4,124,3.0667
1979,6,1,5,226,5.4375
1979,6,2,1,50,6.5122
1979,6,2,2,45,8.1011
1979,6,2,3,46,2.8861
1979,6,2,4,56,1.7638
1979,6,2,5,42,6.3782
1979,6,3,1,88,4.8721
1979,6,3,2,73,4.2700
1979,6,3,3,73,1.5020
1979,6,3,4,63,3.5978
1979,6,3,5,48,3.7008
1979,7,1,1,107,1.7221
1979,7,1,2,130,1.9778
1979,7,1,3,128,4.5572
1979,7,1,4,118,1.3171
1979,7,1,5,223,0.6393
1979,7,2,1,60,2.8293
1979,7,2,2,48,2.9838
1979,7,2,3,49,3.4070
1979,7,2,4,54,1.2920
1979,7,2,5,48,3.9450
1979,7,3,1,87,1.4600
1979,7,3,2,69,1.1334
1979,7,3,3,73,-1.0389
1979,7,3,4,68,2.0994
1979,7,3,5,50,1.1568
1979,8,1,1,107,7.8348
1979,8,1,2,130,7.8584
1979,8,1,3,126,8.6511
1979,8,1,4,118,9.4521
1979,8,1,5,222,7.8427
1979,8,2,1,60,7.3496
1979,8,2,2,47,7.7187
1979,8,2,3,48,9.1349
1979,8,2,4,53,8.5324
1979,8,2,5,48,11.7799
1979,8,3,1,87,5.3377
1979,8,3,2,69,8.5782
1979,8,3,3,73,5.0729
1979,8,3,4,67,7.8078
1979,8,3,5,50,7.1741
1979,9,1,1,107,-2.4845
1979,9,1,2,130,-1.3835
1979,9,1,3,122,-2.7456
1979,9,1,4,118,-0.7216
1979,9,1,5,218,-0.2603
1979,9,2,1,60,-1.6690
1979,9,2,2,47,0.4546
1979,9,2,3,49,-0.7374
1979,9,2,4,52,1.5474
1979,9,2,5,48,1.7708
1979,9,3,1,86,2.2651
1979,9,3,2,69,1.2443
1979,9,3,3,73,-1.9390
1979,9,3,4,67,-0.4302
1979,9,3,5,50,0.3357
1979,10,1,1,107,-10.7066
1979,10,1,2,130,-9.6344
1979,10,1,3,122,-11.5102
1979,10,1,4,118,-9.0497
1979,10,1,5,215,-11.2461
1979,10,2,1,60,-9.0316
1979,10,2,2,47,-13.3323
1979,10,2,3,49,-9.0349
1979,10,2,4,52,-8.0855
1979,10,2,5,48,-9.1065
1979,10,3,1,85,-3.9023
1979,10,3,2,69,-5.7109
1979,10,3,3,73,-6.9270
1979,10,3,4,66,-6.8525
1979,10,3,5,50,-10.0370
1979,11,1,1,107,6.4280
1979,11,1,2,129,6.0855
1979,11,1,3,123,8.0717
1979,11,1,4,117,10.6060
1979,11,1,5,216,10.1731
1979,11,2,1,59,6.8909
1979,11,2,2,47,10.1742
1979,11,2,3,48,7.0238
1979,11,2,4,53,10.3456
1979,11,2,5,48,9.8152
1979,11,3,1,85,6.1103
1979,11,3,2,69,5.0896
1979,11,3,3,73,6.0864
1979,11,3,4,66,5.5689
1979,11,3,5,50,1.9374
1979,12,1,1,107,7.2100
1979,12,1,2,129,8.9135
1979,12,1,3,121,7.5531
1979,12,1,4,116,9.6782
1979,12,1,5,215,8.3007
1979,12,2,1,59,3.5464
1979,12,2,2,47,5.9124
1979,12,2,3,48,7.3363
1979,12,2,4,52,5.9227
1979,12,2,5,48,5.7355
1979,12,3,1,85,0.8834
1979,12,3,2,69,1.5195
1979,12,3,3,73,1.4230
1979,12,3,4,66,4.0718
1979,12,3,5,50,3.4161
1980,1,1,1,106,10.4142
1980,1,1,2,128,11.8616
1980,1,1,3,121,12.1830
1980,1,1,4,113,11.9327
1980,1,1,5,214,13.0397
1980,1,2,1,59,4.0699
1980,1,2,2,47,9.4439
1980,1,2,3,46,8.9159
1980,1,2,4,52,8.3045
1980,1,2,5,47,8.0374
1980,1,3,1,84,9.0792
1980,1,3,2,69,7.6391
1980,1,3,3,73,2.8388
1980,1,3,4,66,6.1157
1980,1,3,5,49,11.1747
1980,2,1,1,104,0.3690
1980,2,1,2,127,-3.7502
1980,2,1,3,118,-0.0025
1980,2,1,4,112,-1.5231
