year,month,rank_ME,rank_RDSq_6,nstocks,ret_vw
1991,7,2,4,78,3.3991
1991,7,2,5,124,4.7678
1991,7,3,1,53,4.5526
1991,7,3,2,58,4.8069
1991,7,3,3,65,4.8661
1991,7,3,4,57,4.4910
1991,7,3,5,77,6.5108
1991,8,1,1,188,4.3110
1991,8,1,2,182,4.2937
1991,8,1,3,251,2.0549
1991,8,1,4,276,4.0992
1991,8,1,5,472,7.0701
1991,8,2,1,59,2.1770
1991,8,2,2,48,5.2168
1991,8,2,3,69,2.7071
1991,8,2,4,79,5.1781
1991,8,2,5,137,6.5603
1991,8,3,1,52,0.8773
1991,8,3,2,60,2.9309
1991,8,3,3,69,0.5009
1991,8,3,4,57,2.3855
1991,8,3,5,83,1.8351
1991,9,1,1,186,-0.3469
1991,9,1,2,176,-1.3195
1991,9,1,3,246,1.4549
1991,9,1,4,260,1.7239
1991,9,1,5,473,5.7137
1991,9,2,1,57,-0.2986
1991,9,2,2,48,-1.0981
1991,9,2,3,67,-1.0889
1991,9,2,4,77,1.8192
1991,9,2,5,144,0.2380
1991,9,3,1,52,-3.9075
1991,9,3,2,61,-1.8877
1991,9,3,3,69,-0.9965
1991,9,3,4,57,-2.5815
1991,9,3,5,83,-0.5394
1991,10,1,1,179,0.5434
1991,10,1,2,163,0.0060
1991,10,1,3,216,3.1986
1991,10,1,4,239,7.0006
1991,10,1,5,439,10.5702
1991,10,2,1,58,3.1476
1991,10,2,2,49,0.6261
1991,10,2,3,59,-2.2664
1991,10,2,4,76,3.4012
1991,10,2,5,140,8.5782
1991,10,3,1,54,2.2347
1991,10,3,2,60,2.0065
1991,10,3,3,65,3.1824
1991,10,3,4,56,3.9376
1991,10,3,5,80,4.1359
1991,11,1,1,188,-2.8446
1991,11,1,2,180,-4.3171
1991,11,1,3,240,-1.6594
1991,11,1,4,262,-3.9925
1991,11,1,5,482,-4.6668
1991,11,2,1,59,-8.1117
1991,11,2,2,51,-4.2099
1991,11,2,3,60,-2.8762
1991,11,2,4,89,-7.6490
1991,11,2,5,169,-10.1098
1991,11,3,1,54,-4.8957
1991,11,3,2,68,-4.5086
1991,11,3,3,69,-4.5604
1991,11,3,4,61,-4.0383
1991,11,3,5,88,-2.0067
1991,12,1,1,196,4.8460
1991,12,1,2,171,6.0770
1991,12,1,3,246,6.4240
1991,12,1,4,271,8.6838
1991,12,1,5,494,7.6422
1991,12,2,1,59,9.5986
1991,12,2,2,46,13.1008
1991,12,2,3,61,11.7751
1991,12,2,4,88,12.2973
1991,12,2,5,169,12.3175
1991,12,3,1,52,11.0040
1991,12,3,2,69,11.2779
1991,12,3,3,69,12.2220
1991,12,3,4,61,14.2928
1991,12,3,5,89,11.9726
1992,1,1,1,149,11.4768
1992,1,1,2,114,13.7095
1992,1,1,3,192,12.1995
1992,1,1,4,214,16.9194
1992,1,1,5,404,18.8386
1992,1,2,1,42,4.1908
1992,1,2,2,32,6.5145
1992,1,2,3,40,4.3871
1992,1,2,4,69,6.8084
1992,1,2,5,150,12.9016
1992,1,3,1,23,-1.6619
1992,1,3,2,46,-0.0190
1992,1,3,3,49,-2.4499
1992,1,3,4,38,-2.6561
1992,1,3,5,62,-1.3524
1992,2,1,1,162,5.8801
1992,2,1,2,125,3.3556
1992,2,1,3,221,3.8284
1992,2,1,4,247,6.5095
1992,2,1,5,432,0.2018
1992,2,2,1,43,4.7222
1992,2,2,2,38,1.2097
1992,2,2,3,59,2.0523
1992,2,2,4,76,0.2748
1992,2,2,5,177,0.2643
1992,2,3,1,26,3.7842
1992,2,3,2,48,1.7464
1992,2,3,3,56,1.2680
1992,2,3,4,46,0.0714
1992,2,3,5,64,-0.1933
1992,3,1,1,158,-4.2264
1992,3,1,2,135,-2.7853
1992,3,1,3,225,-4.6589
1992,3,1,4,248,-4.6449
1992,3,1,5,438,-6.9498
1992,3,2,1,43,-5.4965
1992,3,2,2,37,-2.3688
1992,3,2,3,61,-6.0161
1992,3,2,4,73,-7.7785
1992,3,2,5,182,-9.9740
1992,3,3,1,28,-1.5368
1992,3,3,2,48,-1.4646
1992,3,3,3,56,2.1968
1992,3,3,4,46,-4.5183
1992,3,3,5,69,-6.0300
1992,4,1,1,149,-8.5500
1992,4,1,2,119,-8.3887
1992,4,1,3,210,-8.3428
1992,4,1,4,224,-8.3856
1992,4,1,5,403,-11.4873
1992,4,2,1,43,-2.2666
1992,4,2,2,39,-4.6627
1992,4,2,3,60,-3.2059
1992,4,2,4,72,-4.5195
1992,4,2,5,179,-12.1231
1992,4,3,1,26,1.9379
1992,4,3,2,46,3.3935
1992,4,3,3,52,3.1279
1992,4,3,4,48,-0.0086
1992,4,3,5,68,-0.9056
1992,5,1,1,186,-2.5481
1992,5,1,2,163,-1.7290
1992,5,1,3,261,-1.4761
1992,5,1,4,270,0.1159
1992,5,1,5,496,-1.8624
1992,5,2,1,58,1.7500
1992,5,2,2,47,2.6873
1992,5,2,3,80,-0.3539
1992,5,2,4,97,1.6422
1992,5,2,5,210,-0.1331
1992,5,3,1,57,-0.4812
1992,5,3,2,78,1.8458
1992,5,3,3,75,-0.5662
1992,5,3,4,72,0.3334
1992,5,3,5,94,1.3214
1992,6,1,1,191,-7.6834
1992,6,1,2,171,-10.4992
1992,6,1,3,268,-4.8764
1992,6,1,4,271,-7.3597
1992,6,1,5,493,-9.3237
1992,6,2,1,58,-3.8820
1992,6,2,2,47,-9.1299
1992,6,2,3,81,-4.1704
1992,6,2,4,99,-3.2534
1992,6,2,5,205,-5.9518
1992,6,3,1,56,-0.7592
1992,6,3,2,77,-4.3157
1992,6,3,3,76,-1.9934
1992,6,3,4,72,-5.1808
1992,6,3,5,94,-1.9462
1992,7,1,1,180,0.1541
1992,7,1,2,152,2.1162
1992,7,1,3,241,0.1142
1992,7,1,4,228,2.0070
1992,7,1,5,427,0.8847
1992,7,2,1,56,-4.3141
1992,7,2,2,40,1.1913
1992,7,2,3,72,4.2489
1992,7,2,4,83,1.2409
1992,7,2,5,199,4.0678
1992,7,3,1,52,3.0011
1992,7,3,2,73,4.8166
1992,7,3,3,73,3.4838
1992,7,3,4,74,4.9257
1992,7,3,5,88,3.7606
1992,8,1,1,179,-3.7995
1992,8,1,2,173,-4.9767
1992,8,1,3,260,-3.3632
1992,8,1,4,263,-3.9867
1992,8,1,5,474,-6.0070
1992,8,2,1,60,-4.4370
1992,8,2,2,42,-5.1729
1992,8,2,3,68,-4.9797
1992,8,2,4,87,-4.1760
1992,8,2,5,215,-5.7073
1992,8,3,1,52,-1.9020
1992,8,3,2,77,-2.0909
1992,8,3,3,72,-2.7953
1992,8,3,4,80,-3.3926
1992,8,3,5,93,-4.8317
1992,9,1,1,184,0.9933
1992,9,1,2,172,0.3695
1992,9,1,3,260,-0.0423
1992,9,1,4,260,1.4295
1992,9,1,5,477,0.1903
1992,9,2,1,59,3.4288
1992,9,2,2,44,3.5399
1992,9,2,3,67,-0.0949
1992,9,2,4,82,2.7938
1992,9,2,5,200,3.0436
1992,9,3,1,51,2.2374
1992,9,3,2,76,1.4635
1992,9,3,3,72,1.4545
1992,9,3,4,80,-1.6842
1992,9,3,5,88,-1.2650
1992,10,1,1,168,-0.6442
1992,10,1,2,157,2.2073
1992,10,1,3,233,4.7174
1992,10,1,4,234,2.6778
1992,10,1,5,447,4.2104
1992,10,2,1,59,3.5241
1992,10,2,2,39,3.1372
1992,10,2,3,64,-0.5637
1992,10,2,4,80,7.5502
1992,10,2,5,190,7.7208
1992,10,3,1,51,0.7963
1992,10,3,2,77,0.5364
1992,10,3,3,68,-0.0265
1992,10,3,4,75,0.4344
1992,10,3,5,81,2.2386
1992,11,1,1,179,10.3432
1992,11,1,2,164,6.3552
1992,11,1,3,254,11.7015
1992,11,1,4,267,10.9579
1992,11,1,5,502,14.9570
1992,11,2,1,61,5.2796
1992,11,2,2,38,3.7409
