year,month,rank_ME,rank_EPRD,nstocks,ret_vw
1969,3,2,4,19,5.0033
1969,3,2,5,19,2.8531
1969,3,3,1,64,5.3416
1969,3,3,2,62,4.8474
1969,3,3,3,48,1.9250
1969,3,3,4,42,1.1208
1969,3,3,5,39,3.5998
1969,4,1,1,1,-5.0000
1969,4,1,2,8,1.1221
1969,4,1,3,8,-1.2399
1969,4,1,4,14,-5.7219
1969,4,1,5,15,-1.8257
1969,4,2,1,10,0.3428
1969,4,2,2,6,-2.9445
1969,4,2,3,18,2.3634
1969,4,2,4,19,3.3562
1969,4,2,5,19,0.5067
1969,4,3,1,64,2.6858
1969,4,3,2,62,1.6663
1969,4,3,3,48,2.5309
1969,4,3,4,42,5.2279
1969,4,3,5,39,0.2635
1969,5,1,1,1,-5.2632
1969,5,1,2,8,-6.5481
1969,5,1,3,8,1.5659
1969,5,1,4,14,3.4264
1969,5,1,5,15,-2.3360
1969,5,2,1,10,-1.8159
1969,5,2,2,6,6.1192
1969,5,2,3,18,0.9186
1969,5,2,4,19,-0.4589
1969,5,2,5,19,-3.3495
1969,5,3,1,64,1.4399
1969,5,3,2,62,0.6549
1969,5,3,3,48,-1.8677
1969,5,3,4,42,0.1620
1969,5,3,5,39,0.7306
1969,6,1,1,1,1.2500
1969,6,1,2,8,-9.1370
1969,6,1,3,8,-13.8048
1969,6,1,4,14,-9.9631
1969,6,1,5,15,-15.9895
1969,6,2,1,10,-9.9176
1969,6,2,2,6,-7.0566
1969,6,2,3,19,-7.6411
1969,6,2,4,19,-12.2549
1969,6,2,5,19,-13.5576
1969,6,3,1,64,-3.0790
1969,6,3,2,62,-6.1627
1969,6,3,3,48,-8.8479
1969,6,3,4,42,-5.7779
1969,6,3,5,39,-6.3959
1969,7,1,1,1,-5.5556
1969,7,1,2,7,-7.3396
1969,7,1,3,8,-9.7956
1969,7,1,4,11,-13.8650
1969,7,1,5,16,-13.6872
1969,7,2,1,8,-9.0326
1969,7,2,2,7,-10.5784
1969,7,2,3,18,-8.4778
1969,7,2,4,21,-8.8696
1969,7,2,5,18,-6.5895
1969,7,3,1,66,-5.6539
1969,7,3,2,62,-6.0657
1969,7,3,3,49,-6.6927
1969,7,3,4,43,-6.6611
1969,7,3,5,40,-6.9377
1969,8,1,1,1,1.4706
1969,8,1,2,7,1.1746
1969,8,1,3,8,4.8309
1969,8,1,4,11,4.5499
1969,8,1,5,16,1.2713
1969,8,2,1,8,4.4483
1969,8,2,2,7,8.0785
1969,8,2,3,18,5.4103
1969,8,2,4,21,5.2711
1969,8,2,5,18,2.7058
1969,8,3,1,66,6.6253
1969,8,3,2,62,4.6979
1969,8,3,3,49,3.6798
1969,8,3,4,43,2.4141
1969,8,3,5,40,3.3649
1969,9,1,1,1,0.7609
1969,9,1,2,7,-5.2623
1969,9,1,3,8,0.5934
1969,9,1,4,11,4.2999
1969,9,1,5,16,-3.8122
1969,9,2,1,8,3.1984
1969,9,2,2,7,-7.6132
1969,9,2,3,18,-1.0810
1969,9,2,4,21,-1.0075
1969,9,2,5,17,2.4785
1969,9,3,1,66,-2.5980
1969,9,3,2,62,-3.7607
1969,9,3,3,49,-1.1354
1969,9,3,4,42,-1.9960
1969,9,3,5,40,-1.5644
1969,10,1,1,1,1.2750
1969,10,1,2,7,12.5930
1969,10,1,3,8,6.9776
1969,10,1,4,11,11.2538
1969,10,1,5,16,9.0271
1969,10,2,1,8,6.8846
1969,10,2,2,7,14.5721
1969,10,2,3,18,4.9456
1969,10,2,4,21,6.0472
1969,10,2,5,17,9.5101
1969,10,3,1,66,4.7629
1969,10,3,2,62,4.0434
1969,10,3,3,49,2.7004
1969,10,3,4,42,3.9123
1969,10,3,5,40,4.7420
1969,11,1,1,1,-3.2374
1969,11,1,2,7,-6.9817
1969,11,1,3,8,-6.1872
1969,11,1,4,11,-6.2746
1969,11,1,5,16,-8.4294
1969,11,2,1,8,-1.5492
1969,11,2,2,7,-8.5260
1969,11,2,3,18,-4.9355
1969,11,2,4,21,-4.7615
1969,11,2,5,18,-3.6072
1969,11,3,1,66,-2.2114
1969,11,3,2,62,-4.0955
1969,11,3,3,49,-4.4914
1969,11,3,4,43,-1.6856
1969,11,3,5,40,-4.2155
1969,12,1,1,1,-3.4944
1969,12,1,2,7,-3.4233
1969,12,1,3,8,-6.7266
1969,12,1,4,11,-7.9253
1969,12,1,5,16,-6.3963
1969,12,2,1,8,0.2967
1969,12,2,2,7,-3.4056
1969,12,2,3,18,-3.7395
1969,12,2,4,21,-6.1877
1969,12,2,5,18,-7.9049
1969,12,3,1,66,0.9901
1969,12,3,2,62,-0.8840
1969,12,3,3,49,-2.4547
1969,12,3,4,43,-4.9224
1969,12,3,5,40,-3.9782
1970,1,1,1,1,3.5156
1970,1,1,2,7,-5.7794
1970,1,1,3,8,1.9233
1970,1,1,4,11,-0.4947
1970,1,1,5,16,-4.9462
1970,1,2,1,8,-2.8355
1970,1,2,2,7,-3.4296
1970,1,2,3,18,-3.3214
1970,1,2,4,21,-6.4004
1970,1,2,5,18,-3.5581
1970,1,3,1,66,-8.4360
1970,1,3,2,62,-8.7989
1970,1,3,3,49,-9.2895
1970,1,3,4,43,-5.5228
1970,1,3,5,40,-6.4517
1970,2,1,1,1,2.6415
1970,2,1,2,7,11.4479
1970,2,1,3,7,4.3669
1970,2,1,4,11,-0.1846
1970,2,1,5,16,3.2628
1970,2,2,1,8,8.9198
1970,2,2,2,7,9.1786
1970,2,2,3,18,4.1351
1970,2,2,4,21,4.9581
1970,2,2,5,18,6.6985
1970,2,3,1,66,4.3585
1970,2,3,2,62,5.6196
1970,2,3,3,49,5.4644
1970,2,3,4,43,8.9261
1970,2,3,5,40,7.4481
1970,3,1,1,1,-0.8088
1970,3,1,2,7,2.8673
1970,3,1,3,7,-3.7601
1970,3,1,4,11,-0.0157
1970,3,1,5,16,1.9635
1970,3,2,1,8,-1.3541
1970,3,2,2,7,1.3887
1970,3,2,3,18,1.4512
1970,3,2,4,21,-1.0457
1970,3,2,5,18,-0.2122
1970,3,3,1,66,-1.4076
1970,3,3,2,62,0.5606
1970,3,3,3,49,0.3437
1970,3,3,4,43,3.1366
1970,3,3,5,40,1.7159
1970,4,1,1,1,0.0000
1970,4,1,2,7,-15.5409
1970,4,1,3,7,-4.4947
1970,4,1,4,11,-13.7526
1970,4,1,5,16,-14.3342
1970,4,2,1,8,-11.4760
1970,4,2,2,7,-11.1971
1970,4,2,3,18,-11.7535
1970,4,2,4,21,-10.4734
1970,4,2,5,18,-12.5971
1970,4,3,1,66,-8.8286
1970,4,3,2,62,-8.0686
1970,4,3,3,49,-9.3843
1970,4,3,4,43,-9.1909
1970,4,3,5,40,-9.1117
1970,5,1,1,1,-9.7744
1970,5,1,2,7,-3.6217
1970,5,1,3,7,-9.3569
1970,5,1,4,11,-7.3828
1970,5,1,5,16,-12.7882
1970,5,2,1,8,-5.1785
1970,5,2,2,7,-5.1230
1970,5,2,3,18,-10.3065
1970,5,2,4,21,-9.3797
1970,5,2,5,18,-10.7755
1970,5,3,1,66,-3.7482
1970,5,3,2,62,-7.2806
1970,5,3,3,49,-4.2096
1970,5,3,4,43,-4.9986
1970,5,3,5,40,-7.7726
1970,6,1,1,1,3.2500
1970,6,1,2,7,-4.9230
1970,6,1,3,7,-3.7670
1970,6,1,4,10,-9.7313
1970,6,1,5,16,-9.5987
1970,6,2,1,8,-3.1588
1970,6,2,2,7,0.8124
1970,6,2,3,18,-7.4498
1970,6,2,4,21,-8.1405
1970,6,2,5,18,-4.3141
1970,6,3,1,66,-3.9636
1970,6,3,2,62,-2.2713
1970,6,3,3,49,-2.4922
1970,6,3,4,43,-7.4846
1970,6,3,5,40,-8.6319
1970,7,1,1,0,
1970,7,1,2,6,3.6647
1970,7,1,3,9,0.3093
1970,7,1,4,10,3.0624
1970,7,1,5,17,6.5566
1970,7,2,1,8,6.0360
1970,7,2,2,3,5.7243
1970,7,2,3,19,9.2484
1970,7,2,4,18,7.0456
1970,7,2,5,23,8.0854
1970,7,3,1,68,5.4613
1970,7,3,2,66,8.8662
1970,7,3,3,48,8.8721
1970,7,3,4,47,10.1173
1970,7,3,5,35,5.3376
1970,8,1,1,0,
1970,8,1,2,6,1.2142
1970,8,1,3,9,15.7674
