year,month,rank_ME,rank_RCA,nstocks,ret_vw
1982,7,2,3,57,-2.2525
1982,7,2,4,44,-2.0252
1982,7,2,5,66,-1.8739
1982,7,3,1,59,-4.7484
1982,7,3,2,70,-5.8736
1982,7,3,3,57,-3.1819
1982,7,3,4,72,-0.0014
1982,7,3,5,70,1.3603
1982,8,1,1,137,5.3408
1982,8,1,2,152,4.3354
1982,8,1,3,155,5.1840
1982,8,1,4,177,5.6621
1982,8,1,5,219,5.2688
1982,8,2,1,47,7.9484
1982,8,2,2,46,8.9632
1982,8,2,3,57,10.0803
1982,8,2,4,43,8.2779
1982,8,2,5,66,11.1807
1982,8,3,1,59,10.8738
1982,8,3,2,69,13.1887
1982,8,3,3,56,13.3633
1982,8,3,4,72,14.3728
1982,8,3,5,70,13.4967
1982,9,1,1,135,2.8068
1982,9,1,2,150,6.9926
1982,9,1,3,154,5.3881
1982,9,1,4,178,3.1871
1982,9,1,5,217,6.1812
1982,9,2,1,47,0.7489
1982,9,2,2,45,3.3604
1982,9,2,3,57,1.5878
1982,9,2,4,43,2.3204
1982,9,2,5,66,2.9996
1982,9,3,1,61,1.8250
1982,9,3,2,68,-1.6526
1982,9,3,3,55,0.4354
1982,9,3,4,72,-1.1776
1982,9,3,5,70,-0.0852
1982,10,1,1,135,13.5262
1982,10,1,2,150,10.6762
1982,10,1,3,153,16.0288
1982,10,1,4,178,16.1564
1982,10,1,5,216,17.8930
1982,10,2,1,47,13.0371
1982,10,2,2,44,14.6913
1982,10,2,3,57,12.7230
1982,10,2,4,42,12.2852
1982,10,2,5,65,18.1601
1982,10,3,1,61,5.9664
1982,10,3,2,68,10.2570
1982,10,3,3,54,13.5022
1982,10,3,4,72,13.2811
1982,10,3,5,70,12.7798
1982,11,1,1,135,11.9707
1982,11,1,2,150,12.7619
1982,11,1,3,153,13.7762
1982,11,1,4,175,10.0015
1982,11,1,5,211,13.1271
1982,11,2,1,47,7.8234
1982,11,2,2,44,11.4592
1982,11,2,3,57,6.1681
1982,11,2,4,42,9.3285
1982,11,2,5,65,13.7616
1982,11,3,1,61,0.2827
1982,11,3,2,68,0.9059
1982,11,3,3,54,5.1306
1982,11,3,4,72,6.6890
1982,11,3,5,70,7.5658
1982,12,1,1,134,3.5732
1982,12,1,2,151,-0.1277
1982,12,1,3,152,2.4887
1982,12,1,4,175,3.6802
1982,12,1,5,210,2.2531
1982,12,2,1,47,-1.6703
1982,12,2,2,44,1.2610
1982,12,2,3,57,1.9385
1982,12,2,4,42,2.4862
1982,12,2,5,66,-0.9902
1982,12,3,1,61,2.1143
1982,12,3,2,68,5.4285
1982,12,3,3,54,-1.4880
1982,12,3,4,72,-0.5596
1982,12,3,5,70,2.9573
1983,1,1,1,134,6.9851
1983,1,1,2,150,10.7308
1983,1,1,3,152,12.6975
1983,1,1,4,175,13.3113
1983,1,1,5,208,12.5165
1983,1,2,1,47,5.0102
1983,1,2,2,44,4.0215
1983,1,2,3,57,9.5347
1983,1,2,4,41,9.1545
1983,1,2,5,65,16.6173
1983,1,3,1,60,8.2092
1983,1,3,2,68,1.6276
1983,1,3,3,54,7.0800
1983,1,3,4,71,5.3916
1983,1,3,5,70,4.7053
1983,2,1,1,132,6.5891
1983,2,1,2,148,6.2513
1983,2,1,3,151,7.9627
1983,2,1,4,169,6.3133
1983,2,1,5,208,6.3785
1983,2,2,1,47,2.4770
