year,month,rank_ME,rank_ETL,nstocks,ret_vw
1968,5,1,5,10,5.5892
1968,5,2,1,19,8.0158
1968,5,2,2,14,7.1670
1968,5,2,3,19,6.0513
1968,5,2,4,16,3.3657
1968,5,2,5,19,6.4562
1968,5,3,1,62,1.8310
1968,5,3,2,67,2.5400
1968,5,3,3,61,0.9370
1968,5,3,4,63,-1.5847
1968,5,3,5,59,-0.3038
1968,6,1,1,8,0.7651
1968,6,1,2,7,5.2394
1968,6,1,3,9,1.0875
1968,6,1,4,9,5.5308
1968,6,1,5,10,4.9141
1968,6,2,1,19,0.3250
1968,6,2,2,14,0.9301
1968,6,2,3,19,3.2661
1968,6,2,4,16,2.5389
1968,6,2,5,19,0.6232
1968,6,3,1,62,0.3024
1968,6,3,2,67,1.1072
1968,6,3,3,61,1.6169
1968,6,3,4,63,0.9318
1968,6,3,5,59,0.8659
1968,7,1,1,8,-4.5959
1968,7,1,2,8,0.6725
1968,7,1,3,9,-4.4774
1968,7,1,4,15,0.3124
1968,7,1,5,10,2.2013
1968,7,2,1,20,-1.9790
1968,7,2,2,16,-4.2949
1968,7,2,3,23,0.0708
1968,7,2,4,9,-1.3739
1968,7,2,5,18,-2.9227
1968,7,3,1,61,-2.3974
1968,7,3,2,64,-2.6301
1968,7,3,3,58,-1.7057
1968,7,3,4,64,0.2416
1968,7,3,5,60,-0.7809
1968,8,1,1,8,4.8354
1968,8,1,2,8,2.6155
1968,8,1,3,9,-2.7382
1968,8,1,4,15,1.7382
1968,8,1,5,10,-3.4856
1968,8,2,1,20,5.6062
1968,8,2,2,16,1.5377
1968,8,2,3,23,3.7983
1968,8,2,4,9,3.9619
1968,8,2,5,18,5.1183
1968,8,3,1,61,1.3055
1968,8,3,2,64,0.5506
1968,8,3,3,58,1.0995
1968,8,3,4,64,2.2425
1968,8,3,5,60,2.5545
1968,9,1,1,8,16.4651
1968,9,1,2,8,10.5949
1968,9,1,3,9,11.7410
1968,9,1,4,15,4.8855
1968,9,1,5,10,7.7529
1968,9,2,1,20,4.6036
1968,9,2,2,16,4.6532
1968,9,2,3,23,7.3807
1968,9,2,4,9,3.5914
1968,9,2,5,18,5.6708
1968,9,3,1,61,4.9357
1968,9,3,2,64,2.5743
1968,9,3,3,58,4.4712
1968,9,3,4,64,2.7834
1968,9,3,5,60,5.5069
1968,10,1,1,8,2.6772
1968,10,1,2,8,2.9154
1968,10,1,3,8,4.4384
1968,10,1,4,15,3.3791
1968,10,1,5,10,-1.9792
1968,10,2,1,20,-2.0124
1968,10,2,2,16,4.0970
1968,10,2,3,23,2.0637
1968,10,2,4,9,1.9610
1968,10,2,5,18,3.0554
1968,10,3,1,61,0.5860
1968,10,3,2,64,-1.3661
1968,10,3,3,58,2.8634
1968,10,3,4,64,1.2516
1968,10,3,5,60,0.9182
1968,11,1,1,8,12.6234
1968,11,1,2,8,4.2516
1968,11,1,3,8,7.9973
1968,11,1,4,15,7.1753
1968,11,1,5,9,0.3250
1968,11,2,1,20,8.3774
1968,11,2,2,16,7.2353
1968,11,2,3,23,8.7366
1968,11,2,4,9,7.7488
1968,11,2,5,18,9.3224
1968,11,3,1,61,4.9453
1968,11,3,2,64,7.0761
1968,11,3,3,58,2.5682
1968,11,3,4,64,5.0804
1968,11,3,5,60,5.9782
1968,12,1,1,8,0.3087
1968,12,1,2,8,-2.7211
1968,12,1,3,9,-6.8584
1968,12,1,4,15,-0.4141
1968,12,1,5,9,-4.7009
1968,12,2,1,20,-0.8868
1968,12,2,2,16,-0.2765
1968,12,2,3,23,-2.8165
1968,12,2,4,9,-0.9043
1968,12,2,5,18,-1.0889
1968,12,3,1,61,-1.6187
1968,12,3,2,64,-5.5960
1968,12,3,3,58,-4.2333
1968,12,3,4,64,-4.0992
1968,12,3,5,60,-3.6581
1969,1,1,1,8,-5.9726
1969,1,1,2,8,1.5825
1969,1,1,3,9,-3.1121
1969,1,1,4,15,2.1903
1969,1,1,5,9,1.9183
1969,1,2,1,20,-1.2436
1969,1,2,2,16,-0.0502
1969,1,2,3,23,-2.4444
1969,1,2,4,9,-0.7115
1969,1,2,5,18,-1.1981
1969,1,3,1,61,-1.0230
1969,1,3,2,64,-2.7559
1969,1,3,3,58,0.7078
1969,1,3,4,64,0.2368
1969,1,3,5,60,-1.8562
1969,2,1,1,8,-12.8880
1969,2,1,2,8,-13.6871
1969,2,1,3,9,-7.4965
1969,2,1,4,15,-8.2907
1969,2,1,5,9,-10.6996
1969,2,2,1,20,-8.7670
1969,2,2,2,16,-4.2976
1969,2,2,3,23,-6.5115
1969,2,2,4,9,-5.7011
1969,2,2,5,18,-8.7681
1969,2,3,1,61,-5.4857
1969,2,3,2,64,-2.5469
1969,2,3,3,58,-3.2907
1969,2,3,4,64,-4.2320
1969,2,3,5,60,-5.7715
1969,3,1,1,8,2.5663
1969,3,1,2,8,-1.2709
1969,3,1,3,9,5.3239
1969,3,1,4,15,1.7531
1969,3,1,5,9,-0.5174
1969,3,2,1,20,2.9709
1969,3,2,2,16,0.8314
1969,3,2,3,23,1.6454
1969,3,2,4,9,-0.7701
1969,3,2,5,18,3.6565
1969,3,3,1,61,3.7133
1969,3,3,2,64,5.0684
1969,3,3,3,58,2.2365
1969,3,3,4,64,2.7032
1969,3,3,5,60,5.2247
1969,4,1,1,8,-0.7635
1969,4,1,2,8,2.1172
