year,month,rank_ME,rank_OCA,nstocks,ret_vw
1968,7,2,1,60,-5.4180
1968,7,2,2,59,-3.4595
1968,7,2,3,57,-5.0341
1968,7,2,4,65,-4.5449
1968,7,2,5,51,-3.1607
1968,7,3,1,104,-0.6563
1968,7,3,2,84,1.3236
1968,7,3,3,77,-4.6085
1968,7,3,4,74,-4.2622
1968,7,3,5,82,-4.9851
1968,8,1,1,84,4.6705
1968,8,1,2,104,4.2706
1968,8,1,3,131,4.1099
1968,8,1,4,139,3.9524
1968,8,1,5,172,5.7539
1968,8,2,1,60,3.0529
1968,8,2,2,59,4.2812
1968,8,2,3,56,7.1789
1968,8,2,4,65,4.2156
1968,8,2,5,51,2.3783
1968,8,3,1,104,0.9985
1968,8,3,2,84,2.9334
1968,8,3,3,76,1.9623
1968,8,3,4,74,0.7423
1968,8,3,5,82,1.2549
1968,9,1,1,84,8.9865
1968,9,1,2,104,8.3136
1968,9,1,3,131,6.8962
1968,9,1,4,139,6.6218
1968,9,1,5,172,7.7844
1968,9,2,1,60,7.5284
1968,9,2,2,59,5.4704
1968,9,2,3,55,7.5251
1968,9,2,4,65,8.0474
1968,9,2,5,51,6.7497
1968,9,3,1,104,5.2300
1968,9,3,2,84,4.3966
1968,9,3,3,76,4.4566
1968,9,3,4,74,2.6327
1968,9,3,5,82,3.2524
1968,10,1,1,84,-2.3903
1968,10,1,2,104,0.1465
1968,10,1,3,129,0.3206
1968,10,1,4,139,0.3142
1968,10,1,5,172,1.9887
1968,10,2,1,60,0.3541
1968,10,2,2,59,0.9726
1968,10,2,3,55,0.5892
1968,10,2,4,65,0.5178
1968,10,2,5,51,1.7075
1968,10,3,1,104,2.6418
1968,10,3,2,84,1.1682
1968,10,3,3,76,1.2648
1968,10,3,4,74,-2.2913
1968,10,3,5,81,-0.3092
1968,11,1,1,84,5.5582
1968,11,1,2,104,8.4236
1968,11,1,3,129,6.6713
1968,11,1,4,139,6.9510
1968,11,1,5,171,7.5927
1968,11,2,1,60,7.9595
1968,11,2,2,59,7.2463
1968,11,2,3,56,8.6439
1968,11,2,4,65,7.6323
1968,11,2,5,51,7.2713
1968,11,3,1,104,4.0138
1968,11,3,2,84,4.8397
1968,11,3,3,76,6.2295
1968,11,3,4,74,6.9821
1968,11,3,5,81,5.5009
1968,12,1,1,84,3.2711
1968,12,1,2,104,6.5835
1968,12,1,3,131,0.2172
1968,12,1,4,139,1.5663
1968,12,1,5,171,0.5698
1968,12,2,1,60,-0.1260
1968,12,2,2,59,-0.6030
