year,month,rank_ME,rank_r10n,nstocks,ret_vw
1969,3,1,5,13,-0.5245
1969,3,2,1,35,3.7755
1969,3,2,2,35,3.5009
1969,3,2,3,29,2.4957
1969,3,2,4,32,0.2853
1969,3,2,5,27,0.4378
1969,3,3,1,55,4.4475
1969,3,3,2,83,4.3535
1969,3,3,3,87,3.8765
1969,3,3,4,88,2.4858
1969,3,3,5,97,3.3981
1969,4,1,1,45,-0.6228
1969,4,1,2,21,-3.7574
1969,4,1,3,15,-1.4680
1969,4,1,4,21,-1.4321
1969,4,1,5,19,-2.0820
1969,4,2,1,36,2.1098
1969,4,2,2,30,2.1990
1969,4,2,3,31,0.4664
1969,4,2,4,27,-0.7223
1969,4,2,5,26,-0.7984
1969,4,3,1,58,1.5178
1969,4,3,2,85,1.7253
1969,4,3,3,90,1.5570
1969,4,3,4,89,2.3016
1969,4,3,5,91,2.7827
1969,5,1,1,42,-0.9932
1969,5,1,2,25,4.9391
1969,5,1,3,21,-1.8592
1969,5,1,4,14,-0.1460
1969,5,1,5,19,-1.6284
1969,5,2,1,36,-1.4079
1969,5,2,2,38,-0.2415
1969,5,2,3,26,-1.3560
1969,5,2,4,27,1.6855
1969,5,2,5,26,0.1316
1969,5,3,1,60,-1.8314
1969,5,3,2,75,-0.3034
1969,5,3,3,89,1.8870
1969,5,3,4,96,0.2662
1969,5,3,5,90,1.6795
1969,6,1,1,48,-14.3314
1969,6,1,2,21,-11.8468
1969,6,1,3,22,-9.8127
1969,6,1,4,13,-9.6925
1969,6,1,5,19,-12.0626
1969,6,2,1,31,-11.4122
1969,6,2,2,41,-10.3790
1969,6,2,3,29,-9.5062
1969,6,2,4,23,-7.1982
1969,6,2,5,28,-9.8821
1969,6,3,1,61,-7.3595
1969,6,3,2,77,-7.1457
1969,6,3,3,87,-6.3976
1969,6,3,4,101,-5.7995
1969,6,3,5,88,-2.9653
1969,7,1,1,47,-12.9328
1969,7,1,2,27,-8.2160
1969,7,1,3,14,-5.8782
1969,7,1,4,16,-11.7032
1969,7,1,5,20,-10.0167
1969,7,2,1,37,-8.9736
1969,7,2,2,32,-8.3334
1969,7,2,3,33,-7.7565
1969,7,2,4,26,-6.6886
1969,7,2,5,24,-10.0741
1969,7,3,1,58,-7.1490
1969,7,3,2,78,-5.1078
1969,7,3,3,90,-5.7492
1969,7,3,4,94,-5.9680
1969,7,3,5,91,-6.9973
1969,8,1,1,44,3.0890
1969,8,1,2,22,6.5432
1969,8,1,3,17,0.1533
1969,8,1,4,19,3.1092
1969,8,1,5,21,4.1823
1969,8,2,1,32,5.3794
1969,8,2,2,37,4.4324
1969,8,2,3,33,0.9488
1969,8,2,4,23,4.6802
1969,8,2,5,28,5.7589
1969,8,3,1,63,5.1478
1969,8,3,2,79,2.7082
1969,8,3,3,86,5.0575
1969,8,3,4,95,4.2555
1969,8,3,5,86,5.1331
1969,9,1,1,48,-2.5463
1969,9,1,2,20,-6.0845
1969,9,1,3,22,-3.0829
1969,9,1,4,19,2.2862
1969,9,1,5,15,-3.0666
1969,9,2,1,32,-2.2218
1969,9,2,2,41,-1.7402
1969,9,2,3,32,-0.5941
1969,9,2,4,17,-1.8909
1969,9,2,5,28,-1.1899
1969,9,3,1,60,-1.8844
1969,9,3,2,74,-2.3031
1969,9,3,3,81,-4.0492
1969,9,3,4,100,-2.4960
1969,9,3,5,91,-2.6996
1969,10,1,1,40,11.0658
1969,10,1,2,29,6.5908
1969,10,1,3,15,10.7928
1969,10,1,4,11,11.1332
1969,10,1,5,25,10.8424
1969,10,2,1,33,5.6351
1969,10,2,2,36,7.1612
1969,10,2,3,35,4.8376
1969,10,2,4,25,5.8990
1969,10,2,5,27,6.4779
1969,10,3,1,64,6.6197
1969,10,3,2,72,4.6224
1969,10,3,3,85,5.0180
1969,10,3,4,98,3.9328
1969,10,3,5,84,5.5056
1969,11,1,1,42,-8.4505
1969,11,1,2,32,-5.3611
1969,11,1,3,21,-4.7417
1969,11,1,4,12,-7.0532
1969,11,1,5,17,-5.8490
1969,11,2,1,33,-5.1375
1969,11,2,2,27,-4.4835
1969,11,2,3,34,-4.6670
1969,11,2,4,30,-4.9129
1969,11,2,5,30,-5.7281
1969,11,3,1,64,-4.2808
1969,11,3,2,79,-2.9768
1969,11,3,3,80,-2.8781
1969,11,3,4,96,-2.0576
1969,11,3,5,88,-4.3230
1969,12,1,1,40,-5.6505
1969,12,1,2,27,-5.5955
1969,12,1,3,21,-6.1266
1969,12,1,4,15,-2.7396
1969,12,1,5,21,-11.0162
1969,12,2,1,35,-5.5487
1969,12,2,2,33,-5.2861
1969,12,2,3,35,-7.1239
1969,12,2,4,28,-6.0371
1969,12,2,5,26,-7.3957
1969,12,3,1,65,-3.3796
1969,12,3,2,78,0.1849
1969,12,3,3,82,-2.4441
1969,12,3,4,93,-0.5090
1969,12,3,5,89,-1.6645
1970,1,1,1,50,-0.2251
1970,1,1,2,24,-1.9900
1970,1,1,3,20,1.0042
1970,1,1,4,12,-1.4030
1970,1,1,5,18,0.5195
1970,1,2,1,41,-6.9436
1970,1,2,2,41,-1.7341
1970,1,2,3,27,-2.7680
1970,1,2,4,24,-3.1159
1970,1,2,5,22,-2.2693
1970,1,3,1,48,-7.8182
1970,1,3,2,72,-6.5694
1970,1,3,3,89,-7.4861
1970,1,3,4,99,-6.8835
1970,1,3,5,97,-9.4086
1970,2,1,1,46,3.2571
1970,2,1,2,27,3.8282
1970,2,1,3,17,5.1617
1970,2,1,4,11,-0.3847
1970,2,1,5,18,1.4032
1970,2,2,1,38,3.5594
1970,2,2,2,38,2.9138
1970,2,2,3,43,3.3625
1970,2,2,4,25,5.5027
1970,2,2,5,18,7.7287
1970,2,3,1,56,8.4912
1970,2,3,2,73,4.0423
1970,2,3,3,77,6.3524
1970,2,3,4,99,4.4236
1970,2,3,5,100,8.2280
1970,3,1,1,43,-1.8969
1970,3,1,2,25,-0.9607
1970,3,1,3,21,1.2272
1970,3,1,4,17,-0.4982
1970,3,1,5,16,2.5890
1970,3,2,1,42,-2.4394
1970,3,2,2,34,-1.1331
1970,3,2,3,34,3.6697
1970,3,2,4,28,4.8960
1970,3,2,5,21,1.4861
1970,3,3,1,53,-0.6578
1970,3,3,2,80,0.3583
1970,3,3,3,84,0.6898
1970,3,3,4,91,-0.5179
1970,3,3,5,100,0.4412
1970,4,1,1,46,-16.3003
1970,4,1,2,20,-9.3192
1970,4,1,3,12,-12.1984
1970,4,1,4,23,-10.9069
1970,4,1,5,21,-16.7675
1970,4,2,1,37,-12.3908
1970,4,2,2,38,-8.9902
1970,4,2,3,32,-12.3239
1970,4,2,4,26,-12.5616
1970,4,2,5,26,-13.8112
1970,4,3,1,57,-10.1264
1970,4,3,2,78,-7.8247
1970,4,3,3,92,-8.5849
1970,4,3,4,91,-9.7471
1970,4,3,5,89,-9.6119
1970,5,1,1,44,-10.3535
1970,5,1,2,23,-12.0123
1970,5,1,3,15,-10.8159
1970,5,1,4,17,-9.0064
1970,5,1,5,20,-12.3090
1970,5,2,1,38,-10.0375
1970,5,2,2,38,-8.6709
1970,5,2,3,36,-6.6620
1970,5,2,4,25,-6.4621
1970,5,2,5,26,-11.1584
1970,5,3,1,58,-8.2288
1970,5,3,2,77,-7.1092
1970,5,3,3,88,-5.3852
1970,5,3,4,94,-3.2306
1970,5,3,5,93,-5.6194
1970,6,1,1,48,-9.9796
1970,6,1,2,17,-9.9152
1970,6,1,3,19,-7.3857
1970,6,1,4,16,-4.7838
1970,6,1,5,22,-12.0438
