year,month,rank_ME,rank_ETR,nstocks,ret_vw
1968,8,1,1,77,5.2257
1968,8,1,2,32,5.0960
1968,8,1,3,28,5.2677
1968,8,1,4,41,1.7371
1968,8,1,5,80,5.1295
1968,8,2,1,46,5.2410
1968,8,2,2,30,2.4583
1968,8,2,3,41,4.6979
1968,8,2,4,47,2.5396
1968,8,2,5,45,4.9287
1968,8,3,1,82,1.5860
1968,8,3,2,113,0.0447
1968,8,3,3,106,1.9560
1968,8,3,4,87,2.2631
1968,8,3,5,79,1.6663
1968,9,1,1,77,7.3630
1968,9,1,2,32,5.4257
1968,9,1,3,28,4.5749
1968,9,1,4,41,4.9852
1968,9,1,5,80,7.7787
1968,9,2,1,46,5.7998
1968,9,2,2,30,6.1053
1968,9,2,3,40,6.6993
1968,9,2,4,47,5.5883
1968,9,2,5,45,6.6302
1968,9,3,1,82,5.6851
1968,9,3,2,113,2.0276
1968,9,3,3,106,3.3886
1968,9,3,4,87,4.0599
1968,9,3,5,79,7.7406
1968,10,1,1,75,-0.6893
1968,10,1,2,32,3.2501
1968,10,1,3,28,2.7168
1968,10,1,4,41,0.7589
1968,10,1,5,80,2.2423
1968,10,2,1,46,2.3668
1968,10,2,2,30,2.8811
1968,10,2,3,40,2.9054
1968,10,2,4,47,2.7694
1968,10,2,5,45,-1.4286
1968,10,3,1,81,0.2941
1968,10,3,2,113,-1.7353
1968,10,3,3,106,0.1968
1968,10,3,4,87,2.9606
1968,10,3,5,79,3.1062
1968,11,1,1,75,5.3188
1968,11,1,2,32,6.5861
1968,11,1,3,28,5.0357
1968,11,1,4,41,5.4506
1968,11,1,5,80,6.2459
1968,11,2,1,46,8.4819
1968,11,2,2,30,6.2113
1968,11,2,3,41,6.7128
1968,11,2,4,47,8.3266
1968,11,2,5,45,7.3322
1968,11,3,1,81,7.7132
1968,11,3,2,113,7.1493
1968,11,3,3,106,5.7825
1968,11,3,4,87,2.8465
1968,11,3,5,79,4.5485
1968,12,1,1,77,-0.6445
1968,12,1,2,32,0.5642
1968,12,1,3,28,2.4261
1968,12,1,4,41,-0.1344
1968,12,1,5,80,0.2802
1968,12,2,1,46,-1.8888
1968,12,2,2,30,-0.7953
1968,12,2,3,41,-0.6307
1968,12,2,4,47,-0.5033
1968,12,2,5,45,-0.5816
1968,12,3,1,81,-2.1916
1968,12,3,2,113,-4.1960
1968,12,3,3,106,-5.3631
1968,12,3,4,87,-3.8136
1968,12,3,5,79,-2.6618
1969,1,1,1,77,-1.8853
1969,1,1,2,32,-0.4840
1969,1,1,3,28,1.2807
1969,1,1,4,41,-2.0277
1969,1,1,5,80,-1.7090
1969,1,2,1,46,-0.2295
1969,1,2,2,30,-0.7720
1969,1,2,3,41,-2.0183
1969,1,2,4,47,-0.1956
1969,1,2,5,45,-3.0989
1969,1,3,1,81,-0.7220
1969,1,3,2,113,-2.4523
1969,1,3,3,105,0.3745
1969,1,3,4,87,-0.5738
1969,1,3,5,79,-0.6078
1969,2,1,1,77,-10.0568
1969,2,1,2,32,-8.2240
1969,2,1,3,28,-6.8887
1969,2,1,4,41,-5.2431
1969,2,1,5,79,-8.7889
1969,2,2,1,46,-6.6231
1969,2,2,2,30,-6.6664
1969,2,2,3,41,-6.0103
1969,2,2,4,47,-8.4136
1969,2,2,5,45,-7.5376
1969,2,3,1,81,-7.3589
1969,2,3,2,113,-3.2018
1969,2,3,3,105,-4.0008
1969,2,3,4,87,-3.7084
1969,2,3,5,79,-6.4347
1969,3,1,1,77,1.8134
1969,3,1,2,32,1.9913
1969,3,1,3,28,1.4703
1969,3,1,4,41,0.5388
1969,3,1,5,79,0.7889
1969,3,2,1,46,2.5883
1969,3,2,2,30,1.7897
1969,3,2,3,41,3.6247
1969,3,2,4,47,2.0483
1969,3,2,5,45,3.8508
1969,3,3,1,81,2.0432
1969,3,3,2,113,3.8966
1969,3,3,3,105,1.5076
1969,3,3,4,87,5.1331
1969,3,3,5,79,3.6891
1969,4,1,1,77,-0.9298
1969,4,1,2,32,0.1825
1969,4,1,3,28,6.1016
1969,4,1,4,41,-1.7252
1969,4,1,5,79,-3.5445
1969,4,2,1,46,2.8990
1969,4,2,2,30,0.3931
1969,4,2,3,41,3.4857
1969,4,2,4,47,1.2065
1969,4,2,5,44,-0.2329
1969,4,3,1,81,1.2480
1969,4,3,2,113,3.0232
1969,4,3,3,105,4.8741
1969,4,3,4,86,-0.3389
1969,4,3,5,79,0.7374
1969,5,1,1,77,-1.1731
1969,5,1,2,32,0.3589
1969,5,1,3,28,0.0068
1969,5,1,4,41,-1.3236
1969,5,1,5,80,2.0500
1969,5,2,1,46,-0.5528
1969,5,2,2,30,0.8606
1969,5,2,3,41,3.8382
1969,5,2,4,47,-0.0337
1969,5,2,5,44,-0.6843
1969,5,3,1,81,0.2967
1969,5,3,2,113,0.1146
1969,5,3,3,105,-0.3275
1969,5,3,4,86,1.4126
1969,5,3,5,78,1.0448
1969,6,1,1,77,-12.8109
1969,6,1,2,32,-10.9849
1969,6,1,3,28,-9.2595
1969,6,1,4,41,-13.4400
1969,6,1,5,80,-12.9407
1969,6,2,1,46,-10.0183
