year,month,rank_ME,rank_OL,nstocks,ret_vw
1969,12,1,4,160,-5.7343
1969,12,1,5,252,-9.5586
1969,12,2,1,58,-6.8738
1969,12,2,2,52,-5.1160
1969,12,2,3,53,-4.3581
1969,12,2,4,72,-3.2060
1969,12,2,5,83,-4.4532
1969,12,3,1,114,-1.3941
1969,12,3,2,105,-2.0546
1969,12,3,3,94,0.7987
1969,12,3,4,69,-2.5578
1969,12,3,5,63,-2.9920
1970,1,1,1,89,-3.4108
1970,1,1,2,100,-3.5099
1970,1,1,3,121,-3.1578
1970,1,1,4,160,-3.6605
1970,1,1,5,252,-2.8218
1970,1,2,1,58,-7.9187
1970,1,2,2,53,-7.0153
1970,1,2,3,53,-6.1549
1970,1,2,4,72,-4.2665
1970,1,2,5,81,-5.7787
1970,1,3,1,114,-8.1327
1970,1,3,2,105,-9.7499
1970,1,3,3,94,-7.5999
1970,1,3,4,68,-7.7047
1970,1,3,5,63,-4.9192
1970,2,1,1,89,4.4240
1970,2,1,2,99,2.1647
1970,2,1,3,121,4.2559
1970,2,1,4,160,2.4509
1970,2,1,5,252,2.4983
1970,2,2,1,58,9.1721
1970,2,2,2,53,2.8276
1970,2,2,3,53,3.5714
1970,2,2,4,71,2.0539
1970,2,2,5,81,3.7511
1970,2,3,1,114,4.7456
1970,2,3,2,105,6.0231
1970,2,3,3,94,5.7590
1970,2,3,4,68,5.7486
1970,2,3,5,63,6.2219
1970,3,1,1,89,-3.0407
1970,3,1,2,99,-3.6068
1970,3,1,3,121,-4.4605
1970,3,1,4,159,-4.9284
1970,3,1,5,252,-2.7671
1970,3,2,1,58,-3.3989
1970,3,2,2,53,0.0689
1970,3,2,3,54,-3.4662
1970,3,2,4,71,-2.9214
1970,3,2,5,83,-2.5077
1970,3,3,1,114,0.0520
1970,3,3,2,105,-1.4986
1970,3,3,3,94,-1.5677
1970,3,3,4,69,2.7294
1970,3,3,5,63,-2.1869
1970,4,1,1,88,-21.1872
1970,4,1,2,99,-17.9109
1970,4,1,3,121,-15.5764
1970,4,1,4,159,-18.1408
1970,4,1,5,251,-18.2025
1970,4,2,1,58,-18.0259
1970,4,2,2,52,-15.7620
1970,4,2,3,54,-14.5434
1970,4,2,4,72,-15.0002
1970,4,2,5,83,-16.7001
1970,4,3,1,114,-9.1276
1970,4,3,2,105,-9.0258
1970,4,3,3,94,-10.7411
1970,4,3,4,69,-8.6401
1970,4,3,5,63,-11.2480
1970,5,1,1,88,-7.6817
1970,5,1,2,99,-9.1736
1970,5,1,3,121,-8.7705
1970,5,1,4,158,-9.6639
1970,5,1,5,250,-10.1931
1970,5,2,1,58,-11.6617
1970,5,2,2,52,-11.8227
1970,5,2,3,54,-11.4078
1970,5,2,4,72,-11.3875
1970,5,2,5,83,-8.2700
1970,5,3,1,114,-3.5598
1970,5,3,2,105,-6.5155
1970,5,3,3,94,-7.8300
1970,5,3,4,69,-7.5151
1970,5,3,5,63,-8.0822
1970,6,1,1,86,-7.0373
1970,6,1,2,98,-10.1792
1970,6,1,3,121,-11.1156
1970,6,1,4,158,-7.9108
1970,6,1,5,249,-8.2530
1970,6,2,1,58,-8.9626
1970,6,2,2,52,-6.3618
1970,6,2,3,53,-7.4706
1970,6,2,4,72,-8.6537
1970,6,2,5,82,-5.9009
1970,6,3,1,114,-5.7728
1970,6,3,2,105,-5.5587
1970,6,3,3,94,-3.6810
1970,6,3,4,69,-2.8044
1970,6,3,5,63,-3.6895
1970,7,1,1,100,6.9804
1970,7,1,2,109,2.6911
1970,7,1,3,146,3.5086
1970,7,1,4,177,4.5992
1970,7,1,5,280,5.9905
1970,7,2,1,65,7.8077
1970,7,2,2,60,7.6658
1970,7,2,3,62,6.7052
1970,7,2,4,71,6.8626
1970,7,2,5,90,8.3843
1970,7,3,1,121,7.4095
1970,7,3,2,109,5.7498
1970,7,3,3,96,7.3593
1970,7,3,4,63,7.5278
1970,7,3,5,63,8.5605
1970,8,1,1,100,6.1027
1970,8,1,2,108,4.4764
1970,8,1,3,146,8.6217
1970,8,1,4,176,6.7514
1970,8,1,5,279,5.3168
1970,8,2,1,65,9.7286
1970,8,2,2,60,3.5786
1970,8,2,3,61,6.2747
1970,8,2,4,71,8.2265
1970,8,2,5,90,6.2582
1970,8,3,1,121,5.0462
1970,8,3,2,109,5.2182
1970,8,3,3,96,3.3657
1970,8,3,4,62,5.0057
1970,8,3,5,63,5.4996
1970,9,1,1,100,16.6198
1970,9,1,2,108,17.8062
1970,9,1,3,146,14.0396
1970,9,1,4,176,14.6297
1970,9,1,5,277,14.7805
1970,9,2,1,65,15.3671
1970,9,2,2,60,11.5028
1970,9,2,3,60,14.1349
1970,9,2,4,71,7.8923
1970,9,2,5,90,13.0383
1970,9,3,1,121,3.7325
1970,9,3,2,109,3.6017
1970,9,3,3,96,6.8400
1970,9,3,4,61,3.5521
1970,9,3,5,63,5.2360
1970,10,1,1,100,-6.9777
1970,10,1,2,108,-9.8822
1970,10,1,3,144,-7.2978
1970,10,1,4,176,-8.7541
1970,10,1,5,278,-7.2187
1970,10,2,1,64,-5.3424
1970,10,2,2,60,-8.9136
1970,10,2,3,60,-5.4656
1970,10,2,4,71,-5.1795
1970,10,2,5,90,-3.5582
1970,10,3,1,121,-0.3963
1970,10,3,2,109,-2.0586
1970,10,3,3,96,-2.1557
1970,10,3,4,61,-0.7346
1970,10,3,5,63,-0.7743
1970,11,1,1,99,-1.9652
1970,11,1,2,108,-2.1230
1970,11,1,3,143,-2.9971
1970,11,1,4,175,0.0188
1970,11,1,5,278,-1.6531
1970,11,2,1,63,0.8550
1970,11,2,2,60,1.4933
1970,11,2,3,60,0.5758
1970,11,2,4,71,3.2518
1970,11,2,5,90,3.8090
1970,11,3,1,121,4.6785
1970,11,3,2,109,3.5772
1970,11,3,3,96,5.5972
1970,11,3,4,61,6.3275
1970,11,3,5,63,6.1345
1970,12,1,1,98,4.5541
1970,12,1,2,108,9.2514
1970,12,1,3,143,10.2588
1970,12,1,4,174,10.5671
1970,12,1,5,278,11.3688
1970,12,2,1,63,4.9815
1970,12,2,2,60,7.8759
1970,12,2,3,60,9.5874
1970,12,2,4,71,11.2932
1970,12,2,5,90,8.8924
1970,12,3,1,120,4.7597
1970,12,3,2,109,8.1420
1970,12,3,3,96,5.3596
1970,12,3,4,61,5.7511
1970,12,3,5,63,7.3437
1971,1,1,1,96,13.6258
1971,1,1,2,108,15.5736
1971,1,1,3,144,16.2861
1971,1,1,4,174,13.5409
1971,1,1,5,277,16.2732
1971,1,2,1,62,14.0441
1971,1,2,2,60,11.8547
1971,1,2,3,59,10.2412
1971,1,2,4,71,10.1171
1971,1,2,5,90,8.7480
1971,1,3,1,120,3.9549
1971,1,3,2,109,4.0569
