year,month,rank_ME,rank_HS,nstocks,ret_vw
1968,12,1,2,95,0.1721
1968,12,1,3,93,3.0409
1968,12,1,4,121,1.9086
1968,12,1,5,84,1.1600
1968,12,2,1,43,-0.2319
1968,12,2,2,44,-1.7490
1968,12,2,3,39,-1.7872
1968,12,2,4,65,-0.3057
1968,12,2,5,43,-1.7263
1968,12,3,1,92,-3.0493
1968,12,3,2,68,-3.0683
1968,12,3,3,81,-2.2523
1968,12,3,4,69,-4.5970
1968,12,3,5,79,-5.9120
1969,1,1,1,60,-1.5672
1969,1,1,2,95,-0.4414
1969,1,1,3,93,-0.3744
1969,1,1,4,121,-1.9553
1969,1,1,5,84,-2.9860
1969,1,2,1,43,-2.1729
1969,1,2,2,44,-1.7952
1969,1,2,3,39,-1.1719
1969,1,2,4,65,0.3623
1969,1,2,5,43,-1.4328
1969,1,3,1,92,-0.8863
1969,1,3,2,68,0.5998
1969,1,3,3,81,-0.7687
1969,1,3,4,68,-3.0874
1969,1,3,5,79,-0.4341
1969,2,1,1,59,-8.9600
1969,2,1,2,95,-9.7669
1969,2,1,3,93,-9.8461
1969,2,1,4,121,-11.2383
1969,2,1,5,83,-10.0699
1969,2,2,1,43,-7.7186
1969,2,2,2,44,-8.4019
1969,2,2,3,39,-8.0069
1969,2,2,4,65,-8.3434
1969,2,2,5,43,-8.0739
1969,2,3,1,92,-5.5238
1969,2,3,2,68,-4.5111
1969,2,3,3,81,-5.8363
1969,2,3,4,68,-2.8996
1969,2,3,5,79,-4.2453
1969,3,1,1,59,2.1563
1969,3,1,2,95,0.7893
1969,3,1,3,93,3.3032
1969,3,1,4,121,2.2108
1969,3,1,5,83,2.6611
1969,3,2,1,43,2.2402
1969,3,2,2,44,1.4754
1969,3,2,3,39,3.2810
1969,3,2,4,64,4.2547
1969,3,2,5,43,3.4091
1969,3,3,1,92,4.5103
1969,3,3,2,68,5.1314
1969,3,3,3,81,3.8095
1969,3,3,4,68,5.1391
1969,3,3,5,79,1.4985
1969,4,1,1,59,-1.2349
1969,4,1,2,95,-1.4364
1969,4,1,3,93,-0.4829
1969,4,1,4,120,0.5273
1969,4,1,5,83,-1.5407
1969,4,2,1,43,0.4700
1969,4,2,2,43,-0.3240
1969,4,2,3,39,2.1095
1969,4,2,4,64,3.4310
1969,4,2,5,43,2.2697
1969,4,3,1,92,0.6679
1969,4,3,2,68,2.4077
1969,4,3,3,80,1.9618
1969,4,3,4,68,2.5318
1969,4,3,5,79,4.3202
1969,5,1,1,59,-0.7403
1969,5,1,2,95,-0.6127
1969,5,1,3,93,4.4025
1969,5,1,4,120,1.3994
1969,5,1,5,84,0.8635
1969,5,2,1,43,2.7728
1969,5,2,2,43,0.4001
1969,5,2,3,39,1.2253
1969,5,2,4,65,0.7051
1969,5,2,5,43,0.5227
1969,5,3,1,92,2.5958
1969,5,3,2,67,-0.0249
1969,5,3,3,80,-2.0399
1969,5,3,4,68,-0.6790
1969,5,3,5,79,0.6286
1969,6,1,1,59,-13.1429
1969,6,1,2,95,-12.7170
1969,6,1,3,93,-15.9713
1969,6,1,4,120,-13.2865
1969,6,1,5,84,-14.2990
