year,month,rank_ME,rank_ALMq_6,nstocks,ret_vw
1977,5,3,2,192,-1.5930
1977,5,3,3,157,-0.4888
1977,5,3,4,89,-1.9841
1977,5,3,5,38,-1.8134
1977,6,1,1,80,8.9919
1977,6,1,2,215,8.0617
1977,6,1,3,289,7.2272
1977,6,1,4,408,7.4493
1977,6,1,5,583,7.8210
1977,6,2,1,111,7.2289
1977,6,2,2,147,9.5907
1977,6,2,3,171,8.3579
1977,6,2,4,180,5.5417
1977,6,2,5,132,7.9456
1977,6,3,1,230,6.9038
1977,6,3,2,191,3.5822
1977,6,3,3,159,3.7635
1977,6,3,4,96,4.3765
1977,6,3,5,42,5.4151
1977,7,1,1,67,0.6202
1977,7,1,2,190,-0.6141
1977,7,1,3,245,-0.6147
1977,7,1,4,374,0.9576
1977,7,1,5,556,-0.7801
1977,7,2,1,102,-2.2616
1977,7,2,2,139,-1.6516
1977,7,2,3,157,-0.7561
1977,7,2,4,170,-0.9425
1977,7,2,5,127,-1.2554
1977,7,3,1,225,-0.8818
1977,7,3,2,184,-2.7164
1977,7,3,3,149,-1.4702
1977,7,3,4,87,-1.3394
1977,7,3,5,37,-4.3383
1977,8,1,1,76,0.7410
1977,8,1,2,207,-0.7639
1977,8,1,3,294,-1.6307
1977,8,1,4,424,-0.9557
1977,8,1,5,629,-2.2260
1977,8,2,1,111,0.8712
1977,8,2,2,164,-1.0935
1977,8,2,3,192,-0.6385
1977,8,2,4,206,-2.7476
1977,8,2,5,153,-1.1067
1977,8,3,1,273,0.6842
1977,8,3,2,263,-2.3764
1977,8,3,3,207,-4.5220
1977,8,3,4,129,-4.1421
1977,8,3,5,58,-3.8658
1977,9,1,1,78,3.7305
1977,9,1,2,204,1.7872
1977,9,1,3,297,2.6631
1977,9,1,4,439,-0.2656
1977,9,1,5,628,1.1561
1977,9,2,1,115,0.6488
1977,9,2,2,164,1.7654
1977,9,2,3,196,1.2361
1977,9,2,4,206,1.8650
1977,9,2,5,156,0.5067
1977,9,3,1,275,-0.8929
1977,9,3,2,266,0.2352
1977,9,3,3,207,0.0157
1977,9,3,4,136,-0.2445
1977,9,3,5,59,-0.8362
1977,10,1,1,77,-4.5175
1977,10,1,2,176,-3.2267
1977,10,1,3,268,-3.4118
1977,10,1,4,395,-2.9331
1977,10,1,5,606,-2.0106
1977,10,2,1,114,-3.4199
1977,10,2,2,148,-2.2993
1977,10,2,3,178,-4.2683
1977,10,2,4,191,-2.0561
1977,10,2,5,151,-2.5293
1977,10,3,1,266,-4.5560
1977,10,3,2,243,-3.4106
1977,10,3,3,184,-3.0612
1977,10,3,4,129,-3.5149
1977,10,3,5,54,-3.7580
1977,11,1,1,101,10.2713
1977,11,1,2,194,8.4906
1977,11,1,3,298,9.0854
1977,11,1,4,416,9.9541
1977,11,1,5,619,9.5492
1977,11,2,1,127,8.6254
1977,11,2,2,163,8.8859
1977,11,2,3,196,8.7341
1977,11,2,4,205,9.2542
1977,11,2,5,157,9.8408
1977,11,3,1,280,4.1652
1977,11,3,2,266,3.4406
1977,11,3,3,210,4.0373
1977,11,3,4,139,5.0142
1977,11,3,5,59,6.8670
1977,12,1,1,97,5.5088
1977,12,1,2,197,2.9184
1977,12,1,3,303,2.2281
1977,12,1,4,421,1.0422
1977,12,1,5,624,1.3131
1977,12,2,1,126,2.4433
1977,12,2,2,159,1.7993
1977,12,2,3,193,1.6273
1977,12,2,4,204,1.8839
1977,12,2,5,162,-0.3564
1977,12,3,1,282,0.6757
1977,12,3,2,266,0.4244
1977,12,3,3,213,0.3847
1977,12,3,4,141,0.7016
1977,12,3,5,57,-0.1404
1978,1,1,1,88,-2.1138
1978,1,1,2,150,-0.9262
1978,1,1,3,261,-0.7154
1978,1,1,4,368,-1.9209
1978,1,1,5,598,-0.8240
1978,1,2,1,125,-5.3496
1978,1,2,2,134,-4.8652
1978,1,2,3,176,-3.8172
1978,1,2,4,196,-3.4307
1978,1,2,5,151,-3.1626
1978,1,3,1,277,-6.1050
1978,1,3,2,240,-6.1367
1978,1,3,3,200,-6.3690
1978,1,3,4,130,-4.6370
1978,1,3,5,51,-3.8396
1978,2,1,1,101,0.7019
1978,2,1,2,157,1.6325
1978,2,1,3,286,3.6252
1978,2,1,4,391,2.7910
1978,2,1,5,615,4.0694
1978,2,2,1,137,1.3068
1978,2,2,2,148,1.2296
1978,2,2,3,191,2.5922
1978,2,2,4,211,2.0717
1978,2,2,5,154,1.8457
1978,2,3,1,290,-3.3115
1978,2,3,2,261,-1.0768
1978,2,3,3,220,-0.1493
1978,2,3,4,144,-1.9106
1978,2,3,5,52,0.1003
1978,3,1,1,101,6.3045
1978,3,1,2,155,5.6548
1978,3,1,3,291,7.4959
1978,3,1,4,392,9.4384
1978,3,1,5,619,7.8428
1978,3,2,1,140,5.1604
1978,3,2,2,149,4.1708
1978,3,2,3,192,7.5376
1978,3,2,4,215,6.4017
1978,3,2,5,156,7.3281
1978,3,3,1,292,1.5023
1978,3,3,2,261,2.8799
1978,3,3,3,225,4.1294
1978,3,3,4,147,5.3117
1978,3,3,5,52,5.1239
1978,4,1,1,100,6.6472
1978,4,1,2,137,5.7877
1978,4,1,3,248,8.3799
1978,4,1,4,358,8.3357
1978,4,1,5,589,8.1048
1978,4,2,1,127,8.5756
1978,4,2,2,132,6.6577
1978,4,2,3,169,8.3218
1978,4,2,4,195,8.2410
1978,4,2,5,135,6.5077
1978,4,3,1,269,10.8705
1978,4,3,2,228,5.7955
1978,4,3,3,190,7.6678
1978,4,3,4,132,7.6542
1978,4,3,5,50,8.5513
1978,5,1,1,115,7.2408
1978,5,1,2,179,5.8902
1978,5,1,3,278,7.4397
1978,5,1,4,406,8.4543
1978,5,1,5,612,8.0250
1978,5,2,1,131,7.6465
1978,5,2,2,149,3.0739
1978,5,2,3,190,4.6451
1978,5,2,4,206,5.8514
1978,5,2,5,149,8.5933
1978,5,3,1,282,2.1660
1978,5,3,2,249,1.1312
1978,5,3,3,210,0.6577
1978,5,3,4,146,4.3293
1978,5,3,5,54,5.2577
1978,6,1,1,114,1.7842
1978,6,1,2,181,0.4920
1978,6,1,3,283,1.5849
1978,6,1,4,409,-0.0798
1978,6,1,5,616,-0.4533
1978,6,2,1,137,0.1157
1978,6,2,2,145,1.3222
1978,6,2,3,194,0.8568
1978,6,2,4,200,-1.6528
1978,6,2,5,152,0.7172
1978,6,3,1,281,-0.5623
1978,6,3,2,247,-1.5291
1978,6,3,3,205,-2.5818
1978,6,3,4,147,-2.0329
1978,6,3,5,59,-2.1638
1978,7,1,1,105,8.7238
1978,7,1,2,156,5.5765
1978,7,1,3,258,6.2066
1978,7,1,4,373,6.0096
1978,7,1,5,584,4.6099
1978,7,2,1,124,6.7127
1978,7,2,2,135,5.9306
1978,7,2,3,180,7.0566
1978,7,2,4,191,5.8947
1978,7,2,5,147,5.7084
1978,7,3,1,264,6.8972
1978,7,3,2,227,4.5851
1978,7,3,3,191,5.6277
1978,7,3,4,139,7.0501
1978,7,3,5,61,7.0242
1978,8,1,1,119,8.0928
1978,8,1,2,168,9.0154
1978,8,1,3,298,10.8168
1978,8,1,4,400,8.9027
1978,8,1,5,601,9.5396
1978,8,2,1,142,7.5427
1978,8,2,2,150,7.7667
1978,8,2,3,198,7.3434
1978,8,2,4,209,8.6096
1978,8,2,5,164,11.1455
1978,8,3,1,287,3.3048
1978,8,3,2,251,3.0138
1978,8,3,3,218,4.6092
1978,8,3,4,159,3.2937
1978,8,3,5,77,3.7827
1978,9,1,1,118,0.7026
1978,9,1,2,166,-0.0607
1978,9,1,3,287,-1.5713
1978,9,1,4,411,-1.2822
1978,9,1,5,598,-0.1398
1978,9,2,1,142,-1.9556
1978,9,2,2,155,-2.4088
1978,9,2,3,204,-1.8819
1978,9,2,4,211,-1.4390
1978,9,2,5,165,-0.9822
1978,9,3,1,286,-2.5397
1978,9,3,2,251,-0.2036
1978,9,3,3,223,1.2755
1978,9,3,4,166,0.2566
1978,9,3,5,78,-1.6182
1978,10,1,1,107,-28.2959
1978,10,1,2,150,-21.8486
1978,10,1,3,253,-23.2069
1978,10,1,4,377,-22.7852
1978,10,1,5,576,-23.1714
1978,10,2,1,141,-22.5206
1978,10,2,2,146,-18.0345
1978,10,2,3,185,-19.6192
1978,10,2,4,185,-19.3684
1978,10,2,5,156,-21.6686
1978,10,3,1,268,-9.1924
1978,10,3,2,235,-8.9888
1978,10,3,3,192,-10.0717
1978,10,3,4,151,-12.5909
1978,10,3,5,71,-14.6015
1978,11,1,1,121,11.0238
1978,11,1,2,175,5.9831
1978,11,1,3,286,6.2874
1978,11,1,4,388,7.0480
1978,11,1,5,585,7.3702
