year,month,rank_ME,rank_OLq_1,nstocks,ret_vw
1974,4,1,2,32,-5.6397
1974,4,1,3,30,-4.4749
1974,4,1,4,23,-4.5392
1974,4,1,5,59,-2.7604
1974,4,2,1,26,-6.6386
1974,4,2,2,6,-8.8758
1974,4,2,3,9,-7.5482
1974,4,2,4,13,-7.9519
1974,4,2,5,10,-6.5826
1974,4,3,1,36,-6.8023
1974,4,3,2,12,-2.2668
1974,4,3,3,8,-4.9456
1974,4,3,4,10,-4.4910
1974,4,3,5,9,-5.0734
1974,5,1,1,44,-9.1896
1974,5,1,2,76,-6.4929
1974,5,1,3,84,-7.6498
1974,5,1,4,113,-6.6116
1974,5,1,5,206,-5.7893
1974,5,2,1,65,-9.9150
1974,5,2,2,48,-8.6411
1974,5,2,3,49,-9.3160
1974,5,2,4,55,-8.1408
1974,5,2,5,70,-5.8308
1974,5,3,1,129,-6.0955
1974,5,3,2,88,-1.4665
1974,5,3,3,79,0.6045
1974,5,3,4,59,-2.4774
1974,5,3,5,47,-5.7654
1974,6,1,1,44,-2.4425
1974,6,1,2,81,-1.0381
1974,6,1,3,97,-4.2043
1974,6,1,4,130,-1.9525
1974,6,1,5,184,-2.4031
1974,6,2,1,70,-2.8145
1974,6,2,2,54,-4.9175
1974,6,2,3,48,-2.3351
1974,6,2,4,53,-0.8031
1974,6,2,5,69,-1.5709
1974,6,3,1,126,-1.7850
1974,6,3,2,90,-1.1596
1974,6,3,3,77,-2.8352
1974,6,3,4,58,-1.1412
1974,6,3,5,56,-1.4781
1974,7,1,1,44,-0.2490
1974,7,1,2,81,-4.9761
1974,7,1,3,96,-4.4784
1974,7,1,4,131,-1.9234
1974,7,1,5,181,-5.1038
1974,7,2,1,73,-4.2019
1974,7,2,2,56,-4.6220
1974,7,2,3,48,-3.8765
1974,7,2,4,53,-6.3214
1974,7,2,5,68,-2.8002
1974,7,3,1,122,-2.1291
1974,7,3,2,88,-10.6712
1974,7,3,3,77,-12.0598
1974,7,3,4,60,-14.3379
1974,7,3,5,55,-9.2221
1974,8,1,1,38,-7.2108
1974,8,1,2,25,-7.0367
1974,8,1,3,31,-8.8347
1974,8,1,4,23,-12.1031
1974,8,1,5,22,-11.7594
1974,8,2,1,33,-6.2395
1974,8,2,2,14,-9.0899
1974,8,2,3,10,-3.1495
1974,8,2,4,8,-9.4061
1974,8,2,5,8,-11.5405
1974,8,3,1,31,-10.3474
1974,8,3,2,7,-12.8486
1974,8,3,3,8,-19.1517
1974,8,3,4,9,-18.0549
1974,8,3,5,10,-7.0868
1974,9,1,1,23,-12.2159
1974,9,1,2,24,-10.1252
1974,9,1,3,27,-3.0229
1974,9,1,4,31,-7.4012
1974,9,1,5,23,-6.9540
1974,9,2,1,27,-8.9125
1974,9,2,2,13,-14.5086
1974,9,2,3,8,-10.1317
1974,9,2,4,9,-23.3225
1974,9,2,5,9,-6.0602
1974,9,3,1,34,-11.5967
1974,9,3,2,3,-16.4942
1974,9,3,3,5,-15.8209
1974,9,3,4,5,-5.3174
1974,9,3,5,5,-11.2750
1974,10,1,1,24,9.8515
1974,10,1,2,25,14.7587
1974,10,1,3,19,-0.6444
1974,10,1,4,27,1.2741
1974,10,1,5,30,8.4517
1974,10,2,1,26,5.2889
1974,10,2,2,10,14.6102
1974,10,2,3,7,-4.9606
1974,10,2,4,9,5.4962
1974,10,2,5,6,7.2547
