year,month,rank_ME,rank_RER,nstocks,ret_vw
1972,6,3,4,52,-0.8270
1972,6,3,5,62,-1.9022
1972,7,1,1,142,-4.5306
1972,7,1,2,105,-3.8397
1972,7,1,3,92,-3.1851
1972,7,1,4,107,-4.6629
1972,7,1,5,138,-4.1804
1972,7,2,1,56,-5.4973
1972,7,2,2,39,-3.9270
1972,7,2,3,45,-2.0822
1972,7,2,4,60,-3.8428
1972,7,2,5,48,-2.3274
1972,7,3,1,65,0.8823
1972,7,3,2,67,0.6339
1972,7,3,3,66,-0.5667
1972,7,3,4,58,2.7075
1972,7,3,5,73,-0.4280
1972,8,1,1,142,-0.5939
1972,8,1,2,105,3.4887
1972,8,1,3,91,-1.0919
1972,8,1,4,107,-0.4168
1972,8,1,5,138,-0.3679
1972,8,2,1,56,-0.0305
1972,8,2,2,39,2.1039
1972,8,2,3,45,5.0399
1972,8,2,4,60,0.6394
1972,8,2,5,48,0.7387
1972,8,3,1,65,3.3857
1972,8,3,2,67,-1.3396
1972,8,3,3,66,1.9035
1972,8,3,4,58,0.4667
1972,8,3,5,73,1.0664
1972,9,1,1,140,-3.6390
1972,9,1,2,105,-4.3779
1972,9,1,3,91,-5.7695
1972,9,1,4,108,-4.9891
1972,9,1,5,138,-5.6729
1972,9,2,1,56,-3.5240
1972,9,2,2,39,-5.2328
1972,9,2,3,45,-2.0450
1972,9,2,4,60,-1.6468
1972,9,2,5,48,-3.2450
1972,9,3,1,65,-1.1070
1972,9,3,2,67,0.5617
1972,9,3,3,66,-0.8593
1972,9,3,4,58,-0.3282
1972,9,3,5,73,-1.3727
1972,10,1,1,140,-3.0044
1972,10,1,2,105,-3.1519
1972,10,1,3,91,-4.0318
1972,10,1,4,108,-2.1605
1972,10,1,5,138,-2.7133
1972,10,2,1,56,-4.8721
1972,10,2,2,39,-0.2196
1972,10,2,3,45,-0.2644
1972,10,2,4,60,-3.0557
1972,10,2,5,48,-0.6718
1972,10,3,1,65,-2.0350
1972,10,3,2,66,1.3069
1972,10,3,3,66,-0.1534
1972,10,3,4,58,1.8764
1972,10,3,5,73,0.2143
