year,month,rank_ME,rank_EM,nstocks,ret_vw
1969,4,3,5,107,4.0949
1969,5,1,1,128,0.5408
1969,5,1,2,88,-0.9161
1969,5,1,3,71,-0.6615
1969,5,1,4,80,-0.4102
1969,5,1,5,135,4.5857
1969,5,2,1,62,0.3213
1969,5,2,2,42,1.7516
1969,5,2,3,44,-1.4439
1969,5,2,4,46,-1.6384
1969,5,2,5,74,1.6995
1969,5,3,1,49,1.9633
1969,5,3,2,84,1.8901
1969,5,3,3,94,-0.0749
1969,5,3,4,97,-0.6199
1969,5,3,5,107,-0.5768
1969,6,1,1,128,-10.8370
1969,6,1,2,88,-11.7188
1969,6,1,3,71,-13.9535
1969,6,1,4,80,-13.4050
1969,6,1,5,136,-16.3073
1969,6,2,1,62,-8.5337
1969,6,2,2,42,-11.6610
1969,6,2,3,44,-9.9470
1969,6,2,4,47,-11.7846
1969,6,2,5,74,-12.0674
1969,6,3,1,49,-8.1688
1969,6,3,2,85,-6.2542
1969,6,3,3,94,-7.4239
1969,6,3,4,97,-8.4723
1969,6,3,5,107,-1.4312
1969,7,1,1,128,-8.0827
1969,7,1,2,75,-10.4254
1969,7,1,3,86,-10.3561
1969,7,1,4,94,-12.3628
1969,7,1,5,205,-13.3070
1969,7,2,1,46,-6.9917
1969,7,2,2,56,-8.7014
1969,7,2,3,51,-9.1425
1969,7,2,4,57,-10.6427
1969,7,2,5,86,-10.2861
1969,7,3,1,83,-6.3669
1969,7,3,2,81,-7.9782
1969,7,3,3,99,-7.0078
1969,7,3,4,92,-5.5792
1969,7,3,5,105,-4.6893
1969,8,1,1,128,2.9010
1969,8,1,2,75,4.3669
1969,8,1,3,86,4.5493
1969,8,1,4,94,4.9794
1969,8,1,5,205,4.4535
1969,8,2,1,46,3.0661
1969,8,2,2,56,5.0009
1969,8,2,3,51,6.3034
1969,8,2,4,57,6.8614
1969,8,2,5,86,8.7754
1969,8,3,1,83,2.8756
1969,8,3,2,81,4.7528
1969,8,3,3,99,5.0692
1969,8,3,4,92,6.3815
1969,8,3,5,105,8.1512
1969,9,1,1,128,-3.2554
1969,9,1,2,75,-5.5940
1969,9,1,3,86,-3.4629
1969,9,1,4,94,-2.8839
1969,9,1,5,206,-3.0632
1969,9,2,1,46,0.3162
1969,9,2,2,56,1.1411
1969,9,2,3,51,-2.8533
1969,9,2,4,57,-2.5990
1969,9,2,5,86,1.7823
1969,9,3,1,83,-3.7019
1969,9,3,2,81,-3.7761
1969,9,3,3,99,-2.8203
1969,9,3,4,92,-2.1752
1969,9,3,5,104,0.0372
1969,10,1,1,127,7.1522
1969,10,1,2,75,7.5181
1969,10,1,3,86,9.2542
1969,10,1,4,94,12.6915
1969,10,1,5,206,14.2874
1969,10,2,1,46,8.6772
1969,10,2,2,56,7.3573
1969,10,2,3,51,5.9143
1969,10,2,4,57,6.4445
1969,10,2,5,85,11.5546
1969,10,3,1,83,2.8504
1969,10,3,2,81,3.5951
1969,10,3,3,99,4.9196
1969,10,3,4,92,6.6049
1969,10,3,5,104,5.8618
1969,11,1,1,127,-5.5619
1969,11,1,2,75,-5.2507
1969,11,1,3,86,-7.9285
1969,11,1,4,94,-7.2476
1969,11,1,5,206,-8.8320
1969,11,2,1,46,-3.0127
1969,11,2,2,56,-4.2032
1969,11,2,3,51,-4.5151
1969,11,2,4,57,-5.8816
1969,11,2,5,85,-5.0547
1969,11,3,1,83,-2.5782
1969,11,3,2,81,-3.8206
1969,11,3,3,99,-3.7294
1969,11,3,4,92,-2.3031
1969,11,3,5,105,-1.1141
1969,12,1,1,128,-6.7872
