year,month,rank_ME,rank_BM,nstocks,ret_vw
1970,4,1,5,126,-11.7278
1970,4,2,1,100,-22.3465
1970,4,2,2,72,-14.0861
1970,4,2,3,60,-13.2282
1970,4,2,4,51,-9.9423
1970,4,2,5,56,-10.4355
1970,4,3,1,137,-11.2517
1970,4,3,2,104,-9.1219
1970,4,3,3,112,-9.5219
1970,4,3,4,107,-7.7678
1970,4,3,5,85,-7.5602
1970,5,1,1,209,-9.5561
1970,5,1,2,154,-10.3292
1970,5,1,3,107,-9.0942
1970,5,1,4,94,-8.0167
1970,5,1,5,126,-9.7237
1970,5,2,1,99,-12.0372
1970,5,2,2,72,-9.9315
1970,5,2,3,60,-11.4982
1970,5,2,4,51,-7.9006
1970,5,2,5,56,-7.8407
1970,5,3,1,137,-8.5002
1970,5,3,2,104,-6.4006
1970,5,3,3,112,-5.4342
1970,5,3,4,107,-2.2490
1970,5,3,5,85,-3.0845
1970,6,1,1,208,-12.6053
1970,6,1,2,154,-8.2548
1970,6,1,3,107,-6.5328
1970,6,1,4,93,-8.1630
1970,6,1,5,126,-5.9674
1970,6,2,1,99,-9.8626
1970,6,2,2,72,-4.8817
1970,6,2,3,60,-7.2951
1970,6,2,4,51,-5.9646
1970,6,2,5,56,-5.5685
1970,6,3,1,137,-6.0316
1970,6,3,2,104,-4.3296
1970,6,3,3,112,-3.9756
1970,6,3,4,107,-2.3292
1970,6,3,5,85,-7.3464
1970,7,1,1,147,4.3246
1970,7,1,2,150,4.9742
1970,7,1,3,145,5.3333
1970,7,1,4,158,5.6348
1970,7,1,5,200,3.9206
1970,7,2,1,102,8.6304
1970,7,2,2,81,6.9132
1970,7,2,3,65,5.9209
1970,7,2,4,55,7.4041
1970,7,2,5,66,8.3517
1970,7,3,1,158,4.5182
1970,7,3,2,116,8.4646
1970,7,3,3,111,8.6163
1970,7,3,4,111,10.5547
1970,7,3,5,69,7.5019
1970,8,1,1,147,5.5256
1970,8,1,2,148,5.9352
1970,8,1,3,145,6.9085
1970,8,1,4,157,6.8192
1970,8,1,5,200,6.2882
1970,8,2,1,102,6.7202
1970,8,2,2,81,7.4976
1970,8,2,3,65,6.5672
1970,8,2,4,55,7.4753
1970,8,2,5,66,6.9615
1970,8,3,1,158,4.1655
1970,8,3,2,116,6.2501
1970,8,3,3,111,4.4121
1970,8,3,4,111,4.9240
1970,8,3,5,68,6.5213
1970,9,1,1,146,21.6530
1970,9,1,2,147,16.2693
1970,9,1,3,145,15.5397
1970,9,1,4,157,11.8805
1970,9,1,5,200,11.1350
1970,9,2,1,102,15.3697
1970,9,2,2,81,13.8895
1970,9,2,3,65,8.9652
1970,9,2,4,55,5.8743
1970,9,2,5,66,9.2504
1970,9,3,1,158,7.6124
1970,9,3,2,115,1.2853
1970,9,3,3,111,1.6677
1970,9,3,4,111,0.7572
1970,9,3,5,68,3.5808
1970,10,1,1,145,-11.3470
1970,10,1,2,147,-6.3717
1970,10,1,3,145,-11.0614
1970,10,1,4,158,-7.0315
1970,10,1,5,200,-4.4722
1970,10,2,1,102,-4.9465
1970,10,2,2,81,-6.3835
1970,10,2,3,65,-5.6010
1970,10,2,4,55,-4.3112
1970,10,2,5,66,-2.7957
1970,10,3,1,158,-0.4562
1970,10,3,2,115,-1.1363
1970,10,3,3,111,-3.2120
1970,10,3,4,111,-0.1250
1970,10,3,5,68,-3.8686
1970,11,1,1,145,-4.2956
1970,11,1,2,147,-2.6496
1970,11,1,3,145,-1.8657
1970,11,1,4,157,-0.0672
1970,11,1,5,200,-0.0341
1970,11,2,1,102,1.7410
1970,11,2,2,81,1.9444
1970,11,2,3,65,3.3988
1970,11,2,4,55,4.9050
1970,11,2,5,66,3.4980
1970,11,3,1,158,4.8687
1970,11,3,2,115,6.3329
1970,11,3,3,111,5.4406
1970,11,3,4,111,5.9979
1970,11,3,5,68,4.8079
1970,12,1,1,145,7.3503
1970,12,1,2,147,7.3851
1970,12,1,3,145,11.4713
1970,12,1,4,157,12.2989
1970,12,1,5,199,10.0504
1970,12,2,1,102,6.6889
1970,12,2,2,81,9.9261
1970,12,2,3,65,8.7330
1970,12,2,4,55,7.6844
1970,12,2,5,66,8.9572
1970,12,3,1,158,4.8558
1970,12,3,2,115,6.5260
1970,12,3,3,111,7.7682
1970,12,3,4,111,5.7842
1970,12,3,5,68,7.2370
1971,1,1,1,145,15.3421
1971,1,1,2,146,13.5237
1971,1,1,3,145,15.2416
1971,1,1,4,157,14.9259
1971,1,1,5,198,15.4293
1971,1,2,1,101,8.4351
1971,1,2,2,81,11.1287
1971,1,2,3,65,12.5727
1971,1,2,4,55,9.9350
1971,1,2,5,66,11.3549
1971,1,3,1,158,4.0945
1971,1,3,2,115,5.1831
1971,1,3,3,111,4.5140
1971,1,3,4,111,3.6124
1971,1,3,5,68,6.4468
1971,2,1,1,145,7.4897
1971,2,1,2,145,6.7771
1971,2,1,3,144,7.0818
1971,2,1,4,157,3.6802
1971,2,1,5,198,4.4839
1971,2,2,1,101,3.6027
1971,2,2,2,81,2.4704
1971,2,2,3,65,2.7575
1971,2,2,4,55,2.9117
1971,2,2,5,66,0.8116
1971,2,3,1,158,2.4968
1971,2,3,2,115,1.0123
1971,2,3,3,111,0.1484
1971,2,3,4,111,0.8293
1971,2,3,5,68,1.5073
1971,3,1,1,144,7.3124
1971,3,1,2,145,4.8431
1971,3,1,3,144,7.6446
1971,3,1,4,157,6.1509
1971,3,1,5,198,5.7738
1971,3,2,1,100,9.2823
1971,3,2,2,81,9.2909
1971,3,2,3,65,4.7118
1971,3,2,4,55,2.2584
1971,3,2,5,66,4.3272
1971,3,3,1,158,5.9024
1971,3,3,2,115,4.1378
1971,3,3,3,111,3.8050
1971,3,3,4,111,1.4265
1971,3,3,5,67,2.7988
1971,4,1,1,144,1.2814
1971,4,1,2,144,3.9691
1971,4,1,3,144,2.0623
1971,4,1,4,157,3.7711
1971,4,1,5,198,1.2463
1971,4,2,1,100,4.2633
1971,4,2,2,81,3.1885
1971,4,2,3,65,3.2905
1971,4,2,4,55,2.4177
1971,4,2,5,66,5.5132
1971,4,3,1,158,3.4862
1971,4,3,2,115,5.3793
1971,4,3,3,111,1.8486
1971,4,3,4,111,2.6326
1971,4,3,5,67,6.5195
1971,5,1,1,143,-6.3970
1971,5,1,2,143,-5.9501
1971,5,1,3,144,-7.4375
1971,5,1,4,156,-4.7323
1971,5,1,5,198,-6.3781
1971,5,2,1,101,-2.6164
1971,5,2,2,80,-4.7830
1971,5,2,3,65,-5.8668
1971,5,2,4,55,-3.3640
1971,5,2,5,66,-4.6485
1971,5,3,1,158,-2.4783
1971,5,3,2,115,-3.7555
1971,5,3,3,111,-3.8755
1971,5,3,4,111,-4.6379
1971,5,3,5,67,-4.3519
1971,6,1,1,142,-0.9438
1971,6,1,2,142,-3.4104
1971,6,1,3,142,-2.4551
1971,6,1,4,156,-1.0689
1971,6,1,5,198,-2.6252
1971,6,2,1,100,1.6383
1971,6,2,2,80,-0.5023
1971,6,2,3,65,-0.7252
1971,6,2,4,55,-1.9758
1971,6,2,5,66,-1.7749
1971,6,3,1,158,1.0273
1971,6,3,2,115,-0.3500
1971,6,3,3,111,0.4725
1971,6,3,4,111,0.6850
1971,6,3,5,67,-1.7454
1971,7,1,1,83,-8.1068
1971,7,1,2,131,-8.2717
1971,7,1,3,135,-7.6963
1971,7,1,4,179,-5.7690
1971,7,1,5,333,-6.0086
1971,7,2,1,84,-6.3050
1971,7,2,2,84,-4.0268
1971,7,2,3,86,-3.4854
1971,7,2,4,81,-5.5908
1971,7,2,5,67,-5.1654
1971,7,3,1,184,-4.0119
1971,7,3,2,148,-4.7494
1971,7,3,3,112,-3.4791
1971,7,3,4,89,-3.7717
1971,7,3,5,50,-6.4937
1971,8,1,1,83,2.5385
1971,8,1,2,131,3.7905
1971,8,1,3,135,3.1272
1971,8,1,4,179,4.8516
1971,8,1,5,332,5.5921
1971,8,2,1,84,2.6114
1971,8,2,2,84,5.2987
1971,8,2,3,86,3.0031
1971,8,2,4,81,5.1316
1971,8,2,5,67,7.2177
1971,8,3,1,183,5.5018
1971,8,3,2,148,4.6686
1971,8,3,3,111,-1.1851
1971,8,3,4,89,2.4175
1971,8,3,5,50,11.7273
1971,9,1,1,83,-0.0207
1971,9,1,2,131,2.3235
1971,9,1,3,135,0.0036
1971,9,1,4,179,-0.5218
1971,9,1,5,332,-2.0844
1971,9,2,1,84,0.8031
1971,9,2,2,84,-0.3979
