year,month,rank_ME,rank_VFP,nstocks,ret_vw
1978,5,1,1,2,0.5623
1978,5,1,2,0,
1978,5,1,3,1,5.0505
1978,5,1,4,7,7.2220
1978,5,1,5,9,8.7851
1978,5,2,1,8,8.6279
1978,5,2,2,12,9.3051
1978,5,2,3,12,7.5169
1978,5,2,4,23,7.0135
1978,5,2,5,30,5.4434
1978,5,3,1,81,3.6380
1978,5,3,2,79,4.2427
1978,5,3,3,74,1.0085
1978,5,3,4,67,2.2672
1978,5,3,5,52,0.2492
1978,6,1,1,2,-6.0434
1978,6,1,2,0,
1978,6,1,3,1,-1.9417
1978,6,1,4,7,3.6079
1978,6,1,5,9,4.9735
1978,6,2,1,8,-2.4151
1978,6,2,2,12,2.0934
1978,6,2,3,12,1.1716
1978,6,2,4,23,2.8443
1978,6,2,5,30,-3.2391
1978,6,3,1,81,-0.7402
1978,6,3,2,79,-0.2081
1978,6,3,3,74,-2.4762
1978,6,3,4,67,-1.9403
1978,6,3,5,52,-2.7757
1978,7,1,1,5,3.5467
1978,7,1,2,5,2.6917
1978,7,1,3,3,5.2906
1978,7,1,4,8,6.6803
1978,7,1,5,18,1.3186
1978,7,2,1,22,6.6538
1978,7,2,2,19,7.6032
1978,7,2,3,25,6.2243
1978,7,2,4,32,3.2920
1978,7,2,5,34,7.5371
1978,7,3,1,85,8.0272
1978,7,3,2,86,6.5157
1978,7,3,3,82,6.3270
1978,7,3,4,78,4.8575
1978,7,3,5,63,4.1934
1978,8,1,1,4,11.2920
1978,8,1,2,5,4.0737
1978,8,1,3,3,29.1455
1978,8,1,4,8,13.0680
1978,8,1,5,18,8.5232
1978,8,2,1,22,4.3313
1978,8,2,2,19,9.8682
1978,8,2,3,25,9.1192
1978,8,2,4,32,11.0385
1978,8,2,5,34,8.0789
1978,8,3,1,83,1.8307
1978,8,3,2,86,2.6407
1978,8,3,3,82,2.3676
1978,8,3,4,78,5.8771
1978,8,3,5,63,3.2720
1978,9,1,1,4,0.8961
1978,9,1,2,4,3.8923
1978,9,1,3,3,-13.7037
1978,9,1,4,8,-8.4024
1978,9,1,5,18,2.7857
1978,9,2,1,21,-0.4298
1978,9,2,2,19,-3.9098
1978,9,2,3,25,-1.3077
1978,9,2,4,32,0.4339
1978,9,2,5,34,-3.6525
1978,9,3,1,82,-3.1979
1978,9,3,2,86,-2.1344
1978,9,3,3,82,-2.2862
1978,9,3,4,78,1.4060
1978,9,3,5,63,1.0261
1978,10,1,1,4,-17.2254
1978,10,1,2,4,-26.4190
1978,10,1,3,3,-16.3092
1978,10,1,4,8,-26.7235
1978,10,1,5,18,-24.7441
1978,10,2,1,20,-25.9237
1978,10,2,2,18,-21.2377
1978,10,2,3,25,-14.4131
1978,10,2,4,32,-18.3251
1978,10,2,5,34,-22.8016
1978,10,3,1,83,-9.1494
1978,10,3,2,86,-9.7380
1978,10,3,3,82,-9.2927
1978,10,3,4,78,-9.9107
1978,10,3,5,63,-11.5431
1978,11,1,1,4,9.3064
1978,11,1,2,4,5.1587
1978,11,1,3,3,-3.5849
1978,11,1,4,8,17.1050
1978,11,1,5,18,11.4277
1978,11,2,1,20,9.4614
1978,11,2,2,18,19.4577
1978,11,2,3,24,6.2284
1978,11,2,4,32,5.4430
1978,11,2,5,34,6.9615
1978,11,3,1,83,2.7470
1978,11,3,2,86,2.5624
1978,11,3,3,82,3.1057
1978,11,3,4,78,2.9122
1978,11,3,5,63,2.4932
1978,12,1,1,4,-2.4397
1978,12,1,2,4,0.3742
1978,12,1,3,3,2.5234
1978,12,1,4,8,1.7688
1978,12,1,5,18,0.4058
1978,12,2,1,21,-1.2986
1978,12,2,2,19,2.3171
1978,12,2,3,23,0.0398
1978,12,2,4,32,1.1220
1978,12,2,5,34,3.5001
1978,12,3,1,82,2.4138
1978,12,3,2,86,-0.5449
1978,12,3,3,82,0.0617
1978,12,3,4,78,1.4845
1978,12,3,5,63,0.1150
1979,1,1,1,4,7.6776
1979,1,1,2,4,18.3433
1979,1,1,3,3,2.1010
1979,1,1,4,8,12.0261
1979,1,1,5,18,9.9201
1979,1,2,1,21,8.7536
1979,1,2,2,19,6.4795
1979,1,2,3,23,8.1651
1979,1,2,4,32,7.0203
1979,1,2,5,34,8.1208
1979,1,3,1,82,2.1745
1979,1,3,2,86,6.5477
1979,1,3,3,82,5.7651
1979,1,3,4,78,4.0178
1979,1,3,5,63,4.8165
1979,2,1,1,4,-5.7941
1979,2,1,2,4,-0.1405
1979,2,1,3,3,3.5017
1979,2,1,4,8,-2.6885
1979,2,1,5,17,-6.8009
1979,2,2,1,21,-5.4496
1979,2,2,2,18,-3.4307
1979,2,2,3,22,-2.7221
1979,2,2,4,30,-3.8331
1979,2,2,5,34,-3.7037
1979,2,3,1,81,-5.6242
1979,2,3,2,86,-3.8579
1979,2,3,3,82,-2.8498
1979,2,3,4,78,-2.1614
1979,2,3,5,63,-1.8859
1979,3,1,1,4,7.3104
1979,3,1,2,4,3.2154
1979,3,1,3,3,7.6510
1979,3,1,4,8,14.5054
1979,3,1,5,17,5.5807
1979,3,2,1,20,9.6018
1979,3,2,2,17,8.3531
1979,3,2,3,22,4.7336
1979,3,2,4,30,10.9604
1979,3,2,5,34,8.2215
1979,3,3,1,81,4.7631
1979,3,3,2,86,5.1413
1979,3,3,3,82,4.2277
1979,3,3,4,78,6.9376
1979,3,3,5,62,8.2645
1979,4,1,1,4,1.9075
1979,4,1,2,4,10.7163
1979,4,1,3,3,-0.7438
1979,4,1,4,8,0.7483
1979,4,1,5,17,0.0638
1979,4,2,1,19,2.5009
1979,4,2,2,17,0.8185
1979,4,2,3,22,0.5923
1979,4,2,4,30,5.5351
1979,4,2,5,34,1.6778
1979,4,3,1,81,-0.3003
1979,4,3,2,86,-0.7008
1979,4,3,3,82,-1.9391
1979,4,3,4,78,1.0072
1979,4,3,5,62,3.0102
1979,5,1,1,4,-8.7446
1979,5,1,2,4,0.6323
1979,5,1,3,3,-1.5755
1979,5,1,4,8,-3.9006
1979,5,1,5,17,1.4843
1979,5,2,1,19,-3.6772
1979,5,2,2,16,2.5358
1979,5,2,3,22,-2.2247
1979,5,2,4,30,-1.5011
1979,5,2,5,34,-2.3524
1979,5,3,1,81,-1.6185
1979,5,3,2,86,-1.4535
1979,5,3,3,82,0.3599
1979,5,3,4,78,-1.5960
1979,5,3,5,62,-2.0426
1979,6,1,1,4,5.3437
1979,6,1,2,4,1.4907
1979,6,1,3,3,2.9245
